original_row_index,target,probe,fact,inference_type,source_fact(s),derivation,question,answer,source_facts,text_sentences
16, depth-wise convolution kernels,"According to the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', if OFT uses as many blocks as the number of input channels in a convolution layer, its transform resembles","According to the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', if OFT uses as many blocks as the number of input channels in a convolution layer, its transform resembles depth-wise convolution kernels",Reasoning Step,"['OFT is also well suited for finetuning convolution layers, because the block-diagonal structure of $\\bm{R}$ has interesting interpretations in convolution layers (unlike LoRA).', 'When we use the same number of blocks as the number of input channels, each block only transforms a unique neuron channel, similar to learning depth-wise convolution kernels~\\cite{chollet2017xception}.']","Matching the number of blocks to the number of input channels isolates each channel's transform, which the paper likens to depth-wise convolution kernels.","If OFT uses as many blocks as input channels in a convolution layer, what kind of convolution behavior does its transform resemble?",depth-wise convolution kernels,"['OFT is also well suited for finetuning convolution layers, because the block-diagonal structure of $\\bm{R}$ has interesting interpretations in convolution layers (unlike LoRA).', 'When we use the same number of blocks as the number of input channels, each block only transforms a unique neuron channel, similar to learning depth-wise convolution kernels~\\cite{chollet2017xception}.']","['OFT is also well suited for finetuning convolution layers, because the block-diagonal structure of $\\bm{R}$ has interesting interpretations in convolution layers (unlike LoRA).', 'When we use the same number of blocks as the number of input channels, each block only transforms a unique neuron channel, similar to learning depth-wise convolution kernels~\\cite{chollet2017xception}.']"
17, magnitudes are normalized out,"According to the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', Re-scaled OFT can learn per-neuron scaling without altering the hyperspherical-energy property because","According to the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', Re-scaled OFT can learn per-neuron scaling without altering the hyperspherical-energy property because magnitudes are normalized out",Reasoning Step,"['We propose a simple extension to the original OFT by additionally learning a magnitude scaling coefficient for each neuron.', 'This is motivated by the fact that re-scaling neurons does not change the hyperspherical energy (the magnitude will be normalized out).']","Because hyperspherical energy depends on normalized neurons, changing only magnitudes through a diagonal scaling does not alter it.",Why can re-scaled OFT learn per-neuron scaling without altering the hyperspherical-energy property?,magnitudes are normalized out,"['We propose a simple extension to the original OFT by additionally learning a magnitude scaling coefficient for each neuron.', 'This is motivated by the fact that re-scaling neurons does not change the hyperspherical energy (the magnitude will be normalized out).']","['We propose a simple extension to the original OFT by additionally learning a magnitude scaling coefficient for each neuron.', 'This is motivated by the fact that re-scaling neurons does not change the hyperspherical energy (the magnitude will be normalized out).']"
18, constrained deviation from the pretrained model,"According to the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', COFT yields even better finetuning stability than OFT due to its explicit","According to the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', COFT yields even better finetuning stability than OFT due to its explicit constrained deviation from the pretrained model",Multi-Fact Integration,"['COFT can be viewed as a combination of two explicit constraints: minimal hyperspherical energy difference and constrained deviation from the pretrained model.', 'Despite the excellent performance of OFT, we observe that COFT yields even better finetuning stability than OFT due to this explicit deviation constraint.']",The paper attributes COFT's extra stability specifically to the added explicit limit on how far the finetuned model may move from the pretrained one.,What extra ingredient gives COFT better finetuning stability than OFT?,constrained deviation from the pretrained model,"['COFT can be viewed as a combination of two explicit constraints: minimal hyperspherical energy difference and constrained deviation from the pretrained model.', 'Despite the excellent performance of OFT, we observe that COFT yields even better finetuning stability than OFT due to this explicit deviation constraint.']","['COFT can be viewed as a combination of two explicit constraints: minimal hyperspherical energy difference and constrained deviation from the pretrained model.', 'Despite the excellent performance of OFT, we observe that COFT yields even better finetuning stability than OFT due to this explicit deviation constraint.']"
22, trainable parameters,"In the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', if the block count $r$ is increased in OFT's block-diagonal parameterization, what decreases without sacrificing the preservation guarantee is","In the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', if the block count $r$ is increased in OFT's block-diagonal parameterization, what decreases without sacrificing the preservation guarantee is trainable parameters",Reasoning Step,"['For an $r$-block diagonal orthogonal matrix, the number of parameter is $d(d/r-1)/2$, resulting in a complexity of $\\mathcal{O}(d^2/r)$.', 'Despite all these strategies to improve parameter efficiency, we note that the resulting matrix $\\bm{R}$ remains orthogonal, so there is no sacrifice in preserving hyperspherical energy.']","Increasing $r$ lowers the stated $\mathcal{O}(d^2/r)$ cost, while orthogonality—and thus the preservation guarantee—still holds.","If the block count $r$ is increased in OFT's block-diagonal parameterization, what decreases without sacrificing the preservation guarantee?",trainable parameters,"['For an $r$-block diagonal orthogonal matrix, the number of parameter is $d(d/r-1)/2$, resulting in a complexity of $\\mathcal{O}(d^2/r)$.', 'Despite all these strategies to improve parameter efficiency, we note that the resulting matrix $\\bm{R}$ remains orthogonal, so there is no sacrifice in preserving hyperspherical energy.']","['For an $r$-block diagonal orthogonal matrix, the number of parameter is $d(d/r-1)/2$, resulting in a complexity of $\\mathcal{O}(d^2/r)$.', 'Despite all these strategies to improve parameter efficiency, we note that the resulting matrix $\\bm{R}$ remains orthogonal, so there is no sacrifice in preserving hyperspherical energy.']"
23, hyperspherical energy,"According to the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', if OFT shares its block matrices to cut parameters further, the key preservation guarantee that still remains unchanged is","According to the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', if OFT shares its block matrices to cut parameters further, the key preservation guarantee that still remains unchanged is hyperspherical energy",Multi-Fact Integration,"['We can optionally share the block matrix to further reduce the number of parameters, \\emph{i.e.}, $\\thickmuskip=2mu \\medmuskip=2mu\\bm{R}_i=\\bm{R}_j,\\forall i\\neq j$. This reduces the parameter complexity to $\\mathcal{O}(d^2/r^2)$.', 'Despite all these strategies to improve parameter efficiency, we note that the resulting matrix $\\bm{R}$ remains orthogonal, so there is no sacrifice in preserving hyperspherical energy.']","Even after sharing blocks to reduce parameters, the matrix is still orthogonal, so the same preservation guarantee remains intact.","If OFT shares its block matrices to cut parameters further, what key preservation guarantee still remains unchanged?",hyperspherical energy,"['We can optionally share the block matrix to further reduce the number of parameters, \\emph{i.e.}, $\\thickmuskip=2mu \\medmuskip=2mu\\bm{R}_i=\\bm{R}_j,\\forall i\\neq j$. This reduces the parameter complexity to $\\mathcal{O}(d^2/r^2)$.', 'Despite all these strategies to improve parameter efficiency, we note that the resulting matrix $\\bm{R}$ remains orthogonal, so there is no sacrifice in preserving hyperspherical energy.']","['We can optionally share the block matrix to further reduce the number of parameters, \\emph{i.e.}, $\\thickmuskip=2mu \\medmuskip=2mu\\bm{R}_i=\\bm{R}_j,\\forall i\\neq j$. This reduces the parameter complexity to $\\mathcal{O}(d^2/r^2)$.', 'Despite all these strategies to improve parameter efficiency, we note that the resulting matrix $\\bm{R}$ remains orthogonal, so there is no sacrifice in preserving hyperspherical energy.']"
24, four times,"According to the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', with block sharing enabled, if the number of blocks $r$ is doubled, OFT's parameter complexity shrinks by","According to the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', with block sharing enabled, if the number of blocks $r$ is doubled, OFT's parameter complexity shrinks by four times",Reasoning Step,['This reduces the parameter complexity to $\\mathcal{O}(d^2/r^2)$.'],"With complexity proportional to $1/r^2$, doubling $r$ makes the parameter cost one fourth as large.","With block sharing enabled, if the number of blocks $r$ is doubled, by what factor does OFT's parameter complexity shrink?",four times,['This reduces the parameter complexity to $\\mathcal{O}(d^2/r^2)$.'],['This reduces the parameter complexity to $\\mathcal{O}(d^2/r^2)$.']
27, hyperspherical energy,"According to the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', if orthogonal matrices learned from several OFT finetuning tasks are multiplied together before being applied to a layer, the quantity that would still be guaranteed to stay preserved is","According to the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', if orthogonal matrices learned from several OFT finetuning tasks are multiplied together before being applied to a layer, the quantity that would still be guaranteed to stay preserved is hyperspherical energy",Multi-Fact Integration,"['Hyperspherical energy is defined as the sum of hyperspherical similarity (e.g., cosine similarity) between all pairwise neurons in the same layer', 'the pairwise hyperspherical similarity is provably preserved if we apply the same orthogonal transformation for all neurons.', 'OFT has unique potential in compositionality, in the sense that the orthogonal matrices produced by multiple OFT finetuning tasks can be multiplied together and remains an orthogonal matrix.']","If multiple task matrices are multiplied and the result is still orthogonal, then applying that shared orthogonal transform still preserves all pairwise hyperspherical similarities, so their sum is preserved too.","If orthogonal matrices learned from several OFT finetuning tasks are multiplied together before being applied to a layer, what quantity would still be guaranteed to stay preserved?",hyperspherical energy,"['Hyperspherical energy is defined as the sum of hyperspherical similarity (e.g., cosine similarity) between all pairwise neurons in the same layer', 'the pairwise hyperspherical similarity is provably preserved if we apply the same orthogonal transformation for all neurons.', 'OFT has unique potential in compositionality, in the sense that the orthogonal matrices produced by multiple OFT finetuning tasks can be multiplied together and remains an orthogonal matrix.']","['Hyperspherical energy is defined as the sum of hyperspherical similarity (e.g., cosine similarity) between all pairwise neurons in the same layer', 'the pairwise hyperspherical similarity is provably preserved if we apply the same orthogonal transformation for all neurons.', 'OFT has unique potential in compositionality, in the sense that the orthogonal matrices produced by multiple OFT finetuning tasks can be multiplied together and remains an orthogonal matrix.']"
28, subject preservation and controllability,"According to the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', OFT achieves both better semantic preservation of the subject and more accurate prompt control, namely","According to the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', OFT achieves both better semantic preservation of the subject and more accurate prompt control, namely subject preservation and controllability",Synthesized Insight,"['From the results in Figure~\\ref{fig:dreambooth_final}, we can observe that both OFT and COFT deliver excellent semantic subject preservation, while LoRA often fails to preserve the subject identity (\\emph{e.g.}, LoRA completely loses the subject identity in the bowl example).', 'In the meantime, both OFT and COFT have much more accurate control using text prompts, while DreamBooth, despite its preservation of subject identity, often fails to generate the image following the text prompt (\\emph{e.g.}, the first row of the bowl example).', 'The qualitative comparison demonstrates that our OFT framework achieves better controllability and subject preservation at the same time.']",The two comparisons show OFT avoiding the baseline tradeoff by preserving the subject while still following the prompt accurately.,"In subject-driven generation, what two goals does OFT achieve simultaneously rather than forcing the tradeoff seen in the baselines?",subject preservation and controllability,"['From the results in Figure~\\ref{fig:dreambooth_final}, we can observe that both OFT and COFT deliver excellent semantic subject preservation, while LoRA often fails to preserve the subject identity (\\emph{e.g.}, LoRA completely loses the subject identity in the bowl example).', 'In the meantime, both OFT and COFT have much more accurate control using text prompts, while DreamBooth, despite its preservation of subject identity, often fails to generate the image following the text prompt (\\emph{e.g.}, the first row of the bowl example).', 'The qualitative comparison demonstrates that our OFT framework achieves better controllability and subject preservation at the same time.']","['From the results in Figure~\\ref{fig:dreambooth_final}, we can observe that both OFT and COFT deliver excellent semantic subject preservation, while LoRA often fails to preserve the subject identity (\\emph{e.g.}, LoRA completely loses the subject identity in the bowl example).', 'In the meantime, both OFT and COFT have much more accurate control using text prompts, while DreamBooth, despite its preservation of subject identity, often fails to generate the image following the text prompt (\\emph{e.g.}, the first row of the bowl example).', 'The qualitative comparison demonstrates that our OFT framework achieves better controllability and subject preservation at the same time.']"
29, neuron directions,"According to the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', based on the toy autoencoder result and OFT's design, OFT targets the feature most responsible for changing semantics:","According to the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', based on the toy autoencoder result and OFT's design, OFT targets the feature most responsible for changing semantics: neuron directions",Synthesized Insight,"['The results imply that the angles (directions) of neurons play the major role in storing the semantic information of the input images.', 'Why OFT converges faster. On one hand, we can see from Figure~\\ref{fig:toy_ae} that the most effective update to modify the semantics is to change neuron directions, which is exactly what OFT is designed for.']","The toy result identifies neuron directions as the main carrier of semantics, and OFT is built to modify exactly those directions, explaining its semantic efficiency.","Based on the toy autoencoder result and OFT's design, what part of the neurons does OFT target to change semantics efficiently?",neuron directions,"['The results imply that the angles (directions) of neurons play the major role in storing the semantic information of the input images.', 'Why OFT converges faster. On one hand, we can see from Figure~\\ref{fig:toy_ae} that the most effective update to modify the semantics is to change neuron directions, which is exactly what OFT is designed for.']","['The results imply that the angles (directions) of neurons play the major role in storing the semantic information of the input images.', 'Why OFT converges faster. On one hand, we can see from Figure~\\ref{fig:toy_ae} that the most effective update to modify the semantics is to change neuron directions, which is exactly what OFT is designed for.']"
30," 1,088","According to the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', in the $128\times128$ example with both ranks set to 8 and no block sharing, the trainable-parameter gap between LoRA and OFT is","According to the paper 'Controlling Text-to-Image Diffusion by Orthogonal Finetuning', in the $128\times128$ example with both ranks set to 8 and no block sharing, the trainable-parameter gap between LoRA and OFT is 1,088",Reasoning Step,"[""Suppose we have a weight matrix with size $128\\times 128$, LoRA has $2,048$ trainable parameters with $r'=8$, while OFT has $960$ trainable parameters with $r=8$ (no block sharing is applied).""]","Subtracting 960 from 2,048 gives 1,088 fewer trainable parameters for OFT.","In the paper's $128\times128$ example with both ranks set to 8, how many fewer trainable parameters does OFT use than LoRA?","1,088","[""Suppose we have a weight matrix with size $128\\times 128$, LoRA has $2,048$ trainable parameters with $r'=8$, while OFT has $960$ trainable parameters with $r=8$ (no block sharing is applied).""]","[""Suppose we have a weight matrix with size $128\\times 128$, LoRA has $2,048$ trainable parameters with $r'=8$, while OFT has $960$ trainable parameters with $r=8$ (no block sharing is applied).""]"
