domain_group,document,source_rows,accepted_rows,fixed_rows,rejected_rows,final_rows,path,backup_path
legal,United_States_v_Jaison_Coleman,53,49,4,0,53,probes/legal/United_States_v_Jaison_Coleman/facts/probes_v15_mcqa.csv,probes/legal/United_States_v_Jaison_Coleman/facts/probes_v15_mcqa.pre_naturalness_repair.csv
legal,United_States_v_Justin_Cutbank,51,46,5,0,51,probes/legal/United_States_v_Justin_Cutbank/facts/probes_v15_mcqa.csv,probes/legal/United_States_v_Justin_Cutbank/facts/probes_v15_mcqa.pre_naturalness_repair.csv
legal,Williams_v_GoAuto_Insurance,49,40,9,0,49,probes/legal/Williams_v_GoAuto_Insurance/facts/probes_v15_mcqa.csv,probes/legal/Williams_v_GoAuto_Insurance/facts/probes_v15_mcqa.pre_naturalness_repair.csv
medical,Acute_neurological_Behets_disease_complicated_by_a_syndrome,92,78,14,0,92,probes/medical/Acute_neurological_Behets_disease_complicated_by_a_syndrome/facts/probes_v15_mcqa.csv,probes/medical/Acute_neurological_Behets_disease_complicated_by_a_syndrome/facts/probes_v15_mcqa.pre_naturalness_repair.csv
medical,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,78,57,21,0,78,probes/medical/Autoimmune_heparininduced_thrombocytopenia_following_cardiac/facts/probes_v15_mcqa.csv,probes/medical/Autoimmune_heparininduced_thrombocytopenia_following_cardiac/facts/probes_v15_mcqa.pre_naturalness_repair.csv
medical,Central_hypoventilation_and_choking_episodes_revealing_Chiar,101,86,15,0,101,probes/medical/Central_hypoventilation_and_choking_episodes_revealing_Chiar/facts/probes_v15_mcqa.csv,probes/medical/Central_hypoventilation_and_choking_episodes_revealing_Chiar/facts/probes_v15_mcqa.pre_naturalness_repair.csv
medical,Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,93,82,11,0,93,probes/medical/Dermatomyositis_masquerading_as_angioedema_a_crucial_differe/facts/probes_v15_mcqa.csv,probes/medical/Dermatomyositis_masquerading_as_angioedema_a_crucial_differe/facts/probes_v15_mcqa.pre_naturalness_repair.csv
medical,From_dog_bite_to_dialysis_complementmediated_haemolytic_urae,103,83,20,0,103,probes/medical/From_dog_bite_to_dialysis_complementmediated_haemolytic_urae/facts/probes_v15_mcqa.csv,probes/medical/From_dog_bite_to_dialysis_complementmediated_haemolytic_urae/facts/probes_v15_mcqa.pre_naturalness_repair.csv
medical,Immunemediated_necrotising_myopathy_following_semaglutide_tr,65,0,65,0,65,probes/medical/Immunemediated_necrotising_myopathy_following_semaglutide_tr/facts/probes_v15_mcqa.csv,probes/medical/Immunemediated_necrotising_myopathy_following_semaglutide_tr/facts/probes_v15_mcqa.pre_naturalness_repair.csv
medical,Management_of_atypical_complicated_abdominal_masses_in_the_s,90,82,8,0,90,probes/medical/Management_of_atypical_complicated_abdominal_masses_in_the_s/facts/probes_v15_mcqa.csv,probes/medical/Management_of_atypical_complicated_abdominal_masses_in_the_s/facts/probes_v15_mcqa.pre_naturalness_repair.csv
medical,Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,96,84,12,0,96,probes/medical/Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic/facts/probes_v15_mcqa.csv,probes/medical/Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic/facts/probes_v15_mcqa.pre_naturalness_repair.csv
medical,Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,112,96,16,0,112,probes/medical/Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care/facts/probes_v15_mcqa.csv,probes/medical/Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care/facts/probes_v15_mcqa.pre_naturalness_repair.csv
medical,Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel,88,81,6,1,87,probes/medical/Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel/facts/probes_v15_mcqa.csv,probes/medical/Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel/facts/probes_v15_mcqa.pre_naturalness_repair.csv
medical,Pancreatopleural_fistula_in_childhood,112,94,18,0,112,probes/medical/Pancreatopleural_fistula_in_childhood/facts/probes_v15_mcqa.csv,probes/medical/Pancreatopleural_fistula_in_childhood/facts/probes_v15_mcqa.pre_naturalness_repair.csv
medical,TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy,106,93,12,1,105,probes/medical/TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy/facts/probes_v15_mcqa.csv,probes/medical/TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy/facts/probes_v15_mcqa.pre_naturalness_repair.csv
