probe,target,correct_label,formatted_question,option_a,option_b,option_c,option_d,option_e,distractors,fact,raw_knowledge_statement,section,formatted_question_5shot,domain_group,document,v15_row_index,review_id,review_reason,issue_categories
"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", in the experiments exploring iterative RL, how many rounds of iteration do the authors conduct?",two rounds.,(E),"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", in the experiments exploring iterative RL, how many rounds of iteration do the authors conduct?
(A) both online and offline sampling.
(B) three rounds of iteration.
(C) experiments on two benchmarks.
(D) one round of iteration.
(E) two rounds.",both online and offline sampling.,three rounds of iteration.,experiments on two benchmarks.,one round of iteration.,two rounds.,"[""one round of iteration."", ""three rounds of iteration."", ""experiments on two benchmarks."", ""both online and offline sampling.""]","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", in the iterative RL experiments, the authors conduct two rounds.","Furthermore, we explore the iterative RL, in our experiments, we conduct two rounds of iteration.",Discussion,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", in the experiments exploring iterative RL, how many rounds of iteration do the authors conduct?
(A) both online and offline sampling.
(B) three rounds of iteration.
(C) experiments on two benchmarks.
(D) one round of iteration.
(E) two rounds.",arxiv,GRPO,254,arxiv/GRPO/254,"Stem asks how many rounds were conducted, but some options are not counts or round counts.",option_type_mismatch
"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", in what kind of tasks is it especially impossible to ensure that the reward signal is always reliable?",extremely complex tasks.,(B),"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", in what kind of tasks is it especially impossible to ensure that the reward signal is always reliable?
(A) sparse-reward environments.
(B) extremely complex tasks.
(C) open-ended dialogue tasks.
(D) advanced decoding outputs.
(E) out-of-distribution question prompts.",sparse-reward environments.,extremely complex tasks.,open-ended dialogue tasks.,advanced decoding outputs.,out-of-distribution question prompts.,"[""out-of-distribution question prompts."", ""advanced decoding outputs."", ""sparse-reward environments."", ""open-ended dialogue tasks.""]","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", it is especially impossible to ensure that the reward signal is always reliable in extremely complex tasks.","However, it is impossible to ensure the reward signal is always reliable, especially in extremely complex tasks.",Discussion,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", in what kind of tasks is it especially impossible to ensure that the reward signal is always reliable?
(A) sparse-reward environments.
(B) extremely complex tasks.
(C) open-ended dialogue tasks.
(D) advanced decoding outputs.
(E) out-of-distribution question prompts.",arxiv,GRPO,275,arxiv/GRPO/275,"Stem asks for a kind of task, but some options are techniques or prompt sources rather than task types.",option_type_mismatch
"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", on the competition-level MATH benchmark, DeepSeekMath approaches the performance of what kind of models?",closed models.,(E),"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", on the competition-level MATH benchmark, DeepSeekMath approaches the performance of what kind of models?
(A) DeepSeek-Coder-v1.5 7B.
(B) all open-source models.
(C) Google's Minerva.
(D) GPT-4.
(E) closed models.",DeepSeek-Coder-v1.5 7B.,all open-source models.,Google's Minerva.,GPT-4.,closed models.,"[""all open-source models."", ""GPT-4."", ""DeepSeek-Coder-v1.5 7B."", ""Google's Minerva.""]","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", on the competition-level MATH benchmark, DeepSeekMath approaches the performance of closed models.","We present DeepSeekMath, which outperforms all open-source models on the competition-level MATH benchmark and approaches the performance of closed models.","Conclusion, Limitation, and Future Work","Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", on the competition-level MATH benchmark, DeepSeekMath approaches the performance of what kind of models?
(A) DeepSeek-Coder-v1.5 7B.
(B) all open-source models.
(C) Google's Minerva.
(D) GPT-4.
(E) closed models.",arxiv,GRPO,310,arxiv/GRPO/310,"Stem asks for a kind of model, but the options mix specific models, model categories, and an incorrect target granularity.",option_type_mismatch
"In the paper ""Group Sequence Policy Optimization"", the authors state that the merits of GSPO ultimately contributed to exceptional performance improvements in which models?",the latest Qwen3 models.,(A),"In the paper ""Group Sequence Policy Optimization"", the authors state that the merits of GSPO ultimately contributed to exceptional performance improvements in which models?
(A) the latest Qwen3 models.
(B) large-scale RL training with language models.
(C) the latest DeepSeek-R1 models.
(D) the RL training of large Mixture-of-Experts (MoE) models.
(E) state-of-the-art instruction-tuned language models.",the latest Qwen3 models.,large-scale RL training with language models.,the latest DeepSeek-R1 models.,the RL training of large Mixture-of-Experts (MoE) models.,state-of-the-art instruction-tuned language models.,"[""the RL training of large Mixture-of-Experts (MoE) models."", ""large-scale RL training with language models."", ""the latest DeepSeek-R1 models."", ""state-of-the-art instruction-tuned language models.""]","In the paper ""Group Sequence Policy Optimization"", the authors state that the merits of GSPO ultimately contributed to exceptional performance improvements in the latest Qwen3 models.",These merits of GSPO ultimately contributed to the exceptional performance improvements in the latest Qwen3 models.,Introduction,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: In the paper ""Group Sequence Policy Optimization"", the authors state that the merits of GSPO ultimately contributed to exceptional performance improvements in which models?
(A) the latest Qwen3 models.
(B) large-scale RL training with language models.
(C) the latest DeepSeek-R1 models.
(D) the RL training of large Mixture-of-Experts (MoE) models.
(E) state-of-the-art instruction-tuned language models.",arxiv,GSPO,16,arxiv/GSPO/16,"Stem asks which models improved, but the options mix model names with training settings and broad categories.",option_type_mismatch
"In the paper ""Group Sequence Policy Optimization"", according to the discussion of Group Relative Policy Optimization (GRPO), within what set of responses does GRPO compute the relative advantage of each response?",a group of responses to the same query.,(D),"In the paper ""Group Sequence Policy Optimization"", according to the discussion of Group Relative Policy Optimization (GRPO), within what set of responses does GRPO compute the relative advantage of each response?
(A) a trajectory of actions sampled from the policy.
(B) a minibatch of different queries from the dataset.
(C) the clipping range of the importance ratios.
(D) a group of responses to the same query.
(E) the sequence of tokens in a single response.",a trajectory of actions sampled from the policy.,a minibatch of different queries from the dataset.,the clipping range of the importance ratios.,a group of responses to the same query.,the sequence of tokens in a single response.,"[""the sequence of tokens in a single response."", ""a minibatch of different queries from the dataset."", ""the clipping range of the importance ratios."", ""a trajectory of actions sampled from the policy.""]","In the paper ""Group Sequence Policy Optimization"", according to the discussion of Group Relative Policy Optimization (GRPO), GRPO computes the relative advantage of each response within a group of responses to the same query.",GRPO \citep{grpo} bypasses the need for the value model by computing the relative advantage of each response within a group of responses to the same query.,Preliminaries,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: In the paper ""Group Sequence Policy Optimization"", according to the discussion of Group Relative Policy Optimization (GRPO), within what set of responses does GRPO compute the relative advantage of each response?
(A) a trajectory of actions sampled from the policy.
(B) a minibatch of different queries from the dataset.
(C) the clipping range of the importance ratios.
(D) a group of responses to the same query.
(E) the sequence of tokens in a single response.",arxiv,GSPO,27,arxiv/GSPO/27,"Stem asks for a set of responses, but one option is a clipping range rather than a response set.",option_type_mismatch
"According to the paper ""Group Sequence Policy Optimization"", what does the successful application of GSPO to the RL training of the latest Qwen3 models strongly prove that GSPO can unleash for large language models?",RL scaling,(D),"According to the paper ""Group Sequence Policy Optimization"", what does the successful application of GSPO to the RL training of the latest Qwen3 models strongly prove that GSPO can unleash for large language models?
(A) large language models
(B) test-time scaling
(C) training compute
(D) RL scaling
(E) the Routing Replay training strategy",large language models,test-time scaling,training compute,RL scaling,the Routing Replay training strategy,"[""training compute"", ""large language models"", ""test-time scaling"", ""the Routing Replay training strategy""]","According to the paper ""Group Sequence Policy Optimization"", the successful application of GSPO to the RL training of the latest Qwen3 models strongly proves its efficacy in unleashing the power of RL scaling","Finally, we have successfully applied GSPO to the RL training of the latest Qwen3 models, strongly proving the efficacy of GSPO in unleashing the power of RL scaling for large language models.",Experiments and Discussion,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper ""Group Sequence Policy Optimization"", what does the successful application of GSPO to the RL training of the latest Qwen3 models strongly prove that GSPO can unleash for large language models?
(A) large language models
(B) test-time scaling
(C) training compute
(D) RL scaling
(E) the Routing Replay training strategy",arxiv,GSPO,84,arxiv/GSPO/84,"Stem asks what GSPO can unleash, but the options mix scaling concepts, model objects, compute, and a training strategy.",option_type_mismatch
"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", on which models did the authors conduct extensive experiments across various tasks to demonstrate the effectiveness of their method?",LLaMA2 and Mistral.,(E),"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", on which models did the authors conduct extensive experiments across various tasks to demonstrate the effectiveness of their method?
(A) CodeLlama and Vicuna.
(B) 8k and 256k sequence lengths.
(C) GPT-4 and PaLM 2.
(D) LLaMA and Falcon.
(E) LLaMA2 and Mistral.",CodeLlama and Vicuna.,8k and 256k sequence lengths.,GPT-4 and PaLM 2.,LLaMA and Falcon.,LLaMA2 and Mistral.,"[""LLaMA and Falcon."", ""8k and 256k sequence lengths."", ""GPT-4 and PaLM 2."", ""CodeLlama and Vicuna.""]","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", the authors conducted extensive experiments across various tasks to demonstrate the effectiveness of their method on LLaMA2 and Mistral.",Extensive experiments on LLaMA2 and Mistral across various tasks demonstrate the effectiveness of our method.,Title/Abstract,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", on which models did the authors conduct extensive experiments across various tasks to demonstrate the effectiveness of their method?
(A) CodeLlama and Vicuna.
(B) 8k and 256k sequence lengths.
(C) GPT-4 and PaLM 2.
(D) LLaMA and Falcon.
(E) LLaMA2 and Mistral.",arxiv,LongRoPE,3,arxiv/LongRoPE/3,"Stem asks which models were used, but one distractor is a pair of sequence lengths rather than model names; clean repair would require inventing a model-pair distractor.",option_type_mismatch
"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", for which tokens in the input sequences do the authors hypothesize that their RoPE should do less interpolation?",the initial $\hat{n}$ tokens.,(D),"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", for which tokens in the input sequences do the authors hypothesize that their RoPE should do less interpolation?
(A) the key tokens with the highest attention scores across all layers.
(B) the high-frequency positional components used in standard NTK scaling.
(C) the tokens beyond 7k in an 8k context window.
(D) the initial $\hat{n}$ tokens.
(E) the later tokens in the input sequence.",the key tokens with the highest attention scores across all layers.,the high-frequency positional components used in standard NTK scaling.,the tokens beyond 7k in an 8k context window.,the initial $\hat{n}$ tokens.,the later tokens in the input sequence.,"[""the later tokens in the input sequence."", ""the tokens beyond 7k in an 8k context window."", ""the key tokens with the highest attention scores across all layers."", ""the high-frequency positional components used in standard NTK scaling.""]","In the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", the authors hypothesize that their RoPE should do less interpolation for the initial $\hat{n}$ tokens.","For the initial $\hat{n}$ tokens in input sequences, we hypothesize that their RoPE should do less interpolation.",Non-uniformity in Positional Interpolation,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", for which tokens in the input sequences do the authors hypothesize that their RoPE should do less interpolation?
(A) the key tokens with the highest attention scores across all layers.
(B) the high-frequency positional components used in standard NTK scaling.
(C) the tokens beyond 7k in an 8k context window.
(D) the initial $\hat{n}$ tokens.
(E) the later tokens in the input sequence.",arxiv,LongRoPE,58,arxiv/LongRoPE/58,"Stem asks for tokens in the input sequence, but distractors include embedding dimensions or components rather than token subsets; clean repair would require inventing token-subset distractors.",option_type_mismatch
"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", RoPE for which tokens in the input sequence should be extrapolated with less interpolation?",the initial tokens.,(A),"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", RoPE for which tokens in the input sequence should be extrapolated with less interpolation?
(A) the initial tokens.
(B) the target context window length.
(C) the later tokens in the input sequence.
(D) the key dimensions in the positional embedding.
(E) downstream long-document benchmarks.",the initial tokens.,the target context window length.,the later tokens in the input sequence.,the key dimensions in the positional embedding.,downstream long-document benchmarks.,"[""the later tokens in the input sequence."", ""the key dimensions in the positional embedding."", ""the target context window length."", ""downstream long-document benchmarks.""]","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", RoPE should be extrapolated with less interpolation for the initial tokens.",\textbf{Finding 2}: \textit{RoPE for the initial tokens in the input sequence should be extrapolated with less interpolation.},Non-uniformity in Positional Interpolation,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", RoPE for which tokens in the input sequence should be extrapolated with less interpolation?
(A) the initial tokens.
(B) the target context window length.
(C) the later tokens in the input sequence.
(D) the key dimensions in the positional embedding.
(E) downstream long-document benchmarks.",arxiv,LongRoPE,60,arxiv/LongRoPE/60,"Stem asks which tokens should receive less interpolation, but several options are not token subsets; clean repair would require inventing token-subset distractors.",option_type_mismatch
"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", how many fine-tuning steps does the authors’ efficient, progressive method use to achieve the target 2048k context length while training within 256k length?",1k fine-tuning steps.,(B),"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", how many fine-tuning steps does the authors’ efficient, progressive method use to achieve the target 2048k context length while training within 256k length?
(A) full 2048k-length fine-tuning.
(B) 1k fine-tuning steps.
(C) 128k training length.
(D) LoRA adaptation.
(E) 10k fine-tuning steps.",full 2048k-length fine-tuning.,1k fine-tuning steps.,128k training length.,LoRA adaptation.,10k fine-tuning steps.,"[""10k fine-tuning steps."", ""128k training length."", ""full 2048k-length fine-tuning."", ""LoRA adaptation.""]","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", the authors’ efficient, progressive method achieves the target 2048k context length while training within 256k length using 1k fine-tuning steps.","Therefore, we introduce an efficient, progressive method that achieves the target 2048k with just 1k fine-tuning steps at within 256k training length.",LongRoPE,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", how many fine-tuning steps does the authors’ efficient, progressive method use to achieve the target 2048k context length while training within 256k length?
(A) full 2048k-length fine-tuning.
(B) 1k fine-tuning steps.
(C) 128k training length.
(D) LoRA adaptation.
(E) 10k fine-tuning steps.",arxiv,LongRoPE,103,arxiv/LongRoPE/103,"Stem asks for a number of fine-tuning steps, but several options are training lengths or adaptation methods; clean repair would require arbitrary step-count distractors.",option_type_mismatch
"In the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", how many fine-tuning steps does the efficient, progressive method use to achieve the target 2048k context window while training at within 256k training length?",1k fine-tuning steps.,(E),"In the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", how many fine-tuning steps does the efficient, progressive method use to achieve the target 2048k context window while training at within 256k training length?
(A) 128k-context fine-tuning steps.
(B) 256k training-length fine-tuning.
(C) one epoch of continued pretraining.
(D) 10k fine-tuning steps.
(E) 1k fine-tuning steps.",128k-context fine-tuning steps.,256k training-length fine-tuning.,one epoch of continued pretraining.,10k fine-tuning steps.,1k fine-tuning steps.,"[""10k fine-tuning steps."", ""256k training-length fine-tuning."", ""128k-context fine-tuning steps."", ""one epoch of continued pretraining.""]","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", the progressive method reaches 2048k using 1k fine-tuning steps.","Therefore, we introduce an efficient, progressive method that achieves the target 2048k with just 1k fine-tuning steps at within 256k training length.",LongRoPE,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: In the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", how many fine-tuning steps does the efficient, progressive method use to achieve the target 2048k context window while training at within 256k training length?
(A) 128k-context fine-tuning steps.
(B) 256k training-length fine-tuning.
(C) one epoch of continued pretraining.
(D) 10k fine-tuning steps.
(E) 1k fine-tuning steps.",arxiv,LongRoPE,154,arxiv/LongRoPE/154,"Stem asks for a number of fine-tuning steps, but several options are training lengths or non-step procedures; clean repair would require arbitrary step-count distractors.",option_type_mismatch
"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", what kind of models do both subject-driven generation and controllable generation essentially boil down to effectively finetuning without losing pretraining generative performance?",text-to-image diffusion models.,(E),"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", what kind of models do both subject-driven generation and controllable generation essentially boil down to effectively finetuning without losing pretraining generative performance?
(A) generative adversarial network architectures.
(B) text-to-image generation tasks.
(C) autoregressive text-to-image transformer models.
(D) text-guided control for high-fidelity image generation.
(E) text-to-image diffusion models.",generative adversarial network architectures.,text-to-image generation tasks.,autoregressive text-to-image transformer models.,text-guided control for high-fidelity image generation.,text-to-image diffusion models.,"[""text-to-image generation tasks."", ""text-guided control for high-fidelity image generation."", ""autoregressive text-to-image transformer models."", ""generative adversarial network architectures.""]","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", both subject-driven generation and controllable generation essentially boil down to effectively finetuning without losing pretraining generative performance in text-to-image diffusion models.",Both tasks essentially boil down to how to effectively finetune text-to-image diffusion models without losing the pretraining generative performance.,Introduction,"Question: Which city is the capital of France?
(A) Paris
(B) Berlin
(C) Madrid
(D) Rome
(E) Lisbon
Answer: (A)

Question: Which planet is the largest in the Solar System?
(A) Earth
(B) Jupiter
(C) Saturn
(D) Venus
(E) Mars
Answer: (B)

Question: What is the chemical formula for water?
(A) CO2
(B) O2
(C) H2O
(D) NaCl
(E) CH4
Answer: (C)

Question: What process do plants use to convert sunlight into chemical energy?
(A) Respiration
(B) Fermentation
(C) Evaporation
(D) Photosynthesis
(E) Condensation
Answer: (D)

Question: What is the primary function of red blood cells?
(A) Transmit nerve signals
(B) Produce bile
(C) Filter lymph
(D) Digest proteins
(E) Carry oxygen
Answer: (E)

Question: According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", what kind of models do both subject-driven generation and controllable generation essentially boil down to effectively finetuning without losing pretraining generative performance?
(A) generative adversarial network architectures.
(B) text-to-image generation tasks.
(C) autoregressive text-to-image transformer models.
(D) text-guided control for high-fidelity image generation.
(E) text-to-image diffusion models.",arxiv,OFT,3,arxiv/OFT/3,Stem asks for a kind of model but some distractors are tasks or controls rather than model types.,answer_type_mismatch
