probe,target,correct_label,formatted_question,option_a,option_b,option_c,option_d,option_e,distractors,fact,raw_knowledge_statement,section
"In the case report ""From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome"", the patient later developed septic cardiomyopathy with fluid overload during her ICU course after her dog-bite–associated sepsis worsened, and the patient was started on",continuous renal replacement therapy.,(C),"In the case report ""From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome"", the patient later developed septic cardiomyopathy with fluid overload during her ICU course after her dog-bite–associated sepsis worsened, and the patient was started on
(A) high-dose intravenous methylprednisolone.
(B) therapeutic plasma exchange.
(C) continuous renal replacement therapy.
(D) veno-venous extracorporeal membrane oxygenation.
(E) intermittent haemodialysis.",high-dose intravenous methylprednisolone.,therapeutic plasma exchange.,continuous renal replacement therapy.,veno-venous extracorporeal membrane oxygenation.,intermittent haemodialysis.,"[""intermittent haemodialysis."", ""therapeutic plasma exchange."", ""veno-venous extracorporeal membrane oxygenation."", ""high-dose intravenous methylprednisolone.""]","In the case report ""From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome"", the patient later developed septic cardiomyopathy with fluid overload during her ICU course after her dog-bite–associated sepsis worsened, and the patient was started on continuous renal replacement therapy.","She subsequently developed septic cardiomyopathy with fluid overload, requiring the initiation of continuous renal replacement therapy.",Case presentation
"According to the case report ""From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome"", among the initial haematology differential diagnoses for the previously healthy woman in her late 40s who developed pancytopenia and coagulopathy after a dog bite and rapidly progressive sepsis, the hyperinflammatory syndrome considered alongside acute leukaemia was",haemophagocytic lymphohistiocytosis.,(E),"According to the case report ""From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome"", among the initial haematology differential diagnoses for the previously healthy woman in her late 40s who developed pancytopenia and coagulopathy after a dog bite and rapidly progressive sepsis, the hyperinflammatory syndrome considered alongside acute leukaemia was
(A) catastrophic antiphospholipid syndrome.
(B) complement-mediated haemolytic uraemic syndrome.
(C) thrombotic thrombocytopenic purpura.
(D) disseminated intravascular coagulation.
(E) haemophagocytic lymphohistiocytosis.",catastrophic antiphospholipid syndrome.,complement-mediated haemolytic uraemic syndrome.,thrombotic thrombocytopenic purpura.,disseminated intravascular coagulation.,haemophagocytic lymphohistiocytosis.,"[""complement-mediated haemolytic uraemic syndrome."", ""disseminated intravascular coagulation."", ""thrombotic thrombocytopenic purpura."", ""catastrophic antiphospholipid syndrome.""]","According to the case report ""From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome"", among the initial haematology differential diagnoses for the previously healthy woman in her late 40s who developed pancytopenia and coagulopathy after a dog bite and rapidly progressive sepsis, the hyperinflammatory syndrome considered alongside acute leukaemia was haemophagocytic lymphohistiocytosis.",The differential diagnoses included acute leukaemia and haemophagocytic lymphohistiocytosis.,Case presentation
"In the case report ""From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome"", after 8 days of hospitalization for sepsis following a dog bite, the patient was transferred to the nephrology ward for",ongoing dialysis-dependent AKI and intravenous antibiotic therapy.,(A),"In the case report ""From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome"", after 8 days of hospitalization for sepsis following a dog bite, the patient was transferred to the nephrology ward for
(A) ongoing dialysis-dependent AKI and intravenous antibiotic therapy.
(B) management of disseminated intravascular coagulation and ongoing blood product support.
(C) evaluation of complement-mediated thrombotic microangiopathy and initiation of eculizumab therapy.
(D) continued treatment of septic cardiomyopathy with fluid restriction and inotropic support.
(E) renal biopsy for suspected rapidly progressive glomerulonephritis and high-dose corticosteroid therapy.",ongoing dialysis-dependent AKI and intravenous antibiotic therapy.,management of disseminated intravascular coagulation and ongoing blood product support.,evaluation of complement-mediated thrombotic microangiopathy and initiation of eculizumab therapy.,continued treatment of septic cardiomyopathy with fluid restriction and inotropic support.,renal biopsy for suspected rapidly progressive glomerulonephritis and high-dose corticosteroid therapy.,"[""management of disseminated intravascular coagulation and ongoing blood product support."", ""evaluation of complement-mediated thrombotic microangiopathy and initiation of eculizumab therapy."", ""continued treatment of septic cardiomyopathy with fluid restriction and inotropic support."", ""renal biopsy for suspected rapidly progressive glomerulonephritis and high-dose corticosteroid therapy.""]","In the case report ""From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome"", after 8 days of hospitalization for sepsis following a dog bite, the patient was transferred to the nephrology ward for ongoing dialysis-dependent AKI and intravenous antibiotic therapy.","After 8 days of hospitalisation, she was transferred to the nephrology ward for ongoing dialysis-dependent AKI and intravenous antibiotic therapy.",Case presentation
"In the case report ""From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome"", the patient developed microangiopathic haemolytic anaemia and thrombocytopenia after sepsis, and ADAMTS13 activity was later reported as 43.5%, which argued against thrombotic thrombocytopenic purpura (TTP), with TTP typically presenting with ADAMTS13 activity",below 10%.,(C),"In the case report ""From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome"", the patient developed microangiopathic haemolytic anaemia and thrombocytopenia after sepsis, and ADAMTS13 activity was later reported as 43.5%, which argued against thrombotic thrombocytopenic purpura (TTP), with TTP typically presenting with ADAMTS13 activity
(A) in the 40%–50% range.
(B) above 10% with low C3/C4 levels.
(C) below 10%.
(D) within normal limits.
(E) below 30%.",in the 40%–50% range.,above 10% with low C3/C4 levels.,below 10%.,within normal limits.,below 30%.,"[""below 30%."", ""in the 40%\u201350% range."", ""within normal limits."", ""above 10% with low C3/C4 levels.""]","In the case report ""From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome"", the patient developed microangiopathic haemolytic anaemia and thrombocytopenia after sepsis, and ADAMTS13 activity was later reported as 43.5%, which argued against thrombotic thrombocytopenic purpura (TTP), with TTP typically presenting with ADAMTS13 activity below 10%.","ADAMTS13 activity was reported shortly after, at 43.5%, effectively ruling out thrombotic thrombocytopenic purpura (TTP), as TTP typically presents with activity below 10%.",Case presentation
"According to the case report ""From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome"", when she was transferred to the nephrology ward after 8 days of hospitalization and was clinically stable but anuric, with generalised oedema and multiple haematomas, her mental status was",alert and oriented.,(A),"According to the case report ""From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome"", when she was transferred to the nephrology ward after 8 days of hospitalization and was clinically stable but anuric, with generalised oedema and multiple haematomas, her mental status was
(A) alert and oriented.
(B) confused and disoriented.
(C) delirious with fluctuating attention.
(D) somnolent but arousable.
(E) obtunded and minimally responsive.",alert and oriented.,confused and disoriented.,delirious with fluctuating attention.,somnolent but arousable.,obtunded and minimally responsive.,"[""confused and disoriented."", ""somnolent but arousable."", ""obtunded and minimally responsive."", ""delirious with fluctuating attention.""]","According to the case report ""From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome"", when she was transferred to the nephrology ward after 8 days of hospitalization and was clinically stable but anuric, with generalised oedema and multiple haematomas, her mental status was alert and oriented.","On transfer, the patient was clinically stable but anuric, with generalised oedema and multiple haematomas, yet alert and oriented.",Case presentation
"According to the case report ""From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome"", once the thrombocyte count had increased to 77×10^9/L and a kidney biopsy was performed, the biopsy findings of severe acute tubular necrosis, ischaemic glomeruli with fibrin thrombi, and scattered crescent formation were considered consistent with",TMA.,(A),"According to the case report ""From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome"", once the thrombocyte count had increased to 77×10^9/L and a kidney biopsy was performed, the biopsy findings of severe acute tubular necrosis, ischaemic glomeruli with fibrin thrombi, and scattered crescent formation were considered consistent with
(A) TMA.
(B) acute interstitial nephritis
(C) C3 glomerulopathy
(D) thrombotic thrombocytopenic purpura (TTP)
(E) microangiopathic haemolytic anaemia (MAHA)",TMA.,acute interstitial nephritis,C3 glomerulopathy,thrombotic thrombocytopenic purpura (TTP),microangiopathic haemolytic anaemia (MAHA),"[""thrombotic thrombocytopenic purpura (TTP)"", ""microangiopathic haemolytic anaemia (MAHA)"", ""acute interstitial nephritis"", ""C3 glomerulopathy""]","According to the case report ""From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome"", once the thrombocyte count had increased to 77×10^9/L and a kidney biopsy was performed, the biopsy findings of severe acute tubular necrosis, ischaemic glomeruli with fibrin thrombi, and scattered crescent formation were considered consistent with TMA.","Once the thrombocyte count had increased to 77×10⁹/L, a kidney biopsy was performed showing severe acute tubular necrosis, ischaemic glomeruli with fibrin thrombi and scattered crescent formation, consistent with TMA.",Case presentation
"According to the case report ""From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome"", after the patient developed evidence of thrombotic microangiopathy following sepsis, plasma exchange (PEX) was started as bridging therapy while laboratory results were pending prior to the first dose of",eculizumab,(E),"According to the case report ""From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome"", after the patient developed evidence of thrombotic microangiopathy following sepsis, plasma exchange (PEX) was started as bridging therapy while laboratory results were pending prior to the first dose of
(A) intravenous immunoglobulin
(B) caplacizumab
(C) rituximab
(D) ravulizumab
(E) eculizumab",intravenous immunoglobulin,caplacizumab,rituximab,ravulizumab,eculizumab,"[""caplacizumab"", ""ravulizumab"", ""rituximab"", ""intravenous immunoglobulin""]","According to the case report ""From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome"", after the patient developed evidence of thrombotic microangiopathy following sepsis, plasma exchange (PEX) was started as bridging therapy while laboratory results were pending prior to the first dose of eculizumab","While awaiting these results, plasma exchange (PEX) was initiated as bridging therapy prior to the first dose of eculizumab.",Case presentation
"In the case report ""From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome"", after the patient underwent three sessions of plasma exchange with Octaplas and before blood was sampled for extended complement testing to rule out hereditary complement-mediated TMA, the single induction dose was",eculizumab.,(E),"In the case report ""From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome"", after the patient underwent three sessions of plasma exchange with Octaplas and before blood was sampled for extended complement testing to rule out hereditary complement-mediated TMA, the single induction dose was
(A) rituximab.
(B) caplacizumab.
(C) ravulizumab.
(D) Octaplas.
(E) eculizumab.",rituximab.,caplacizumab.,ravulizumab.,Octaplas.,eculizumab.,"[""ravulizumab."", ""caplacizumab."", ""rituximab."", ""Octaplas.""]","In the case report ""From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome"", after the patient underwent three sessions of plasma exchange with Octaplas and before blood was sampled for extended complement testing to rule out hereditary complement-mediated TMA, the single induction dose was eculizumab.","Owing to logistics and patient safety considerations, three sessions of PEX with Octaplas were performed and one induction dose of eculizumab was given before sampling.",Case presentation
"According to the case report ""From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome"", the patient continued complement blockade because of the severity of her disease, with reassessment for stopping complement blockade during follow-up planned when",renal function stabilises.,(E),"According to the case report ""From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome"", the patient continued complement blockade because of the severity of her disease, with reassessment for stopping complement blockade during follow-up planned when
(A) blood pressure is consistently controlled.
(B) adequate urine output is consistently maintained.
(C) the 4-month post-induction eculizumab course is completed.
(D) the formal written complement genetic report is available.
(E) renal function stabilises.",blood pressure is consistently controlled.,adequate urine output is consistently maintained.,the 4-month post-induction eculizumab course is completed.,the formal written complement genetic report is available.,renal function stabilises.,"[""the formal written complement genetic report is available."", ""adequate urine output is consistently maintained."", ""the 4-month post-induction eculizumab course is completed."", ""blood pressure is consistently controlled.""]","According to the case report ""From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome"", the patient continued complement blockade because of the severity of her disease, with reassessment for stopping complement blockade during follow-up planned when renal function stabilises.","Based on this information, complement blockade is being continued due to the severity of her disease, with planned reassessment for discontinuation if renal function stabilises.",Outcome and follow-up
"In the case report ""From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome"", the authors discuss that when an adult presents with microangiopathic haemolytic anaemia (MAHA), thrombocytopenia, and acute kidney injury (AKI), the initial priority in the workup before considering other causes of TMA is to",exclude thrombotic TTP,(A),"In the case report ""From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome"", the authors discuss that when an adult presents with microangiopathic haemolytic anaemia (MAHA), thrombocytopenia, and acute kidney injury (AKI), the initial priority in the workup before considering other causes of TMA is to
(A) exclude thrombotic TTP
(B) identify Shiga toxin-associated haemolytic uraemic syndrome with stool testing
(C) rule out disseminated intravascular coagulation with coagulation studies
(D) perform a renal biopsy to confirm thrombotic microangiopathy
(E) measure complement C3/C4 levels to diagnose complement-mediated HUS",exclude thrombotic TTP,identify Shiga toxin-associated haemolytic uraemic syndrome with stool testing,rule out disseminated intravascular coagulation with coagulation studies,perform a renal biopsy to confirm thrombotic microangiopathy,measure complement C3/C4 levels to diagnose complement-mediated HUS,"[""identify Shiga toxin-associated haemolytic uraemic syndrome with stool testing"", ""measure complement C3/C4 levels to diagnose complement-mediated HUS"", ""perform a renal biopsy to confirm thrombotic microangiopathy"", ""rule out disseminated intravascular coagulation with coagulation studies""]","In the case report ""From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome"", the authors discuss that when an adult presents with microangiopathic haemolytic anaemia (MAHA), thrombocytopenia, and acute kidney injury (AKI), the initial priority in the workup before considering other causes of TMA is to exclude thrombotic TTP","The initial priority in adults presenting with MAHA, thrombocytopenia and AKI is to exclude thrombotic TTP, a condition defined by severe ADAMTS13 deficiency (<10%).",Outcome and follow-up
"According to the case report ""From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome"", the patient's diagnosis of complement-mediated haemolytic uraemic syndrome was further supported by a negative STEC PCR result and by her rapid clinical improvement after starting",eculizumab therapy.,(B),"According to the case report ""From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome"", the patient's diagnosis of complement-mediated haemolytic uraemic syndrome was further supported by a negative STEC PCR result and by her rapid clinical improvement after starting
(A) haemodialysis treatment.
(B) eculizumab therapy.
(C) high-dose corticosteroid therapy.
(D) therapeutic plasma exchange.
(E) broad-spectrum antibiotic therapy.",haemodialysis treatment.,eculizumab therapy.,high-dose corticosteroid therapy.,therapeutic plasma exchange.,broad-spectrum antibiotic therapy.,"[""therapeutic plasma exchange."", ""haemodialysis treatment."", ""high-dose corticosteroid therapy."", ""broad-spectrum antibiotic therapy.""]","According to the case report ""From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome"", the patient's diagnosis of complement-mediated haemolytic uraemic syndrome was further supported by a negative STEC PCR result and by her rapid clinical improvement after starting eculizumab therapy.",The diagnosis was further strengthened by the exclusion of STEC by PCR and her rapid clinical improvement after initiating eculizumab therapy.,Outcome and follow-up
"According to the case report ""From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome"", the patient’s insignificant medical history made a pre-existing complement defect requiring a ""second hit"" less likely, and her history supported",infection-triggered CM-HUS.,(A),"According to the case report ""From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome"", the patient’s insignificant medical history made a pre-existing complement defect requiring a ""second hit"" less likely, and her history supported
(A) infection-triggered CM-HUS.
(B) thrombotic thrombocytopenic purpura.
(C) Shiga toxin-producing Escherichia coli haemolytic uraemic syndrome.
(D) sepsis-associated disseminated intravascular coagulation.
(E) a pre-existing complement defect requiring a ‘second hit’.",infection-triggered CM-HUS.,thrombotic thrombocytopenic purpura.,Shiga toxin-producing Escherichia coli haemolytic uraemic syndrome.,sepsis-associated disseminated intravascular coagulation.,a pre-existing complement defect requiring a ‘second hit’.,"[""a pre-existing complement defect requiring a \u2018second hit\u2019."", ""Shiga toxin-producing Escherichia coli haemolytic uraemic syndrome."", ""thrombotic thrombocytopenic purpura."", ""sepsis-associated disseminated intravascular coagulation.""]","According to the case report ""From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome"", the patient’s insignificant medical history made a pre-existing complement defect requiring a ""second hit"" less likely, and her history supported infection-triggered CM-HUS.",Her insignificant medical history weakens the hypothesis of a pre-existing complement defect requiring a ‘second hit’ and supports infection-triggered CM-HUS.,Outcome and follow-up
