target,probe,fact,question,text_sentences,prior_knowledge,question_explanation,inference_explanation,answer
 recall loss,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors classify a domain as math-related if over $10\%$ of its pages were collected as math in the first iteration; if that domain-level threshold were raised to $50\%$, the error most likely to increase would be","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors classify a domain as math-related if over $10\%$ of its pages were collected as math in the first iteration; if that domain-level threshold were raised to $50\%$, the error most likely to increase would be recall loss","If the domain-level threshold for math-related classification were raised from 10% to 50%, which error would most likely increase?","['Domains where over 10\\% of the web pages have been collected are classified as math-related (e.g., \\url{mathoverflow.net}).']",Threshold effects on classification: higher thresholds increase false negatives.,It asks which error grows with a stricter threshold for domain selection.,"A higher threshold discards more truly math-related domains, increasing recall loss (false negatives).",recall loss
 degrade,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', if code tokens had been omitted during the $500\,$B-token training, HumanEval performance would most likely","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', if code tokens had been omitted during the $500\,$B-token training, HumanEval performance would most likely degrade","If code tokens had been omitted during the 500B-token training, what would most likely happen to HumanEval performance?","['Additionally, by including code tokens for continual training, DeepSeekMath-Base 7B effectively maintains the performance of DeepSeek-Coder-Base-v1.5 on the two coding benchmarks.']",Continual exposure maintains domain performance; removing exposure leads to forgetting.,It asks the likely effect on coding ability without continued code data.,Maintained performance relies on continued code; omitting it would degrade coding scores.,degrade
 transfer of reasoning,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', when Group Relative Policy Optimization (GRPO) was applied using only English instruction‑tuning data but the model still showed gains on the Chinese CMATH benchmark, the most plausible explanation for those cross‑lingual improvements is transfer of reasoning.","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', when Group Relative Policy Optimization (GRPO) was applied using only English instruction‑tuning data but the model still showed gains on the Chinese CMATH benchmark, the most plausible explanation for those cross‑lingual improvements is transfer of reasoning. transfer of reasoning",What mechanism most plausibly explains gains on Chinese CMATH from English-only GRPO?,"['By solely using a subset of English instruction tuning data, GRPO obtains a substantial improvement over the strong DeepSeekMath-Instruct, including both in-domain (GSM8K: 82.9\\% $\\rightarrow$ 88.2\\%, MATH: 46.8\\% $\\rightarrow$ 51.7\\%) and out-of-domain mathematical tasks (e.g., CMATH: 84.6\\% $\\rightarrow$ 88.8\\%) during the reinforcement learning phase.']",Transfer learning; language-agnostic reasoning skills can generalize across languages.,It asks why training on English could help Chinese tasks.,"RL refines general reasoning strategies that transfer across languages, improving Chinese tasks.",transfer of reasoning
 reasoning heuristics,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the observed out-of-domain reinforcement learning (RL) gains imply that the method reinforced a general capability rather than dataset-specific patterns, namely","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the observed out-of-domain reinforcement learning (RL) gains imply that the method reinforced a general capability rather than dataset-specific patterns, namely reasoning heuristics",Observed out-of-domain RL gains imply the method reinforced what kind of capability rather than dataset-specific patterns?,['we observe enhancements in the out-of-domain performance during the reinforcement learning process.'],Generalization indicates learning of broad strategies over memorized specifics.,It asks what was reinforced if gains transfer out-of-domain.,"Transfer suggests reinforcement of general reasoning heuristics, not narrow memorization.",reasoning heuristics
 algorithmic decomposition,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the inductive bias transferred from code pretraining that most plausibly explains improved step-by-step mathematical reasoning is","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the inductive bias transferred from code pretraining that most plausibly explains improved step-by-step mathematical reasoning is algorithmic decomposition",What inductive bias transferred from code pretraining most plausibly explains improved step-by-step mathematical reasoning?,"[""We share our findings from math training experiments. Code training prior to math training improves models' ability to solve mathematical problems both with and without tool use."", ""We evaluate DeepSeekMath-Base's performance of solving mathematical problems using few-shot chain-of-thought prompting \\citep{cot}.""]",How code training imparts algorithmic/structural inductive biases that support decomposition and planning.,It asks for the kind of bias from coding that aids multi-step math reasoning.,"Code emphasizes structured, decomposed problem solving, which aligns with step-by-step reasoning.",algorithmic decomposition
 rationale supervision,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors indicate that the type of supervision most likely to reduce the need for large self-consistency sampling at inference is","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors indicate that the type of supervision most likely to reduce the need for large self-consistency sampling at inference is rationale supervision",Which type of supervision could most reduce the need for large self-consistency sampling at inference?,"['We also conduct extensive experiments, e.g., online v.s. offline training, outcome v.s. process supervision, single-turn v.s. iterative reinforcement learning, and so on to deeply investigate the essential elements of this paradigm.', 'Self-consistency over 64 samples from DeepSeekMath~7B achieves 60.9\\% on MATH.']","Process/rationale supervision can improve intermediate reasoning reliability, reducing need for ensembling.",It asks which training signal would lessen dependence on many samples at inference.,"Training on rationales stabilizes the reasoning process, making single samples more reliable.",rationale supervision
 Chinese reasoning gains,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors note that the DeepSeekMath Corpus is multilingual (predominantly English and Chinese) and state that if the corpus had been English-only like prior work, the reported advantage most likely to be reduced would be","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors note that the DeepSeekMath Corpus is multilingual (predominantly English and Chinese) and state that if the corpus had been English-only like prior work, the reported advantage most likely to be reduced would be Chinese reasoning gains","If the corpus had been English-only like prior work, which reported advantage would most likely be reduced?","['The DeepSeekMath~Corpus encompasses data in multiple languages, predominantly featuring English and Chinese as the two most represented languages.', 'In contrast, existing mathematical corpora, which are primarily English-centric, show limited improvement and may even hinder performance in Chinese mathematical reasoning.']","Cross-lingual transfer, impact of multilingual data on non-English benchmarks.",It asks what benefit would diminish without multilingual data.,Multilingual coverage enabled Chinese gains; English-only data would reduce those gains.,Chinese reasoning gains
 downweight arXiv,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', given that arXiv training brought no notable improvements, the data-weighting adjustment I would make in future math pretraining is to","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', given that arXiv training brought no notable improvements, the data-weighting adjustment I would make in future math pretraining is to downweight arXiv","Given that arXiv training brought no notable improvements, what data-weighting adjustment would you make in future math pretraining?","['Although training on arXiv papers is common, especially in many math-related papers, it brings no notable improvements on all mathematical benchmarks adopted in this paper.']",Curriculum/data-weighting strategies; deprioritizing low-yield sources.,It asks how to adjust data weights based on low observed utility.,Sources without gains should be downweighted to allocate budget to higher-yield data.,downweight arXiv
 data quality,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the fact that DeepSeekMath-Base $7$B achieves comparable performance with Minerva $540$B indicates that model capacity is not the primary limiting factor for mathematical reasoning; rather, the main limitation is","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the fact that DeepSeekMath-Base $7$B achieves comparable performance with Minerva $540$B indicates that model capacity is not the primary limiting factor for mathematical reasoning; rather, the main limitation is data quality",Matching Minerva 540B with a 7B model suggests capacity is not the primary limiter; what is?,"['Our pre-trained base model DeepSeekMath-Base 7B achieves comparable performance with Minerva 540B \\citep{minerva}, indicating the number of parameters is not the only key factor in mathematical reasoning capability.', 'A smaller model pre-trained on high-quality data could achieve strong performance as well.']",Model performance depends on both capacity and data quality/coverage.,"It asks what factor, other than size, explains strong performance.","If small models match giants with better data, data quality is the primary limiting factor.",data quality
 syntax sensitivity,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', in formal theorem proving (informal-to-formal proof generation, e.g., miniF2F with Isabelle), the most critical learned capacity for mapping informal statements to formal proofs is","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', in formal theorem proving (informal-to-formal proof generation, e.g., miniF2F with Isabelle), the most critical learned capacity for mapping informal statements to formal proofs is syntax sensitivity","For formal theorem proving, which learned capacity is most critical for mapping informal statements to formal proofs?","['We evaluate DeepSeekMath-Base 7B on the task of informal-to-formal proving', 'Additionally, by including code tokens for continual training, DeepSeekMath-Base 7B effectively maintains the performance of DeepSeek-Coder-Base-v1.5']",Formal languages require precise syntax handling; code training builds syntax awareness.,It asks which capability supports formal proof generation.,Formal proofs hinge on strict syntax; sensitivity to syntax is essential and fostered by code exposure.,syntax sensitivity
 multilingual coverage,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors emphasize that the DeepSeekMath Corpus mined from Common Crawl is large, high-quality, and multilingual (predominantly English and Chinese). If the Common Crawl math component were replaced by arXiv-only sources, which reported corpus property — beyond raw performance or scale — would most likely be lost?","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors emphasize that the DeepSeekMath Corpus mined from Common Crawl is large, high-quality, and multilingual (predominantly English and Chinese). If the Common Crawl math component were replaced by arXiv-only sources, which reported corpus property — beyond raw performance or scale — would most likely be lost? multilingual coverage","If replacing Common Crawl math with arXiv-only sources, which reported property of the corpus would most likely be lost beyond raw performance?","['The DeepSeekMath~Corpus encompasses data in multiple languages', 'In contrast, existing mathematical corpora, which are primarily English-centric']",arXiv is predominantly English; shifting to it reduces multilinguality.,It asks what non-performance attribute would be sacrificed.,An arXiv-only corpus would lack multilingual breadth present in Common Crawl mining.,multilingual coverage
 the batch mean return,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors note that relative to PPO, using a group-based baseline in GRPO is equivalent to subtracting from the returns within a batch $\{r_i\}_{i=1}^N$ their mean $\bar r = \frac{1}{N}\sum_{i=1}^N r_i$, i.e., subtracting","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors note that relative to PPO, using a group-based baseline in GRPO is equivalent to subtracting from the returns within a batch $\{r_i\}_{i=1}^N$ their mean $\bar r = \frac{1}{N}\sum_{i=1}^N r_i$, i.e., subtracting the batch mean return","Relative to PPO, subtracting a group-based baseline in GRPO is equivalent to subtracting what quantity from returns within a batch?","['GRPO foregoes the critic model, instead estimating the baseline from group scores']",Advantage estimation; baselines as batch statistics in policy gradient.,It asks for the batch statistic used as an implicit baseline.,Group-score baseline corresponds to using a batch mean return as a baseline.,batch mean return
 lower variance,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors explain that under GRPO outcome supervision—where the per-token advantage is set to the normalized group reward $\hat{A}_{i,t}=\widetilde{r}_i$ for each sampled output in a group—increasing the group size $G$ primarily affects the statistical property of these advantage estimates $\hat{A}_{i,t}$ by yielding","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors explain that under GRPO outcome supervision—where the per-token advantage is set to the normalized group reward $\hat{A}_{i,t}=\widetilde{r}_i$ for each sampled output in a group—increasing the group size $G$ primarily affects the statistical property of these advantage estimates $\hat{A}_{i,t}$ by yielding lower variance","Under GRPO outcome supervision, increasing the group size G primarily affects which statistical property of the advantage estimates?","['uses the average reward of multiple sampled outputs, produced in response to the same question, as the baseline.', 'Subsequently, these rewards are normalized by subtracting the group average and dividing by the group standard deviation.', 'during RL training, the value function is treated as a baseline in the calculation of the advantage for variance reduction.']","Larger sample sizes yield more stable estimates of means/standard deviations, reducing estimator variance.",This asks what statistical effect comes from using more samples to compute the group baseline and normalization.,"With more samples per question, mean/std estimates stabilize, decreasing the variance of normalized advantages.",lower variance
 diminishing returns,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors stop iterative data mining after four iterations because in the fourth iteration nearly $98\%$ of the data had already been collected in the third iteration, indicating that stopping would be justified once the marginal benefits showed","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors stop iterative data mining after four iterations because in the fourth iteration nearly $98\%$ of the data had already been collected in the third iteration, indicating that stopping would be justified once the marginal benefits showed diminishing returns","If the iterative data mining had continued past iteration four, what marginal-benefit trend would justify stopping?","['In the fourth iteration, we notice that nearly 98\\% of the data has already been collected in the third iteration, so we decide to cease data collection.']",Diminishing returns as a stopping criterion in iterative processes.,It asks for the underlying principle behind their stopping.,A 98% overlap indicates marginal gains have diminished sufficiently to stop.,diminishing returns
 Online RFT,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', under the unified paradigm for training methods, when reward model scores are noisy but rule-based answer correctness remains reliable, which method would maintain safer credit assignment?","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', under the unified paradigm for training methods, when reward model scores are noisy but rule-based answer correctness remains reliable, which method would maintain safer credit assignment? Online RFT","If the reward model's scores are noisy but rule-based answer correctness remains reliable, which method under the unified paradigm would maintain safer credit assignment: GRPO or Online RFT?","[""We divide the reward function as `Rule' and `Model' in our experiments."", 'Rule refers to judging the quality of a response based on the correctness of the answer, and Model denotes that we train a reward model to score each response.', 'GRPO uniquely adjusts its gradient coefficient based on the reward value provided by the reward model.', 'In contrast, Online RFT lacks this feature; it does not penalize incorrect responses and uniformly reinforces all responses with correct answers at the same level of intensity.']",Noisy reward models can misguide gradient updates; relying on verifiable rule signals reduces risk; differential weighting amplifies noise impact.,This asks which training approach is more robust when the reward model is unreliable but rule-based correctness is trustworthy.,"Because GRPO depends on learned reward magnitudes, noise propagates into gradient coefficients; Online RFT uses rule correctness and does not penalize mistakes, making it safer under reward noise.",Online RFT
 shared reasoning patterns,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', math pre-training led to improvements on non-mathematical benchmarks (e.g., MMLU and BBH); given these observations, the most plausible transfer mechanism explaining the observed non-math gains is","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', math pre-training led to improvements on non-mathematical benchmarks (e.g., MMLU and BBH); given these observations, the most plausible transfer mechanism explaining the observed non-math gains is shared reasoning patterns","Given that math pretraining improved MMLU and BBH, what transfer mechanism most plausibly explains these non-math gains?","[""we observe the math training also improves model capability on MMLU \\citep{mmlu} and BBH benchmarks \\citep{bbh}, indicating it does not only enhance the model's mathematical abilities but also amplifies general reasoning capabilities.""]",Transfer of reasoning skills across tasks; shared cognitive processes between math and general reasoning.,It asks why math pretraining helps broader reasoning benchmarks.,"Math fosters structured, multi-step reasoning patterns that transfer to general reasoning tasks.",shared reasoning patterns
 generalization,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', compared to training on smaller corpora that are repeatedly cycled for many epochs, training on a larger, more unique corpus primarily improves the model's training dynamics in terms of","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', compared to training on smaller corpora that are repeatedly cycled for many epochs, training on a larger, more unique corpus primarily improves the model's training dynamics in terms of generalization","Compared to smaller corpora repeated for many epochs, what training dynamic does a larger unique corpus primarily improve?","['The DeepSeekMath~Corpus is several times larger than existing mathematical corpora.', 'In contrast, the baseline corpora are much smaller, and have already been repeated multiple rounds during training, with the resulting model performance quickly reaching a plateau.']",Unique data reduces overfitting and improves generalization versus heavy repetition.,"It asks what larger, less-repeated data mainly enhances.",Less repetition with more diversity improves generalization and slows overfitting/plateauing.,generalization
 false positives,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors describe a decontamination policy that removes any text segment containing a $10$-gram string that matches exactly with any sub-string from evaluation benchmarks, and state that for benchmark texts shorter than $10$-grams but with at least $3$-grams they employ exact matching; when exact matching is applied even to such very short ($3$-gram) benchmark snippets during decontamination, the error type most likely to increase is","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors describe a decontamination policy that removes any text segment containing a $10$-gram string that matches exactly with any sub-string from evaluation benchmarks, and state that for benchmark texts shorter than $10$-grams but with at least $3$-grams they employ exact matching; when exact matching is applied even to such very short ($3$-gram) benchmark snippets during decontamination, the error type most likely to increase is false positives","When exact matching is applied even to very short (3-gram) benchmark snippets, which error type is most likely to increase in decontamination?","['For benchmark texts that are shorter than 10 grams but have at least 3 grams, we employ exact matching to filter out contaminated web pages.']",Short n-grams are common and ambiguous; exact matching can wrongly flag clean data.,It asks which decontamination error grows when matching very short strings.,"Short sequences appear frequently in benign data, increasing false positives.",false positives
 the two-stage code$\rightarrow$math schedule,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', for a $1.3\text{B}$ model aiming to maximize mathematical reasoning without tool use (non-tool mathematical reasoning), the preferable training schedule between a one-stage mixed code$+$math approach and a staged approach is","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', for a $1.3\text{B}$ model aiming to maximize mathematical reasoning without tool use (non-tool mathematical reasoning), the preferable training schedule between a one-stage mixed code$+$math approach and a staged approach is the two-stage code$\rightarrow$math schedule","For a 1.3B model aiming to maximize non-tool mathematical reasoning, which training schedule is preferable: one-stage mixed code+math or two-stage code→math?","['Code training also improves mathematical reasoning without tool use.', 'Math training in the second stage yields further improvements.', 'However, combining code tokens and math tokens for one-stage training compromises mathematical reasoning without tool use.']",Curriculum effects: staged specialization can be more effective than multitask mixing when capacity is limited.,This evaluates which training schedule better improves reasoning without tools in a small model.,"Two-stage training first builds coding-induced structure, then specializes in math; the text notes one-stage mixing compromises non-tool reasoning at this scale.",Two-stage code→math
