,question_id,prediction,ground_truth,n_icl
141,OFT/chapter_13/q14,C,C,5
142,BOFT/chapter_12/q2,C,C,5
143,BOFT/chapter_12/q16,D,D,5
144,GRPO/chapter_14/q10,B,C,5
145,DPO/chapter_15/q0,B,A,5
146,DPO/chapter_15/q20,B,D,5
147,BOFT/chapter_12/q8,B,B,5
148,QLoRA/chapter_12/q9,B,B,5
149,QLoRA/chapter_12/q13,B,B,5
150,1_58/chapter_14/q2,C,C,5
151,OFT/chapter_13/q5,A,B,5
152,1_58/chapter_14/q9,B,B,5
153,QLoRA/chapter_12/q2,C,C,5
154,OFT/chapter_13/q12,D,A,5
155,BOFT/chapter_12/q4,B,A,5
156,DPO/chapter_15/q3,D,D,5
157,BOFT/chapter_12/q0,A,A,5
158,GRPO/chapter_14/q11,C,D,5
159,GRPO/chapter_14/q15,B,D,5
160,1_58/chapter_14/q3,D,D,5
161,OFT/chapter_13/q10,B,C,5
162,OFT/chapter_13/q17,B,B,5
163,OFT/chapter_13/q3,B,D,5
164,DPO/chapter_15/q4,B,A,5
165,BOFT/chapter_12/q1,B,B,5
166,DPO/chapter_15/q9,B,B,5
167,1_58/chapter_14/q11,D,D,5
168,GRPO/chapter_14/q13,B,B,5
169,QLoRA/chapter_12/q12,B,A,5
170,OFT/chapter_13/q1,B,B,5
171,QLoRA/chapter_12/q17,B,B,5
172,1_58/chapter_14/q13,B,B,5
173,1_58/chapter_14/q0,B,A,5
174,DPO/chapter_15/q14,C,C,5
175,DPO/chapter_15/q5,B,B,5
176,QLoRA/chapter_12/q19,D,D,5
177,1_58/chapter_14/q6,C,C,5
178,1_58/chapter_14/q18,B,C,5
179,BOFT/chapter_12/q7,B,B,5
180,DPO/chapter_15/q8,B,A,5
181,1_58/chapter_14/q5,B,B,5
182,QLoRA/chapter_12/q5,D,B,5
183,1_58/chapter_14/q19,B,D,5
184,GRPO/chapter_14/q1,B,B,5
185,GRPO/chapter_14/q3,B,D,5
186,1_58/chapter_14/q17,B,B,5
187,BOFT/chapter_12/q13,C,C,5
188,BOFT/chapter_12/q6,B,B,5
189,DPO/chapter_15/q13,B,B,5
190,DPO/chapter_15/q1,B,B,5
191,GRPO/chapter_14/q12,B,A,5
192,BOFT/chapter_12/q17,D,D,5
193,GRPO/chapter_14/q0,A,A,5
194,BOFT/chapter_12/q5,B,B,5
195,OFT/chapter_13/q16,D,A,5
196,QLoRA/chapter_12/q7,D,D,5
197,GRPO/chapter_14/q7,B,D,5
198,BOFT/chapter_12/q9,B,B,5
199,DPO/chapter_15/q19,B,C,5
200,1_58/chapter_14/q7,D,D,5
201,1_58/chapter_14/q14,B,C,5
202,OFT/chapter_13/q15,B,D,5
203,DPO/chapter_15/q7,D,D,5
204,OFT/chapter_13/q6,C,C,5
205,QLoRA/chapter_12/q4,A,A,5
206,QLoRA/chapter_12/q11,D,D,5
207,OFT/chapter_13/q13,B,B,5
208,GRPO/chapter_14/q4,B,A,5
209,BOFT/chapter_12/q18,D,D,5
210,OFT/chapter_13/q19,B,D,5
211,QLoRA/chapter_12/q16,B,A,5
212,OFT/chapter_13/q8,B,A,5
213,QLoRA/chapter_12/q0,B,A,5
214,DPO/chapter_15/q10,B,C,5
215,1_58/chapter_14/q10,C,C,5
216,QLoRA/chapter_12/q3,D,D,5
217,OFT/chapter_13/q18,C,C,5
218,OFT/chapter_13/q11,B,D,5
219,DPO/chapter_15/q16,B,A,5
220,DPO/chapter_15/q15,C,D,5
221,QLoRA/chapter_12/q8,A,A,5
222,QLoRA/chapter_12/q6,B,C,5
223,BOFT/chapter_12/q14,B,C,5
224,BOFT/chapter_12/q15,B,D,5
225,DPO/chapter_15/q12,B,A,5
226,BOFT/chapter_12/q3,D,D,5
227,QLoRA/chapter_12/q14,C,C,5
228,GRPO/chapter_14/q14,C,C,5
229,GRPO/chapter_14/q16,B,A,5
230,GRPO/chapter_14/q6,C,C,5
231,OFT/chapter_13/q7,B,D,5
232,DPO/chapter_15/q6,B,C,5
233,DPO/chapter_15/q2,B,C,5
234,1_58/chapter_14/q8,B,A,5
235,GRPO/chapter_14/q17,B,B,5
236,1_58/chapter_14/q1,B,B,5
237,GRPO/chapter_14/q18,B,C,10
238,BOFT/chapter_12/q12,C,C,10
239,1_58/chapter_14/q15,B,D,10
240,BOFT/chapter_12/q11,D,C,10
241,GRPO/chapter_14/q5,B,B,10
242,1_58/chapter_14/q16,C,A,10
243,1_58/chapter_14/q12,C,A,10
244,DPO/chapter_15/q17,C,B,10
245,GRPO/chapter_14/q9,B,B,10
246,OFT/chapter_13/q9,A,B,10
247,QLoRA/chapter_12/q18,C,C,10
248,BOFT/chapter_12/q19,D,D,10
249,1_58/chapter_14/q4,A,A,10
250,OFT/chapter_13/q0,B,A,10
251,QLoRA/chapter_12/q10,C,C,10
252,OFT/chapter_13/q14,C,C,10
253,BOFT/chapter_12/q2,C,C,10
254,BOFT/chapter_12/q16,D,D,10
255,GRPO/chapter_14/q10,B,C,10
256,DPO/chapter_15/q0,B,A,10
257,DPO/chapter_15/q20,B,D,10
258,BOFT/chapter_12/q8,B,B,10
259,QLoRA/chapter_12/q9,B,B,10
260,QLoRA/chapter_12/q13,B,B,10
261,1_58/chapter_14/q2,C,C,10
262,OFT/chapter_13/q5,A,B,10
263,1_58/chapter_14/q9,B,B,10
264,QLoRA/chapter_12/q2,C,C,10
265,OFT/chapter_13/q12,B,A,10
266,BOFT/chapter_12/q4,B,A,10
267,DPO/chapter_15/q3,D,D,10
268,BOFT/chapter_12/q0,A,A,10
269,GRPO/chapter_14/q11,C,D,10
270,GRPO/chapter_14/q15,B,D,10
271,1_58/chapter_14/q3,D,D,10
272,OFT/chapter_13/q10,B,C,10
273,OFT/chapter_13/q17,B,B,10
274,OFT/chapter_13/q3,C,D,10
275,DPO/chapter_15/q4,A,A,10
276,BOFT/chapter_12/q1,B,B,10
277,DPO/chapter_15/q9,B,B,10
278,1_58/chapter_14/q11,D,D,10
279,GRPO/chapter_14/q13,B,B,10
280,QLoRA/chapter_12/q12,B,A,10
281,OFT/chapter_13/q1,B,B,10
282,QLoRA/chapter_12/q17,B,B,10
283,1_58/chapter_14/q13,B,B,10
284,1_58/chapter_14/q0,B,A,10
285,DPO/chapter_15/q14,C,C,10
286,DPO/chapter_15/q5,B,B,10
287,QLoRA/chapter_12/q19,D,D,10
288,1_58/chapter_14/q6,C,C,10
289,1_58/chapter_14/q18,B,C,10
290,BOFT/chapter_12/q7,B,B,10
291,DPO/chapter_15/q8,B,A,10
292,1_58/chapter_14/q5,B,B,10
293,QLoRA/chapter_12/q5,D,B,10
294,1_58/chapter_14/q19,B,D,10
295,GRPO/chapter_14/q1,B,B,10
296,GRPO/chapter_14/q3,B,D,10
297,1_58/chapter_14/q17,B,B,10
298,BOFT/chapter_12/q13,C,C,10
299,BOFT/chapter_12/q6,B,B,10
300,DPO/chapter_15/q13,B,B,10
301,DPO/chapter_15/q1,B,B,10
302,GRPO/chapter_14/q12,B,A,10
303,BOFT/chapter_12/q17,D,D,10
304,GRPO/chapter_14/q0,A,A,10
305,BOFT/chapter_12/q5,B,B,10
306,OFT/chapter_13/q16,D,A,10
307,QLoRA/chapter_12/q7,D,D,10
308,GRPO/chapter_14/q7,D,D,10
309,BOFT/chapter_12/q9,B,B,10
310,DPO/chapter_15/q19,B,C,10
311,1_58/chapter_14/q7,D,D,10
312,1_58/chapter_14/q14,B,C,10
313,OFT/chapter_13/q15,B,D,10
314,DPO/chapter_15/q7,D,D,10
315,OFT/chapter_13/q6,C,C,10
316,QLoRA/chapter_12/q4,A,A,10
317,QLoRA/chapter_12/q11,D,D,10
318,OFT/chapter_13/q13,B,B,10
319,GRPO/chapter_14/q4,B,A,10
320,BOFT/chapter_12/q18,D,D,10
321,OFT/chapter_13/q19,B,D,10
322,QLoRA/chapter_12/q16,B,A,10
323,OFT/chapter_13/q8,B,A,10
324,QLoRA/chapter_12/q0,B,A,10
325,DPO/chapter_15/q10,C,C,10
326,1_58/chapter_14/q10,C,C,10
327,QLoRA/chapter_12/q3,D,D,10
328,OFT/chapter_13/q18,C,C,10
329,OFT/chapter_13/q11,B,D,10
330,DPO/chapter_15/q16,B,A,10
331,DPO/chapter_15/q15,C,D,10
332,QLoRA/chapter_12/q8,A,A,10
333,QLoRA/chapter_12/q6,B,C,10
334,BOFT/chapter_12/q14,B,C,10
335,BOFT/chapter_12/q15,D,D,10
336,DPO/chapter_15/q12,B,A,10
337,BOFT/chapter_12/q3,D,D,10
338,QLoRA/chapter_12/q14,C,C,10
339,GRPO/chapter_14/q14,C,C,10
340,GRPO/chapter_14/q16,B,A,10
341,GRPO/chapter_14/q6,C,C,10
342,OFT/chapter_13/q7,B,D,10
343,DPO/chapter_15/q6,B,C,10
344,DPO/chapter_15/q2,B,C,10
345,1_58/chapter_14/q8,A,A,10
346,GRPO/chapter_14/q17,B,B,10
347,1_58/chapter_14/q1,B,B,10
