domain,v13_row_index_0based,clarity,risk_type,alternative_labels,correct_label,target,note,recommendation,probe,formatted_question,option_a,option_b,option_c,option_d,option_e,derivation,source_fact(s)
America_First_Legal_Foundation_v_Jamieson_Greer,10,clear,none,,(D),dismiss for lack of subject-matter jurisdiction,"Single best answer is clear from the revised stem, options, derivation, and cited source facts.",Keep.,"According to the opinion 'America First Legal Foundation v. Jamieson Greer', once the court concluded AFL lacked Article III standing, the required instruction on remand was to","According to the opinion 'America First Legal Foundation v. Jamieson Greer', once the court concluded AFL lacked Article III standing, the required instruction on remand was to
(A) dismiss for lack of personal jurisdiction
(B) dismiss for failure to state a claim
(C) enter summary judgment for the government
(D) dismiss for lack of subject-matter jurisdiction
(E) remand to OSC for further consideration",dismiss for lack of personal jurisdiction,dismiss for failure to state a claim,enter summary judgment for the government,dismiss for lack of subject-matter jurisdiction,remand to OSC for further consideration,"Because standing determines subject-matter jurisdiction, the absence of standing required a jurisdictional dismissal rather than a merits disposition.","['Before reaching the merits, we must consider whether AFL satisfied the requirements for Article III standing, a question bearing on whether the district court had subjectmatter jurisdiction.', 'Because AFL lacks Article III standing, we vacate the district court’s judgment and remand with instructions to dismiss for lack of subject-matter jurisdiction.']"
Apex_Bank_v_Cc_Serve_Corp,0,clear,none,,(E),narrow scope of protection,"Single best answer is clear from the revised stem, options, derivation, and cited source facts.",Keep.,"According to the opinion 'Apex Bank v. CC Serve Corp.', if the broader third-party-mark evidence on remand shows ASPIRE is relatively weak, then under the court’s stated rule ASPIRE will receive a","According to the opinion 'Apex Bank v. CC Serve Corp.', if the broader third-party-mark evidence on remand shows ASPIRE is relatively weak, then under the court’s stated rule ASPIRE will receive a
(A) broad scope of protection
(B) favorable sixth-DuPont-factor weighting
(C) heightened presumption of distinctiveness
(D) greater protection based on service similarity
(E) narrow scope of protection",broad scope of protection,favorable sixth-DuPont-factor weighting,heightened presumption of distinctiveness,greater protection based on service similarity,narrow scope of protection,"If the remand expands the third-party-use evidence and that evidence shows weakness, the stated rule says the mark’s protection should correspondingly narrow.","['“Evidence of third-party use of similar marks on similar goods is relevant to show that a mark is relatively weak and entitled to only a narrow scope of protection.”', 'We thus vacate the Board’s finding with respect to the sixth DuPont factor and remand for reconsideration of the appropriate scope of third-party marks eligible for consideration in view of the Board’s factual finding that the parties’ services are highly similar.']"
Apex_Bank_v_Cc_Serve_Corp,1,clear,none,,(C),commercial strength or weakness,"Single best answer is clear from the revised stem, options, derivation, and cited source facts.",Keep.,"According to the opinion 'Apex Bank v. CC Serve Corp.', on remand, the feature of the ASPIRE mark that could change and thereby alter the first-factor analysis was its","According to the opinion 'Apex Bank v. CC Serve Corp.', on remand, the feature of the ASPIRE mark that could change and thereby alter the first-factor analysis was its
(A) normal scope of protection
(B) conceptual strength or weakness
(C) commercial strength or weakness
(D) inherent distinctiveness
(E) appearance, sound, and meaning",normal scope of protection,conceptual strength or weakness,commercial strength or weakness,inherent distinctiveness,"appearance, sound, and meaning",The court vacated factor one because a new strength-or-weakness determination under factor six could alter the premise supporting the prior commercial-impression analysis.,"['The Board found that “[CC Serve] has not shown that its mark has any particular commercial strength, but [Apex] has not shown that [CC Serve]’s mark is commercially or conceptually weak such that it is entitled to a narrow scope of protection,” and determined that CC Serve’s mark is entitled to the “normal scope of protection accorded inherently distinctive marks.” J.A. 51.', 'Because commercial impression informs the analysis under the first DuPont factor, we must similarly vacate the Board’s analysis here because reconsideration of the sixth DuPont factor may result in a different determination of the mark’s commercial strength or weakness and affect the overall commercial impression.']"
Apex_Bank_v_Cc_Serve_Corp,2,clear,none,,(D),"credit card, banking, and financing services","Single best answer is clear from the revised stem, options, derivation, and cited source facts.",Keep.,"According to the opinion 'Apex Bank v. CC Serve Corp.', given the affirmed factor-two finding, when the Board reassesses third-party Aspire marks under the sixth DuPont factor, it must use the same scope of services as the services at issue in the factor-two analysis:","According to the opinion 'Apex Bank v. CC Serve Corp.', given the affirmed factor-two finding, when the Board reassesses third-party Aspire marks under the sixth DuPont factor, it must use the same scope of services as the services at issue in the factor-two analysis:
(A) banking and financing services, but not credit card services
(B) the specific services identified in each third-party Aspire registration
(C) credit card services limited to the issuance and administration of cards
(D) credit card, banking, and financing services
(E) all consumer financial services, including investment and insurance products","banking and financing services, but not credit card services",the specific services identified in each third-party Aspire registration,credit card services limited to the issuance and administration of cards,"credit card, banking, and financing services","all consumer financial services, including investment and insurance products","Because the Board must keep the same similarity scope across factors after finding the services highly similar and partly legally identical, factor six must extend beyond credit cards alone to the broader financial-service categories already used in factor two.","['The Board determined that because the dictionary definitions for “banking,” “bank,” and “finance” encompass extending credit or providing funds through the issuance of credit cards, Apex and CC Serve’s services are “legally identical, in part.” J.A. 27–28.', 'When the Board has already made a factual finding that the services are highly similar—in fact, partially legally identical—in its analysis of the second DuPont factor, J.A. 27–28, the Board should retain the same scope in its consideration of similarity under the other factors.']"
Apex_Bank_v_Cc_Serve_Corp,3,clear,none,,(A),likelihood of confusion,"Single best answer is clear from the revised stem, options, derivation, and cited source facts.",Keep.,"According to the opinion 'Apex Bank v. CC Serve Corp.', after vacating the Board's findings on two DuPont factors, the ultimate trademark issue left for reassessment was","According to the opinion 'Apex Bank v. CC Serve Corp.', after vacating the Board's findings on two DuPont factors, the ultimate trademark issue left for reassessment was
(A) likelihood of confusion
(B) abandonment of the cited mark
(C) priority of use
(D) genericness of the applied-for mark
(E) acquired distinctiveness",likelihood of confusion,abandonment of the cited mark,priority of use,genericness of the applied-for mark,acquired distinctiveness,"Because the ultimate legal question depends on the underlying factor findings, vacating two factor findings means the ultimate confusion determination remains to be reassessed.","['“Likelihood of confusion is a question of law, based on findings of relevant underlying facts, namely findings under the DuPont factors.”', 'But we vacate the Board’s findings with respect to DuPont factors six and one and remand for the Board to consider the number and nature of similar marks used on similar goods and the appearance, sound, connotation, and commercial impression of the marks in light of its finding that the parties’ services are highly similar.']"
Bruce_Cohen_v_Consilio_LLC,0,clear,none,,(D),an amended complaint,"Single best answer is clear from the revised stem, options, derivation, and cited source facts.",Keep.,"According to the opinion 'Bruce Cohen v. Consilio, LLC', to properly present his new request that Consilio withdraw the 2019 policy, Cohen would have needed to file","According to the opinion 'Bruce Cohen v. Consilio, LLC', to properly present his new request that Consilio withdraw the 2019 policy, Cohen would have needed to file
(A) a motion for a preliminary injunction
(B) a supplemental opposition brief
(C) a supplemental complaint
(D) an amended complaint
(E) a renewed motion for summary judgment",a motion for a preliminary injunction,a supplemental opposition brief,a supplemental complaint,an amended complaint,a renewed motion for summary judgment,"Since Cohen changed the requested injunctive relief in briefing and new claims must be raised by amendment, he needed to amend his pleading to properly present that request.","['In his complaint, Cohen sought certain specific forms of injunctive relief, only to later change course and request different relief—withdrawing the 2019 policy—in his summary judgment briefing.', 'Thus, the issue is not properly before us. See InfoDeli, LLC, 136 F.4th at 801 n.6 (8th Cir. 2025) (explaining that “[n]ew claims are properly raised through amended complaints, not opposition briefs”); see also Fed. R. Civ. P. 15(a).']"
Bruce_Cohen_v_Consilio_LLC,1,clear,none,,(B),moot,"Single best answer is clear from the revised stem, options, derivation, and cited source facts.",Keep.,"According to the opinion 'Bruce Cohen v. Consilio, LLC', if the district court finds on remand that Consilio’s overtime policy ended and its wrongful conduct cannot reasonably be expected to recur, then Cohen’s MFLSA claim is","According to the opinion 'Bruce Cohen v. Consilio, LLC', if the district court finds on remand that Consilio’s overtime policy ended and its wrongful conduct cannot reasonably be expected to recur, then Cohen’s MFLSA claim is
(A) not moot under the voluntary-cessation doctrine
(B) moot
(C) dismissible for lack of standing
(D) entitled to judgment as a matter of law
(E) ripe for adjudication",not moot under the voluntary-cessation doctrine,moot,dismissible for lack of standing,entitled to judgment as a matter of law,ripe for adjudication,The opinion expressly ties the end of the policy plus no reasonable chance of recurrence to mootness of the MFLSA claim.,"['However, if Consilio’s policy is no longer in place and it is “absolutely clear” that its wrongful conduct will not recur, Cohen’s MFLSA claim may in fact be moot.']"
Bruce_Cohen_v_Consilio_LLC,2,clear,none,,(B),mootness,"Single best answer is clear from the revised stem, options, derivation, and cited source facts.",Keep.,"According to the opinion 'Bruce Cohen v. Consilio, LLC', after Cohen was fully paid and only Commissioner-payable penalties remained, the continuing-personal-interest jurisdictional concern was","According to the opinion 'Bruce Cohen v. Consilio, LLC', after Cohen was fully paid and only Commissioner-payable penalties remained, the continuing-personal-interest jurisdictional concern was
(A) standing
(B) mootness
(C) redressability
(D) injury in fact
(E) ripeness",standing,mootness,redressability,injury in fact,ripeness,"Once Cohen had no remaining personal payment claim and only government-payable penalties remained, the court’s immediate jurisdictional concern was whether the case had become moot.","['The parties agree that any statutory penalties imposed—unlike overtime wages and liquidated damages—are payable to the Commissioner, not to Cohen.', 'But “a plaintiff must demonstrate standing for each claim he seeks to press and for each form of relief that is sought.” Town of Chester v. Laroe Ests., Inc., 581 U.S. 433, 439 (2017) (quoting Davis v. Fed. Election Comm’n, 554 U.S. 724, 734 (2008)).', 'And, as we have explained, “[t]he requisite personal interest that must exist at the commencement of the litigation (standing) must continue throughout its existence (mootness)[.]” Sisney v. Kaemingk, 15 F.4th 1181, 1194 (8th Cir. 2021) (quoting Arizonans for Off. Eng. v. Arizona, 520 U.S. 43, 68 n.22 (1997)).', 'At this stage of the proceedings, we have a serious concern regarding our jurisdiction to decide this issue.']"
Bruce_Cohen_v_Consilio_LLC,3,clear,none,,(A),dismissal affirmed,"Single best answer is clear from the revised stem, options, derivation, and cited source facts.",Keep.,"According to the opinion 'Bruce Cohen v. Consilio, LLC', given Cohen’s full-payment stipulation and his failure to identify any statutory basis for penalties, the appellate result for the MWTA claim was","According to the opinion 'Bruce Cohen v. Consilio, LLC', given Cohen’s full-payment stipulation and his failure to identify any statutory basis for penalties, the appellate result for the MWTA claim was
(A) dismissal affirmed
(B) vacatur for reconsideration
(C) penalties claim remanded
(D) reversal and remand
(E) partial reversal ordered",dismissal affirmed,vacatur for reconsideration,penalties claim remanded,reversal and remand,partial reversal ordered,"Because Cohen showed neither unpaid compensation nor a statutory basis for penalties, the court left the MWTA dismissal undisturbed.","['Cohen stipulated that he received all pay Consilio owes him, and he points to no statutory authority allowing for civil penalties under this statute.', 'With no meaningful argument in support of reversal, we will not disturb the district court’s order dismissing this claim.']"
Bruce_Cohen_v_Consilio_LLC,4,clear,none,,(B),whether Consilio’s policy remains,"Single best answer is clear from the revised stem, options, derivation, and cited source facts.",Keep.,"According to the opinion 'Bruce Cohen v. Consilio, LLC', on remand the district court had to resolve the jurisdictionally relevant disputed fact:","According to the opinion 'Bruce Cohen v. Consilio, LLC', on remand the district court had to resolve the jurisdictionally relevant disputed fact:
(A) whether Consilio previously maintained a violative overtime policy
(B) whether Consilio’s policy remains
(C) whether Cohen was entitled to summary judgment as a matter of law
(D) whether Cohen had been paid all overtime wages and liquidated damages
(E) whether there were no genuine issues of material fact on the MFLSA claim",whether Consilio previously maintained a violative overtime policy,whether Consilio’s policy remains,whether Cohen was entitled to summary judgment as a matter of law,whether Cohen had been paid all overtime wages and liquidated damages,whether there were no genuine issues of material fact on the MFLSA claim,"Since the payments eliminated one part of the dispute but the continued existence of the policy remained contested and mattered to jurisdiction, the remand had to resolve that factual dispute.","['Summary judgment is proper if there are no genuine issues of material fact and the moving party is entitled to judgment as a matter of law.', 'Prior to Consilio’s motion for summary judgment, the parties agreed that Cohen had been paid all overtime wages and liquidated damages, but whether Consilio’s violative overtime policy is still in place remains in dispute.', 'Accordingly, we vacate the district court’s grant of summary judgment as to Cohen’s MFLSA claim and remand for the district court to determine its jurisdiction.']"
Bruce_Cohen_v_Consilio_LLC,5,clear,none,,(B),MFLSA claim,"Single best answer is clear from the revised stem, options, derivation, and cited source facts.",Keep.,"According to the opinion 'Bruce Cohen v. Consilio, LLC', after the court vacated one summary-judgment ruling and otherwise affirmed, the only claim returned for further proceedings was the","According to the opinion 'Bruce Cohen v. Consilio, LLC', after the court vacated one summary-judgment ruling and otherwise affirmed, the only claim returned for further proceedings was the
(A) MWTA claim
(B) MFLSA claim
(C) FLSA overtime claim
(D) request to withdraw the 2019 policy
(E) unjust-enrichment claim",MWTA claim,MFLSA claim,FLSA overtime claim,request to withdraw the 2019 policy,unjust-enrichment claim,"Because every other ruling was affirmed and only the MFLSA ruling was vacated, that was the sole claim returned to the district court.","['Accordingly, we vacate the district court’s grant of summary judgment as to Cohen’s MFLSA claim and remand for the district court to determine its jurisdiction.', 'We otherwise affirm.']"
Finesse_Wireless_LLC_v_Att_Mobility_LLC,0,clear,none,,(C),no proof of seven multiplications,"Single best answer is clear from the revised stem, options, derivation, and cited source facts.",Keep.,"According to the opinion 'Finesse Wireless LLC v. AT&T Mobility LLC', even accepting Finesse's non-uniqueness view of S1, S2, and S3, an independent defect still defeated infringement of the '775 claims:","According to the opinion 'Finesse Wireless LLC v. AT&T Mobility LLC', even accepting Finesse's non-uniqueness view of S1, S2, and S3, an independent defect still defeated infringement of the '775 claims:
(A) no proof of seven unique input signals
(B) no proof of a specific S1-S2-S3 ordering in the accused radios
(C) no proof of seven multiplications
(D) no proof that S1, S2, and S3 were all unique
(E) no proof of three separately identifiable signals",no proof of seven unique input signals,no proof of a specific S1-S2-S3 ordering in the accused radios,no proof of seven multiplications,"no proof that S1, S2, and S3 were all unique",no proof of three separately identifiable signals,"Even if Finesse wins the signal-uniqueness issue, infringement still fails unless the record shows the separate requirement of seven claimed multiplications.","['At most, Finesse’s amendment requires three separately identifiable signals and does not require any specific number of unique input signals.', 'We agree, however, that no reasonable jury could have found the accused radios perform the seven claimed multiplications.']"
Finesse_Wireless_LLC_v_Att_Mobility_LLC,1,clear,none,,(E),which seven of the ten,"Single best answer is clear from the revised stem, options, derivation, and cited source facts.",Keep.,"According to the opinion 'Finesse Wireless LLC v. AT&T Mobility LLC', Finesse's reliance on ten listed multiplications could not support the ’775 verdict because it did not identify","According to the opinion 'Finesse Wireless LLC v. AT&T Mobility LLC', Finesse's reliance on ten listed multiplications could not support the ’775 verdict because it did not identify
(A) which accused radio models actually used the Nokia multiplication sequence
(B) how Dr. Wells confirmed the ten listed multiplications occurred in operation rather than only on paper
(C) whether the accused radios performed all ten multiplications at the same time
(D) that the Nokia document itself disclosed exactly seven claimed multiplications
(E) which seven of the ten",which accused radio models actually used the Nokia multiplication sequence,how Dr. Wells confirmed the ten listed multiplications occurred in operation rather than only on paper,whether the accused radios performed all ten multiplications at the same time,that the Nokia document itself disclosed exactly seven claimed multiplications,which seven of the ten,Listing ten operations does not establish the claimed seven unless the evidence identifies which seven satisfy the limitation.,"['At oral argument, Finesse explained the accused radios perform the seven claimed multiplications because Nokia’s documents show the accused radios perform not just seven multiplications, but ten.', 'Nowhere do Finesse or Dr. Wells explain which subset of the ten multiplications listed in the Nokia document corresponds to the seven claimed multiplications.', 'Under these circumstances, no reasonable jury could have found that the accused radios perform the seven claimed multiplications.']"
Finesse_Wireless_LLC_v_Att_Mobility_LLC,2,clear,none,,(C),not presented to the jury,"Single best answer is clear from the revised stem, options, derivation, and cited source facts.",Keep.,"According to the opinion 'Finesse Wireless LLC v. AT&T Mobility LLC', Finesse’s new appellate clarification of the multiplication mapping could not preserve the jury’s ’775 verdict under the court’s stated standard because it was","According to the opinion 'Finesse Wireless LLC v. AT&T Mobility LLC', Finesse’s new appellate clarification of the multiplication mapping could not preserve the jury’s ’775 verdict under the court’s stated standard because it was
(A) raised too late to avoid appellate waiver
(B) contrary to the court’s claim construction
(C) not presented to the jury
(D) merely cumulative of trial testimony already rejected
(E) measured under a clear-and-convincing standard",raised too late to avoid appellate waiver,contrary to the court’s claim construction,not presented to the jury,merely cumulative of trial testimony already rejected,measured under a clear-and-convincing standard,"Because substantial-evidence review looks to what the jury heard at trial, a new appellate explanation cannot supply missing proof.","['A factual finding is supported by substantial evidence if a reasonable jury could have found in favor of the prevailing party in light of the evidence presented at trial.', 'Finesse attempts to clarify the mapping on appeal, but that evidence was never presented to the jury.']"
