review_id,decision,issue_categories,review_reason,fixed_question_stem,fixed_option_a,fixed_option_b,fixed_option_c,fixed_option_d,fixed_option_e,fixed_correct_label
medical/From_dog_bite_to_dialysis_complementmediated_haemolytic_urae/57,fix,stem_option_mismatch,"The stem asks for a diuretic type, but most options are non-diuretic interventions.","According to the case report ""From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome"", after the patient was transferred to the ICU and became completely anuric with rapidly worsening renal function, what additional intervention was attempted along with aggressive fluid resuscitation?",concurrent administration of loop diuretics,supportive thrombocyte and fibrinogen transfusions,high-dose intravenous corticosteroid therapy,urgent initiation of plasma exchange therapy,escalation to broad-spectrum intravenous antibiotics,(A)
medical/Immunemediated_necrotising_myopathy_following_semaglutide_tr/1,fix,truncated_stem,Question stem is truncated after the case-report title.,"According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", the patient’s work-up showed necrotising myopathy with inflammatory infiltrate on biopsy, and she improved with immunosuppression. Besides corticosteroids, what treatment did she respond to?",intravenous immunoglobulin (IVIG).,azathioprine therapy.,pyridostigmine therapy.,plasma exchange (PLEX).,cessation of semaglutide alone.,(A)
medical/Immunemediated_necrotising_myopathy_following_semaglutide_tr/3,fix,truncated_stem,Question stem is truncated after the case-report title.,"According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", a female patient in her 60s presented with progressive proximal muscle weakness. What additional symptoms did she have?",leg swelling and pleuritic chest pain.,myalgia and fatigue.,dysphagia and dysphonia.,diplopia and ptosis.,weight gain and cold intolerance.,(C)
medical/Immunemediated_necrotising_myopathy_following_semaglutide_tr/10,fix,truncated_stem,Question stem is truncated after the case-report title.,"In the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", the patient was last seen 10 months after her initial evaluation and treatment initiation, with baseline function regained. How long had she been off immunosuppression?",12 days.,3 months.,8 months.,6 months.,10 months.,(C)
medical/Immunemediated_necrotising_myopathy_following_semaglutide_tr/32,fix,truncated_stem,Question stem is truncated after the case-report title.,"According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", the patient was hospitalised 2 days after her first semaglutide dose with acute renal failure and severe metabolic acidosis. How did her renal function improve?",after withdrawal of semaglutide and initiation of high-dose corticosteroids for suspected myositis.,"with hydration, without the need for haemofiltration or haemodialysis.","with insulin infusion for presumed euglycaemic ketoacidosis, without the need for renal replacement therapy.",following bicarbonate infusion and a brief period of invasive mechanical ventilation.,"only after urgent haemofiltration, without progression to maintenance haemodialysis.",(B)
medical/Immunemediated_necrotising_myopathy_following_semaglutide_tr/40,fix,truncated_stem,Question stem is truncated after the case-report title.,"In the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", the patient returned to an outside hospital 4 months after her initial and only semaglutide dose because of worsening weakness and dysphagia. What was her creatine kinase level on admission at that outside hospital?",3992 U/L,4192 U/L,2992 U/L,1000 U/L,191 U/L,(A)
medical/Immunemediated_necrotising_myopathy_following_semaglutide_tr/41,fix,truncated_stem,Question stem is truncated after the case-report title.,"According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", after the patient developed progressive weakness, dysphagia, and dysphonia, physical examination showed significant weakness most evident in which muscle groups?",extraocular muscle groups,distal muscle groups,proximal muscle groups,bulbar muscle groups,respiratory muscle groups,(C)
medical/Immunemediated_necrotising_myopathy_following_semaglutide_tr/47,fix,truncated_stem,Question stem is truncated after the case-report title.,"In the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", the patient had regained her baseline functional status and was off immunosuppression for 8 months at her final outpatient follow-up. When did that follow-up occur?",at the end of her 10-day readmission for septic shock from pseudomonal urinary tract infection,10 months after her initial evaluation and treatment initiation,"12 months after diagnosis, following maintenance IVIG and steroid-sparing therapy",8 months after her initial evaluation and treatment initiation,12 days after her discharge from the index hospitalisation,(B)
medical/Immunemediated_necrotising_myopathy_following_semaglutide_tr/51,fix,truncated_stem,Question stem is truncated after the case-report title.,"According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", during the patient’s evaluation for progressive proximal weakness and dysphagia, what was her pro-B-type natriuretic peptide level?",3584 pg/mL,125 pg/mL,4358 pg/mL,62 pg/mL,228 pg/mL,(C)
medical/Immunemediated_necrotising_myopathy_following_semaglutide_tr/54,fix,truncated_stem,Question stem is truncated after the case-report title.,"In the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", during the patient’s work-up after she developed progressive weakness and dysphagia following semaglutide exposure, what right ventricular systolic pressure did the echocardiogram report?",46 mm Hg.,35 mm Hg.,65 mm Hg.,62 mm Hg.,42 mm Hg.,(A)
medical/Immunemediated_necrotising_myopathy_following_semaglutide_tr/56,fix,truncated_stem,Question stem is truncated after the case-report title.,"According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", the cardiac MRI obtained during the patient’s evaluation showed mild hypokinesis of the mid-anteroseptal and anterior wall with myocardial oedema. What other cardiac MRI finding was noted?",a reduced left ventricular ejection fraction of 35%–40%.,a small circumferential pericardial effusion.,significant valvular dysfunction.,no definite late gadolinium enhancement.,significant myocardial scarring or prior infarction.,(D)
medical/Management_of_atypical_complicated_abdominal_masses_in_the_s/67,fix,wording,"Options awkwardly include ""respectively"" although the question asks only for adnexal-mass incidence.","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", the discussion notes that myomas can often be misdiagnosed as adnexal masses. In that context, what is the reported incidence of adnexal masses during pregnancy?",5–8%,0.2–0.5%,1–6%,1–4%,2–10%,(C)
medical/Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care/98,fix,ambiguous_options,"""A small minority"" also fits only one of 22 studies, creating more than one plausible answer.","According to the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting"", a 2017 systematic review examined 22 studies about corticosteroids in anaphylaxis. How many of those studies supported the use of corticosteroids?",about half,none at all,only one,twenty-one,all twenty-two,(C)
medical/Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel/12,reject,option_type_mismatch,"Stem asks for autoantibody status, but most options are not statuses.",,,,,,,
medical/Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel/73,fix,option_type_mismatch,"Stem asks for reduced expression, but several options are broader mechanisms.","According to the case report ""Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"", what mechanism is glycosuria in HNF1A-MODY attributed to?",autoimmune destruction of pancreatic β-cells,progressive decline in β-cell function,reduced expression of SGLT2,high inhibition of residual SGLT-2 activity,reduced expression of GLUT2,(C)
medical/Pancreatopleural_fistula_in_childhood/61,fix,option_type_mismatch,"Stem asks for appearance, but one option is a fluid source/type rather than appearance.","In the case report ""Pancreatopleural fistula in childhood"", after the child’s recurrent right-sided pleural effusions led to insertion of an intercostal drainage (ICD), what fluid was drained through the ICD?",infected pancreatic collection fluid,straw-coloured pleural fluid,milky white chylous fluid,dark red pleural fluid,thick purulent pleural fluid,(D)
medical/Pancreatopleural_fistula_in_childhood/65,fix,option_type_mismatch,"Stem asks for feeding status, but most options are treatment regimens.","According to the case report ""Pancreatopleural fistula in childhood"", after the child with recurrent right-sided pleural effusions was treated and antitubercular drugs were stopped, what management step was used?",diuretic therapy and salt restriction.,nil per oral and total parenteral nutrition.,clear oral fluids and nasojejunal enteral feeding.,broad-spectrum intravenous antibiotics and intercostal tube drainage.,antitubercular drugs and adjunctive corticosteroid therapy.,(B)
medical/Pancreatopleural_fistula_in_childhood/98,fix,option_type_mismatch,"Stem asks for a pancreatic abnormality, but some options are non-pancreatic or modality capabilities.","According to the case report ""Pancreatopleural fistula in childhood"", when discussing imaging for pancreatopleural fistula, which finding does CT reliably show along with pancreatic calcifications or ductal dilation?",pseudocysts,fistulous tracts,pleural septations,mediastinal lymphadenopathy,detailed duct anatomy,(A)
medical/Pancreatopleural_fistula_in_childhood/99,fix,grammar,Stem wording is ungrammatical.,"According to the case report ""Pancreatopleural fistula in childhood"", what does the rarity of pancreatopleural fistula (PPF) mean for its treatment guidance?",endoscopic management is recommended as the first-line approach in all cases.,surgical correction is preferred over medical therapy in children.,initial treatment is usually guided by ERCP findings alone.,management generally follows established adult acute pancreatitis guidelines.,there are no standardised guidelines for its treatment.,(E)
medical/TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy/0,fix,option_type_mismatch,"Stem asks for a type of prosthesis, but most options are not prostheses.","According to the case report ""TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome"", in this setting, what are transcatheter aortic valve-in-transcatheter aortic valve (TAV-in-TAV) procedures used to manage?",coronary artery obstruction.,active prosthetic valve endocarditis.,failed transcatheter prostheses.,reduced effective orifice area.,severe native aortic stenosis.,(C)
medical/TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy/28,reject,option_type_mismatch,"Stem asks for procedural planning, but several options are not planning methods.",,,,,,,
medical/TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy/80,fix,grammar,"Stem phrase ""no what type of complications"" is ungrammatical.","According to the case report ""TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome"", at the 1-year follow-up after the third transcatheter aortic valve implantation, the patient had no regurgitation, no evidence of recurrent endocarditis, and what type of complications were absent?",left ventricular remodelling,systemic thromboembolism,major bleeding events,new conduction abnormalities,valve-related complications.,(E)
medical/TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy/104,fix,option_type_mismatch,"Stem asks for a change in the prior Evolut prosthesis, but some options are not such changes.","According to the case report ""TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome"", after the third transcatheter valve was implanted in this man in his late 70s, which factor was said to improve leaflet motion and central flow dynamics?",complete symmetrical re-expansion of the prior Evolut prosthesis,reverse remodelling of the left ventricular outflow tract,intentional high-pressure fracture of the prior Evolut frame,improved sealing-skirt apposition with reduction of paravalvular leak,partial mechanical expansion of the prior Evolut frame,(E)
legal/America_First_Legal_Foundation_v_Jamieson_Greer/34,fix,stem_answer_mismatch,"Stem asks for the failed investigation, but keyed options answer what the causal connection failed to support.","According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" what did the court say the alleged causal connection between OSC's failure to conduct a section 1216 investigation and DOJ's failure to comply with the FOIA request was too speculative and attenuated to support?",Article III standing.,proximate-cause liability.,prudential standing.,subject-matter jurisdiction.,a finding of redressability.,(A)
legal/Apex_Bank_v_Cc_Serve_Corp/53,fix,option_type_mismatch,"Stem asks for a DuPont factor, but some distractors are not DuPont factors.","According to the opinion in ""Apex Bank v. CC Serve Corp."", when reviewing the Board's treatment of third-party Aspire-formative marks in the likelihood-of-confusion analysis, under which DuPont factor did the court say there was no reason to impose a different and more stringent legal standard for similarity?",the sixth DuPont factor.,the first DuPont factor.,the second DuPont factor.,the third DuPont factor.,the fourth DuPont factor.,(A)
legal/Finesse_Wireless_LLC_v_Att_Mobility_LLC/46,fix,option_type_mismatch,"Stem asks how many multiplications, but distractors include signals and convolutions.","In the case ""Finesse Wireless LLC v. AT&T Mobility LLC,"" with respect to the '775 patent and the dispute over whether the accused radios performed the seven claimed multiplications, how many multiplications did Appellants say Dr. Wells identified?",three multiplications,two multiplications,four multiplications,five multiplications,seven multiplications,(A)
legal/Foad_Farahi_v_FBI/1,fix,option_type_mismatch,One distractor is an enforcement-proceeding condition rather than a purpose for compiling records.,"According to the opinion in ""Foad Farahi v. Federal Bureau of Investigation,"" what purposes must records be compiled for in order to fall within Freedom of Information Act Exemption 7(A)?",administrative oversight purposes,national security purposes,civil discovery purposes,law enforcement purposes,immigration screening purposes,(D)
legal/Foad_Farahi_v_FBI/51,fix,stem_option_mismatch,"Stem asks which declaration, but several options are not declarations.","In the case ""Foad Farahi v. Federal Bureau of Investigation,"" while discussing the FBI's Exemption 7(A) showing and the ongoing investigation, which declaration did the court say it could not disclose the contents of?",Bender's declaration,the FBI's public declaration,Hardy's ex parte declaration,Bender's supplemental declaration,the records-custodian declaration,(C)
legal/Jimenez_v_Bondi/28,fix,stem_option_mismatch,"Stem asks who owned the property, but most options are events rather than owners.","According to the opinion in ""Jimenez v. Bondi"", before the property was transferred to Jimenez's client as part of a divorce settlement, who had owned it?",the tenant,Jimenez,the client,the client's ex-husband,the divorce court,(D)
legal/Jimenez_v_Bondi/51,fix,option_type_mismatch,"Distractors mix forms of relief with burdens, entitlements, and review standards.","According to the opinion in ""Jimenez v. Bondi"", how is asylum described in the statement explaining that it may be granted by the Attorney General to eligible noncitizens?",a mandatory form of relief,an automatic form of relief,a discretionary form of relief,a constitutional form of relief,a nonreviewable form of relief,(C)
legal/Jimenez_v_Bondi/55,fix,option_type_mismatch,"Stem asks what kind of fear can satisfy the standard, but some options are not fears.","In the case ""Jimenez v. Bondi"", the opinion quotes the INA's definition of a refugee. Under that definition, what kind of fear can support refugee status for someone unable or unwilling to return to their country of nationality?",a generalized fear of poor country conditions,an objectively reasonable fear of torture,a clear-probability fear of persecution,a fear of economic hardship,a well-founded fear of persecution,(E)
legal/Jimenez_v_Bondi/80,fix,option_type_mismatch,"Stem asks which threats, but several options are not threats.","According to the opinion in ""Jimenez v. Bondi"", Petitioners lacked record evidence tying Don Rafa to which threats?",the later factory threats,the threats arising from the property dispute,the threats made after Jimenez confronted Don Rafa,the threats connected to Don Rafa's revenue and security concerns,the initial politically affiliated threats,(E)
legal/Jimenez_v_Bondi/91,fix,grammar;stem_option_mismatch,"Original stem asks what relationship persecutors had, but the correct option is an ungrammatical mixed clause.","According to the opinion in ""Jimenez v. Bondi"", in arguing that contacting the Colombian government for help would have been futile or dangerous, what did Petitioners say about their persecutors?",that their persecutors were motivated only by Petitioners' political opinion,that their persecutors were already the subject of government searches and seizures,"that their persecutors were closely aligned with the government, which would be unwilling or unable to stop them",that their persecutors were active only in Petitioners' immediate neighborhood,that their persecutors were private criminals with no meaningful connection to state officials,(C)
legal/Pacito_v_Trump/5,fix,stem_answer_mismatch,"Stem asks for a type of children, but options are propositions.","In the case ""Pacito v. Trump,"" Judge Lee's separate opinion discussed 8 U.S.C. § 1522(d)(2)(B). According to the opinion, what was not clear from the record?",whether the Director had found legal and financial responsibility for the children to be necessary in this case,whether cash and medical support projects were in fact needed under 8 U.S.C. § 1522(e)(7)(A),whether the agency’s funding pause constituted final agency action reviewable under the APA,whether the plaintiffs had established Article III standing to obtain injunctive relief,whether there were any unaccompanied refugee children at issue in the case,(E)
legal/Pacito_v_Trump/18,fix,option_type_mismatch,"Stem asks for an earlier court order, but several options are not court orders.","In the case ""Pacito v. Trump,"" the Western District of Washington issued a written order on February 28, 2025, clarifying that the injunction also prohibited the suspension of USRAP funding. That written order was issued to define the scope of what?",Executive Order No. 14163,the State Department's obligations under the Refugee Act,the February 25 preliminary injunction,the government's February 26 termination of refugee cooperative agreements,the March 24 second preliminary injunction,(C)
legal/Santos_v_Kimmel/18,fix,stem_answer_mismatch,"Stem asks what does not determine the issue, but the correct option states what it turns on.","According to the opinion in ""George Santos v. James C. Kimmel"", when the court considered whether a secondary use was transformative in this copyright action, what did it say that issue turns on?","what a reasonable observer thinks, not the subjective intent of the copyright holder or that of the secondary user",whether an ordinary consumer is likely to be confused about the source sponsorship or affiliation of the two works,whether the copyright holder says the original work was meant to convey the same message as the later use,whether the challenged use leaves the market for the original work unaffected and causes no cognizable economic harm,whether the secondary user instigated the creation of the original work and can therefore be said to have designed its original purpose,(A)
legal/United_States_v_Jaison_Coleman/44,fix,option_type_mismatch,Some distractors are event endpoints rather than durations.,"In the case ""United States v. Jaison L. Coleman,"" when the opinion discussed Officer Kizer asking Lisa twice for permission to enter her home, what did it say about the length of their entire conversation?",it lasted but a few minutes.,it lasted roughly fifteen minutes.,it lasted nearly half an hour.,it lasted only a few seconds.,it lasted more than an hour.,(A)
legal/United_States_v_Justin_Cutbank/42,fix,stem_answer_mismatch,The correct option is a fragment unless the stem asks what the firearm was connected with.,"According to the opinion in ""United States v. Justin Lyle Cutbank,"" Application Note 14(C) says the § 2K2.1(b)(6)(B) enhancement applies when the defendant uses or possesses a firearm or ammunition in connection with what kind of offense?",relevant conduct that was part of the same course of conduct or common scheme or plan,a prior conviction punishable by imprisonment for a term exceeding one year,another federal state or local misdemeanor offense involving reckless flight,a crime of violence or a controlled substance offense,"another federal, state, or local felony offense",(E)
legal/United_States_v_Justin_Cutbank/48,fix,ambiguous_option,Two options contain the same 292-month term even though one has an incorrect characterization.,"In the case ""United States v. Justin Lyle Cutbank,"" after the Eighth Circuit considered Cutbank's challenge to the substantive reasonableness of his within-Guidelines sentence, which sentence had the district court imposed?",324-month term of imprisonment,300-month upward-variance sentence,240-month mandatory minimum sentence,262-month term of imprisonment,292-month term of imprisonment,(E)
legal/Williams_v_GoAuto_Insurance/29,fix,option_type_mismatch,"The stem asks for a person, but one option is a filing cabinet.","According to the opinion in ""Williams v. GoAuto Insurance Company"", what person does the signed cancellation document get physically taken to, since 2017, so that it can be stamped as ""received"" and placed in the shared filing cabinet?",the insured,an APAC employee,a GoAuto employee,a GoAuto supervisor,the policyholder's insurance agent,(C)
legal/Williams_v_GoAuto_Insurance/37,fix,unsupported_or_confusing_stem,The stem adds an unsupported signing-authority clause and is confusing.,"According to the opinion in ""Williams v. GoAuto Insurance Company"", no Louisiana judicial opinion considering insurance-premium finance companies' procedures under La. Rev. Stat. § 9.3550(G)(3)(a) had addressed what issue?",the validity of an electronic signature,the need for a signature,the timing of automatic cancellation,the sufficiency of a statement certifying compliance,the finance company's authority to cancel a policy on the insured's behalf,(B)
arxiv/1_58/100,reject,answer_type_mismatch,"Stem asks for devices, but one option is an input/context rather than a device.",,,,,,,
arxiv/BOFT/53,reject,formatting;answer_type_mismatch,"Stem has a leading Q: and asks for a count, but two options are matrix structures rather than counts.",,,,,,,
arxiv/BOFT/61,fix,formatting;answer_type_mismatch,"Stem has a leading Q: and asks for a graph, while some options are broader mathematical structures.","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", the authors state that their novel information transmission framework transforms the task of crafting a parameter-efficient dense orthogonal matrix into an information transmission problem within what mathematical structure?",the full orthogonal group.,a butterfly-structured graph.,a grid-structured graph.,a hypercube communication graph.,a block-diagonal orthogonal matrix.,(C)
arxiv/BOFT/178,fix,formatting,Stem has a leading bullet marker.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", preserving the largest singular value, and thus the spectral norm of $\bm{W}^0$, has been shown to greatly benefit training stability and what else?",expressivity.,optimization convergence.,regularity.,generalization.,parameter efficiency.,(D)
arxiv/DPO/73,fix,wording,"Stem uses ""this non-differentiable language-generation objective"" without an antecedent.","According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", what reward function does the standard PPO-based approach construct before optimization?","${r(x, y) = r_{\phi}(x, y) +\beta (\log \pi_{\theta}(y\mid x) - \log \pi_\text{ref}(y\mid x))}$","${r(x, y) = \log \sigma\!\left(r_{\phi}(x, y_w)- r_{\phi}(x, y_l)\right)}$","${r(x, y) = r_{\phi}(x, y) - V_{\psi}(x) -\beta (\log \pi_{\theta}(y\mid x) - \log \pi_\text{ref}(y\mid x))}$","${r(x, y) = r_{\phi}(x, y) -\beta (\log \pi_{\theta}(y\mid x) - \log \pi_\text{ref}(y\mid x))}$","${r(x, y) = r_{\phi}(x, y) - \beta \,\mathbb{D}_{\mathrm{KL}}\!\left[\pi_{\theta}(y\mid x)\,\|\,\pi_\text{ref}(y\mid x)\right]}$",(D)
arxiv/DPO/114,fix,wording,Stem describes PPO as an instability rather than an algorithm whose instabilities can be diagnosed.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", which standard actor-critic algorithm used for RLHF is mentioned as one whose instabilities can be diagnosed with the authors' framework?",A2C.,PPO.,REINFORCE.,TRPO.,DPO.,(B)
arxiv/GRPO/107,fix,option_type_mismatch,"Stem asks for a number of warmup steps, but two options are percentages of training progress.","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", at which point in the multi-step learning-rate schedule does the learning rate reach its peak?","2,000 warmup steps.","1,000 warmup steps.","4,000 warmup steps.",90% of the training process.,80% of the training process.,(A)
arxiv/GRPO/119,fix,grammar,"Correct option is a gerund phrase that does not naturally answer ""what happens to"".","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", when comparing the baseline mathematical corpora with the much larger DeepSeekMath Corpus during training of DeepSeek-LLM 1.3B, how is the resulting model performance described after the baseline corpora have already been repeated multiple rounds during training?",continuing to improve steadily with additional epochs.,showing a steeper learning curve.,yielding more lasting improvements.,quickly reaching a plateau.,enhancing mathematical reasoning in both English and Chinese.,(D)
arxiv/GRPO/250,fix,wording,"Stem asks how the data differ without stating the comparison, making the correct option awkward.","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", in the discussion comparing online training with RFT, what do the authors say the data sampled from the actor will exhibit in the later stage of training?",more reliable reward signals,only minor differences,more significant differences.,higher Pass@K performance,closer resemblance to the SFT model,(C)
arxiv/GSPO/112,fix,wording,Stem has an unnatural Q: prefix.,"According to the paper ""Group Sequence Policy Optimization"", GSPO demonstrates notably superior training stability, efficiency, and performance compared to which algorithm?",PPO.,TRPO.,GRPO.,DPO.,GSPO.,(C)
arxiv/GSPO/117,fix,wording,Stem contains an unresolved LaTeX equation reference.,"According to the paper ""Group Sequence Policy Optimization"", when comparing against GRPO as the baseline during RL training and tuning the GRPO objective for a fair comparison, what was the left clipping range set to?",0.1,0.2,0.27,3e-4,4e-4,(B)
arxiv/LongRoPE/34,fix,grammar,Correct option is missing an article.,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the RoPE encoding for a token at position index $n$, what does $n\theta_i$ denote?",the positional interpolation factor used to extend the context window.,the absolute positional embedding of the token at position n.,the rotary angle of the token at position $n$.,the embedding dimension of the token at position n.,the rotation frequency for the i-th embedding dimension pair.,(C)
arxiv/LongRoPE/35,fix,wording,Stem has an unnatural Q: prefix.,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", which position embedding does the work focus on?",ALiBi positional bias.,learned absolute positional embeddings.,RoPE.,relative position bias.,sinusoidal absolute position embedding.,(C)
