target,probe,fact,question,text_sentences,prior_knowledge,question_explanation,inference_explanation,answer
 problem decomposition,"In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the concise description that best captures why chain-of-thought prompting helps across arithmetic, symbolic, and commonsense domains is","In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the concise description that best captures why chain-of-thought prompting helps across arithmetic, symbolic, and commonsense domains is problem decomposition","Which concise description best captures why chain-of-thought prompting helps across arithmetic, symbolic, and commonsense domains?","['We have explored chain-of-thought prompting as a simple and broadly applicable method for enhancing reasoning in language models.', 'Through experiments on arithmetic, symbolic, and commonsense reasoning, we find that chain-of-thought reasoning is an emergent property of model scale that allows sufficiently large language models to perform reasoning tasks that otherwise have flat scaling curves.']",Understanding that chain-of-thought prompts encourage models to produce intermediate steps and that many complex tasks benefit from breaking a problem into smaller subproblems.,"The question asks, in a short phrase, what mechanism explains how chain-of-thought helps such different kinds of tasks.","Because chain-of-thought elicits intermediate steps and the listed tasks require stepwise inference, the unifying mechanism is that the method enables problem decomposition into manageable substeps.",problem decomposition
 worked examples,"In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', given that it provides example problems with step-by-step solutions, chain-of-thought prompting is most analogous to the instructional technique from educational psychology known as","In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', given that it provides example problems with step-by-step solutions, chain-of-thought prompting is most analogous to the instructional technique from educational psychology known as worked examples","Which instructional technique from educational psychology is chain-of-thought prompting most analogous to, since it provides example problems with step-by-step solutions?","[""That is, instead of finetuning a separate language model checkpoint for each new task, one can simply ``prompt'' the model with a few input--output exemplars demonstrating the task."", 'Specifically, we explore the ability of language models to perform few-shot prompting for reasoning tasks, given a prompt that consists of triples: $\\langle$input, \\emph{chain of thought}, output$\\rangle$.', 'A \\emph{chain of thought} is a series of intermediate natural language reasoning steps that lead to the final output, and we refer to this approach as \\textit{chain-of-thought prompting}.']","Understanding of 'worked examples' in education: showing full, stepwise solutions to learners to teach problem-solving.",The model is shown solved problems with intermediate steps. What teaching method is that similar to?,"Worked examples are pedagogical instances that include step-by-step solutions; chain-of-thought prompts provide exactly that to the model as exemplars, so the analogy is direct.",worked examples
 annotation overhead,"According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', by avoiding large labeled rationale datasets in favor of a few-shot chain-of-thought prompting approach, the specific form of development cost that is primarily reduced is","According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', by avoiding large labeled rationale datasets in favor of a few-shot chain-of-thought prompting approach, the specific form of development cost that is primarily reduced is annotation overhead",Which specific form of development cost is primarily reduced by avoiding large labeled rationale datasets in favor of a few-shot chain-of-thought prompting approach?,"['For rationale-augmented training and finetuning methods, it is costly to create a large set of high quality rationales, which is much more complicated than simple input--output pairs used in normal machine learning.', 'A prompting only approach is important because it does not require a large training dataset and because a single model checkpoint can perform many tasks without loss of generality.']",Understanding that creating labeled datasets requires annotation effort and labeling costs.,What specific cost associated with dataset creation does chain-of-thought prompting reduce?,"Because the method avoids assembling many labeled rationales, the burden of annotating or labeling those rationale examples (annotation overhead) is reduced.",annotation overhead
 a phase transition,"According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', among physics terminology, the two-word technical term that best describes the phenomenon where chain-of-thought reasoning emerges only once models exceed a certain size is","According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', among physics terminology, the two-word technical term that best describes the phenomenon where chain-of-thought reasoning emerges only once models exceed a certain size is a phase transition",Which two-word technical term from physics best describes the phenomenon that chain-of-thought reasoning appears only after models reach a certain size?,"['Through experiments on arithmetic, symbolic, and commonsense reasoning, we find that chain-of-thought reasoning is an emergent property of model scale that allows sufficiently large language models to perform reasoning tasks that otherwise have flat scaling curves.']","Familiarity with the concept of emergence and threshold phenomena in physics and complex systems (e.g., phase transitions, critical points) and how qualitative behavior can change abruptly once a control parameter crosses a threshold.",The question asks you to map the paper's description of a capability that only shows up once models reach a certain size to a standard physics term for sudden system-wide changes when a parameter crosses a threshold.,"The paper says the capability is 'an emergent property of model scale' that appears for 'sufficiently large' models. That pattern — nothing notable below a threshold, then a qualitatively new behavior once the threshold is crossed — is what physicists call a phase transition.",phase transition
 program execution,"In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', if 'generating a chain of thought (a series of intermediate reasoning steps)' is interpreted as the model performing explicit staged computations to transform an input into an output, then the single-term computer science concept it most closely maps to is","In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', if 'generating a chain of thought (a series of intermediate reasoning steps)' is interpreted as the model performing explicit staged computations to transform an input into an output, then the single-term computer science concept it most closely maps to is program execution","If 'generating a chain of thought—a series of intermediate reasoning steps' is interpreted as the model performing explicit staged computations to transform an input into an output, what single-term concept from computer science does this most closely map to?","['We explore how generating a \\textit{chain of thought}---a series of intermediate reasoning steps---significantly improves the ability of large language models to perform complex reasoning.', 'In particular, we show how such reasoning abilities emerge naturally in sufficiently large language models via a simple method called \\textit{chain-of-thought prompting}, where a few chain of thought demonstrations are provided as exemplars in prompting.']","Understanding of program execution / stepwise evaluation: the idea that a program or interpreter executes instructions sequentially, transforming inputs through intermediate states (traces) to produce an output.",You're being asked to map the paper's idea of producing step-by-step intermediate reasoning to a familiar computer-science concept that also performs step-by-step transformations.,"The text describes producing a 'series of intermediate reasoning steps' and providing exemplars (example traces). In CS, the closest analogue to producing and following a sequence of intermediate computational states to reach a result is executing a program or running a trace. The exemplars act like example runs (traces) that show how to execute the procedure.",program execution
 planning,"In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', among the three candidate cognitive-like skills, including associative recall and superficial pattern matching, chain-of-thought prompting most directly enables","In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', among the three candidate cognitive-like skills, including associative recall and superficial pattern matching, chain-of-thought prompting most directly enables planning","Which single cognitive-like skill does chain-of-thought prompting most directly enable in a language model: planning, associative recall, or superficial pattern matching?","['We explore how generating a \\textit{chain of thought}---a series of intermediate reasoning steps---significantly improves the ability of large language models to perform complex reasoning.', 'Experiments on three large language models show that chain-of-thought prompting improves performance on a range of arithmetic, commonsense, and symbolic reasoning tasks.']","Definitions of cognitive processes: planning (sequencing steps to achieve a goal), associative recall (retrieving stored items), and pattern matching (surface-level mapping from input to output).",Which internal ability—sequencing/planning versus simple recall or surface mapping—does producing chains of thought most closely correspond to?,"Chain-of-thought explicitly constructs intermediate steps and decompositions to reach an answer, which maps directly to planning (sequencing and executing steps toward a goal) rather than mere recall or surface pattern matching.",planning
 the options framework,"In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', among hierarchical reinforcement learning concepts, the one that represents temporally extended subpolicies used to achieve subgoals and that most closely mirrors chain-of-thought's intermediate steps is","In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', among hierarchical reinforcement learning concepts, the one that represents temporally extended subpolicies used to achieve subgoals and that most closely mirrors chain-of-thought's intermediate steps is the options framework",Which specific concept from hierarchical reinforcement learning—representing temporally extended subpolicies that achieve subgoals—most closely mirrors chain-of-thought's intermediate steps?,"['First, chain of thought, in principle, allows models to decompose multi-step problems into intermediate steps, which means that additional computation can be allocated to problems that require more reasoning steps.']",Familiarity with hierarchical RL constructs such as options (temporally-extended actions/subpolicies) and hierarchical planning.,Match the idea of breaking a task into intermediate steps to a named hierarchical RL mechanism that similarly breaks decision-making into subroutines.,Intermediate reasoning steps function like subpolicies that accomplish subgoals; in hierarchical RL this construct is known as options.,options
 diversify benchmarks,"According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the last sentence most directly suggests that benchmark designers should implement the following concrete change to evaluation practices:","According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the last sentence most directly suggests that benchmark designers should implement the following concrete change to evaluation practices: diversify benchmarks",Which concrete change to evaluation practices does the last sentence most directly suggest benchmark designers should implement?,['Broadening the range of reasoning tasks that language models can perform will hopefully inspire further work on language-based approaches to reasoning.'],Familiarity with how benchmarks drive research priorities and the role of task diversity in stimulating method development.,In plain language: what should people who design model evaluations do differently to follow the authors' suggestion?,"The sentence calls for 'broadening the range of reasoning tasks,' which directly translates into expanding and diversifying benchmark suites to include a wider variety of reasoning problems.",diversify benchmarks
 prompting large models,"According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', because the results show that a very large pretrained model plus a few exemplars outperforms a finetuned alternative, the more economical deployment strategy for achieving strong reasoning performance is","According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', because the results show that a very large pretrained model plus a few exemplars outperforms a finetuned alternative, the more economical deployment strategy for achieving strong reasoning performance is prompting large models",The result that a very large pretrained model plus a few exemplars outperforms a finetuned alternative most directly suggests which deployment strategy is more economical for achieving strong reasoning performance?,"['For instance, prompting a PaLM 540B with just eight chain-of-thought exemplars achieves state-of-the-art accuracy on the GSM8K benchmark of math word problems, surpassing even finetuned GPT-3 with a verifier.']","Practical knowledge of deployment trade-offs: finetuning a model (costly labeled data, compute, maintenance) versus prompting a large pretrained model with examples (lower labeled-data and deployment overhead).",Which approach—extensive finetuning of smaller models or using few exemplars with large pretrained models—does the evidence most support as cost-effective?,"The paper shows a large pretrained model with only a handful of exemplars beats a finetuned competitor, implying that leveraging pretrained scale with smart prompting is a more economical way to get strong reasoning performance than extensive finetuning of alternatives.",prompting large models
 prompt injection,"According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', when models accept external natural-language rationales provided inside prompts, the adversarial attack vector that becomes more feasible is","According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', when models accept external natural-language rationales provided inside prompts, the adversarial attack vector that becomes more feasible is prompt injection",Which adversarial attack vector becomes more feasible when models accept external natural-language rationales provided inside prompts?,"['Specifically, we explore the ability of language models to perform few-shot prompting for reasoning tasks, given a prompt that consists of triples: $\\langle$input, \\emph{chain of thought}, output$\\rangle$.', 'A \\emph{chain of thought} is a series of intermediate natural language reasoning steps that lead to the final output, and we refer to this approach as \\textit{chain-of-thought prompting}.']",Familiarity with prompt injection attacks: adversarially crafted inputs or prompt material that manipulate model outputs.,"If attackers can supply or influence the rationales inside prompts, which known attack becomes easier?","Because CoT prompts explicitly include rationales the model conditions on, an attacker who controls or manipulates those rationales can steer outputs; this is a prompt injection-style attack.",prompt injection
 context window,"In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the authors state that compared to short standard exemplars, chain-of-thought prompting places greater importance on the model capability related to handling long prompts, namely the","In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the authors state that compared to short standard exemplars, chain-of-thought prompting places greater importance on the model capability related to handling long prompts, namely the context window",Which model capability related to handling long prompts becomes more important for chain-of-thought prompting than for short standard exemplars?,"['Specifically, we explore the ability of language models to perform few-shot prompting for reasoning tasks, given a prompt that consists of triples: $\\langle$input, \\emph{chain of thought}, output$\\rangle$.', 'A \\emph{chain of thought} is a series of intermediate natural language reasoning steps that lead to the final output, and we refer to this approach as \\textit{chain-of-thought prompting}.']",Understanding of transformer-based models' context window (maximum number of tokens that can be attended to during inference).,"Because chain-of-thought prompts include full intermediate steps, which capability for processing longer text is critical?","Longer exemplars consume more tokens, so the model's context window (how many tokens it can attend to at once) becomes a limiting factor for CoT prompting.",context window
 latency-accuracy tradeoff,"According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', when eliciting chain-of-thought in latency-sensitive deployments, the primary system-level trade-off that arises is the","According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', when eliciting chain-of-thought in latency-sensitive deployments, the primary system-level trade-off that arises is the latency-accuracy tradeoff",What primary system-level trade-off arises when eliciting chain-of-thought in latency-sensitive deployments?,"['First, chain of thought, in principle, allows models to decompose multi-step problems into intermediate steps, which means that additional computation can be allocated to problems that require more reasoning steps.', 'Finally, chain-of-thought reasoning can be readily elicited in sufficiently large off-the-shelf language models simply by including examples of chain of thought sequences into the exemplars of few-shot prompting.']",Understanding that longer or more computationally intensive model outputs increase response latency while often improving output quality (accuracy).,"If producing chain-of-thought consumes extra compute/time, what primary trade-off must system designers balance in time-constrained settings?","Generating longer intermediate steps requires more compute and increases latency; since these steps tend to improve correctness, the central trade-off is between latency and accuracy.",latency-accuracy tradeoff
 mechanistic interpretability,"According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the research program most directly aimed at fully characterizing the internal computations behind a model's answers a goal the authors say chain-of-thought does not yet achieve is","According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the research program most directly aimed at fully characterizing the internal computations behind a model's answers a goal the authors say chain-of-thought does not yet achieve is mechanistic interpretability",Which research program would be most directly aimed at fully characterizing the internal computations behind a model's answers—something the authors say chain-of-thought does not yet achieve?,"[""Second, a chain of thought provides an interpretable window into the behavior of the model, suggesting how it might have arrived at a particular answer and providing opportunities to debug where the reasoning path went wrong (although fully characterizing a model's computations that support an answer remains an open question).""]","Familiarity with interpretability research in deep learning, particularly approaches that attempt to reverse-engineer internal circuitry and provide mechanistic accounts of model computation.",Which field of research aims to explain models at the mechanistic/internal level rather than just giving behavioral or post-hoc explanations?,"Because chain-of-thought supplies a behavioral, stepwise explanation but not a full account of internal mechanisms, the complementary research direction that targets internal mechanisms is mechanistic interpretability.",mechanistic interpretability
 in-context learning,"In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', to ensure that few-shot chain-of-thought exemplars cause a language model to produce chain-of-thought reasoning on new problems, the necessary implicit model capability is","In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', to ensure that few-shot chain-of-thought exemplars cause a language model to produce chain-of-thought reasoning on new problems, the necessary implicit model capability is in-context learning",What implicit model capability must hold for few-shot chain-of-thought exemplars to cause a language model to produce chain-of-thought reasoning on new problems?,"['We will show that sufficiently large language models can generate chains of thought if demonstrations of chain-of-thought reasoning are provided in the exemplars for few-shot prompting.', 'Finally, chain-of-thought reasoning can be readily elicited in sufficiently large off-the-shelf language models simply by including examples of chain of thought sequences into the exemplars of few-shot prompting.']",Knowledge of in-context learning: the ability of large models to adapt behavior based on examples supplied in the prompt without parameter updates.,Which capability enables a model to pick up patterns from prompt exemplars and apply them to new inputs?,"The described phenomenon—models changing output behavior based on prompt examples—is precisely what in-context learning refers to, so that capability must be present.",in-context learning
 meta-learning,"In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', among higher-level machine learning paradigms, using a few in-context chain-of-thought exemplars to adapt a pretrained model to new reasoning tasks without finetuning is best characterized as","In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', among higher-level machine learning paradigms, using a few in-context chain-of-thought exemplars to adapt a pretrained model to new reasoning tasks without finetuning is best characterized as meta-learning",What higher-level machine learning paradigm best characterizes using a few in-context chain-of-thought exemplars to adapt a pretrained model to new reasoning tasks without finetuning?,"['Second, large language models offer the exciting prospect of in-context few-shot learning via prompting.', ""That is, instead of finetuning a separate language model checkpoint for each new task, one can simply ``prompt'' the model with a few input--output exemplars demonstrating the task."", 'A prompting only approach is important because it does not require a large training dataset and because a single model checkpoint can perform many tasks without loss of generality.']",Understanding of meta-learning (learning-to-learn): models leverage prior experience to adapt quickly to new tasks from few examples.,The model uses its prior training and a few examples at inference time to do new tasks. What ML paradigm captures that capability?,Using prior training plus few in-context examples to adapt on the fly is the core idea of meta-learning; chain-of-thought few-shot prompting leverages that capability.,meta-learning
