target,probe,fact,question,answer,prior_knowledge,text_sentences,question_explanation,inference_explanation
 few-shot rationale prompting,"Given the dual constraints of avoiding large-scale rationale annotation and per-task finetuning while still improving reasoning, the specific few-shot prompting strategy that best satisfies these constraints is","Given the dual constraints of avoiding large-scale rationale annotation and per-task finetuning while still improving reasoning, the specific few-shot prompting strategy that best satisfies these constraints is few-shot rationale prompting","Given the dual constraints of avoiding large-scale rationale annotation and per-task finetuning while still improving reasoning, what specific few-shot prompting strategy best satisfies these constraints?",few-shot rationale prompting,Understanding of: (a) the difference between finetuning and in-context prompting; (b) why collecting detailed rationales is more labor-intensive than simple labels; (c) how few-shot examples can condition large models without weight updates.,"['For rationale-augmented training and finetuning methods, it is costly to create a large set of high quality rationales, which is much more complicated than simple input--output pairs used in normal machine learning.', ""That is, instead of finetuning a separate language model checkpoint for each new task, one can simply ``prompt'' the model with a few input--output exemplars demonstrating the task."", 'Specifically, we explore the ability of language models to perform few-shot prompting for reasoning tasks, given a prompt that consists of triples: $\\langle$input, \\emph{chain of thought}, output$\\rangle$.', 'A prompting only approach is important because it does not require a large training dataset and because a single model checkpoint can perform many tasks without loss of generality.', 'We present empirical evaluations on arithmetic, commonsense, and symbolic reasoning benchmarks, showing that chain-of-thought prompting outperforms standard prompting, sometimes to a striking degree.']",This asks which method the paper implies you should use when you want better reasoning without costly data collection or training new models for each task.,"The text highlights that collecting rationales for training is costly and that prompting avoids finetuning and large datasets. It then introduces few-shot prompts that include a chain of thought and shows they outperform standard prompting. Putting these together, the most fitting strategy is few-shot prompting that includes rationales—i.e., few-shot rationale prompting."
 language-mediated generalization,"The text argues that because chain-of-thought is language-based, it applies to commonsense reasoning about both physical and human interactions; the general mechanism enabling this cross-domain applicability is","The text argues that because chain-of-thought is language-based, it applies to commonsense reasoning about both physical and human interactions; the general mechanism enabling this cross-domain applicability is language-mediated generalization",The text argues that the language-based nature of chain-of-thought makes it applicable to commonsense reasoning about physical and human interactions. What general mechanism enables this cross-domain applicability?,language-mediated generalization,Understanding that language can serve as a common interface to express diverse domain knowledge and reasoning steps.,"['Although chain of thought is particularly suitable for math word problems, the language-based nature of chain of thought actually makes it applicable to a broad class of commonsense reasoning problems, which involve reasoning about physical and human interactions under the presumption of general background knowledge.']",It asks why a language-based method can work across many different types of commonsense problems.,"Because chain-of-thought operates through language, which can represent many domains, its applicability stems from language enabling generalization across domains—language-mediated generalization."
 reasoning trace,"According to the authors' framing, the chain-of-thought text that precedes the final answer primarily functions as the","According to the authors' framing, the chain-of-thought text that precedes the final answer primarily functions as the reasoning trace","Given the authors’ framing, what is the primary role of the chain-of-thought text before the final answer?",Reasoning trace,"Understanding that a reasoning trace records intermediate steps leading to an answer, distinct from a post hoc explanation.","['The chain of thought in this case resembles a solution and can interpreted as one, but we still opt to call it a chain of thought to better capture the idea that it mimics a step-by-step thought process for arriving at the answer (and also, solutions/explanations typically come \\textit{after} the final answer \\citep[][\\textit{inter alia}]{narang2020wt5,wiegreffe2021reframing,lampinen2022can}).']",It asks what function the chain-of-thought serves in the workflow leading up to the answer.,"Because it mimics the step-by-step process leading to the answer and precedes it, its role is a reasoning trace rather than a post hoc explanation."
 the absence of explicit reasoning,"The proposed method directly remedies the core deficiency in scaled language models that hinders better reasoning, namely","The proposed method directly remedies the core deficiency in scaled language models that hinders better reasoning, namely the absence of explicit reasoning",What core deficiency in scaled language models does the proposed method directly remedy to enable better reasoning?,absence of explicit reasoning,Knowing that complex reasoning often benefits from making intermediate steps explicit; understanding that model capacity alone may not yield structured reasoning behavior.,"['However, scaling up model size alone has not proved sufficient for achieving high performance on challenging tasks such as arithmetic, commonsense, and symbolic reasoning \\citep{rae2021scaling}.', 'A \\emph{chain of thought} is a series of intermediate natural language reasoning steps that lead to the final output, and we refer to this approach as \\textit{chain-of-thought prompting}.']",This asks what is missing in big models that the new technique adds to improve reasoning.,"The text says scaling isn’t enough for hard reasoning and defines chain-of-thought as explicit intermediate steps. Therefore, the deficiency is the lack of explicit reasoning steps—an absence the method remedies."
 selection bias,Using the first ten evaluation examples as few-shot exemplars for the BIG-bench tasks and evaluating on the remainder introduces a methodological risk that the exemplars may not be representative due to,Using the first ten evaluation examples as few-shot exemplars for the BIG-bench tasks and evaluating on the remainder introduces a methodological risk that the exemplars may not be representative due to selection bias,"By using the first ten evaluation examples as few-shot exemplars for the BIG-bench tasks and evaluating on the remainder, what methodological risk does this introduce regarding the representativeness of the exemplars?",selection bias,"Understanding of sampling bias, how non-random exemplar selection can skew in-context learning, and the importance of representative few-shot examples.","['The two BIG-bench tasks do not have training sets, so we selected the first ten examples as exemplars in the evaluation set as few-shot exemplars and report numbers on the rest of the evaluation set.']",It asks what kind of bias can arise when examples are chosen by position (first ten) rather than randomly.,"Choosing the first ten evaluation instances is a non-random sampling procedure, which risks a non-representative exemplar set—classic selection bias."
 in-context generalization,The approach exploits a latent model capability so that strong reasoning can be achieved without any parameter updates:,The approach exploits a latent model capability so that strong reasoning can be achieved without any parameter updates: in-context generalization,What latent model capability does the approach exploit so that strong reasoning can be achieved without any parameter updates?,in-context generalization,Understanding of in-context learning: models can condition on examples in the prompt to adapt behavior without changing weights.,"['Second, large language models offer the exciting prospect of in-context few-shot learning via \\emph{prompting}.', ""That is, instead of finetuning a separate language model checkpoint for each new task, one can simply ``prompt'' the model with a few input--output exemplars demonstrating the task."", 'A prompting only approach is important because it does not require a large training dataset and because a single model checkpoint can perform many tasks without loss of generality.']",This asks what built-in ability of the model the method relies on to perform well without training.,"The text emphasizes in-context few-shot learning via prompting and avoiding finetuning or large datasets, implying the key capability is the model’s ability to generalize from context in the prompt—i.e., in-context generalization."
 exemplar sensitivity,"Because the authors manually crafted chains of thought for exemplars across datasets and selected exemplars from different sources, the results should be expected to exhibit","Because the authors manually crafted chains of thought for exemplars across datasets and selected exemplars from different sources, the results should be expected to exhibit exemplar sensitivity","Given that the authors manually crafted chains of thought for exemplars across datasets and selected different sources for exemplars, what key sensitivity in results should be expected?",exemplar sensitivity,"Understanding that few-shot, in-context performance can depend strongly on the quality and selection of exemplars.","['For CSQA and StrategyQA, we randomly selected examples from the training set and manually composed chains of thought for them to use as few-shot exemplars.', 'The two BIG-bench tasks do not have training sets, so we selected the first ten examples as exemplars in the evaluation set as few-shot exemplars and report numbers on the rest of the evaluation set.', 'For SayCan, we use six examples from the training set used in \\citet{ahn2022can} and also manually composed chains of thought.']",It asks what aspect of the setup might make results vary when exemplars are chosen or written differently.,"Because exemplars are manually composed and selected from varying sources (random training vs first evaluation items), outcomes are likely sensitive to exemplar choice and quality—exemplar sensitivity."
 large models with chain-of-thought reasoning,"Within this setup, to maximize performance on new commonsense reasoning tasks, the evidence suggests the most effective combined approach is","Within this setup, to maximize performance on new commonsense reasoning tasks, the evidence suggests the most effective combined approach is large models with chain-of-thought reasoning","If one aims to maximize performance on new commonsense reasoning tasks within this setup, which combined approach does the evidence suggest will be most effective?",large models with chain-of-thought,"Recognizing that performance depends both on model capacity and prompting method; large models typically perform better, and chain-of-thought adds gains.","['For all tasks, scaling up model size improved the performance of standard prompting; chain-of-thought prompting led to further gains, with improvements appearing to be largest for PaLM 540B.']","It asks you to choose the strategy that, according to the evidence, would yield the highest performance.","Since scale improves standard prompting and chain-of-thought adds the largest extra gains at the biggest scale, the best approach combines both: large models with chain-of-thought."
 step-by-step decomposition,The problem-solving pattern that best captures the method of writing intermediate natural-language steps before giving the final answer is,The problem-solving pattern that best captures the method of writing intermediate natural-language steps before giving the final answer is step-by-step decomposition,What problem-solving pattern best captures the method of writing intermediate natural-language steps before giving the final answer?,step-by-step decomposition,Understanding that complex problems can be decomposed into simpler steps and that articulating steps can aid reasoning and accuracy.,"['First, techniques for arithmetic reasoning can benefit from generating natural language rationales that lead to the final answer.', 'A \\emph{chain of thought} is a series of intermediate natural language reasoning steps that lead to the final output, and we refer to this approach as \\textit{chain-of-thought prompting}.']",This asks for a short phrase that describes the strategy of breaking problems into written steps before answering.,The text explains that generating intermediate reasoning steps (a chain of thought) helps reach the answer. This aligns with the general pattern of solving by stepwise breakdown—step-by-step decomposition.
 In-context transfer,Eliciting behavior via exemplars rather than parameter updates enables a form of transfer across tasks known as,Eliciting behavior via exemplars rather than parameter updates enables a form of transfer across tasks known as in-context transfer,What form of transfer across tasks is enabled by eliciting behavior via exemplars rather than parameter updates?,In-context transfer,"Understanding that in-context learning uses examples in prompts to adapt behavior without changing model weights, enabling transfer across tasks.","['Third, chain-of-thought reasoning can be used for tasks such as math word problems, commonsense reasoning, and symbolic manipulation, and is potentially applicable (at least in principle) to any task that humans can solve via language.', 'Finally, chain-of-thought reasoning can be readily elicited in sufficiently large off-the-shelf language models simply by including examples of chain of thought sequences into the exemplars of few-shot prompting.']","It asks what kind of task-to-task reuse is implied when examples in the prompt, not retraining, produce the desired behavior.","Because examples within the prompt elicit the behavior across many tasks without retraining, the transfer mechanism is in-context transfer."
 symbol substitution,"Given that chains of thought in exemplars provide the solution structure, the model can solve novel instances with different names or flip sequences only by carrying out the core cognitive operation of","Given that chains of thought in exemplars provide the solution structure, the model can solve novel instances with different names or flip sequences only by carrying out the core cognitive operation of symbol substitution","Given that chains of thought in exemplars provide the solution structure, what core cognitive operation must the model perform to solve novel instances with different names or flip sequences?",symbol substitution,Understanding that applying a known procedure to new items requires instantiating variables or substituting new symbols into the same step-by-step template.,"['Note that these in-domain evaluations are ""toy tasks"" in the sense that perfect solution structures are already provided by the chains of thought in the few-shot exemplars; all the model has to do is repeat the same steps with the new symbols in the test-time example.']",This asks what mental action is needed if the instructions are already clear: what does the model still have to do when the inputs change?,"The text says the model just repeats the same steps 'with the new symbols,' which is precisely substituting new symbols into an existing procedure—i.e., symbol substitution."
 annotation effort,"Compared to rationale-augmented training, the prompting-only approach principally conserves","Compared to rationale-augmented training, the prompting-only approach principally conserves annotation effort","Compared to rationale-augmented training, what key resource does the prompting-only approach principally conserve?",annotation effort,Awareness that creating high-quality rationales is a form of data annotation that is more time-consuming than simple label creation.,"['For rationale-augmented training and finetuning methods, it is costly to create a large set of high quality rationales, which is much more complicated than simple input--output pairs used in normal machine learning.', 'A prompting only approach is important because it does not require a large training dataset and because a single model checkpoint can perform many tasks without loss of generality.']",This asks what primary cost is saved by using the proposed prompting method rather than training on many rationales.,"The text notes the high cost of producing rationales and that prompting avoids large datasets. Therefore, the saved resource is the human and dataset creation cost—i.e., annotation effort."
 the prompt format,"Given that standard few-shot prompting often fails to improve with scale on reasoning, the observed gains on GSM8K with PaLM 540B are chiefly explained by","Given that standard few-shot prompting often fails to improve with scale on reasoning, the observed gains on GSM8K with PaLM 540B are chiefly explained by the prompt format","Given that standard few-shot prompting often fails to improve with scale on reasoning, what factor chiefly explains the observed gains on GSM8K with PaLM 540B?",prompt format,"Understanding that performance can depend on how task information is presented (prompt engineering), not just on model size.","['For the traditional few-shot prompting method used in \\citet{brown2020language}, it works poorly on tasks that require reasoning abilities, and often does not improve substantially with increasing language model scale \\citep{rae2021scaling}.', '\\cref{fig:pull-bar-chart} illustrates one such result---on the GSM8K benchmark of math word problems \\citep{cobbe2021training}, chain-of-thought prompting with PaLM 540B outperforms standard prompting by a large margin and achieves new state-of-the-art performance.', 'Specifically, we explore the ability of language models to perform few-shot prompting for reasoning tasks, given a prompt that consists of triples: $\\langle$input, \\emph{chain of thought}, output$\\rangle$.']",This asks what changed to produce better results if simply making the model bigger typically doesn't help on such tasks.,"Since scaling alone often doesn’t help, but adding chain-of-thought in the prompt yields large gains, the key driver is how the prompt is structured—the prompt format."
 structured action planning,"Because SayCan entails mapping instructions to action sequences and chain-of-thought has improved performance on such tasks, chain-of-thought most likely serves the function of","Because SayCan entails mapping instructions to action sequences and chain-of-thought has improved performance on such tasks, chain-of-thought most likely serves the function of structured action planning","Because SayCan entails mapping instructions to action sequences and chain-of-thought improved performance on such tasks, what function does chain-of-thought most likely serve in this context?",structured action planning,Awareness that mapping instructions to sequences requires planning and decomposition; chain-of-thought provides stepwise structure for such decompositions.,"['Finally, the \\textbf{SayCan} dataset \\citep{ahn2022can} involves mapping a natural language instruction to a sequence of robot actions from a discrete set.', 'These results demonstrate that chain-of-thought prompting can also improve performance on tasks requiring a range of commonsense reasoning abilities (though note that gain was minimal on CSQA).']",It asks you to infer how chain-of-thought helps when turning instructions into steps for a robot.,"Since SayCan requires sequencing actions, and chain-of-thought improves such tasks, its likely role is to enforce a structured, stepwise plan—i.e., structured action planning."
 limited knowledge augmentation,"Because CSQA often requires prior knowledge yet saw minimal gain from chain-of-thought prompting, this suggests that in knowledge-limited settings chain-of-thought suffers from","Because CSQA often requires prior knowledge yet saw minimal gain from chain-of-thought prompting, this suggests that in knowledge-limited settings chain-of-thought suffers from limited knowledge augmentation","Given that CSQA often requires prior knowledge yet saw minimal gain from chain-of-thought prompting, what limitation of chain-of-thought is suggested in knowledge-limited settings?",limited knowledge augmentation,Distinguishing between reasoning procedures and knowledge acquisition; recognizing that reasoning can be bottlenecked by missing background knowledge.,"['The popular \\textbf{CSQA} \\citep{talmor-etal-2019-commonsenseqa} asks commonsense questions about the world involving complex semantics that often require prior knowledge.', 'These results demonstrate that chain-of-thought prompting can also improve performance on tasks requiring a range of commonsense reasoning abilities (though note that gain was minimal on CSQA).']",It asks you to infer what chain-of-thought might not provide when the main challenge is missing knowledge rather than reasoning steps.,"Because CSQA needs prior knowledge and saw minimal improvement, chain-of-thought likely does not supply missing knowledge; it improves reasoning but not knowledge augmentation."
 prompting with explanations,"Based on the results and limitations discussed in the work, for hard reasoning tasks a shift in emphasis that is more effective than additional parameter scaling is","Based on the results and limitations discussed in the work, for hard reasoning tasks a shift in emphasis that is more effective than additional parameter scaling is prompting with explanations","Based on the results and limitations discussed, what shift in emphasis is more effective than additional parameter scaling for hard reasoning tasks?",prompting with explanations,Recognizing that method choice (how information is provided to the model) can matter more than raw capacity for certain tasks; understanding that explanations/rationales can scaffold reasoning.,"['However, scaling up model size alone has not proved sufficient for achieving high performance on challenging tasks such as arithmetic, commonsense, and symbolic reasoning \\citep{rae2021scaling}.', 'We present empirical evaluations on arithmetic, commonsense, and symbolic reasoning benchmarks, showing that chain-of-thought prompting outperforms standard prompting, sometimes to a striking degree.', '\\cref{fig:pull-bar-chart} illustrates one such result---on the GSM8K benchmark of math word problems \\citep{cobbe2021training}, chain-of-thought prompting with PaLM 540B outperforms standard prompting by a large margin and achieves new state-of-the-art performance.']",This asks what approach the paper suggests focusing on instead of just making models bigger to get better reasoning.,"The text states scaling alone isn’t enough and shows large gains when prompting includes reasoning steps (chain-of-thought). Thus, emphasizing prompting that includes explanations is more effective than further scaling for hard reasoning."
 intermediate-step predictions,"Across the cited math and program synthesis settings, the improved results are driven by","Across the cited math and program synthesis settings, the improved results are driven by intermediate-step predictions","Across the math and program synthesis settings cited, what shared strategy drives the improved results?",intermediate-step predictions,Recognizing that predicting intermediate steps or subresults constitutes a general strategy for complex reasoning and can improve final accuracy.,"['\\cite{ling-etal-2017-program} pioneer the idea of using natural language rationales to solve math word problems through a series of intermediate steps.', 'In the domain of program synthesis, \\cite{nye2021show} leverage language models to predict the final outputs of Python programs via first line-to-line predicting the intermediate computational results, and show that their step-by-step prediction method performs better than directly predicting the final outputs.']",It asks what common tactic is used in both domains to achieve better performance.,"Both examples emphasize producing intermediate results before the final answer, so the shared strategy is predicting intermediate steps."
 process evaluation,"Given that reasoning paths can be incorrect even when answers are correct, ensuring reliability requires evaluating not only final answers but also","Given that reasoning paths can be incorrect even when answers are correct, ensuring reliability requires evaluating not only final answers but also process evaluation","Given that reasoning paths can be incorrect even when answers are correct, what should be evaluated in addition to final answers to ensure reliability?",process evaluation,Distinguishing outcome-based evaluation (checking only the final answer) from process-based evaluation (checking the reasoning steps or rationale).,"['\\orange{Third, there is no guarantee of correct reasoning paths, which can lead to both correct and incorrect answers; improving factual generations of language models is an open direction for future work \\citep[][\\textit{inter alia}]{rashkin2021measuring,ye2022unreliability,wiegreffe2021reframing}.}']",It asks what else needs to be checked beyond the final result when the steps taken to reach the answer might be wrong.,"Because incorrect reasoning can coincidentally yield correct answers, evaluating only outcomes is insufficient; the reasoning process must also be assessed."
 lower accuracy,"When chain-of-thought prompting is used to generalize to longer, out-of-domain inputs, the expected performance tradeoff relative to in-domain performance is","When chain-of-thought prompting is used to generalize to longer, out-of-domain inputs, the expected performance tradeoff relative to in-domain performance is lower accuracy","Relative to in-domain performance, what performance tradeoff should be anticipated when chain-of-thought prompting is used to generalize to longer, out-of-domain inputs?",lower accuracy,"Recognizing that 'performance' in this context reflects solve rate or accuracy, and that 'lower than' implies a decrease compared to a baseline.","['With chain-of-thought prompting, language models achieve upward scaling curves (though performance is lower than in the in-domain setting).']",This asks what downside to expect when using the same reasoning approach on longer problems than the examples.,"The text explicitly notes that while scaling helps OOD, performance is still lower than in-domain, implying a tradeoff of lower accuracy."
