source,domain,v14_row_index,v13_row_index,reason,old_v13_probe,old_v13_target,v14_probe,v14_target,paraphrased_probe
arxiv,ByteLatent,467,467,cloze_changed,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the main role of the Local Encoder Model $\mathcal{E}$ is to"," efficiently map a sequence of input bytes $b_i$, into expressive patch representations, $p_j$.","According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the main role of the Local Encoder Model $\mathcal{E}$ is to efficiently map a sequence of input bytes $b_i$, into"," expressive patch representations, $p_j$.","As stated in the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the primary function of the Local Encoder Model $\mathcal{E}$ is to effectively transform a series of input bytes $b_i$ into"
arxiv,ByteLatent,472,472,cloze_changed,"In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", in the decoder multi-headed cross-attention used to compute the subsequent byte representations for layer \(l\), \(W_q\) operates on", byte representations $d_{l-1}$ from the previous decoder transformer layer,"In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", in the decoder multi-headed cross-attention used to compute the subsequent byte representations for layer \(l\), \(W_q\) operates on byte representations $d_{l-1}$ from", the previous decoder transformer layer,"According to ""Byte Latent Transformer: Patches Scale Better Than Tokens"", within the decoder's multi-headed cross-attention mechanism that calculates the next byte representations for layer \(l\), \(W_q\) acts on byte representations $d_{l-1}$ derived from"
arxiv,ByteLatent,478,478,cloze_changed,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the effective use of patching can bring down", the otherwise inflated number of flops expended by byte-level LLMs.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the effective use of patching can bring down the otherwise inflated number of", flops expended by byte-level LLMs.,"As stated in the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", utilizing patching efficiently can reduce the otherwise excessive amount of"
arxiv,DPO,20,20,cloze_changed,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", when the AI coding assistant is generating code, the model should be biased toward", the (potentially rare) high-quality coding ability present in its training data.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", when the AI coding assistant is generating code, the model should be biased toward the (potentially rare)", high-quality coding ability present in its training data.,"The paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"" states that while generating code, the AI coding assistant's model ought to favor the (possibly uncommon)"
arxiv,DPO,21,21,cloze_changed,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the process described as crucial to building AI systems that are safe, performant, and controllable is", selecting the model's \emph{desired responses and behavior} from its very wide \textit{knowledge and abilities}.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the process described as crucial to building AI systems that are safe, performant, and controllable is selecting the model's", \emph{desired responses and behavior} from its very wide \textit{knowledge and abilities}.,"The paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"" identifies as essential for developing AI systems that are safe, high-performing, and manageable the selection of the model's"
arxiv,DPO,135,135,v13_paraphrase_control_chars_source_fallback,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the second step of the general DPO pipeline, the language model $\pi_	heta$ is optimized to minimize", $\mathcal{L}_\text{DPO}$,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the second step of the general DPO pipeline, the language model $\pi_	heta$ is optimized to minimize", $\mathcal{L}_\text{DPO}$,"As stated in the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", during the second phase of the typical DPO process, the language model $\pi_\theta$ is trained to reduce"
arxiv,DPO,155,155,cloze_changed,"In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the authors show that the reparameterization $r(x, y) = \beta \log \frac{\pi(y\mid x)}{\pi_\text{ref}(y\mid x)}$ can be used to represent", a reward function from the equivalence class of $r$.,"In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the authors show that the reparameterization $r(x, y) = \beta \log \frac{\pi(y\mid x)}{\pi_\text{ref}(y\mid x)}$ can be used to represent a reward function from", the equivalence class of $r$.,"The authors demonstrate in the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"" that the reparameterization $r(x, y) = \beta \log \frac{\pi(y\mid x)}{\pi_\text{ref}(y\mid x)}$ serves to represent a reward function belonging to"
arxiv,DPO,162,162,cloze_changed,"In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", under the proposed reparameterization of the reward model, the projection $f$ produces", a member of the equivalence class of $r$ with the desired form.,"In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", under the proposed reparameterization of the reward model, the projection $f$ produces a member of", the equivalence class of $r$ with the desired form.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", when applying the suggested reparameterization to the reward model, the projection $f$ yields an element of"
arxiv,DPO,230,230,cloze_changed,"In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the \textbf{Best of $N$} baseline is computationally impractical even for moderate $N$ because", it requires sampling $N$ completions for every query at test time.,"In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the \textbf{Best of $N$} baseline is computationally impractical even for moderate $N$ because it requires sampling", $N$ completions for every query at test time.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the \textbf{Best of $N$} baseline becomes computationally infeasible even with moderate values of $N$ since it involves generating"
arxiv,DPO,284,284,cloze_changed,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the authors evaluate the GPT-4 (C) (concise) prompt in their human study of the TL;DR summarization experiment, compared with the GPT-4 (S) prompt, because"," GPT-4 prefers longer, more repetitive summaries than humans do","According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the authors evaluate the GPT-4 (C) (concise) prompt in their human study of the TL;DR summarization experiment, compared with the GPT-4 (S) prompt, because GPT-4 prefers"," longer, more repetitive summaries than humans do","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the authors assess the GPT-4 (C) (concise) prompt in their human study on the TL;DR summarization task, in comparison to the GPT-4 (S) prompt, since GPT-4 tends to favor"
arxiv,FeatLLM,49,49,cloze_changed,"In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the first sub-task in the two-part input-prompt structure that \textsf{FeatLLM} uses for engineering new features, before it derives decisive rules from the few-shot examples, is", understanding the problem and inferring the relationship between features and targets.,"In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the first sub-task in the two-part input-prompt structure that \textsf{FeatLLM} uses for engineering new features, before it derives decisive rules from the few-shot examples, is understanding the problem and", inferring the relationship between features and targets.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the initial sub-task in the two-step input-prompt framework employed by \textsf{FeatLLM} for creating new features, prior to extracting decisive rules from the few-shot examples, involves comprehending the problem and"
arxiv,FeatLLM,83,83,cloze_changed,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", recent work has proposed training models on", a broad range of tabular datasets beyond those related to the target task.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", recent work has proposed training models on a broad range of", tabular datasets beyond those related to the target task.,"The study titled ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"" indicates that recent research suggests training models using a wide variety of"
arxiv,FeatLLM,147,147,cloze_changed,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the new binary features created for each class indicate", whether the sample satisfies the rules associated with that class.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the new binary features created for each class indicate whether the sample satisfies", the rules associated with that class.,"As stated in the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the newly generated binary features for each class show if the sample meets"
arxiv,FeatLLM,148,148,cloze_changed,"In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", designing a parsing strategy is required for automatic feature generation from the rules produced by the LLM because", the rules generated by the LLM are based on natural language.,"In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", designing a parsing strategy is required for automatic feature generation from the rules produced by the LLM because the rules generated by the LLM are based on", natural language.,"The paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"" states that a parsing strategy must be designed for automatic feature generation from the LLM-produced rules since these rules are expressed in"
arxiv,FeatLLM,161,161,cloze_changed,"In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the simple method the authors use to measure the class likelihood of a sample when given new binary features from rules for each class is", count how many rules of each class it satisfies,"In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the simple method the authors use to measure the class likelihood of a sample when given new binary features from rules for each class is count how many", rules of each class it satisfies,"In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the straightforward approach the authors employ to estimate the class likelihood of a sample based on new binary features derived from rules for each class is to count the number of"
arxiv,FeatLLM,163,163,cloze_changed,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", in the section on inferring class likelihood from generated binary rules and features, this must be learned from training samples rather than by simply counting how many rules of each class a sample satisfies because", not all rules and features carry the same importance,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", in the section on inferring class likelihood from generated binary rules and features, this must be learned from training samples rather than by simply counting how many rules of each class a sample satisfies because not all rules and features carry", the same importance,"As stated in the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", within the part discussing inferring class likelihood from generated binary rules and features, this should be derived from training samples instead of merely tallying how many rules of each class a sample meets since rules and features do not have"
arxiv,FeatLLM,190,190,cloze_changed,"In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the authors state that when a single rule set may not capture relationships among all features, the impact of incomplete feature or instance coverage in individual trials can be nullified by", the ensemble of various weak learners created across multiple trials.,"In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the authors state that when a single rule set may not capture relationships among all features, the impact of incomplete feature or instance coverage in individual trials can be nullified by the ensemble of", various weak learners created across multiple trials.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the authors explain that if one rule set fails to capture all feature relationships, the effect of partial feature or instance coverage in separate trials can be counterbalanced by the combination of"
arxiv,FeatLLM,215,215,cloze_changed,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the In-context learning baseline", directly embeds few-shot training samples into the input prompt without tuning.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the In-context learning baseline directly embeds", few-shot training samples into the input prompt without tuning.,"As stated in the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the In-context learning baseline incorporates directly"
arxiv,FeatLLM,254,254,cloze_changed,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", when the number of shots is small and the effect of feature descriptions and reasoning instructions is high, a crucial factor for performance improvements is", the efficient utilization of the prior knowledge of LLM,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", when the number of shots is small and the effect of feature descriptions and reasoning instructions is high, a crucial factor for performance improvements is the efficient utilization of", the prior knowledge of LLM,"As stated in the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", under conditions of few shots and significant impact from feature descriptions and reasoning instructions, an essential element for enhancing performance is the effective use of"
arxiv,FeatLLM,285,285,cloze_changed,"In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", during the hyper-parameter analysis of \textsf{FeatLLM}, the other main hyper-parameter besides the number of ensembles is", how many rules per class to extract during each LLM query.,"In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", during the hyper-parameter analysis of \textsf{FeatLLM}, the other main hyper-parameter besides the number of ensembles is how many", rules per class to extract during each LLM query.,"In the study ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", while examining the hyper-parameters of \textsf{FeatLLM}, the primary hyper-parameter apart from the number of ensembles concerns the quantity of"
arxiv,FeatLLM,286,286,cloze_changed,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", FeatLLM has two main hyper-parameters."," One is the number of ensembles, and the other is how many rules per class to extract during each LLM query.","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", FeatLLM has two main hyper-parameters. One is the number of ensembles, and the other is how many", rules per class to extract during each LLM query.,"The paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"" states that FeatLLM includes two primary hyper-parameters. One refers to the number of ensembles, and the other concerns the quantity of"
arxiv,FeatLLM,297,297,cloze_changed,"In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the authors say prior knowledge in LLMs can be particularly valuable in real-world finance and healthcare scenarios where labeling is difficult because", the LLMs are pretrained with relevant finance or healthcare related text.,"In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the authors say prior knowledge in LLMs can be particularly valuable in real-world finance and healthcare scenarios where labeling is difficult because the LLMs are pretrained with", relevant finance or healthcare related text.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the authors state that prior knowledge embedded in LLMs is especially useful in practical finance and healthcare settings where labeling is challenging, due to the LLMs being pretrained on"
arxiv,GRPO,106,106,cloze_changed,"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", numerous mathematical web pages remain uncollected after the first iteration of data collection because", the fastText model is trained on a set of positive examples that lacks sufficient diversity,"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", numerous mathematical web pages remain uncollected after the first iteration of data collection because the fastText model is trained on", a set of positive examples that lacks sufficient diversity,"The paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"" states that many mathematical web pages were not gathered after the initial data collection round because the fastText model is trained on"
arxiv,GRPO,223,223,cloze_changed,"In the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", according to the authors’ discussion of PPO and reward modeling in the LLM context, the thing that may be complicated because usually only the last token is assigned a reward score by the reward model is", the training of a value function that is accurate at each token,"In the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", according to the authors’ discussion of PPO and reward modeling in the LLM context, the thing that may be complicated because usually only the last token is assigned a reward score by the reward model is the training of", a value function that is accurate at each token,"Within the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", based on the authors’ examination of PPO and reward modeling in the context of LLMs, the aspect that can be challenging due to the reward model typically assigning a score only to the final token is the training of"
