variant,domain,source_version,source_rows,filtered_version,filtered_rows,mcqa_rows,prefilter_rejected,passed_filter_no_mcqa,safe_recovery_index_file,prefilter_rejected_index_file
regular,United_States_v_Justin_Cutbank,v11,11,v12,9,6,2,3,reports/legal_mcqa_recovery_v12/regular/passed_filter_no_mcqa/United_States_v_Justin_Cutbank/row_indices.txt,reports/legal_mcqa_recovery_v12/regular/prefilter_rejected/United_States_v_Justin_Cutbank/row_indices.txt
regular,Williams_v_GoAuto_Insurance,v11,40,v12,29,24,11,5,reports/legal_mcqa_recovery_v12/regular/passed_filter_no_mcqa/Williams_v_GoAuto_Insurance/row_indices.txt,reports/legal_mcqa_recovery_v12/regular/prefilter_rejected/Williams_v_GoAuto_Insurance/row_indices.txt
reviewed,America_First_Legal_Foundation_v_Jamieson_Greer,v11_reviewed,11,v12_reviewed,9,6,2,3,reports/legal_mcqa_recovery_v12/reviewed/passed_filter_no_mcqa/America_First_Legal_Foundation_v_Jamieson_Greer/row_indices.txt,reports/legal_mcqa_recovery_v12/reviewed/prefilter_rejected/America_First_Legal_Foundation_v_Jamieson_Greer/row_indices.txt
reviewed,Apex_Bank_v_Cc_Serve_Corp,v11_reviewed,4,v12_reviewed,4,3,0,1,reports/legal_mcqa_recovery_v12/reviewed/passed_filter_no_mcqa/Apex_Bank_v_Cc_Serve_Corp/row_indices.txt,reports/legal_mcqa_recovery_v12/reviewed/prefilter_rejected/Apex_Bank_v_Cc_Serve_Corp/row_indices.txt
reviewed,Bruce_Cohen_v_Consilio_LLC,v11_reviewed,6,v12_reviewed,6,5,0,1,reports/legal_mcqa_recovery_v12/reviewed/passed_filter_no_mcqa/Bruce_Cohen_v_Consilio_LLC/row_indices.txt,reports/legal_mcqa_recovery_v12/reviewed/prefilter_rejected/Bruce_Cohen_v_Consilio_LLC/row_indices.txt
reviewed,Finesse_Wireless_LLC_v_Att_Mobility_LLC,v11_reviewed,7,v12_reviewed,4,4,3,0,reports/legal_mcqa_recovery_v12/reviewed/passed_filter_no_mcqa/Finesse_Wireless_LLC_v_Att_Mobility_LLC/row_indices.txt,reports/legal_mcqa_recovery_v12/reviewed/prefilter_rejected/Finesse_Wireless_LLC_v_Att_Mobility_LLC/row_indices.txt
reviewed,Foad_Farahi_v_FBI,v11_reviewed,6,v12_reviewed,6,5,0,1,reports/legal_mcqa_recovery_v12/reviewed/passed_filter_no_mcqa/Foad_Farahi_v_FBI/row_indices.txt,reports/legal_mcqa_recovery_v12/reviewed/prefilter_rejected/Foad_Farahi_v_FBI/row_indices.txt
reviewed,Jimenez_v_Bondi,v11_reviewed,11,v12_reviewed,10,8,1,2,reports/legal_mcqa_recovery_v12/reviewed/passed_filter_no_mcqa/Jimenez_v_Bondi/row_indices.txt,reports/legal_mcqa_recovery_v12/reviewed/prefilter_rejected/Jimenez_v_Bondi/row_indices.txt
reviewed,Pacito_v_Trump,v11_reviewed,10,v12_reviewed,6,3,4,3,reports/legal_mcqa_recovery_v12/reviewed/passed_filter_no_mcqa/Pacito_v_Trump/row_indices.txt,reports/legal_mcqa_recovery_v12/reviewed/prefilter_rejected/Pacito_v_Trump/row_indices.txt
reviewed,Santos_v_Kimmel,v11_reviewed,7,v12_reviewed,5,3,2,2,reports/legal_mcqa_recovery_v12/reviewed/passed_filter_no_mcqa/Santos_v_Kimmel/row_indices.txt,reports/legal_mcqa_recovery_v12/reviewed/prefilter_rejected/Santos_v_Kimmel/row_indices.txt
reviewed,United_States_v_Constantinescu,v11_reviewed,8,v12_reviewed,7,3,1,4,reports/legal_mcqa_recovery_v12/reviewed/passed_filter_no_mcqa/United_States_v_Constantinescu/row_indices.txt,reports/legal_mcqa_recovery_v12/reviewed/prefilter_rejected/United_States_v_Constantinescu/row_indices.txt
reviewed,United_States_v_Jaison_Coleman,v11_reviewed,6,v12_reviewed,6,5,0,1,reports/legal_mcqa_recovery_v12/reviewed/passed_filter_no_mcqa/United_States_v_Jaison_Coleman/row_indices.txt,reports/legal_mcqa_recovery_v12/reviewed/prefilter_rejected/United_States_v_Jaison_Coleman/row_indices.txt
reviewed,United_States_v_Justin_Cutbank,v11_reviewed,8,v12_reviewed,4,2,4,2,reports/legal_mcqa_recovery_v12/reviewed/passed_filter_no_mcqa/United_States_v_Justin_Cutbank/row_indices.txt,reports/legal_mcqa_recovery_v12/reviewed/prefilter_rejected/United_States_v_Justin_Cutbank/row_indices.txt
reviewed,Williams_v_GoAuto_Insurance,v11_reviewed,11,v12_reviewed,6,5,5,1,reports/legal_mcqa_recovery_v12/reviewed/passed_filter_no_mcqa/Williams_v_GoAuto_Insurance/row_indices.txt,reports/legal_mcqa_recovery_v12/reviewed/prefilter_rejected/Williams_v_GoAuto_Insurance/row_indices.txt
