target,probe,fact,inference_type,text_sentences,question,answer
 stability and generalization,"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', preserving the spectral norm (i.e., the largest singular value $\|\bm{W}^0\|_2$) via orthogonal finetuning primarily benefits training by improving","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', preserving the spectral norm (i.e., the largest singular value $\|\bm{W}^0\|_2$) via orthogonal finetuning primarily benefits training by improving stability and generalization",Conceptual Synthesis,"['Both OFT and BOFT multiply an orthogonal matrix R to the left and obtain the finetuned weights R U Σ V^T, which does not affect the largest singular value (i.e., the spectral norm of W^0).', 'Such a preservation has been shown to greatly benefit training stability and generalization.', 'Specifically, OFT learns an orthogonal matrix to transform the neurons of the same layer, and it achieves stronger generalization and consistently more stable training than LoRA.']",Preserving the spectral norm via orthogonal finetuning primarily benefits which aspects of training?,stability and generalization
 more expressivity and more parameters,"In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', increasing the number of butterfly factor layers $m$ leads to","In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', increasing the number of butterfly factor layers $m$ leads to more expressivity and more parameters",Conceptual Synthesis,"['With butterfly factorization, we are able to generate a d-dimensional dense matrix with a product of O(log d) sparse matrices, each with O(d) non-zero entries.', 'Compared to the block-diagonal structure that OFT uses to trade off expressivity and regularity, BOFT uses the butterfly structure to construct a smoother interpolation between matrices from the full orthogonal group (expressivity) and identity matrices (regularity).', 'In general, BOFT($m$,$b$) takes $\\frac{1}{2}(b-1)dm$ effective trainable parameters for finetuning a linear layer of size $d\\times n$.', 'BOFT($\\log \\frac{2d}{b}$,$b$) uses the block butterfly matrix $\\bm{B}^{\\frac{b}{2}}(d)$ as $\\bm{R}$, and yields a dense orthogonal matrix $\\bm{R}$.']","If the number of butterfly factor layers increases, how does that affect expressivity and parameter count?","more expressivity, more parameters"
 preserves orthogonality,"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the proposed multiplicative Dropout randomly replaces a percentage of the butterfly components and diagonal blocks in each butterfly component with identity matrices $\bm{I}$, relying on the implicit property that replacing these blocks by $\bm{I}$ keeps the model valid, namely that this operation","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the proposed multiplicative Dropout randomly replaces a percentage of the butterfly components and diagonal blocks in each butterfly component with identity matrices $\bm{I}$, relying on the implicit property that replacing these blocks by $\bm{I}$ keeps the model valid, namely that this operation preserves orthogonality",New Insight,"['The multiplicative Dropout first randomly picks p1 percent of the butterfly components and p2 percent of the diagonal blocks in each butterfly component, and then replaces these blocks as identity matrices.', 'Now we are ready to use the butterfly matrix to parameterize an orthogonal matrix.', 'The orthogonal matrix R(m,b) is composed of a product of multiple orthogonal butterfly components.']",What implicit property of replacing butterfly blocks with identity does multiplicative Dropout rely on to keep the model valid?,preserves orthogonality
 block-diagonal,"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', if the target transform is a dense classic linear transform, the implicitly assumed inadequate structure is","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', if the target transform is a dense classic linear transform, the implicitly assumed inadequate structure is block-diagonal",Conceptual Synthesis,"['This block-diagonal sparsity pattern, despite saving parameters, may introduce some undesirable inductive biases (e.g., the block-diagonal orthogonal matrix reduces expressiveness and cannot approximate classic linear transforms), and more importantly, how to find a good sparsity pattern remains a mystery.', 'Our intuition comes from the property that the butterfly structure can easily recover many classic linear transforms while it is impossible for the block-diagonal structure in OFT to recover any.', 'The parameter-efficiency brought by the block-diagonal structure comes at a price -- it introduces an assumption that the dimensions of a neuron (i.e., a column vector of the weight matrix \\bm{W}^0) are divided by r groups and dimensions in different groups are transformed separately using different orthogonal matrices.', 'Despite reducing the number of trainable parameters, the block-diagonal structure cannot construct a dense matrix \\bm{R}.']",Which structure (block-diagonal or butterfly) is implicitly assumed inadequate if the target transform is a dense classic linear transform?,block-diagonal
 butterfly structure,"In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', if a finetuned layer must approximate a discrete Fourier transform, the more suitable sparsity structure is the","In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', if a finetuned layer must approximate a discrete Fourier transform, the more suitable sparsity structure is the butterfly structure",Conceptual Synthesis,"['Compared to the block-diagonal structure that OFT uses to trade off expressivity and regularity, BOFT uses the butterfly structure to construct a smoother interpolation between matrices from the full orthogonal group (expressivity) and identity matrices (regularity).', 'Our intuition comes from the property that the butterfly structure can easily recover many classic linear transforms while it is impossible for the block-diagonal structure in OFT to recover any.', 'Given the widespread use of the butterfly structure in many fast linear transforms, such as the discrete Fourier and discrete cosine transforms, we argue that our structured approach to parameter efficiency will introduce an implicit inductive bias that benefits generalizability and prevents overfitting.', 'The radix-2 Cooley-Tukey algorithm recursively reduces the $N$-point discrete Fourier transform to two $\\frac{N}{2}$-point discrete Fourier transforms, and this process induces a butterfly structure that can be written as a product of multiple sparse matrices (the product is also called a butterfly matrix).']","If a finetuned layer must approximate a discrete Fourier transform, which sparsity structure is more suitable?",butterfly structure
 orthogonal factors,"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', for BOFT's $\mathcal{O}(d\log d)$ parameter claim to hold, the factorized sparse matrices must satisfy an implicit property: they must have","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', for BOFT's $\mathcal{O}(d\log d)$ parameter claim to hold, the factorized sparse matrices must satisfy an implicit property: they must have orthogonal factors",Conceptual Synthesis,"['By ensuring that each sparse matrix is orthogonal, we arrive at an efficient orthogonal parameterization with only O(d\\log d) parameters, which is a significant reduction from the original parameterization.', 'To achieve this, we only need to ensure that all multiplicative factors $\\tilde{\\bm{B}}(d,k),\\forall k$ in the butterfly matrix $\\bm{B}(d)$ are orthogonal.', 'The orthogonal matrix $\\bm{R}(m,b)\\in\\mathbb{R}^{d\\times d}$ is composed of a product of multiple orthogonal butterfly components.']",What implicit property must the factorized sparse matrices satisfy for BOFT's O(d log d) parameter claim to hold?,orthogonal factors
 increased computation,"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', BOFT achieves parameter savings by composing a dense orthogonal matrix as a product of multiple sparse orthogonal factors, a design which the authors describe as introducing a tradeoff; this tradeoff manifests as","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', BOFT achieves parameter savings by composing a dense orthogonal matrix as a product of multiple sparse orthogonal factors, a design which the authors describe as introducing a tradeoff; this tradeoff manifests as increased computation",Conceptual Synthesis,"['Since we represent the orthogonal matrix with the multiplication of sparse matrices, the multiplication has to be performed repeatedly in each training iteration.', 'This approach is guided by the insight that the number of trainable parameters can be reduced by trading computation time for space.', 'Since the final orthogonal matrix in BOFT is the product of multiple orthogonal matrix, the training runtime overhead is slightly larger than OFT.', ""How to improve BOFT's training runtime remains an open problem.""]",What unstated tradeoff does BOFT rely on to save parameters?,increased computation
 butterfly factorization,"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the central mechanism BOFT uses to substantially reduce finetuning parameters while keeping the transform dense is","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the central mechanism BOFT uses to substantially reduce finetuning parameters while keeping the transform dense is butterfly factorization",Conceptual Synthesis,"['This approach is guided by the insight that the number of trainable parameters can be reduced by trading computation time for space.', 'To achieve parameter efficiency in our information transmission framework, we draw inspiration from the butterfly structures in the Cooley-Tukey fast Fourier transform algorithm in which information from different nodes can be exchanged efficiently.', 'By ensuring that each sparse matrix is orthogonal, we arrive at an efficient orthogonal parameterization with only O(d\\log d) parameters, which is a significant reduction from the original parameterization.', 'Specifically, the butterfly graph in the Cooley-Tukey algorithm inherently induces a way to perform sparse matrix factorization, called butterfly factorization.', 'BOFT improves the parameter efficiency of OFT via butterfly factorization.']","According to the paper, what is the central mechanism BOFT uses to substantially reduce finetuning parameters while keeping the transform dense?",butterfly factorization
 product of sparse matrices,"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the property of the butterfly factorization that directly yields the $\mathcal{O}(d\log d)$ parameter count is that it is a","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the property of the butterfly factorization that directly yields the $\mathcal{O}(d\log d)$ parameter count is that it is a product of sparse matrices",Conceptual Synthesis,"['With butterfly factorization, we are able to generate a d-dimensional dense matrix with a product of O(log d) sparse matrices, each with O(d) non-zero entries.', 'By ensuring that each sparse matrix is orthogonal, we arrive at an efficient orthogonal parameterization with only O(d\\log d) parameters, which is a significant reduction from the original parameterization.', 'The radix-2 Cooley-Tukey algorithm recursively reduces the N-point discrete Fourier transform to two \\frac{N}{2}-point discrete Fourier transforms, and this process induces a butterfly structure that can be written as a product of multiple sparse matrices (the product is also called a butterfly matrix).', 'To address this question, we propose to compose a dense orthogonal matrix with a product of multiple sparse orthogonal matrices.']",Which property of the butterfly factorization directly yields the O(d log d) parameter count?,product of sparse matrices
 decrease $b,"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', for fixed $d$ and $m$, the effective number of trainable parameters is given by $\frac{1}{2}(b-1)dm$, so to minimize this quantity one should","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', for fixed $d$ and $m$, the effective number of trainable parameters is given by $\frac{1}{2}(b-1)dm$, so to minimize this quantity one should decrease $b",Mathematical Understanding,"['In general, BOFT(m,b) takes 1/2 (b-1) d m effective trainable parameters for finetuning a linear layer of size d×n.', 'If we use the butterfly matrix, i.e., m=log d,b=2, BOFT uses O(d log d) parameters.', 'BOFT with smaller b and larger m is generally more parameter-efficient.', 'For example, the expressiveness of BOFT(9,2) is better than that of BOFT(1,16) but has much less parameters.']","For fixed d and m, adjusting b to minimize parameters requires which direction of change in b?",decrease b
 independent blocks,"In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', an intuitive way to describe the block-diagonal restriction is that the layer behaves as","In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', an intuitive way to describe the block-diagonal restriction is that the layer behaves as independent blocks",Conceptual Synthesis,"['OFT introduces a block-diagonal structure to reduce the number of parameters. However, the parameter efficiency also comes at a price -- the orthogonal matrix has a fixed sparsity pattern and the orthogonal transformation is applied independently in different blocks.', 'For parameter-efficiency, the block-diagonal structure is introduced by parameterizing the orthogonal matrix \\bm{R} as \\text{diag}(\\bm{R}_1,\\bm{R}_2,\\cdots,\\bm{R}_r) where \\bm{R}_i\\in\\mathcal{R}^{b\\times b},\\forall i is a small orthogonal matrix and br=d. The parameter-efficiency brought by the block-diagonal structure comes at a price -- it introduces an assumption that the dimensions of a neuron (\\emph{i.e.}, a column vector of the weight matrix \\bm{W}^0) are divided by r groups and dimensions in different groups are transformed separately using different orthogonal matrices.']",An intuitive way to describe the block-diagonal restriction is that the layer behaves as what?,independent blocks
 increased computational cost,"In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the authors note that because BOFT composes a dense orthogonal matrix from a product of multiple sparse orthogonal matrices and thus performs repeated sparse multiplications during training, the main practical cost BOFT incurs relative to a single dense update is","In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the authors note that because BOFT composes a dense orthogonal matrix from a product of multiple sparse orthogonal matrices and thus performs repeated sparse multiplications during training, the main practical cost BOFT incurs relative to a single dense update is increased computational cost",Conceptual Synthesis,"['Since we represent the orthogonal matrix with the multiplication of sparse matrices, the multiplication has to be performed repeatedly in each training iteration.', 'To put the matrix factorization into perspective, we interpret the generation of a dense orthogonal matrix as an information transmission problem.', 'This approach is guided by the insight that the number of trainable parameters can be reduced by trading computation time for space.', 'Since the final orthogonal matrix in BOFT is the product of multiple orthogonal matrix, the training runtime overhead is slightly larger than OFT.']",What is the main practical cost BOFT incurs relative to a single dense update because of repeated sparse multiplications?,increased computation
 BOFT,"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', if a finetuning task required embedding a discrete cosine transform in a layer, the method that could represent it is","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', if a finetuning task required embedding a discrete cosine transform in a layer, the method that could represent it is BOFT",Conceptual Synthesis,"['the block-diagonal orthogonal matrix reduces expressiveness and cannot approximate classic linear transforms', 'Our intuition comes from the property that the butterfly structure can easily recover many classic linear transforms while it is impossible for the block-diagonal structure in OFT to recover any.', 'Given the widespread use of the butterfly structure in many fast linear transforms, such as the discrete Fourier and discrete cosine transforms, we argue that our structured approach to parameter efficiency will introduce an implicit inductive bias that benefits generalizability and prevents overfitting.', 'We argue that the structured inductive bias induced by butterfly factorization is beneficial to generalization, as it has a shared structured pattern of many classic linear transforms~\\cite{dao2019kaleidoscope}, such as discrete Fourier transform, discrete sine/cosine transform and Hadamard transform.']","If a finetuning task required embedding a discrete cosine transform in a layer, which method could represent it?",BOFT
 orthogonality,"In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the authors attribute OFT's improved training stability compared to LoRA to","In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the authors attribute OFT's improved training stability compared to LoRA to orthogonality",Conceptual Synthesis,"['Inspired by how hyperspherical energy characterizes generalization, qiu2023controlling proposes orthogonal finetuning, an alternative yet effective method to finetune text-to-image diffusion models.', 'Specifically, OFT learns an orthogonal matrix to transform the neurons of the same layer, and it achieves stronger generalization and consistently more stable training than LoRA.', 'Orthogonal finetuning generally yields better spectral property than LoRA, because it perfectly preserves the spectral norm of the pretrained weight matrix \\bm{W}^0.', 'Such a preservation has been shown to greatly benefit training stability and generalization~\\cite{miyato2018spectral,yoshida2017spectral}.']",Which property of OFT do the authors credit for its improved stability over LoRA?,orthogonality
 orthogonal,"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', to guarantee that the overall factorized transform remains a matrix that preserves inner products, each factor must be","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', to guarantee that the overall factorized transform remains a matrix that preserves inner products, each factor must be orthogonal",Conceptual Synthesis,"['By ensuring that each sparse matrix is orthogonal, we arrive at an efficient orthogonal parameterization with only O(d\\log d) parameters', 'To achieve this, we only need to ensure that all multiplicative factors \\tilde{\\bm{B}}(d,k),\\forall k in the butterfly matrix \\bm{B}(d) are orthogonal.', 'The orthogonal matrix \\bm{R}(m,b)\\in\\mathbb{R}^{d\\times d} is composed of a product of multiple orthogonal butterfly components.']","To guarantee that the overall factorized transform stays orthogonal, what must each factor be?",orthogonal
 Cooley-Tukey FFT,"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', BOFT's sparse-factor design is motivated by a classic algorithmic decomposition used to enable efficient information transmission in fast linear transforms, known as the","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', BOFT's sparse-factor design is motivated by a classic algorithmic decomposition used to enable efficient information transmission in fast linear transforms, known as the Cooley-Tukey FFT",Conceptual Synthesis,"['Inspired by how the Cooley-Tukey fast Fourier transform algorithm enables efficient information transmission, we propose an efficient orthogonal parameterization using butterfly structures.', 'Specifically, the butterfly graph in the Cooley-Tukey algorithm inherently induces a way to perform sparse matrix factorization, called butterfly factorization.', 'The butterfly structure is originally used in the Cooley-Tukey algorithm to perform fast Fourier transform.', 'The radix-2 Cooley-Tukey algorithm recursively reduces the $N$-point discrete Fourier transform to two $\\frac{N}{2}$-point discrete Fourier transforms, and this process induces a butterfly structure that can be written as a product of multiple sparse matrices (the product is also called a butterfly matrix).']",Which classic algorithmic decomposition motivates BOFT's sparse-factor design?,Cooley-Tukey FFT
 pairwise angles,"In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', OFT aims to preserve the relational property between neurons that maintains pretrained knowledge, namely the","In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', OFT aims to preserve the relational property between neurons that maintains pretrained knowledge, namely the pairwise angles",Conceptual Synthesis,"['The fundamental principle behind model finetuning is to ensure that the pretrained model and the finetuned model are similar based on certain measurements, such that the pretraining knowledge is preserved.', 'a more principled approach tries to preserve the relational information of the weight matrices, i.e. the pairwise angles between neurons. This insight leads to a novel model finetuning framework, known as Orthogonal Finetuning (OFT)...', 'This insight leads to a novel model finetuning framework, known as Orthogonal Finetuning~(OFT)~\\cite{qiu2023controlling}, where neurons in the same layer are transformed by the same orthogonal matrix such that pairwise angles between neurons are provably preserved throughout the finetuning process.', 'The motivation for applying orthogonal transformation to finetune the weight matrix is to preserve the pair-wise angles of neurons~\\cite{liu2018learning,liu2021orthogonal,qiu2023controlling}, such that the semantic knowledge from pretraining can be largely preserved.']",What relational property between neurons does OFT aim to preserve to maintain pretrained knowledge?,pairwise angles
 butterfly,"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', for a model layer that benefits from dense cross-channel mixing (e.g., global linear transforms), the more appropriate finetuning structure is","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', for a model layer that benefits from dense cross-channel mixing (e.g., global linear transforms), the more appropriate finetuning structure is butterfly",Conceptual Synthesis,"['Our intuition comes from the property that the butterfly structure can easily recover many classic linear transforms while it is impossible for the block-diagonal structure in OFT to recover any.', 'BOFT subsumes OFT as a special case and provides a general orthogonal finetuning framework.', 'We draw inspiration from an interesting topology from the Cooley-Tukey algorithm, called butterfly graphs~\\cite{cooley1965algorithm}, which can densely connect $d$ source nodes and $d$ receiver nodes efficiently with $\\mathcal{O}(d\\log d)$ edges.', 'BOFT($\\log \\frac{2d}{b}$,$b$) uses the block butterfly matrix $\\bm{B}^{\\frac{b}{2}}(d)$ as $\\bm{R}$, and yields a dense orthogonal matrix $\\bm{R}$.']","For a model layer that benefits from dense cross-channel mixing (e.g., global linear transforms), which finetuning structure is more appropriate?",butterfly
