domain_group,document,v14_mcqa_row_index,short_cloze_row_index,old_cloze_probe,old_cloze_target,shortened_cloze_probe,shortened_cloze_target,contextualized_question,old_formatted_question,old_option_a,old_option_b,old_option_c,old_option_d,old_option_e,old_correct_label,fact,source_statement,rewrite_reason
arxiv,fa3,185,276,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", when the authors multiply $\mathbf{Q}$ and $\mathbf{K}$ by a random orthogonal matrix $\mathbf{M}$ before quantizing to FP8 to even out outliers, this helps reduce quantization error because each entry becomes",a random sum of entries of $\mathbf{Q}$ or $\mathbf{K}$.,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", when the authors multiply $\mathbf{Q}$ and $\mathbf{K}$ by a random orthogonal matrix $\mathbf{M}$ before quantizing to FP8 to even out outliers, this helps reduce quantization error because each entry becomes a random sum of",entries of $\mathbf{Q}$ or $\mathbf{K}$.,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", when the authors multiply $\mathbf{Q}$ and $\mathbf{K}$ by a random orthogonal matrix $\mathbf{M}$ before quantizing to FP8 to even out outliers, why does this help reduce quantization error?","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", when the authors multiply $\mathbf{Q}$ and $\mathbf{K}$ by a random orthogonal matrix $\mathbf{M}$ before quantizing to FP8 to even out outliers, this helps reduce quantization error because each entry becomes
(A) an independent component with unit variance in each dimension.
(B) a random sum of entries of $\mathbf{Q}$ or $\mathbf{K}$.
(C) a blockwise-scaled FP8 entry of the score matrix $\mathbf{S}$.
(D) a sparse combination of only the largest entries of $\mathbf{Q}$ or $\mathbf{K}$.
(E) a lower-rank projection of $\mathbf{Q}$ or $\mathbf{K}$ in the Hadamard basis.",an independent component with unit variance in each dimension.,a random sum of entries of $\mathbf{Q}$ or $\mathbf{K}$.,a blockwise-scaled FP8 entry of the score matrix $\mathbf{S}$.,a sparse combination of only the largest entries of $\mathbf{Q}$ or $\mathbf{K}$.,a lower-rank projection of $\mathbf{Q}$ or $\mathbf{K}$ in the Hadamard basis.,(B),"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", when the authors multiply $\mathbf{Q}$ and $\mathbf{K}$ by a random orthogonal matrix $\mathbf{M}$ before quantizing to FP8 to even out outliers, this helps reduce quantization error because each entry becomes a random sum of entries of $\mathbf{Q}$ or $\mathbf{K}$.","This serves to ``spread out'' the outliers since each entry of $\mathbf{Q} \mathbf{M}$
  or $\mathbf{K} \mathbf{M}$ is a random sum of entries of $\mathbf{Q}$ or $\mathbf{K}$, thus reducing quantization error.","accepted: Clean suffix completes ""random sum of"" phrase."
arxiv,fa3,192,277,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the low-precision attention technique, $\mathbf{M}$ is chosen as",the product of random diagonal matrices of $\pm 1$ and a Hadamard matrix.,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the low-precision attention technique, $\mathbf{M}$ is chosen as the product of random diagonal matrices of $\pm 1$ and",a Hadamard matrix.,"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the low-precision attention technique where multiplying both $\mathbf{Q}$ and $\mathbf{K}$ by $\mathbf{M}$ leaves the attention output unchanged and helps spread out outliers, what is $\mathbf{M}$ chosen to be the product of in practice?","According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the low-precision attention technique, $\mathbf{M}$ is chosen as
(A) the discrete Fourier transform matrix with random phase factors.
(B) a learned orthogonal projection initialized from a QR decomposition of the query matrix.
(C) the product of random diagonal matrices of $\pm 1$ and a Hadamard matrix.
(D) the rotary embedding matrix applied to both Q and K before FP8 quantization.
(E) a blockwise diagonal scaling matrix computed from the per-block maxima of S.",the discrete Fourier transform matrix with random phase factors.,a learned orthogonal projection initialized from a QR decomposition of the query matrix.,the product of random diagonal matrices of $\pm 1$ and a Hadamard matrix.,the rotary embedding matrix applied to both Q and K before FP8 quantization.,a blockwise diagonal scaling matrix computed from the per-block maxima of S.,(C),"According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the low-precision attention technique, $\mathbf{M}$ is chosen as the product of random diagonal matrices of $\pm 1$ and a Hadamard matrix.","In practice, we follow \citet{chee2024quip} and~\citet{tseng2024quip} and choose $\mathbf{M}$ to be the product of random diagonal matrices of $\pm
  1$ and a Hadamard matrix, which can be multiplied in $O(d \log d)$ instead of $O(d^2)$, and can also be fused with the rotary embedding at no extra computation cost.",accepted: Clean final-factor suffix preserves the product statement.
arxiv,xLSTM,27,49,"According to the paper ""xLSTM: Extended Long Short-Term Memory"", in the LSTM formulation, the weight vectors $\mathbf{w}_{z}$, $\mathbf{w}_{i}$, $\mathbf{w}_{f}$, and $\mathbf{w}_{o}$ are the input weight vectors between $\mathbf{x}_t$ and the","cell input, input gate, forget gate, and output gate","According to the paper ""xLSTM: Extended Long Short-Term Memory"", in the LSTM formulation, the weight vectors $\mathbf{w}_{z}$, $\mathbf{w}_{i}$, $\mathbf{w}_{f}$, and $\mathbf{w}_{o}$ are the input weight vectors between $\mathbf{x}_t$ and the cell input, input gate, forget gate, and",output gate,"According to the paper ""xLSTM: Extended Long Short-Term Memory"", in the LSTM formulation, the weight vectors $\mathbf{w}_{z}$, $\mathbf{w}_{i}$, $\mathbf{w}_{f}$, and $\mathbf{w}_{o}$ correspond to input weight vectors between $\mathbf{x}_t$ and which four components?","According to the paper ""xLSTM: Extended Long Short-Term Memory"", in the LSTM formulation, the weight vectors $\mathbf{w}_{z}$, $\mathbf{w}_{i}$, $\mathbf{w}_{f}$, and $\mathbf{w}_{o}$ are the input weight vectors between $\mathbf{x}_t$ and the
(A) memory cell, input gate, carry gate, and output gate
(B) cell state, update gate, reset gate, and output gate
(C) cell state, input gate, forget gate, and output gate
(D) hidden state, input gate, forget gate, and output gate
(E) cell input, input gate, forget gate, and output gate","memory cell, input gate, carry gate, and output gate","cell state, update gate, reset gate, and output gate","cell state, input gate, forget gate, and output gate","hidden state, input gate, forget gate, and output gate","cell input, input gate, forget gate, and output gate",(E),"According to the paper ""xLSTM: Extended Long Short-Term Memory"", in the LSTM formulation, the weight vectors $\mathbf{w}_{z}$, $\mathbf{w}_{i}$, $\mathbf{w}_{f}$, and $\mathbf{w}_{o}$ are the input weight vectors between $\mathbf{x}_t$ and the cell input, input gate, forget gate, and output gate","The weight vectors $\mathbf{w}_{z}$, $\mathbf{w}_{i}$,
$\mathbf{w}_{f}$, and $\mathbf{w}_{o}$ correspond to the input weight vectors between inputs $\mathbf{x}_t$ and cell input, input gate, forget gate, and output gate, respectively.",accepted: Clean final-item suffix preserves the list.
arxiv,xLSTM,28,51,"According to the paper ""xLSTM: Extended Long Short-Term Memory"", the weights $r_{z}$, $r_{i}$, $r_{f}$, and $r_{o}$ correspond to recurrent weights between the hidden state $h_{t-1}$ and the","cell input, input gate, forget gate, and output gate","According to the paper ""xLSTM: Extended Long Short-Term Memory"", the weights $r_{z}$, $r_{i}$, $r_{f}$, and $r_{o}$ correspond to recurrent weights between the hidden state $h_{t-1}$ and the cell input, input gate, forget gate, and",output gate,"According to the paper ""xLSTM: Extended Long Short-Term Memory"", the weights $r_{z}$, $r_{i}$, $r_{f}$, and $r_{o}$ correspond to recurrent weights between the hidden state $h_{t-1}$ and which components?","According to the paper ""xLSTM: Extended Long Short-Term Memory"", the weights $r_{z}$, $r_{i}$, $r_{f}$, and $r_{o}$ correspond to recurrent weights between the hidden state $h_{t-1}$ and the
(A) cell input, input gate, forget gate, and output gate
(B) candidate activation, update gate, reset gate, and output gate
(C) cell state, input gate, forget gate, and output gate
(D) input vector, input gate, forget gate, and output gate
(E) query, key, value, and output projections","cell input, input gate, forget gate, and output gate","candidate activation, update gate, reset gate, and output gate","cell state, input gate, forget gate, and output gate","input vector, input gate, forget gate, and output gate","query, key, value, and output projections",(A),"According to the paper ""xLSTM: Extended Long Short-Term Memory"", the weights $r_{z}$, $r_{i}$, $r_{f}$, and $r_{o}$ correspond to recurrent weights between the hidden state $h_{t-1}$ and the cell input, input gate, forget gate, and output gate","The weights $r_{z}$, $r_{i}$, $r_{f}$, and $r_{o}$ correspond to the recurrent weights between hidden state $h_{t-1}$ and cell input, input gate, forget gate, and output gate, respectively.",accepted: Clean final-item suffix preserves the list.
arxiv,xLSTM,50,73,"In the paper ""xLSTM: Extended Long Short-Term Memory"", when increasing the LSTM memory cell from a scalar to a matrix for key-value storage, the authors want to store at time $t$",the key $\mathbf{k}_t \in \mathbb{R}^d$ and the value $\mathbf{v}_t \in \mathbb{R}^d$.,"In the paper ""xLSTM: Extended Long Short-Term Memory"", when increasing the LSTM memory cell from a scalar to a matrix for key-value storage, the authors want to store at time $t$ the key $\mathbf{k}_t \in \mathbb{R}^d$ and",the value $\mathbf{v}_t \in \mathbb{R}^d$.,"In the paper ""xLSTM: Extended Long Short-Term Memory"", in the discussion of increasing the LSTM memory cell from a scalar to a matrix for key-value storage, what pair of vectors do the authors want to store at time $t$?","In the paper ""xLSTM: Extended Long Short-Term Memory"", when increasing the LSTM memory cell from a scalar to a matrix for key-value storage, the authors want to store at time $t$
(A) the key $\mathbf{k}_t \in \mathbb{R}^d$ and the value $\mathbf{v}_t \in \mathbb{R}^d$.
(B) the key $\mathbf{k}_t \in \mathbb{R}^d$ and the query $\mathbf{q}_t \in \mathbb{R}^d$.
(C) the hidden state $\mathbf{h}_t \in \mathbb{R}^d$ and the cell state $\mathbf{c}_t \in \mathbb{R}^d$.
(D) the query $\mathbf{q}_t \in \mathbb{R}^d$ and the value $\mathbf{v}_t \in \mathbb{R}^d$.
(E) the input $\mathbf{x}_t \in \mathbb{R}^d$ and the output gate $\mathbf{o}_t \in \mathbb{R}^d$ .",the key $\mathbf{k}_t \in \mathbb{R}^d$ and the value $\mathbf{v}_t \in \mathbb{R}^d$.,the key $\mathbf{k}_t \in \mathbb{R}^d$ and the query $\mathbf{q}_t \in \mathbb{R}^d$.,the hidden state $\mathbf{h}_t \in \mathbb{R}^d$ and the cell state $\mathbf{c}_t \in \mathbb{R}^d$.,the query $\mathbf{q}_t \in \mathbb{R}^d$ and the value $\mathbf{v}_t \in \mathbb{R}^d$.,the input $\mathbf{x}_t \in \mathbb{R}^d$ and the output gate $\mathbf{o}_t \in \mathbb{R}^d$ .,(A),"In the paper ""xLSTM: Extended Long Short-Term Memory"", when increasing the LSTM memory cell from a scalar to a matrix for key-value storage, the authors want to store at time $t$ the key $\mathbf{k}_t \in \mathbb{R}^d$ and the value $\mathbf{v}_t \in \mathbb{R}^d$.","At time $t$, we want to store a pair of vectors, the key $\mathbf{k}_t \in \mathbb{R}^d$ and the value $\mathbf{v}_t \in \mathbb{R}^d$
(we use the Transformer terminology).",accepted: Clean value suffix preserves the key-value pair.
arxiv,xLSTM,71,102,"According to the paper ""xLSTM: Extended Long Short-Term Memory"", the authors use the pre up-projection block for an xLSTM block containing an mLSTM, rather than the post up-projection block used for an xLSTM block containing an sLSTM, because",the memory capacity becomes larger in the high-dimensional space,"According to the paper ""xLSTM: Extended Long Short-Term Memory"", the authors use the pre up-projection block for an xLSTM block containing an mLSTM, rather than the post up-projection block used for an xLSTM block containing an sLSTM, because the memory capacity becomes larger in",the high-dimensional space,"According to the paper ""xLSTM: Extended Long Short-Term Memory"", why do the authors use the pre up-projection block for an xLSTM block containing an mLSTM, rather than the post up-projection block used for an xLSTM block containing an sLSTM?","According to the paper ""xLSTM: Extended Long Short-Term Memory"", the authors use the pre up-projection block for an xLSTM block containing an mLSTM, rather than the post up-projection block used for an xLSTM block containing an sLSTM, because
(A) placing the projection before the recurrent update keeps the residual block aligned with Transformer-style feedforward layers and residual paths
(B) the memory capacity becomes larger in the high-dimensional space
(C) the non-linear summary of the past should remain in the original space before being expanded, as in the post up-projection design
(D) the mLSTM gates are intended to operate on normalization statistics in the original feature space rather than in the expanded space
(E) the pre up-projection layout, like in State Space Models, is chosen primarily to reduce parameter count and training FLOPs",placing the projection before the recurrent update keeps the residual block aligned with Transformer-style feedforward layers and residual paths,the memory capacity becomes larger in the high-dimensional space,"the non-linear summary of the past should remain in the original space before being expanded, as in the post up-projection design",the mLSTM gates are intended to operate on normalization statistics in the original feature space rather than in the expanded space,"the pre up-projection layout, like in State Space Models, is chosen primarily to reduce parameter count and training FLOPs",(B),"According to the paper ""xLSTM: Extended Long Short-Term Memory"", the authors use the pre up-projection block for an xLSTM block containing an mLSTM, rather than the post up-projection block used for an xLSTM block containing an sLSTM, because the memory capacity becomes larger in the high-dimensional space","For an xLSTM block containing an mLSTM, we use the pre up-projection block since the memory capacity becomes larger in the high-dimensional space.",accepted: Clean suffix completes the location phrase.
arxiv,xLSTM,155,262,"According to the paper ""xLSTM: Extended Long Short-Term Memory"", the authors say that the wall clock time overhead due to the complex matrix memory in mLSTM is minor because",the memory update and retrieval does not use parameters and can be parallelized using standard matrix operations,"According to the paper ""xLSTM: Extended Long Short-Term Memory"", the authors say that the wall clock time overhead due to the complex matrix memory in mLSTM is minor because the memory update and retrieval does not use parameters and can be parallelized using",standard matrix operations,"According to the paper ""xLSTM: Extended Long Short-Term Memory"", why do the authors say that the wall clock time overhead due to the complex matrix memory in mLSTM is minor?","According to the paper ""xLSTM: Extended Long Short-Term Memory"", the authors say that the wall clock time overhead due to the complex matrix memory in mLSTM is minor because
(A) its memory mixing, like sLSTM's, can be parallelized by the same fast recurrent CUDA kernel with little additional cost
(B) the memory update and retrieval does not use parameters and can be parallelized using standard matrix operations
(C) the matrix memory can be cached across timesteps, so the d × d update is effectively paid only once per sequence
(D) the memory update and retrieval are carried out through learned low-rank projections, which shrink the effective matrix computation
(E) its current CUDA kernels are already highly optimized, so mLSTM runs nearly as fast as FlashAttention and Mamba-style scans","its memory mixing, like sLSTM's, can be parallelized by the same fast recurrent CUDA kernel with little additional cost",the memory update and retrieval does not use parameters and can be parallelized using standard matrix operations,"the matrix memory can be cached across timesteps, so the d × d update is effectively paid only once per sequence","the memory update and retrieval are carried out through learned low-rank projections, which shrink the effective matrix computation","its current CUDA kernels are already highly optimized, so mLSTM runs nearly as fast as FlashAttention and Mamba-style scans",(B),"According to the paper ""xLSTM: Extended Long Short-Term Memory"", the authors say that the wall clock time overhead due to the complex matrix memory in mLSTM is minor because the memory update and retrieval does not use parameters and can be parallelized using standard matrix operations","Still, the memory update and retrieval does not use parameters and can be parallelized using standard matrix operations, therefore the wall clock time overhead due to the complex memory is minor.",accepted: Clean suffix completes the parallelization phrase.
legal,America_First_Legal_Foundation_v_Jamieson_Greer,13,14,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" after analyzing AFL’s first informational-injury theory, the court said AFL could not establish",standing based on its interest in the information that it requested from DOJ through FOIA.,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" after analyzing AFL’s first informational-injury theory, the court said AFL could not establish standing based on",its interest in the information that it requested from DOJ through FOIA.,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" after the court analyzed AFL’s theory that OSC’s failure to investigate prevented AFL from obtaining records it had requested from DOJ through FOIA, what did the court say AFL could not establish based on that interest in the requested information?","According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" after analyzing AFL’s first informational-injury theory, the court said AFL could not establish
(A) mootness based on DOJ’s partial production of records during the course of the litigation.
(B) standing based on DOJ’s alleged failure to justify its FOIA withholdings with adequate specificity.
(C) standing based on its interest in the information that it requested from DOJ through FOIA.
(D) a protected property interest in nonpublic agency records under the Due Process Clause.
(E) standing based on its asserted informational interest in the fruits of the OSC investigation itself.",mootness based on DOJ’s partial production of records during the course of the litigation.,standing based on DOJ’s alleged failure to justify its FOIA withholdings with adequate specificity.,standing based on its interest in the information that it requested from DOJ through FOIA.,a protected property interest in nonpublic agency records under the Due Process Clause.,standing based on its asserted informational interest in the fruits of the OSC investigation itself.,(C),"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" after analyzing AFL’s first informational-injury theory, the court said AFL could not establish standing based on its interest in the information that it requested from DOJ through FOIA.","For these reasons, AFL cannot establish standing based on its interest in the information that it requested from DOJ through FOIA.",accepted: Clean suffix remains specific basis
legal,America_First_Legal_Foundation_v_Jamieson_Greer,14,20,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" Section 1214 includes provisions for notifying",the complaining party about the progress of an investigation.,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" Section 1214 includes provisions for notifying the",complaining party about the progress of an investigation.,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" Section 1214 of the Civil Service Reform Act governs corrective actions for prohibited personnel practices. Under those procedures, who is to be notified about the progress of an investigation?","According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" Section 1214 includes provisions for notifying
(A) Congress and the President about systemic civil-service misconduct findings.
(B) the subject employee about potential disciplinary action under 5 U.S.C. § 1215.
(C) the complaining party about the progress of an investigation.
(D) the employing agency about the filing of a prohibited personnel practices complaint.
(E) the Merit Systems Protection Board about the progress of an investigation.",Congress and the President about systemic civil-service misconduct findings.,the subject employee about potential disciplinary action under 5 U.S.C. § 1215.,the complaining party about the progress of an investigation.,the employing agency about the filing of a prohibited personnel practices complaint.,the Merit Systems Protection Board about the progress of an investigation.,(C),"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" Section 1214 includes provisions for notifying the complaining party about the progress of an investigation.","Section 1214 sets forth procedures to govern corrective actions for prohibited personnel practices, including provisions for notifying the complaining party about the progress of an investigation.",accepted: Removes article and preserves coherent target
legal,America_First_Legal_Foundation_v_Jamieson_Greer,29,33,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" although the district court ruled in part for AFL, it ultimately",dismissed its case for failure to state a claim,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" although the district court ruled in part for AFL, it ultimately dismissed its case for",failure to state a claim,"In the case ""America First Legal Foundation v. Jamieson Greer,"" what did the district court ultimately do to AFL's case, even though it ruled in part for AFL?","According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" although the district court ruled in part for AFL, it ultimately
(A) remanded the matter to OSC for further administrative proceedings under section 1216
(B) ordered OSC to open an investigation into DOJ’s alleged FOIA policy
(C) dismissed its case for failure to state a claim
(D) granted summary judgment to DOJ on the ground that its ongoing FOIA production mooted AFL’s claims
(E) held that section 552(a)(4)(F)(i) barred OSC from investigating because the statutory predicates were not met",remanded the matter to OSC for further administrative proceedings under section 1216,ordered OSC to open an investigation into DOJ’s alleged FOIA policy,dismissed its case for failure to state a claim,granted summary judgment to DOJ on the ground that its ongoing FOIA production mooted AFL’s claims,held that section 552(a)(4)(F)(i) barred OSC from investigating because the statutory predicates were not met,(C),"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" although the district court ruled in part for AFL, it ultimately dismissed its case for failure to state a claim",The district court ruled in part for AFL but nonetheless dismissed its case for failure to state a claim.,accepted: Clean suffix preserves dismissal ground
legal,America_First_Legal_Foundation_v_Jamieson_Greer,38,62,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" when the court rejected AFL’s Article III standing theory based on OSC’s failure to investigate under 5 U.S.C. § 1216, the court said that accepting the theory would require speculation about",how OSC might choose to exercise its enforcement discretion,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" when the court rejected AFL’s Article III standing theory based on OSC’s failure to investigate under 5 U.S.C. § 1216, the court said that accepting the theory would require speculation about how OSC might choose to exercise",its enforcement discretion,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" when the court rejected AFL’s Article III standing theory based on OSC’s failure to investigate under 5 U.S.C. § 1216, what did the court say it would require speculation about OSC choosing to exercise?","According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" when the court rejected AFL’s Article III standing theory based on OSC’s failure to investigate under 5 U.S.C. § 1216, the court said that accepting the theory would require speculation about
(A) how OSC might choose to exercise its enforcement discretion
(B) whether OSC’s inaction was final agency action under the APA
(C) how Congress intended mandamus to constrain agency nonenforcement decisions
(D) whether the MSPB would have authority to discipline DOJ employees
(E) whether DOJ would ultimately disclose the requested FOIA records",how OSC might choose to exercise its enforcement discretion,whether OSC’s inaction was final agency action under the APA,how Congress intended mandamus to constrain agency nonenforcement decisions,whether the MSPB would have authority to discipline DOJ employees,whether DOJ would ultimately disclose the requested FOIA records,(A),"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" when the court rejected AFL’s Article III standing theory based on OSC’s failure to investigate under 5 U.S.C. § 1216, the court said that accepting the theory would require speculation about how OSC might choose to exercise its enforcement discretion","And it requires speculation about how OSC might choose to exercise its enforcement discretion, which the courts generally may not compel.",accepted: Clean suffix preserves object of speculation
legal,America_First_Legal_Foundation_v_Jamieson_Greer,45,68,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" when discussing Article III standing and informational standing, a plaintiff suffers",a concrete injury if he is denied information that a “statute entitled him to receive.”,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" when discussing Article III standing and informational standing, a plaintiff suffers a",concrete injury if he is denied information that a “statute entitled him to receive.”,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" when discussing Article III standing and informational standing, what does a plaintiff suffer if he is denied information that a statute entitled him to receive?","According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" when discussing Article III standing and informational standing, a plaintiff suffers
(A) an injury in fact whenever he has a substantial interest in the fruits of an agency investigation, even without a statutory right to disclosure.
(B) a concrete injury if the requested disclosure would likely spur the next steps necessary to redress his alleged harm.
(C) a concrete injury only when the denial of information causes a particularized economic loss or other tangible pecuniary harm.
(D) a concrete injury if he is denied information that a “statute entitled him to receive.”
(E) standing if a favorable judgment’s rationale might persuade actors who are not before the court to provide the information.","an injury in fact whenever he has a substantial interest in the fruits of an agency investigation, even without a statutory right to disclosure.",a concrete injury if the requested disclosure would likely spur the next steps necessary to redress his alleged harm.,a concrete injury only when the denial of information causes a particularized economic loss or other tangible pecuniary harm.,a concrete injury if he is denied information that a “statute entitled him to receive.”,standing if a favorable judgment’s rationale might persuade actors who are not before the court to provide the information.,(D),"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" when discussing Article III standing and informational standing, a plaintiff suffers a concrete injury if he is denied information that a “statute entitled him to receive.”",A plaintiff claiming informational standing suffers a concrete injury if he is denied information that a “statute entitled him to receive.”,accepted: Removes article and preserves coherent target
legal,Apex_Bank_v_Cc_Serve_Corp,3,3,"According to the opinion in ""Apex Bank v. CC Serve Corp."", where CC Serve opposed Apex’s ASPIRE BANK mark applications before the Board, the Board sustained that opposition under","Section 2(d) of the Lanham Act, 15 U.S.C. § 1052(d)","According to the opinion in ""Apex Bank v. CC Serve Corp."", where CC Serve opposed Apex’s ASPIRE BANK mark applications before the Board, the Board sustained that opposition under Section 2(d) of","the Lanham Act, 15 U.S.C. § 1052(d)","In the case ""Apex Bank v. CC Serve Corp."", CC Serve opposed Apex’s ASPIRE BANK mark applications before the Board. According to the opinion, under what provision did the Board sustain that opposition?","According to the opinion in ""Apex Bank v. CC Serve Corp."", where CC Serve opposed Apex’s ASPIRE BANK mark applications before the Board, the Board sustained that opposition under
(A) Section 13 of the Lanham Act, 15 U.S.C. § 1063
(B) Section 43(a) of the Lanham Act, 15 U.S.C. § 1125(a)
(C) 28 U.S.C. § 1295(a)(4)(B)
(D) Section 2(e)(1) of the Lanham Act, 15 U.S.C. § 1052(e)(1)
(E) Section 2(d) of the Lanham Act, 15 U.S.C. § 1052(d)","Section 13 of the Lanham Act, 15 U.S.C. § 1063","Section 43(a) of the Lanham Act, 15 U.S.C. § 1125(a)",28 U.S.C. § 1295(a)(4)(B),"Section 2(e)(1) of the Lanham Act, 15 U.S.C. § 1052(e)(1)","Section 2(d) of the Lanham Act, 15 U.S.C. § 1052(d)",(E),"According to the opinion in ""Apex Bank v. CC Serve Corp."", where CC Serve opposed Apex’s ASPIRE BANK mark applications before the Board, the Board sustained that opposition under Section 2(d) of the Lanham Act, 15 U.S.C. § 1052(d)","The Board sustained the opposition under Section 2(d) of the Lanham Act, 15 U.S.C. § 1052(d), concluding that consumer confusion between the marks was likely.",accepted: Clean suffix preserves statutory source
legal,Apex_Bank_v_Cc_Serve_Corp,21,27,"According to the opinion in ""Apex Bank v. CC Serve Corp."", during prosecution of Apex Bank’s intent-to-use applications to register the ASPIRE BANK word and design marks, CC Serve submitted",a letter of protest asserting that Apex’s proposed marks were confusingly similar to CC Serve’s mark.,"According to the opinion in ""Apex Bank v. CC Serve Corp."", during prosecution of Apex Bank’s intent-to-use applications to register the ASPIRE BANK word and design marks, CC Serve submitted a",letter of protest asserting that Apex’s proposed marks were confusingly similar to CC Serve’s mark.,"In the case ""Apex Bank v. CC Serve Corp."", during prosecution of Apex Bank’s intent-to-use applications to register the ASPIRE BANK word and design marks, what did CC Serve submit in response to Apex’s proposed marks?","According to the opinion in ""Apex Bank v. CC Serve Corp."", during prosecution of Apex Bank’s intent-to-use applications to register the ASPIRE BANK word and design marks, CC Serve submitted
(A) a notice of opposition asserting that Apex’s proposed marks were likely to cause confusion with CC Serve’s mark.
(B) a request to suspend Apex’s applications pending resolution of CC Serve’s prior trademark claims.
(C) a comment letter asserting that Apex needed separate banking-regulatory approval before using the ASPIRE BANK marks.
(D) a letter of protest asserting that Apex’s proposed marks were confusingly similar to CC Serve’s mark.
(E) an extension of time to oppose publication of the ASPIRE BANK marks on likelihood-of-confusion grounds.",a notice of opposition asserting that Apex’s proposed marks were likely to cause confusion with CC Serve’s mark.,a request to suspend Apex’s applications pending resolution of CC Serve’s prior trademark claims.,a comment letter asserting that Apex needed separate banking-regulatory approval before using the ASPIRE BANK marks.,a letter of protest asserting that Apex’s proposed marks were confusingly similar to CC Serve’s mark.,an extension of time to oppose publication of the ASPIRE BANK marks on likelihood-of-confusion grounds.,(D),"According to the opinion in ""Apex Bank v. CC Serve Corp."", during prosecution of Apex Bank’s intent-to-use applications to register the ASPIRE BANK word and design marks, CC Serve submitted a letter of protest asserting that Apex’s proposed marks were confusingly similar to CC Serve’s mark.","During prosecution, CC Serve submitted a letter of protest asserting that Apex’s proposed marks were confusingly similar to CC Serve’s mark.",accepted: Removes article and preserves coherent target
