document,row_1based_before_drop,old_target,new_target,method,probe_repaired,old_probe,new_probe
arxiv/ByteLatent,67,within the patch.,withing the patch.,replace_within the patch,no,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the second entropy-based approach can be interpreted as identifying points that break approximate monotonically decreasing entropy","According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the second entropy-based approach can be interpreted as identifying points that break approximate monotonically decreasing entropy"
arxiv/ByteLatent,119,$|E_{n}^{hash}|$,|E_{n}^{hash}|,strip_outer_dollars,no,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", in the augmented embedding for byte $n$-gram hash embeddings, the quantity used as the modulus in the hash definition is","According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", in the augmented embedding for byte $n$-gram hash embeddings, the quantity used as the modulus in the hash definition is"
arxiv/ByteLatent,181,very repetitive content.,very repetitive.,source_wording,yes,"In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", multiple choice tasks often exhibit","In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", multiple choice tasks are often"
arxiv/ByteLatent,204, $\mathcal{L}_{CE}(\pmb{x})$,\mathcal{L}_{CE}(\pmb{x}),strip_outer_dollars,no,"In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", when the authors define Bits-Per-Byte (BPB) as the tokenizer-independent version of perplexity for comparing byte and token-level models, the quantity that appears in the numerator of the BPB fraction is","In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", when the authors define Bits-Per-Byte (BPB) as the tokenizer-independent version of perplexity for comparing byte and token-level models, the quantity that appears in the numerator of the BPB fraction is"
arxiv/ByteLatent,226, $10^{-8}$.,10^{-8},strip_outer_dollars,no,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", when optimizing with AdamW using $\beta_1 = 0.9$ and $\beta_2 = 0.95$, the authors set $\epsilon$ to","According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", when optimizing with AdamW using $\beta_1 = 0.9$ and $\beta_2 = 0.95$, the authors set $\epsilon$ to"
arxiv/ByteLatent,328,99.9%.,99.9\%,replace_%_strip_period,no,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the score the model achieves on both spelling tasks in the character manipulation benchmark is","According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the score the model achieves on both spelling tasks in the character manipulation benchmark is"
arxiv/ByteLatent,378,out-of-vocabulary words.,out of vocabulary words,replace_out-of-vocabulary_strip_period,no,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", character language modeling has been popular since early neural models because character models can flexibly model without back-off methods.","According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", character language modeling has been popular since early neural models because character models can flexibly model without back-off methods."
arxiv/ByteLatent,388,CNN-based layers.,CNN based layers,replace_CNN-based_strip_period,no,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the type of layers ByteNet uses rather than attention for machine translation on characters is","According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the type of layers ByteNet uses rather than attention for machine translation on characters is"
arxiv/DPO,55, relative human judgments of response quality,\textit{relative} human judgments of response quality,textit_first_word,no,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the type of human judgments of response quality that are often easier to collect than expert demonstrations, motivating subsequent fine-tuning of LLMs with datasets of human preferences, are","According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the type of human judgments of response quality that are often easier to collect than expert demonstrations, motivating subsequent fine-tuning of LLMs with datasets of human preferences, are"
arxiv/DPO,85," $\frac{\exp\left(r^*(x, y_1)\right)}{\exp\left(r^*(x, y_1)\right) + \exp\left(r^*(x, y_2)\right)}$","\frac{\exp\left(r^*(x, y_1)\right)}{\exp\left(r^*(x, y_1)\right) + \exp\left(r^*(x, y_2)\right)}",strip_outer_dollars,no,"In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", according to the Bradley-Terry (BT) model for the human preference distribution $p^*$, $p^*(y_1\succ y_2 \mid x)$ is expressed in terms of the reward function $r^*(x, y)$ as","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", according to the Bradley-Terry (BT) model for the human preference distribution $p^*$, $p^*(y_1\succ y_2 \mid x)$ is expressed in terms of the reward function $r^*(x, y)$ as"
arxiv/DPO,97, $\mathbb{D}_{\textrm{KL}}$.,\mathbb{D}_{\textrm{KL}},strip_outer_dollars,no,"In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the RL fine-tuning objective in Eq. \eqref{eq:RL}, the divergence term used to penalize the deviation of the learned policy $\pi_{\theta}$ from the reference policy $\pi_\text{ref}$ is","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the RL fine-tuning objective in Eq. \eqref{eq:RL}, the divergence term used to penalize the deviation of the learned policy $\pi_{\theta}$ from the reference policy $\pi_\text{ref}$ is"
arxiv/DPO,111," $\sum_{y}\pi_\text{ref}(y\mid x)\exp\left(\frac{1}{\beta}r(x, y)\right)$","\sum_{y}\pi_\text{ref}(y\mid x)\exp\left(\frac{1}{\beta}r(x, y)\right)",strip_outer_dollars,no,"In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the partition function $Z(x)$ in the expression for the optimal policy $\pi_r(y\mid x)$ is defined as","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the partition function $Z(x)$ in the expression for the optimal policy $\pi_r(y\mid x)$ is defined as"
arxiv/DPO,119," $\sigma(r^*(x, y_1) - r^*(x, y_2))$.","\sigma(r^*(x, y_1) - r^*(x, y_2))",strip_outer_dollars,no,"In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", according to the Bradley-Terry preference model for comparing two completions $y_1$ and $y_2$ given a prompt $x$, ${p^*(y_1 \succ y_2 \mid x)}$ is expressed as","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", according to the Bradley-Terry preference model for comparing two completions $y_1$ and $y_2$ given a prompt $x$, ${p^*(y_1 \succ y_2 \mid x)}$ is expressed as"
arxiv/DPO,130, $\pi_\text{ref}(\cdot \mid x)$.,\pi_\text{ref}(\cdot \mid x),strip_outer_dollars,no,"In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the general DPO pipeline for each prompt $x$, the completions $y_1$ and $y_2$ are sampled from the distribution before human preferences are used to construct the offline preference dataset $\mathcal{D}$,","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the general DPO pipeline for each prompt $x$, the completions $y_1$ and $y_2$ are sampled from the distribution before human preferences are used to construct the offline preference dataset $\mathcal{D}$,"
arxiv/DPO,131, the offline dataset of preferences $\mathcal{D}$.,"the offline dataset of preferences $\mathcal{D} = \{x^{(i)}, y_w^{(i)}, y_l)^{(i)}\}_{i=1}^N$",long_exact_source_span,no,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the general DPO pipeline, the thing that is constructed by sampling completions $y_1, y_2 \sim \pi_\text{ref}(\cdot \mid x)$ for each prompt $x$ and then labeling them with human preferences is","According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the general DPO pipeline, the thing that is constructed by sampling completions $y_1, y_2 \sim \pi_\text{ref}(\cdot \mid x)$ for each prompt $x$ and then labeling them with human preferences is"
arxiv/DPO,137," $\pi_\text{ref} = \argmax_{\pi}\mathbb{E}_{x, y_w \sim \mathcal{D}}\left[\log \pi(y_w \mid x)\right]$","\pi_\text{ref} = \argmax_{\pi}\mathbb{E}_{x, y_w \sim \mathcal{D}}\left[\log \pi(y_w \mid x)\right]",strip_outer_dollars,no,"In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", when the supervised fine-tuned policy $\pi^\text{SFT}$ is not available, the authors use the following optimization to initialize $\pi_\text{ref}$ from the preference dataset of preferred completions ${(x, y_w)}$:","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", when the supervised fine-tuned policy $\pi^\text{SFT}$ is not available, the authors use the following optimization to initialize $\pi_\text{ref}$ from the preference dataset of preferred completions ${(x, y_w)}$:"
arxiv/DPO,153," $r(x, y) - \beta\log\sum_{y}\pi_\text{ref}(y\mid x)\exp\left(\frac{1}{\beta}r(x, y)\right)$.","r(x, y) - \beta\log\sum_{y}\pi_\text{ref}(y\mid x)\exp\left(\frac{1}{\beta}r(x, y)\right)",strip_outer_dollars,no,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the projection $f(r; \pi_\text{ref}, \beta)$ is defined in terms of the reward function $r(x, y)$, the reference model $\pi_\text{ref}(y \mid x)$, and the parameter $\beta$ as","According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the projection $f(r; \pi_\text{ref}, \beta)$ is defined in terms of the reward function $r(x, y)$, the reference model $\pi_\text{ref}(y \mid x)$, and the parameter $\beta$ as"
arxiv/DPO,154," $\beta\log\sum_{y}\pi_\text{ref}(y\mid x)\exp\left(\frac{1}{\beta}r(x, y)\right)$","\beta\log\sum_{y}\pi_\text{ref}(y\mid x)\exp\left(\frac{1}{\beta}r(x, y)\right)",strip_outer_dollars,no,"In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the quantity subtracted from $r(x, y)$ in the definition of the projection $f(r; \pi_\text{ref}, \beta)(x, y)$ is","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the quantity subtracted from $r(x, y)$ in the definition of the projection $f(r; \pi_\text{ref}, \beta)(x, y)$ is"
arxiv/DPO,165, $\beta\log\frac{\pi_{\theta}(y\mid x)}{\pi_\text{ref}(y\mid x)}$.,\beta\log\frac{\pi_{\theta}(y\mid x)}{\pi_\text{ref}(y\mid x)},strip_outer_dollars,no,"In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the optimization objective derived from the control-as-inference formulation, the expression identified as the KL term is","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the optimization objective derived from the control-as-inference formulation, the expression identified as the KL term is"
arxiv/DPO,231," $\{3,6,9,12\}$.","\{3,6,9,12\}",strip_outer_dollars,no,"In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the sentiment-setting reward-KL frontier experiments, the target KL values used for policy conservativeness when running PPO were","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the sentiment-setting reward-KL frontier experiments, the target KL values used for policy conservativeness when running PPO were"
arxiv/FeatLLM,6,a simple predictive model with the discovered features.,simple predictive model with the discovered features,source_wording,no,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", at inference time, the proposed FeatLLM framework uses","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", at inference time, the proposed FeatLLM framework uses"
arxiv/FeatLLM,215,directly embedding them.,directly embeds few-shot training samples into the input prompt without tuning,expanded_exact_source_span,yes,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", in-context learning incorporates few-shot training samples into the input prompt without tuning by","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", In-context learning"
arxiv/FeatLLM,266,their informativeness.,the informativeness,source_wording,no,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the authors use a simple experiment to investigate what property of the rule-based features generated by FeatLLM for practical tasks","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the authors use a simple experiment to investigate what property of the rule-based features generated by FeatLLM for practical tasks"
arxiv/FeatLLM,286,the number of ensembles and the number of rules per class extracted during each LLM query.,"the number of ensembles, and the other is how many rules per class to extract during each LLM query",expanded_exact_source_span,yes,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the authors conducted experiments to investigate how affect performance.","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", FeatLLM has two main hyper-parameters; one is"
arxiv/GSPO,103," $\nabla_{\theta} \log \pi_{\theta} (y_{i,t} | x, y_{i,<t})$.","\nabla_{\theta} \log \pi_{\theta} (y_{i,t} | x, y_{i,<t})",strip_outer_dollars,no,"According to the paper **""Group Sequence Policy Optimization""**, in the final line of the GSPO-token gradient derivation in Equation \eqref{equ:gspo-token_grad}, the expression multiplied by $\widehat{A}_{i,t}$ inside the token-level sum over $t$ is","According to the paper **""Group Sequence Policy Optimization""**, in the final line of the GSPO-token gradient derivation in Equation \eqref{equ:gspo-token_grad}, the expression multiplied by $\widehat{A}_{i,t}$ inside the token-level sum over $t$ is"
arxiv/LongRoPE,23, $>1000k$.,$>$1000k,source_latex_gt,no,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", when discussing why extending a pre-trained LLM context window is particularly challenging, the authors say the extension introduces more than 90% new positions from 4k to","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", when discussing why extending a pre-trained LLM context window is particularly challenging, the authors say the extension introduces more than 90% new positions from 4k to"
arxiv/LongRoPE,40,incorporating multidimensional non-uniformities into positional interpolation.,considering these non-uniformities into positional interpolation,source_wording,no,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", information in the original RoPE can be effectively retained during positional interpolation by","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", information in the original RoPE can be effectively retained during positional interpolation by"
arxiv/LongRoPE,74, $\theta^{2/d}$.,\theta^{2/d},strip_outer_dollars,no,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the unified formulation for positional interpolation methods used to extend the context window from $L$ to $L'$, $\beta$ is defined, when $\lambda$ denotes the actual rescale factor related to $s$, as","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the unified formulation for positional interpolation methods used to extend the context window from $L$ to $L'$, $\beta$ is defined, when $\lambda$ denotes the actual rescale factor related to $s$, as"
arxiv/LongRoPE,148, $1/\lambda_i$.,1/\lambda_i,strip_outer_dollars,no,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the search space design for optimizing RoPE rescale factors, \hat{\lambda}_{i} is defined in terms of \lambda_i as","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the search space design for optimizing RoPE rescale factors, \hat{\lambda}_{i} is defined in terms of \lambda_i as"
arxiv/LongRoPE,151,"$\{0, 1, 2, 4, 8, 12, 16, 20, 24, 28, 32, 64, 128, 256\}$","\{0, 1, 2, 4, 8, 12, 16, 20, 24, 28, 32, 64, 128, 256\}",strip_outer_dollars,no,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in their positional interpolation search space, the authors empirically allow $\hat{n}$ to search from","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in their positional interpolation search space, the authors empirically allow $\hat{n}$ to search from"
arxiv/LongRoPE,152, $4\times10^{167}$,$400^{128/2}\times14$=4$\times10^{167}$,expanded_exact_source_formula,no,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the discussion of the evolution-based search space for positional interpolation solutions, a $s=4\times$ extension leads to the following number of choices:","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the discussion of the evolution-based search space for positional interpolation solutions, a $s=4\times$ extension leads to the following number of choices:"
arxiv/LongRoPE,166,only RoPE configurations satisfying the constraint.,Only RoPE that satisfies this constraint,source_wording,no,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", after imposing the monotonicity constraint, which RoPE configurations are applied to the LLM for perplexity evaluation","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", after imposing the monotonicity constraint, which RoPE configurations are applied to the LLM for perplexity evaluation"
arxiv/LongRoPE,207, ${\frac{1}{\lambda}_{i}}$.,{\frac{1}{\lambda}_{i}},strip_outer_dollars,no,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the optimization problem for rescaling RoPE rotation angles, $\mathbb{I}(\hat{\lambda}_{i},\hat{n})$ when $n\geq\hat{n}$ is","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the optimization problem for rescaling RoPE rotation angles, $\mathbb{I}(\hat{\lambda}_{i},\hat{n})$ when $n\geq\hat{n}$ is"
arxiv/LongRoPE,214,the initial $\hat{n}$-1 token positions.,initial $\hat{n}$-1 token positions,source_wording,no,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", the rescale factor $\hat\lambda_i$ does not take effect for","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", the rescale factor $\hat\lambda_i$ does not take effect for"
arxiv/LongRoPE,223,$1/\lambda_i$.,1/\lambda_i,strip_outer_dollars,no,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the search space design for RoPE rescale factors, when the authors search $\lambda_i$ and $\hat{n}$ instead of $\mathbb{I}(\hat{\lambda}_{i},\hat{n})$, $\hat{\lambda}_{i}$ is defined as","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the search space design for RoPE rescale factors, when the authors search $\lambda_i$ and $\hat{n}$ instead of $\mathbb{I}(\hat{\lambda}_{i},\hat{n})$, $\hat{\lambda}_{i}$ is defined as"
arxiv/LongRoPE,226," $\{0, 1, 2, 4, 8, 12, 16, 20, 24, 28, 32, 64, 128, 256\}$","\{0, 1, 2, 4, 8, 12, 16, 20, 24, 28, 32, 64, 128, 256\}",strip_outer_dollars,no,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", the set of values that $\hat{n}$ is allowed to search from empirically in the positional interpolation search space is","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", the set of values that $\hat{n}$ is allowed to search from empirically in the positional interpolation search space is"
arxiv/LongRoPE,229, $4\times10^{167}$ choices.,$400^{128/2}\times14$=4$\times10^{167}$ choices.,expanded_exact_source_formula,no,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the discussion of the evolution-based search space for positional interpolation solutions, a $s=4\times$ extension leads to","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the discussion of the evolution-based search space for positional interpolation solutions, a $s=4\times$ extension leads to"
arxiv/LongRoPE,242,only RoPE configurations satisfying the constraint.,Only RoPE that satisfies this constraint,source_wording,no,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", which RoPE configurations are applied to the LLM for perplexity evaluation after imposing $\lambda_i \le \lambda_{i+1}$","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", which RoPE configurations are applied to the LLM for perplexity evaluation after imposing $\lambda_i \le \lambda_{i+1}$"
arxiv/LongRoPE,295,$P=64$.,$P$=64,source_formula,no,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", for target window sizes within 256k, LongRoPE uses population size","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", for target window sizes within 256k, LongRoPE uses population size"
arxiv/LongRoPE,296,$N_1=N_2=16$.,$N_1$=$N_2$=16,source_formula,no,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", for target window sizes within 256k, LongRoPE uses mutation and crossover sizes","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", for target window sizes within 256k, LongRoPE uses mutation and crossover sizes"
arxiv/OFT,84, the original control signal,the origin control signal.,source_typo,no,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the control consistency metric, the estimated control signal is compared with:","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the control consistency metric, the estimated control signal is compared with:"
arxiv/OFT,157, $\| \bm{M} - \bm{M}^0\|$,\| \bm{M} - \bm{M}^0\|,strip_outer_dollars,no,"In the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", according to the discussion of conventional finetuning with a small learning rate, standard finetuning is essentially aiming to minimize the quantity between the finetuned model weights $\bm{M}$ and the pretrained model weights $\bm{M}^0$:","In the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", according to the discussion of conventional finetuning with a small learning rate, standard finetuning is essentially aiming to minimize the quantity between the finetuned model weights $\bm{M}$ and the pretrained model weights $\bm{M}^0$:"
arxiv/OFT,162, $\text{rank}(\bm{M} - \bm{M}^0)=r'$.,\text{rank}(\bm{M} - \bm{M}^0)=r',strip_outer_dollars,no,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", when discussing LoRA as compared with standard finetuning, the low-rank constraint imposed on the weight update is","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", when discussing LoRA as compared with standard finetuning, the low-rank constraint imposed on the weight update is"
arxiv/OFT,165, $\| \text{HE}(\bm{M})-\text{HE}(\bm{M}^0) \|=0$,\| \text{HE}(\bm{M})-\text{HE}(\bm{M}^0) \|=0,strip_outer_dollars,no,"In the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", OFT introduces the constraint on pair-wise neuron similarity between the updated weight matrix $\bm{M}$ and the pretrained weight matrix $\bm{M}^0$ as","In the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", OFT introduces the constraint on pair-wise neuron similarity between the updated weight matrix $\bm{M}$ and the pretrained weight matrix $\bm{M}^0$ as"
arxiv/OFT,166," $\bm{W}=\{\bm{w}_1,\cdots,\bm{w}_n\}\in\mathbb{R}^{d\times n}$","\bm{W}=\{\bm{w}_1,\cdots,\bm{w}_n\}\in\mathbb{R}^{d\times n}",strip_outer_dollars,no,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the illustrative example of a fully connected layer used to explain OFT, the notation the authors use for that layer is","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the illustrative example of a fully connected layer used to explain OFT, the notation the authors use for that layer is"
arxiv/OFT,167,$\mathbb{R}^{d}$.,\mathbb{R}^{d},strip_outer_dollars,no,"According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the illustrative fully connected layer example, each neuron $\bm{w}_i$ belongs to","According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the illustrative fully connected layer example, each neuron $\bm{w}_i$ belongs to"
