document,row_1based_before_drop,target,probe,fact,reason,candidate_target,score,candidate_source_ok,v12_raw_knowledge_statement
arxiv/ByteLatent,67,within the patch.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the second entropy-based approach can be interpreted as identifying points that break approximate monotonically decreasing entropy","According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the second entropy-based approach identifies points that break approximate monotonically decreasing entropy within the patch.",target_not_exact_source_span,withing the patch.,1.070,True,The second approach can also be interpreted as identifying points that break approximate monotonically decreasing entropy withing the patch.
arxiv/ByteLatent,119,$|E_{n}^{hash}|$,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", in the augmented embedding for byte $n$-gram hash embeddings, the quantity used as the modulus in the hash definition is","According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", in the augmented embedding for byte $n$-gram hash embeddings, the quantity used as the modulus in the hash definition is $|E_{n}^{hash}|$",target_not_exact_source_span,|E_{n}^{hash}|,1.100,True,"We calculate the augmented embedding

\begin{align}
e_i &= x_i + \sum_{n = 3,...,8}E_{n}^{hash}(\text{Hash}(g_{i,n})) \\
\text{where, Hash}(g_{i,n}) &= \text{RollPolyHash}(g_{i,n}) \% |E_{n}^{hash}|
\end{align}"
arxiv/ByteLatent,181,very repetitive content.,"In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", multiple choice tasks often exhibit","According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the paper says that multiple choice tasks often exhibit very repetitive content.",target_not_exact_source_span,very repetitive.,0.889,True,"Empirically, we find that using entropy patching yields progressively larger patches in structured content like multiple choice tasks (see patching on an MMLU example in \autoref{fig:mmlu_patching}) which are often very repetitive."
arxiv/ByteLatent,204, $\mathcal{L}_{CE}(\pmb{x})$,"In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", when the authors define Bits-Per-Byte (BPB) as the tokenizer-independent version of perplexity for comparing byte and token-level models, the quantity that appears in the numerator of the BPB fraction is","In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", when the authors define Bits-Per-Byte (BPB) as the tokenizer-independent version of perplexity for comparing byte and token-level models, the quantity that appears in the numerator of the BPB fraction is $\mathcal{L}_{CE}(\pmb{x})$",target_not_exact_source_span,\frac{\mathcal{L}_{CE}(\pmb{x})}{\ln(2)\cdot,0.957,True,"Specifically:

\begin{align}
    \text{BPB}(x)&= \frac{\mathcal{L}_{CE}(\pmb{x})}{\ln(2)\cdot n_{\text{bytes}}}
\end{align}

where the uncertainty over the data $\pmb{x}$ as measured by the sum of the cross-entropy loss is normalized by the total number of bytes in $\pmb{x}$ and a constant."
arxiv/ByteLatent,226, $10^{-8}$.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", when optimizing with AdamW using $\beta_1 = 0.9$ and $\beta_2 = 0.95$, the authors set $\epsilon$ to","According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", when optimizing with AdamW using $\beta_1 = 0.9$ and $\beta_2 = 0.95$, the authors set $\epsilon$ to $10^{-8}$.",target_not_exact_source_span,$\epsilon=10^{-8}$.,1.100,True,"For optimization, we use the AdamW optimizer~\citep{adamw} with $\beta_1$ set to 0.9 and $\beta_2$ to 0.95, with an $\epsilon=10^{-8}$."
arxiv/ByteLatent,328,99.9%.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the score the model achieves on both spelling tasks in the character manipulation benchmark is","According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the score the model achieves on both spelling tasks in the character manipulation benchmark is 99.9%.",target_not_exact_source_span,99.9\%,1.100,True,"In particular, our model demonstrates exceptional proficiency in character manipulation tasks achieving 99.9\% on both spelling tasks."
arxiv/ByteLatent,378,out-of-vocabulary words.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", character language modeling has been popular since early neural models because character models can flexibly model without back-off methods.","According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", character language modeling has been popular since early neural models because character models can flexibly model without back-off methods. out-of-vocabulary words.
",target_not_exact_source_span,out of vocabulary words,1.100,True,"\textbf{Character-Level RNNs:} Character Language Modeling has been a popular task ever since the early days of neural models~\citep{sutskever2011generating,mikolov2012subword,graves2013generating} owing to their flexibility of modeling out of vocabulary words organically without resorting to back-off methods."
arxiv/ByteLatent,388,CNN-based layers.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the type of layers ByteNet uses rather than attention for machine translation on characters is","According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the type of layers ByteNet uses rather than attention for machine translation on characters is CNN-based layers.",target_not_exact_source_span,CNN based layers,1.100,True,ByteNet by \cite{kalchbrenner2016neural} uses CNN based layers on characters as opposed to attention for machine translation.
arxiv/DPO,55, relative human judgments of response quality,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the type of human judgments of response quality that are often easier to collect than expert demonstrations, motivating subsequent fine-tuning of LLMs with datasets of human preferences, are","According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the type of human judgments of response quality that are often easier to collect than expert demonstrations, motivating subsequent fine-tuning of LLMs with datasets of human preferences, are relative human judgments of response quality",target_not_exact_source_span,\textit{relative} human judgments of response quality,1.100,True,"Despite the success of instruction tuning, \textit{relative} human judgments of response quality are often easier to collect than expert demonstrations, and thus subsequent works have fine-tuned LLMs with datasets of human preferences, improving proficiency in translation \citep{kreutzer-etal-2018-reliability}, summarization \citep{stiennon2022learning,ziegler2020finetuning}, story-telling \citep{ziegler2020finetuning}, and instruction-following \citep{ouyang2022training,ramamurthy2023is}."
arxiv/DPO,85," $\frac{\exp\left(r^*(x, y_1)\right)}{\exp\left(r^*(x, y_1)\right) + \exp\left(r^*(x, y_2)\right)}$","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", according to the Bradley-Terry (BT) model for the human preference distribution $p^*$, $p^*(y_1\succ y_2 \mid x)$ is expressed in terms of the reward function $r^*(x, y)$ as","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", according to the Bradley-Terry (BT) model for the human preference distribution $p^*$, $p^*(y_1\succ y_2 \mid x)$ is expressed in terms of the reward function $r^*(x, y)$ as $\frac{\exp\left(r^*(x, y_1)\right)}{\exp\left(r^*(x, y_1)\right) + \exp\left(r^*(x, y_2)\right)}$",target_not_exact_source_span,"x)=\frac{\exp\left(r^*(x, y_1)\right)}{\exp\left(r^*(x, y_1)\right) + \exp\left(r^*(x, y_2)\right)}.",1.058,True,"The BT model stipulates that the human preference distribution $p^*$ can be written as:

\begin{equation}\label{eq:bradley-terry}
    p^*(y_1\succ y_2 \mid x)=\frac{\exp\left(r^*(x, y_1)\right)}{\exp\left(r^*(x, y_1)\right) + \exp\left(r^*(x, y_2)\right)}.
\end{equation}"
arxiv/DPO,97, $\mathbb{D}_{\textrm{KL}}$.,"In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the RL fine-tuning objective in Eq. \eqref{eq:RL}, the divergence term used to penalize the deviation of the learned policy $\pi_{\theta}$ from the reference policy $\pi_\text{ref}$ is","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the RL fine-tuning objective in Eq. \eqref{eq:RL}, the divergence term used to penalize the deviation of the learned policy $\pi_{\theta}$ from the reference policy $\pi_\text{ref}$ is $\mathbb{D}_{\textrm{KL}}$.",target_not_exact_source_span,\beta\mathbb{D}_{\textrm{KL}}\bigl[\pi_{\theta}(y\mid,0.900,True,"Following prior works~\citep{jaques2017sequence, jaques2020human}, the optimization is formulated as

\begin{equation}\label{eq:RL}
\max_{\pi_{\theta}}  \mathbb{E}_{x\sim \mathcal{D}, y\sim \pi_{\theta}(y \mid x)}\bigl[r_{\phi}(x, y)\bigr] - \beta\mathbb{D}_{\textrm{KL}}\bigl[\pi_{\theta}(y\mid x)\mid \mid \pi_\text{ref}(y\mid x)\bigr],
\end{equation}"
arxiv/DPO,111," $\sum_{y}\pi_\text{ref}(y\mid x)\exp\left(\frac{1}{\beta}r(x, y)\right)$","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the partition function $Z(x)$ in the expression for the optimal policy $\pi_r(y\mid x)$ is defined as","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the partition function $Z(x)$ in the expression for the optimal policy $\pi_r(y\mid x)$ is defined as $\sum_{y}\pi_\text{ref}(y\mid x)\exp\left(\frac{1}{\beta}r(x, y)\right)$",target_not_exact_source_span,"=\sum_{y}\pi_\text{ref}(y\mid x)\exp\left(\frac{1}{\beta}r(x, y)\right)$",1.100,True,"where $Z(x) =\sum_{y}\pi_\text{ref}(y\mid x)\exp\left(\frac{1}{\beta}r(x, y)\right)$ is the partition function."
arxiv/DPO,119," $\sigma(r^*(x, y_1) - r^*(x, y_2))$.","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", according to the Bradley-Terry preference model for comparing two completions $y_1$ and $y_2$ given a prompt $x$, ${p^*(y_1 \succ y_2 \mid x)}$ is expressed as","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", according to the Bradley-Terry preference model for comparing two completions $y_1$ and $y_2$ given a prompt $x$, ${p^*(y_1 \succ y_2 \mid x)}$ is expressed as $\sigma(r^*(x, y_1) - r^*(x, y_2))$.",target_not_exact_source_span,"\sigma(r^*(x, y_1) - r^*(x, y_2))}$.",1.100,True,"Fortunately, the Bradley-Terry model depends only on the difference of rewards between two completions, i.e., ${p^*(y_1 \succ y_2 \mid x) = \sigma(r^*(x, y_1) - r^*(x, y_2))}$."
arxiv/DPO,130, $\pi_\text{ref}(\cdot \mid x)$.,"In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the general DPO pipeline for each prompt $x$, the completions $y_1$ and $y_2$ are sampled from the distribution before human preferences are used to construct the offline preference dataset $\mathcal{D}$,","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the general DPO pipeline for each prompt $x$, the completions $y_1$ and $y_2$ are sampled from the distribution before human preferences are used to construct the offline preference dataset $\mathcal{D}$, $\pi_\text{ref}(\cdot \mid x)$.",target_not_exact_source_span,\pi_\text{ref}(\cdot \mid x)$,1.100,True,"The general DPO pipeline is as follows: 1) Sample completions $y_1, y_2 \sim \pi_\text{ref}(\cdot \mid x)$ for every prompt $x$, label with human preferences to construct the offline dataset of preferences $\mathcal{D} = \{x^{(i)}, y_w^{(i)}, y_l)^{(i)}\}_{i=1}^N$ and 2) optimize the language model $\pi_\theta$ to minimize $\mathcal{L}_\text{DPO}$ for the given $\pi_\text{ref}$ and $\mathcal{D}$ and desired $\beta$."
arxiv/DPO,131, the offline dataset of preferences $\mathcal{D}$.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the general DPO pipeline, the thing that is constructed by sampling completions $y_1, y_2 \sim \pi_\text{ref}(\cdot \mid x)$ for each prompt $x$ and then labeling them with human preferences is","According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the general DPO pipeline, the thing that is constructed by sampling completions $y_1, y_2 \sim \pi_\text{ref}(\cdot \mid x)$ for each prompt $x$ and then labeling them with human preferences is the offline dataset of preferences $\mathcal{D}$.",target_not_exact_source_span,the offline dataset of preferences $\mathcal{D},1.100,True,"The general DPO pipeline is as follows: 1) Sample completions $y_1, y_2 \sim \pi_\text{ref}(\cdot \mid x)$ for every prompt $x$, label with human preferences to construct the offline dataset of preferences $\mathcal{D} = \{x^{(i)}, y_w^{(i)}, y_l)^{(i)}\}_{i=1}^N$ and 2) optimize the language model $\pi_\theta$ to minimize $\mathcal{L}_\text{DPO}$ for the given $\pi_\text{ref}$ and $\mathcal{D}$ and desired $\beta$."
arxiv/DPO,137," $\pi_\text{ref} = \argmax_{\pi}\mathbb{E}_{x, y_w \sim \mathcal{D}}\left[\log \pi(y_w \mid x)\right]$","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", when the supervised fine-tuned policy $\pi^\text{SFT}$ is not available, the authors use the following optimization to initialize $\pi_\text{ref}$ from the preference dataset of preferred completions ${(x, y_w)}$:","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", when the supervised fine-tuned policy $\pi^\text{SFT}$ is not available, the authors use the following optimization to initialize $\pi_\text{ref}$ from the preference dataset of preferred completions ${(x, y_w)}$: $\pi_\text{ref} = \argmax_{\pi}\mathbb{E}_{x, y_w \sim \mathcal{D}}\left[\log \pi(y_w \mid x)\right]$",target_not_exact_source_span,"${\pi_\text{ref} = \argmax_{\pi}\mathbb{E}_{x, y_w \sim \mathcal{D}}\left[\log \pi(y_w \mid x)\right]}$.",1.100,True,"However, when $\pi^\text{SFT}$ is not available, we initialize $\pi_\text{ref}$ by maximizing likelihood of preferred completions ${(x, y_w)}$, that is, ${\pi_\text{ref} = \argmax_{\pi}\mathbb{E}_{x, y_w \sim \mathcal{D}}\left[\log \pi(y_w \mid x)\right]}$."
arxiv/DPO,153," $r(x, y) - \beta\log\sum_{y}\pi_\text{ref}(y\mid x)\exp\left(\frac{1}{\beta}r(x, y)\right)$.","According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the projection $f(r; \pi_\text{ref}, \beta)$ is defined in terms of the reward function $r(x, y)$, the reference model $\pi_\text{ref}(y \mid x)$, and the parameter $\beta$ as","According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the projection $f(r; \pi_\text{ref}, \beta)$ is defined in terms of the reward function $r(x, y)$, the reference model $\pi_\text{ref}(y \mid x)$, and the parameter $\beta$ as $r(x, y) - \beta\log\sum_{y}\pi_\text{ref}(y\mid x)\exp\left(\frac{1}{\beta}r(x, y)\right)$.
",target_not_exact_source_span,"r(x, y) - \beta\log\sum_{y}\pi_\text{ref}(y\mid x)\exp\left(\frac{1}{\beta}r(x, y)\right)",1.100,True,"We define the projection $f$ as  
\begin{equation}
    f(r; \pi_\text{ref}, \beta)(x, y) = r(x, y) - \beta\log\sum_{y}\pi_\text{ref}(y\mid x)\exp\left(\frac{1}{\beta}r(x, y)\right)
\end{equation}"
arxiv/DPO,154," $\beta\log\sum_{y}\pi_\text{ref}(y\mid x)\exp\left(\frac{1}{\beta}r(x, y)\right)$","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the quantity subtracted from $r(x, y)$ in the definition of the projection $f(r; \pi_\text{ref}, \beta)(x, y)$ is","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the quantity subtracted from $r(x, y)$ in the definition of the projection $f(r; \pi_\text{ref}, \beta)(x, y)$ is $\beta\log\sum_{y}\pi_\text{ref}(y\mid x)\exp\left(\frac{1}{\beta}r(x, y)\right)$",target_not_exact_source_span,"\beta\log\sum_{y}\pi_\text{ref}(y\mid x)\exp\left(\frac{1}{\beta}r(x, y)\right)",1.100,True,"We define the projection $f$ as  
\begin{equation}
    f(r; \pi_\text{ref}, \beta)(x, y) = r(x, y) - \beta\log\sum_{y}\pi_\text{ref}(y\mid x)\exp\left(\frac{1}{\beta}r(x, y)\right)
\end{equation}"
arxiv/DPO,165, $\beta\log\frac{\pi_{\theta}(y\mid x)}{\pi_\text{ref}(y\mid x)}$.,"In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the optimization objective derived from the control-as-inference formulation, the expression identified as the KL term is","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the optimization objective derived from the control-as-inference formulation, the expression identified as the KL term is $\beta\log\frac{\pi_{\theta}(y\mid x)}{\pi_\text{ref}(y\mid x)}$.",target_not_exact_source_span,\underbrace{\beta\log\frac{\pi_{\theta}(y\mid x)}{\pi_\text{ref}(y\mid,1.000,True,"With some algebra this leads to the optimization objective:

\begin{equation}\label{eq:AC}
    \max_{\pi_{\theta}}\mathbb{E}_{\pi_{\theta}(y\mid x)}\bigg[\underbrace{r_{\phi}(x, y) -\beta\log\sum_{y}\pi_\text{ref}(y\mid x)\exp\left(\frac{1}{\beta}r_{\phi}(x, y)\right)}_{f(r_{\phi}, \pi_\text{ref}, \beta)} - \underbrace{\beta\log\frac{\pi_{\theta}(y\mid x)}{\pi_\text{ref}(y\mid x)}}_{\text{KL}}\bigg]
\end{equation}"
arxiv/DPO,231," $\{3,6,9,12\}$.","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the sentiment-setting reward-KL frontier experiments, the target KL values used for policy conservativeness when running PPO were","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the sentiment-setting reward-KL frontier experiments, the target KL values used for policy conservativeness when running PPO were $\{3,6,9,12\}$.",target_not_exact_source_span,"$\in\{3,6,9,12\}$",1.100,True,"We execute multiple training runs for each algorithm, using a different hyperparameter for policy conservativeness in each run (target KL $\in\{3,6,9,12\}$ for PPO, $\beta \in \{0.05,0.1,1,5\}$, $\alpha\in\{0.05,0.1,0.5,1\}$ for unlikelihood, random seeds for preferred-FT)."
arxiv/FeatLLM,6,a simple predictive model with the discovered features.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", at inference time, the proposed FeatLLM framework uses","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", at inference time, the proposed FeatLLM framework uses a simple predictive model with the discovered features.",target_not_exact_source_span,simple predictive model with the discovered features,1.081,True,The proposed \textsf{FeatLLM} framework only uses this simple predictive model with the discovered features at inference time.
