document,row_1based,target,probe,fact
arxiv/ByteLatent,20,more efficient allocation of compute,"In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the authors describe a dynamic, learnable method for grouping bytes into patches and claim that, relative to tokenization-based models, this approach results in","In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the authors describe a dynamic, learnable method for grouping bytes into patches and claim that, relative to tokenization-based models, this approach results in more efficient allocation of compute"
arxiv/ByteLatent,67,within the patch.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the second entropy-based approach can be interpreted as identifying points that break approximate monotonically decreasing entropy","According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the second entropy-based approach identifies points that break approximate monotonically decreasing entropy within the patch."
arxiv/ByteLatent,119,$|E_{n}^{hash}|$,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", in the augmented embedding for byte $n$-gram hash embeddings, the quantity used as the modulus in the hash definition is","According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", in the augmented embedding for byte $n$-gram hash embeddings, the quantity used as the modulus in the hash definition is $|E_{n}^{hash}|$"
arxiv/ByteLatent,181,very repetitive content.,"In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", multiple choice tasks often exhibit","According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the paper says that multiple choice tasks often exhibit very repetitive content."
arxiv/ByteLatent,204,$\mathcal{L}_{CE}(\pmb{x})$,"In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", when the authors define Bits-Per-Byte (BPB) as the tokenizer-independent version of perplexity for comparing byte and token-level models, the quantity that appears in the numerator of the BPB fraction is","In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", when the authors define Bits-Per-Byte (BPB) as the tokenizer-independent version of perplexity for comparing byte and token-level models, the quantity that appears in the numerator of the BPB fraction is $\mathcal{L}_{CE}(\pmb{x})$"
arxiv/ByteLatent,226,$10^{-8}$.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", when optimizing with AdamW using $\beta_1 = 0.9$ and $\beta_2 = 0.95$, the authors set $\epsilon$ to","According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", when optimizing with AdamW using $\beta_1 = 0.9$ and $\beta_2 = 0.95$, the authors set $\epsilon$ to $10^{-8}$."
arxiv/ByteLatent,328,99.9%.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the score the model achieves on both spelling tasks in the character manipulation benchmark is","According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the score the model achieves on both spelling tasks in the character manipulation benchmark is 99.9%."
arxiv/ByteLatent,378,out-of-vocabulary words.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", character language modeling has been popular since early neural models because character models can flexibly model without back-off methods.","According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", character language modeling has been popular since early neural models because character models can flexibly model without back-off methods. out-of-vocabulary words.
"
arxiv/ByteLatent,388,CNN-based layers.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the type of layers ByteNet uses rather than attention for machine translation on characters is","According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the type of layers ByteNet uses rather than attention for machine translation on characters is CNN-based layers."
arxiv/DPO,55,relative human judgments of response quality,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the type of human judgments of response quality that are often easier to collect than expert demonstrations, motivating subsequent fine-tuning of LLMs with datasets of human preferences, are","According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the type of human judgments of response quality that are often easier to collect than expert demonstrations, motivating subsequent fine-tuning of LLMs with datasets of human preferences, are relative human judgments of response quality"
arxiv/DPO,85,"$\frac{\exp\left(r^*(x, y_1)\right)}{\exp\left(r^*(x, y_1)\right) + \exp\left(r^*(x, y_2)\right)}$","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", according to the Bradley-Terry (BT) model for the human preference distribution $p^*$, $p^*(y_1\succ y_2 \mid x)$ is expressed in terms of the reward function $r^*(x, y)$ as","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", according to the Bradley-Terry (BT) model for the human preference distribution $p^*$, $p^*(y_1\succ y_2 \mid x)$ is expressed in terms of the reward function $r^*(x, y)$ as $\frac{\exp\left(r^*(x, y_1)\right)}{\exp\left(r^*(x, y_1)\right) + \exp\left(r^*(x, y_2)\right)}$"
arxiv/DPO,97,$\mathbb{D}_{\textrm{KL}}$.,"In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the RL fine-tuning objective in Eq. \eqref{eq:RL}, the divergence term used to penalize the deviation of the learned policy $\pi_{\theta}$ from the reference policy $\pi_\text{ref}$ is","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the RL fine-tuning objective in Eq. \eqref{eq:RL}, the divergence term used to penalize the deviation of the learned policy $\pi_{\theta}$ from the reference policy $\pi_\text{ref}$ is $\mathbb{D}_{\textrm{KL}}$."
arxiv/DPO,111,"$\sum_{y}\pi_\text{ref}(y\mid x)\exp\left(\frac{1}{\beta}r(x, y)\right)$","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the partition function $Z(x)$ in the expression for the optimal policy $\pi_r(y\mid x)$ is defined as","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the partition function $Z(x)$ in the expression for the optimal policy $\pi_r(y\mid x)$ is defined as $\sum_{y}\pi_\text{ref}(y\mid x)\exp\left(\frac{1}{\beta}r(x, y)\right)$"
arxiv/DPO,119,"$\sigma(r^*(x, y_1) - r^*(x, y_2))$.","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", according to the Bradley-Terry preference model for comparing two completions $y_1$ and $y_2$ given a prompt $x$, ${p^*(y_1 \succ y_2 \mid x)}$ is expressed as","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", according to the Bradley-Terry preference model for comparing two completions $y_1$ and $y_2$ given a prompt $x$, ${p^*(y_1 \succ y_2 \mid x)}$ is expressed as $\sigma(r^*(x, y_1) - r^*(x, y_2))$."
arxiv/DPO,130,$\pi_\text{ref}(\cdot \mid x)$.,"In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the general DPO pipeline for each prompt $x$, the completions $y_1$ and $y_2$ are sampled from the distribution before human preferences are used to construct the offline preference dataset $\mathcal{D}$,","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the general DPO pipeline for each prompt $x$, the completions $y_1$ and $y_2$ are sampled from the distribution before human preferences are used to construct the offline preference dataset $\mathcal{D}$, $\pi_\text{ref}(\cdot \mid x)$."
arxiv/DPO,131,the offline dataset of preferences $\mathcal{D}$.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the general DPO pipeline, the thing that is constructed by sampling completions $y_1, y_2 \sim \pi_\text{ref}(\cdot \mid x)$ for each prompt $x$ and then labeling them with human preferences is","According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the general DPO pipeline, the thing that is constructed by sampling completions $y_1, y_2 \sim \pi_\text{ref}(\cdot \mid x)$ for each prompt $x$ and then labeling them with human preferences is the offline dataset of preferences $\mathcal{D}$."
arxiv/DPO,137,"$\pi_\text{ref} = \argmax_{\pi}\mathbb{E}_{x, y_w \sim \mathcal{D}}\left[\log \pi(y_w \mid x)\right]$","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", when the supervised fine-tuned policy $\pi^\text{SFT}$ is not available, the authors use the following optimization to initialize $\pi_\text{ref}$ from the preference dataset of preferred completions ${(x, y_w)}$:","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", when the supervised fine-tuned policy $\pi^\text{SFT}$ is not available, the authors use the following optimization to initialize $\pi_\text{ref}$ from the preference dataset of preferred completions ${(x, y_w)}$: $\pi_\text{ref} = \argmax_{\pi}\mathbb{E}_{x, y_w \sim \mathcal{D}}\left[\log \pi(y_w \mid x)\right]$"
arxiv/DPO,153,"$r(x, y) - \beta\log\sum_{y}\pi_\text{ref}(y\mid x)\exp\left(\frac{1}{\beta}r(x, y)\right)$.","According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the projection $f(r; \pi_\text{ref}, \beta)$ is defined in terms of the reward function $r(x, y)$, the reference model $\pi_\text{ref}(y \mid x)$, and the parameter $\beta$ as","According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the projection $f(r; \pi_\text{ref}, \beta)$ is defined in terms of the reward function $r(x, y)$, the reference model $\pi_\text{ref}(y \mid x)$, and the parameter $\beta$ as $r(x, y) - \beta\log\sum_{y}\pi_\text{ref}(y\mid x)\exp\left(\frac{1}{\beta}r(x, y)\right)$.
"
arxiv/DPO,154,"$\beta\log\sum_{y}\pi_\text{ref}(y\mid x)\exp\left(\frac{1}{\beta}r(x, y)\right)$","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the quantity subtracted from $r(x, y)$ in the definition of the projection $f(r; \pi_\text{ref}, \beta)(x, y)$ is","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the quantity subtracted from $r(x, y)$ in the definition of the projection $f(r; \pi_\text{ref}, \beta)(x, y)$ is $\beta\log\sum_{y}\pi_\text{ref}(y\mid x)\exp\left(\frac{1}{\beta}r(x, y)\right)$"
arxiv/DPO,165,$\beta\log\frac{\pi_{\theta}(y\mid x)}{\pi_\text{ref}(y\mid x)}$.,"In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the optimization objective derived from the control-as-inference formulation, the expression identified as the KL term is","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the optimization objective derived from the control-as-inference formulation, the expression identified as the KL term is $\beta\log\frac{\pi_{\theta}(y\mid x)}{\pi_\text{ref}(y\mid x)}$."
arxiv/DPO,231,"$\{3,6,9,12\}$.","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the sentiment-setting reward-KL frontier experiments, the target KL values used for policy conservativeness when running PPO were","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the sentiment-setting reward-KL frontier experiments, the target KL values used for policy conservativeness when running PPO were $\{3,6,9,12\}$."
arxiv/FeatLLM,6,a simple predictive model with the discovered features.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", at inference time, the proposed FeatLLM framework uses","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", at inference time, the proposed FeatLLM framework uses a simple predictive model with the discovered features."
arxiv/FeatLLM,215,directly embedding them.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", in-context learning incorporates few-shot training samples into the input prompt without tuning by","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", in-context learning incorporates few-shot training samples into the input prompt without tuning by directly embedding them."
arxiv/FeatLLM,266,their informativeness.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the authors use a simple experiment to investigate what property of the rule-based features generated by FeatLLM for practical tasks","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the authors use a simple experiment to investigate what property of the rule-based features generated by FeatLLM for practical tasks their informativeness.
"
arxiv/FeatLLM,286,the number of ensembles and the number of rules per class extracted during each LLM query.,"According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the authors conducted experiments to investigate how affect performance.","According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", the authors conducted experiments to investigate how affect performance. the number of ensembles and the number of rules per class extracted during each LLM query.
"
arxiv/GSPO,37,"$w_{t}(\theta) = \frac{ \pi_{\theta} (y_{t} | x, y_{<t}) }{ \pi_{\theta_\text{old}} (y_{t} | x,y_{<t})}$","According to the paper ""Group Sequence Policy Optimization"", in the PPO objective for policy optimization, the importance ratio of the token $y_t$ is defined as","According to the paper ""Group Sequence Policy Optimization"", in the PPO objective for policy optimization, the importance ratio of the token $y_t$ is defined as $w_{t}(\theta) = \frac{ \pi_{\theta} (y_{t} | x, y_{<t}) }{ \pi_{\theta_\text{old}} (y_{t} | x,y_{<t})}$"
arxiv/GSPO,49,$\pi_{\theta_\text{old}}( \cdot | x)$.,"According to the paper ""Group Sequence Policy Optimization"", the response groups $\{y_i\}_{i=1}^G$ sampled in the GRPO objective are drawn from the policy","According to the paper ""Group Sequence Policy Optimization"", the response groups $\{y_i\}_{i=1}^G$ sampled in the GRPO objective are drawn from the policy $\pi_{\theta_\text{old}}( \cdot | x)$."
arxiv/GSPO,90,$\pi_{\theta_\text{old}}( \cdot | x)$.,"According to the paper ""Group Sequence Policy Optimization"", in the expectation defining the gradient of the GRPO objective, the sampled sequences $\{y_i\}_{i=1}^G$ are drawn from","According to the paper ""Group Sequence Policy Optimization"", in the expectation defining the gradient of the GRPO objective, the sampled sequences $\{y_i\}_{i=1}^G$ are drawn from $\pi_{\theta_\text{old}}( \cdot | x)$."
arxiv/GSPO,91,"$ \frac{ \pi_{\theta} (y_{i,t} | x, y_{i,<t}) }{ \pi_{\theta_\text{old}} (y_{i,t} | x,y_{i,<t})} $","According to the paper ""Group Sequence Policy Optimization"", in the expanded gradient of the GRPO objective with $\widehat{A}_{i,t} = \widehat{A}_{i}$, the token-level factor multiplying $\nabla_{\theta} \log \pi_{\theta} (y_{i,t} | x, y_{i,<t})$ for each token $y_{i,t}$ is","According to the paper ""Group Sequence Policy Optimization"", in the expanded gradient of the GRPO objective with $\widehat{A}_{i,t} = \widehat{A}_{i}$, the token-level factor multiplying $\nabla_{\theta} \log \pi_{\theta} (y_{i,t} | x, y_{i,<t})$ for each token $y_{i,t}$ is $ \frac{ \pi_{\theta} (y_{i,t} | x, y_{i,<t}) }{ \pi_{\theta_\text{old}} (y_{i,t} | x,y_{i,<t})} $"
arxiv/GSPO,102,$\pi_{\theta_\text{old}}( \cdot | x)$.,"According to the paper ""Group Sequence Policy Optimization"", in the derived gradient of GSPO-token, the sampled sequences $\{y_i\}_{i=1}^G$ are drawn in the expectation over $x \sim \mathcal{D}$ from","According to the paper ""Group Sequence Policy Optimization"", in the derived gradient of GSPO-token, the sampled sequences $\{y_i\}_{i=1}^G$ are drawn in the expectation over $x \sim \mathcal{D}$ from $\pi_{\theta_\text{old}}( \cdot | x)$."
arxiv/GSPO,103,"$\nabla_{\theta} \log \pi_{\theta} (y_{i,t} | x, y_{i,<t})$.","According to the paper **""Group Sequence Policy Optimization""**, in the final line of the GSPO-token gradient derivation in Equation \eqref{equ:gspo-token_grad}, the expression multiplied by $\widehat{A}_{i,t}$ inside the token-level sum over $t$ is","According to the paper **""Group Sequence Policy Optimization""**, in the final line of the GSPO-token gradient derivation in Equation \eqref{equ:gspo-token_grad}, the expression multiplied by $\widehat{A}_{i,t}$ inside the token-level sum over $t$ is $\nabla_{\theta} \log \pi_{\theta} (y_{i,t} | x, y_{i,<t})$."
arxiv/LongRoPE,23,$>1000k$.,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", when discussing why extending a pre-trained LLM context window is particularly challenging, the authors say the extension introduces more than 90% new positions from 4k to","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", when discussing why extending a pre-trained LLM context window is particularly challenging, the authors say the extension introduces more than 90% new positions from 4k to $>1000k$."
arxiv/LongRoPE,40,incorporating multidimensional non-uniformities into positional interpolation.,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", information in the original RoPE can be effectively retained during positional interpolation by","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", information in the original RoPE can be effectively retained during positional interpolation by incorporating multidimensional non-uniformities into positional interpolation."
arxiv/LongRoPE,53,the searched 256k length.,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", after the progressive extension strategy searches for a 256k length on the pretrained LLM, the model is fine-tuned under","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", after the progressive extension strategy searches for a 256k length on the pretrained LLM, the model is fine-tuned under the searched 256k length."
arxiv/LongRoPE,74,$\theta^{2/d}$.,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the unified formulation for positional interpolation methods used to extend the context window from $L$ to $L'$, $\beta$ is defined, when $\lambda$ denotes the actual rescale factor related to $s$, as","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the unified formulation for positional interpolation methods used to extend the context window from $L$ to $L'$, $\beta$ is defined, when $\lambda$ denotes the actual rescale factor related to $s$, as $\theta^{2/d}$."
arxiv/LongRoPE,148,$1/\lambda_i$.,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the search space design for optimizing RoPE rescale factors, \hat{\lambda}_{i} is defined in terms of \lambda_i as","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the search space design for optimizing RoPE rescale factors, \hat{\lambda}_{i} is defined in terms of \lambda_i as $1/\lambda_i$."
arxiv/LongRoPE,151,"$\{0, 1, 2, 4, 8, 12, 16, 20, 24, 28, 32, 64, 128, 256\}$","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in their positional interpolation search space, the authors empirically allow $\hat{n}$ to search from","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in their positional interpolation search space, the authors empirically allow $\hat{n}$ to search from $\{0, 1, 2, 4, 8, 12, 16, 20, 24, 28, 32, 64, 128, 256\}$"
arxiv/LongRoPE,152,$4\times10^{167}$,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the discussion of the evolution-based search space for positional interpolation solutions, a $s=4\times$ extension leads to the following number of choices:","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the discussion of the evolution-based search space for positional interpolation solutions, a $s=4\times$ extension leads to the following number of choices: $4\times10^{167}$"
arxiv/LongRoPE,166,only RoPE configurations satisfying the constraint.,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", after imposing the monotonicity constraint, which RoPE configurations are applied to the LLM for perplexity evaluation","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", after imposing the monotonicity constraint, which RoPE configurations are applied to the LLM for perplexity evaluation only RoPE configurations satisfying the constraint."
arxiv/LongRoPE,206,"$\mathbb{I}(\hat{\lambda}_{i}, \hat{n})$.","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the optimization problem defining the RoPE embedding for token position $n$ and dimension $i$, the factor that multiplies $\frac{n}{\beta^i}$ inside both the cosine and sine terms is","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the optimization problem defining the RoPE embedding for token position $n$ and dimension $i$, the factor that multiplies $\frac{n}{\beta^i}$ inside both the cosine and sine terms is $\mathbb{I}(\hat{\lambda}_{i}, \hat{n})$."
arxiv/LongRoPE,207,${\frac{1}{\lambda}_{i}}$.,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the optimization problem for rescaling RoPE rotation angles, $\mathbb{I}(\hat{\lambda}_{i},\hat{n})$ when $n\geq\hat{n}$ is","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the optimization problem for rescaling RoPE rotation angles, $\mathbb{I}(\hat{\lambda}_{i},\hat{n})$ when $n\geq\hat{n}$ is ${\frac{1}{\lambda}_{i}}$."
arxiv/LongRoPE,214,the initial $\hat{n}$-1 token positions.,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", the rescale factor $\hat\lambda_i$ does not take effect for","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", the rescale factor $\hat\lambda_i$ does not take effect for the initial $\hat{n}$-1 token positions."
arxiv/LongRoPE,223,$1/\lambda_i$.,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the search space design for RoPE rescale factors, when the authors search $\lambda_i$ and $\hat{n}$ instead of $\mathbb{I}(\hat{\lambda}_{i},\hat{n})$, $\hat{\lambda}_{i}$ is defined as","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the search space design for RoPE rescale factors, when the authors search $\lambda_i$ and $\hat{n}$ instead of $\mathbb{I}(\hat{\lambda}_{i},\hat{n})$, $\hat{\lambda}_{i}$ is defined as $1/\lambda_i$."
arxiv/LongRoPE,226,"$\{0, 1, 2, 4, 8, 12, 16, 20, 24, 28, 32, 64, 128, 256\}$","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", the set of values that $\hat{n}$ is allowed to search from empirically in the positional interpolation search space is","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", the set of values that $\hat{n}$ is allowed to search from empirically in the positional interpolation search space is $\{0, 1, 2, 4, 8, 12, 16, 20, 24, 28, 32, 64, 128, 256\}$"
arxiv/LongRoPE,229,$4\times10^{167}$ choices.,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the discussion of the evolution-based search space for positional interpolation solutions, a $s=4\times$ extension leads to","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the discussion of the evolution-based search space for positional interpolation solutions, a $s=4\times$ extension leads to $4\times10^{167}$ choices."
arxiv/LongRoPE,234,by randomly mutating the three rescale factors.,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", the remaining $P-3$ individuals are generated","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", the remaining $P-3$ individuals are generated by randomly mutating the three rescale factors."
arxiv/LongRoPE,242,only RoPE configurations satisfying the constraint.,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", which RoPE configurations are applied to the LLM for perplexity evaluation after imposing $\lambda_i \le \lambda_{i+1}$","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", which RoPE configurations are applied to the LLM for perplexity evaluation after imposing $\lambda_i \le \lambda_{i+1}$ only RoPE configurations satisfying the constraint.
"
arxiv/LongRoPE,295,$P=64$.,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", for target window sizes within 256k, LongRoPE uses population size","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", for target window sizes within 256k, LongRoPE uses population size $P=64$."
