source,domain,paraphrase_idx,source_chunks,source_tokens,paraphrase_chunks,paraphrase_tokens,delta_chunks,delta_tokens,longer_tokens,longer_chunks,path
arxiv,LongRoPE,3,4,12658,4,13849,0,1191,True,False,data/arxiv/paraphrased/LongRoPE/3.tex
arxiv,LongRoPE,4,4,12658,4,13806,0,1148,True,False,data/arxiv/paraphrased/LongRoPE/4.tex
arxiv,LongRoPE,5,4,12658,4,13784,0,1126,True,False,data/arxiv/paraphrased/LongRoPE/5.tex
arxiv,LongRoPE,6,4,12658,4,13794,0,1136,True,False,data/arxiv/paraphrased/LongRoPE/6.tex
arxiv,LongRoPE,7,4,12658,4,13765,0,1107,True,False,data/arxiv/paraphrased/LongRoPE/7.tex
arxiv,LongRoPE,8,4,12658,4,13757,0,1099,True,False,data/arxiv/paraphrased/LongRoPE/8.tex
arxiv,OFT,0,3,11434,3,11807,0,373,True,False,data/arxiv/paraphrased/OFT/0.tex
arxiv,OFT,1,3,11434,3,11375,0,-59,False,False,data/arxiv/paraphrased/OFT/1.tex
arxiv,OFT,2,3,11434,3,11012,0,-422,False,False,data/arxiv/paraphrased/OFT/2.tex
arxiv,OFT,3,3,11434,3,11179,0,-255,False,False,data/arxiv/paraphrased/OFT/3.tex
arxiv,OFT,4,3,11434,3,11320,0,-114,False,False,data/arxiv/paraphrased/OFT/4.tex
arxiv,OFT,5,3,11434,3,11234,0,-200,False,False,data/arxiv/paraphrased/OFT/5.tex
arxiv,OFT,6,3,11434,3,11195,0,-239,False,False,data/arxiv/paraphrased/OFT/6.tex
arxiv,OFT,7,3,11434,3,11206,0,-228,False,False,data/arxiv/paraphrased/OFT/7.tex
arxiv,OFT,8,3,11434,3,11319,0,-115,False,False,data/arxiv/paraphrased/OFT/8.tex
arxiv,QLoRA,0,4,15089,5,16251,1,1162,True,True,data/arxiv/paraphrased/QLoRA/0.tex
arxiv,QLoRA,1,4,15089,4,15217,0,128,True,False,data/arxiv/paraphrased/QLoRA/1.tex
arxiv,QLoRA,2,4,15089,4,15188,0,99,True,False,data/arxiv/paraphrased/QLoRA/2.tex
arxiv,QLoRA,3,4,15089,4,15190,0,101,True,False,data/arxiv/paraphrased/QLoRA/3.tex
arxiv,QLoRA,4,4,15089,4,15171,0,82,True,False,data/arxiv/paraphrased/QLoRA/4.tex
arxiv,QLoRA,5,4,15089,4,15219,0,130,True,False,data/arxiv/paraphrased/QLoRA/5.tex
arxiv,QLoRA,6,4,15089,4,15141,0,52,True,False,data/arxiv/paraphrased/QLoRA/6.tex
arxiv,QLoRA,7,4,15089,4,15137,0,48,True,False,data/arxiv/paraphrased/QLoRA/7.tex
arxiv,QLoRA,8,4,15089,4,15174,0,85,True,False,data/arxiv/paraphrased/QLoRA/8.tex
arxiv,fa3,0,3,11499,3,12112,0,613,True,False,data/arxiv/paraphrased/fa3/0.tex
arxiv,fa3,1,3,11499,3,12189,0,690,True,False,data/arxiv/paraphrased/fa3/1.tex
arxiv,fa3,2,3,11499,3,12077,0,578,True,False,data/arxiv/paraphrased/fa3/2.tex
arxiv,fa3,3,3,11499,4,12137,1,638,True,True,data/arxiv/paraphrased/fa3/3.tex
arxiv,fa3,4,3,11499,3,12055,0,556,True,False,data/arxiv/paraphrased/fa3/4.tex
arxiv,fa3,5,3,11499,3,12068,0,569,True,False,data/arxiv/paraphrased/fa3/5.tex
arxiv,fa3,6,3,11499,3,12083,0,584,True,False,data/arxiv/paraphrased/fa3/6.tex
arxiv,fa3,7,3,11499,3,12110,0,611,True,False,data/arxiv/paraphrased/fa3/7.tex
arxiv,fa3,8,3,11499,4,12195,1,696,True,True,data/arxiv/paraphrased/fa3/8.tex
arxiv,xLSTM,0,3,11738,4,12584,1,846,True,True,data/arxiv/paraphrased/xLSTM/0.tex
arxiv,xLSTM,1,3,11738,4,12529,1,791,True,True,data/arxiv/paraphrased/xLSTM/1.tex
arxiv,xLSTM,2,3,11738,4,12499,1,761,True,True,data/arxiv/paraphrased/xLSTM/2.tex
arxiv,xLSTM,3,3,11738,4,12423,1,685,True,True,data/arxiv/paraphrased/xLSTM/3.tex
arxiv,xLSTM,4,3,11738,4,12550,1,812,True,True,data/arxiv/paraphrased/xLSTM/4.tex
arxiv,xLSTM,5,3,11738,4,12374,1,636,True,True,data/arxiv/paraphrased/xLSTM/5.tex
arxiv,xLSTM,6,3,11738,4,12450,1,712,True,True,data/arxiv/paraphrased/xLSTM/6.tex
arxiv,xLSTM,7,3,11738,4,12563,1,825,True,True,data/arxiv/paraphrased/xLSTM/7.tex
arxiv,xLSTM,8,3,11738,4,12441,1,703,True,True,data/arxiv/paraphrased/xLSTM/8.tex
legal,America_First_Legal_Foundation_v_Jamieson_Greer,0,1,2787,1,2962,0,175,True,False,data/legal/paraphrased/America_First_Legal_Foundation_v_Jamieson_Greer/0.txt
legal,America_First_Legal_Foundation_v_Jamieson_Greer,1,1,2787,1,2938,0,151,True,False,data/legal/paraphrased/America_First_Legal_Foundation_v_Jamieson_Greer/1.txt
legal,America_First_Legal_Foundation_v_Jamieson_Greer,2,1,2787,1,2906,0,119,True,False,data/legal/paraphrased/America_First_Legal_Foundation_v_Jamieson_Greer/2.txt
legal,America_First_Legal_Foundation_v_Jamieson_Greer,3,1,2787,1,2947,0,160,True,False,data/legal/paraphrased/America_First_Legal_Foundation_v_Jamieson_Greer/3.txt
legal,America_First_Legal_Foundation_v_Jamieson_Greer,4,1,2787,1,2968,0,181,True,False,data/legal/paraphrased/America_First_Legal_Foundation_v_Jamieson_Greer/4.txt
legal,America_First_Legal_Foundation_v_Jamieson_Greer,5,1,2787,1,2933,0,146,True,False,data/legal/paraphrased/America_First_Legal_Foundation_v_Jamieson_Greer/5.txt
legal,America_First_Legal_Foundation_v_Jamieson_Greer,6,1,2787,1,2952,0,165,True,False,data/legal/paraphrased/America_First_Legal_Foundation_v_Jamieson_Greer/6.txt
legal,America_First_Legal_Foundation_v_Jamieson_Greer,7,1,2787,1,2991,0,204,True,False,data/legal/paraphrased/America_First_Legal_Foundation_v_Jamieson_Greer/7.txt
legal,America_First_Legal_Foundation_v_Jamieson_Greer,8,1,2787,1,2935,0,148,True,False,data/legal/paraphrased/America_First_Legal_Foundation_v_Jamieson_Greer/8.txt
legal,Apex_Bank_v_Cc_Serve_Corp,0,1,3042,1,2972,0,-70,False,False,data/legal/paraphrased/Apex_Bank_v_Cc_Serve_Corp/0.txt
legal,Apex_Bank_v_Cc_Serve_Corp,1,1,3042,1,3022,0,-20,False,False,data/legal/paraphrased/Apex_Bank_v_Cc_Serve_Corp/1.txt
legal,Apex_Bank_v_Cc_Serve_Corp,2,1,3042,1,3009,0,-33,False,False,data/legal/paraphrased/Apex_Bank_v_Cc_Serve_Corp/2.txt
legal,Apex_Bank_v_Cc_Serve_Corp,3,1,3042,1,3003,0,-39,False,False,data/legal/paraphrased/Apex_Bank_v_Cc_Serve_Corp/3.txt
legal,Apex_Bank_v_Cc_Serve_Corp,4,1,3042,1,2978,0,-64,False,False,data/legal/paraphrased/Apex_Bank_v_Cc_Serve_Corp/4.txt
legal,Apex_Bank_v_Cc_Serve_Corp,5,1,3042,1,3020,0,-22,False,False,data/legal/paraphrased/Apex_Bank_v_Cc_Serve_Corp/5.txt
legal,Apex_Bank_v_Cc_Serve_Corp,6,1,3042,1,3002,0,-40,False,False,data/legal/paraphrased/Apex_Bank_v_Cc_Serve_Corp/6.txt
legal,Apex_Bank_v_Cc_Serve_Corp,7,1,3042,1,3009,0,-33,False,False,data/legal/paraphrased/Apex_Bank_v_Cc_Serve_Corp/7.txt
legal,Apex_Bank_v_Cc_Serve_Corp,8,1,3042,1,2982,0,-60,False,False,data/legal/paraphrased/Apex_Bank_v_Cc_Serve_Corp/8.txt
legal,Bruce_Cohen_v_Consilio_LLC,0,1,3125,1,3220,0,95,True,False,data/legal/paraphrased/Bruce_Cohen_v_Consilio_LLC/0.txt
legal,Bruce_Cohen_v_Consilio_LLC,1,1,3125,1,3235,0,110,True,False,data/legal/paraphrased/Bruce_Cohen_v_Consilio_LLC/1.txt
legal,Bruce_Cohen_v_Consilio_LLC,2,1,3125,1,3217,0,92,True,False,data/legal/paraphrased/Bruce_Cohen_v_Consilio_LLC/2.txt
legal,Bruce_Cohen_v_Consilio_LLC,3,1,3125,1,3226,0,101,True,False,data/legal/paraphrased/Bruce_Cohen_v_Consilio_LLC/3.txt
legal,Bruce_Cohen_v_Consilio_LLC,4,1,3125,1,3199,0,74,True,False,data/legal/paraphrased/Bruce_Cohen_v_Consilio_LLC/4.txt
legal,Bruce_Cohen_v_Consilio_LLC,5,1,3125,1,3224,0,99,True,False,data/legal/paraphrased/Bruce_Cohen_v_Consilio_LLC/5.txt
legal,Bruce_Cohen_v_Consilio_LLC,6,1,3125,1,3227,0,102,True,False,data/legal/paraphrased/Bruce_Cohen_v_Consilio_LLC/6.txt
legal,Bruce_Cohen_v_Consilio_LLC,7,1,3125,1,3243,0,118,True,False,data/legal/paraphrased/Bruce_Cohen_v_Consilio_LLC/7.txt
legal,Bruce_Cohen_v_Consilio_LLC,8,1,3125,1,3208,0,83,True,False,data/legal/paraphrased/Bruce_Cohen_v_Consilio_LLC/8.txt
legal,Finesse_Wireless_LLC_v_Att_Mobility_LLC,0,2,5322,2,4540,0,-782,False,False,data/legal/paraphrased/Finesse_Wireless_LLC_v_Att_Mobility_LLC/0.txt
legal,Finesse_Wireless_LLC_v_Att_Mobility_LLC,1,2,5322,2,4608,0,-714,False,False,data/legal/paraphrased/Finesse_Wireless_LLC_v_Att_Mobility_LLC/1.txt
legal,Finesse_Wireless_LLC_v_Att_Mobility_LLC,2,2,5322,2,4548,0,-774,False,False,data/legal/paraphrased/Finesse_Wireless_LLC_v_Att_Mobility_LLC/2.txt
legal,Finesse_Wireless_LLC_v_Att_Mobility_LLC,3,2,5322,2,4543,0,-779,False,False,data/legal/paraphrased/Finesse_Wireless_LLC_v_Att_Mobility_LLC/3.txt
legal,Finesse_Wireless_LLC_v_Att_Mobility_LLC,4,2,5322,2,4572,0,-750,False,False,data/legal/paraphrased/Finesse_Wireless_LLC_v_Att_Mobility_LLC/4.txt
legal,Finesse_Wireless_LLC_v_Att_Mobility_LLC,5,2,5322,2,4567,0,-755,False,False,data/legal/paraphrased/Finesse_Wireless_LLC_v_Att_Mobility_LLC/5.txt
legal,Finesse_Wireless_LLC_v_Att_Mobility_LLC,6,2,5322,2,4525,0,-797,False,False,data/legal/paraphrased/Finesse_Wireless_LLC_v_Att_Mobility_LLC/6.txt
legal,Finesse_Wireless_LLC_v_Att_Mobility_LLC,7,2,5322,2,4509,0,-813,False,False,data/legal/paraphrased/Finesse_Wireless_LLC_v_Att_Mobility_LLC/7.txt
legal,Finesse_Wireless_LLC_v_Att_Mobility_LLC,8,2,5322,2,4605,0,-717,False,False,data/legal/paraphrased/Finesse_Wireless_LLC_v_Att_Mobility_LLC/8.txt
legal,Foad_Farahi_v_FBI,0,1,3461,1,3559,0,98,True,False,data/legal/paraphrased/Foad_Farahi_v_FBI/0.txt
legal,Foad_Farahi_v_FBI,1,1,3461,1,3543,0,82,True,False,data/legal/paraphrased/Foad_Farahi_v_FBI/1.txt
legal,Foad_Farahi_v_FBI,2,1,3461,1,3540,0,79,True,False,data/legal/paraphrased/Foad_Farahi_v_FBI/2.txt
legal,Foad_Farahi_v_FBI,3,1,3461,1,3560,0,99,True,False,data/legal/paraphrased/Foad_Farahi_v_FBI/3.txt
legal,Foad_Farahi_v_FBI,4,1,3461,1,3557,0,96,True,False,data/legal/paraphrased/Foad_Farahi_v_FBI/4.txt
legal,Foad_Farahi_v_FBI,5,1,3461,1,3506,0,45,True,False,data/legal/paraphrased/Foad_Farahi_v_FBI/5.txt
legal,Foad_Farahi_v_FBI,6,1,3461,1,3569,0,108,True,False,data/legal/paraphrased/Foad_Farahi_v_FBI/6.txt
legal,Foad_Farahi_v_FBI,7,1,3461,1,3622,0,161,True,False,data/legal/paraphrased/Foad_Farahi_v_FBI/7.txt
legal,Foad_Farahi_v_FBI,8,1,3461,1,3575,0,114,True,False,data/legal/paraphrased/Foad_Farahi_v_FBI/8.txt
legal,Jimenez_v_Bondi,0,2,5287,2,5526,0,239,True,False,data/legal/paraphrased/Jimenez_v_Bondi/0.txt
legal,Jimenez_v_Bondi,1,2,5287,2,5526,0,239,True,False,data/legal/paraphrased/Jimenez_v_Bondi/1.txt
legal,Jimenez_v_Bondi,2,2,5287,2,5500,0,213,True,False,data/legal/paraphrased/Jimenez_v_Bondi/2.txt
legal,Jimenez_v_Bondi,3,2,5287,2,5532,0,245,True,False,data/legal/paraphrased/Jimenez_v_Bondi/3.txt
legal,Jimenez_v_Bondi,4,2,5287,2,5543,0,256,True,False,data/legal/paraphrased/Jimenez_v_Bondi/4.txt
legal,Jimenez_v_Bondi,5,2,5287,2,5507,0,220,True,False,data/legal/paraphrased/Jimenez_v_Bondi/5.txt
legal,Jimenez_v_Bondi,6,2,5287,2,5505,0,218,True,False,data/legal/paraphrased/Jimenez_v_Bondi/6.txt
legal,Jimenez_v_Bondi,7,2,5287,2,5579,0,292,True,False,data/legal/paraphrased/Jimenez_v_Bondi/7.txt
legal,Jimenez_v_Bondi,8,2,5287,2,5548,0,261,True,False,data/legal/paraphrased/Jimenez_v_Bondi/8.txt
legal,Pacito_v_Trump,0,1,3602,1,3625,0,23,True,False,data/legal/paraphrased/Pacito_v_Trump/0.txt
legal,Pacito_v_Trump,1,1,3602,1,3598,0,-4,False,False,data/legal/paraphrased/Pacito_v_Trump/1.txt
legal,Pacito_v_Trump,2,1,3602,1,3645,0,43,True,False,data/legal/paraphrased/Pacito_v_Trump/2.txt
legal,Pacito_v_Trump,3,1,3602,1,3626,0,24,True,False,data/legal/paraphrased/Pacito_v_Trump/3.txt
legal,Pacito_v_Trump,4,1,3602,1,3636,0,34,True,False,data/legal/paraphrased/Pacito_v_Trump/4.txt
legal,Pacito_v_Trump,5,1,3602,1,3592,0,-10,False,False,data/legal/paraphrased/Pacito_v_Trump/5.txt
legal,Pacito_v_Trump,6,1,3602,1,3625,0,23,True,False,data/legal/paraphrased/Pacito_v_Trump/6.txt
legal,Pacito_v_Trump,7,1,3602,1,3596,0,-6,False,False,data/legal/paraphrased/Pacito_v_Trump/7.txt
legal,Pacito_v_Trump,8,1,3602,1,3650,0,48,True,False,data/legal/paraphrased/Pacito_v_Trump/8.txt
legal,Santos_v_Kimmel,0,1,2615,1,2670,0,55,True,False,data/legal/paraphrased/Santos_v_Kimmel/0.txt
legal,Santos_v_Kimmel,1,1,2615,1,2615,0,0,False,False,data/legal/paraphrased/Santos_v_Kimmel/1.txt
legal,Santos_v_Kimmel,2,1,2615,1,2635,0,20,True,False,data/legal/paraphrased/Santos_v_Kimmel/2.txt
legal,Santos_v_Kimmel,3,1,2615,1,2680,0,65,True,False,data/legal/paraphrased/Santos_v_Kimmel/3.txt
legal,Santos_v_Kimmel,4,1,2615,1,2637,0,22,True,False,data/legal/paraphrased/Santos_v_Kimmel/4.txt
legal,Santos_v_Kimmel,5,1,2615,1,2635,0,20,True,False,data/legal/paraphrased/Santos_v_Kimmel/5.txt
legal,Santos_v_Kimmel,6,1,2615,1,2658,0,43,True,False,data/legal/paraphrased/Santos_v_Kimmel/6.txt
legal,Santos_v_Kimmel,7,1,2615,1,2651,0,36,True,False,data/legal/paraphrased/Santos_v_Kimmel/7.txt
legal,Santos_v_Kimmel,8,1,2615,1,2635,0,20,True,False,data/legal/paraphrased/Santos_v_Kimmel/8.txt
legal,United_States_v_Constantinescu,0,1,2587,1,2590,0,3,True,False,data/legal/paraphrased/United_States_v_Constantinescu/0.txt
legal,United_States_v_Constantinescu,1,1,2587,1,2671,0,84,True,False,data/legal/paraphrased/United_States_v_Constantinescu/1.txt
legal,United_States_v_Constantinescu,2,1,2587,1,2641,0,54,True,False,data/legal/paraphrased/United_States_v_Constantinescu/2.txt
legal,United_States_v_Constantinescu,3,1,2587,1,2592,0,5,True,False,data/legal/paraphrased/United_States_v_Constantinescu/3.txt
legal,United_States_v_Constantinescu,4,1,2587,1,2645,0,58,True,False,data/legal/paraphrased/United_States_v_Constantinescu/4.txt
legal,United_States_v_Constantinescu,5,1,2587,1,2629,0,42,True,False,data/legal/paraphrased/United_States_v_Constantinescu/5.txt
legal,United_States_v_Constantinescu,6,1,2587,1,2608,0,21,True,False,data/legal/paraphrased/United_States_v_Constantinescu/6.txt
legal,United_States_v_Constantinescu,7,1,2587,1,2632,0,45,True,False,data/legal/paraphrased/United_States_v_Constantinescu/7.txt
legal,United_States_v_Constantinescu,8,1,2587,1,2632,0,45,True,False,data/legal/paraphrased/United_States_v_Constantinescu/8.txt
legal,United_States_v_Jaison_Coleman,0,1,2801,1,2750,0,-51,False,False,data/legal/paraphrased/United_States_v_Jaison_Coleman/0.txt
legal,United_States_v_Jaison_Coleman,1,1,2801,1,2736,0,-65,False,False,data/legal/paraphrased/United_States_v_Jaison_Coleman/1.txt
legal,United_States_v_Jaison_Coleman,2,1,2801,1,2708,0,-93,False,False,data/legal/paraphrased/United_States_v_Jaison_Coleman/2.txt
legal,United_States_v_Jaison_Coleman,3,1,2801,1,2805,0,4,True,False,data/legal/paraphrased/United_States_v_Jaison_Coleman/3.txt
legal,United_States_v_Jaison_Coleman,4,1,2801,1,2753,0,-48,False,False,data/legal/paraphrased/United_States_v_Jaison_Coleman/4.txt
legal,United_States_v_Jaison_Coleman,5,1,2801,1,2709,0,-92,False,False,data/legal/paraphrased/United_States_v_Jaison_Coleman/5.txt
legal,United_States_v_Jaison_Coleman,6,1,2801,1,2698,0,-103,False,False,data/legal/paraphrased/United_States_v_Jaison_Coleman/6.txt
legal,United_States_v_Jaison_Coleman,7,1,2801,1,2737,0,-64,False,False,data/legal/paraphrased/United_States_v_Jaison_Coleman/7.txt
legal,United_States_v_Jaison_Coleman,8,1,2801,1,2796,0,-5,False,False,data/legal/paraphrased/United_States_v_Jaison_Coleman/8.txt
legal,United_States_v_Justin_Cutbank,0,1,3025,1,3231,0,206,True,False,data/legal/paraphrased/United_States_v_Justin_Cutbank/0.txt
legal,United_States_v_Justin_Cutbank,1,1,3025,1,3250,0,225,True,False,data/legal/paraphrased/United_States_v_Justin_Cutbank/1.txt
legal,United_States_v_Justin_Cutbank,2,1,3025,1,3281,0,256,True,False,data/legal/paraphrased/United_States_v_Justin_Cutbank/2.txt
legal,United_States_v_Justin_Cutbank,3,1,3025,1,3261,0,236,True,False,data/legal/paraphrased/United_States_v_Justin_Cutbank/3.txt
legal,United_States_v_Justin_Cutbank,4,1,3025,1,3244,0,219,True,False,data/legal/paraphrased/United_States_v_Justin_Cutbank/4.txt
legal,United_States_v_Justin_Cutbank,5,1,3025,1,3251,0,226,True,False,data/legal/paraphrased/United_States_v_Justin_Cutbank/5.txt
legal,United_States_v_Justin_Cutbank,6,1,3025,1,3299,0,274,True,False,data/legal/paraphrased/United_States_v_Justin_Cutbank/6.txt
legal,United_States_v_Justin_Cutbank,7,1,3025,1,3241,0,216,True,False,data/legal/paraphrased/United_States_v_Justin_Cutbank/7.txt
legal,United_States_v_Justin_Cutbank,8,1,3025,1,3230,0,205,True,False,data/legal/paraphrased/United_States_v_Justin_Cutbank/8.txt
legal,Williams_v_GoAuto_Insurance,0,1,2877,1,3004,0,127,True,False,data/legal/paraphrased/Williams_v_GoAuto_Insurance/0.txt
legal,Williams_v_GoAuto_Insurance,1,1,2877,1,2975,0,98,True,False,data/legal/paraphrased/Williams_v_GoAuto_Insurance/1.txt
legal,Williams_v_GoAuto_Insurance,2,1,2877,1,2967,0,90,True,False,data/legal/paraphrased/Williams_v_GoAuto_Insurance/2.txt
legal,Williams_v_GoAuto_Insurance,3,1,2877,1,3010,0,133,True,False,data/legal/paraphrased/Williams_v_GoAuto_Insurance/3.txt
legal,Williams_v_GoAuto_Insurance,4,1,2877,1,2990,0,113,True,False,data/legal/paraphrased/Williams_v_GoAuto_Insurance/4.txt
legal,Williams_v_GoAuto_Insurance,5,1,2877,1,2982,0,105,True,False,data/legal/paraphrased/Williams_v_GoAuto_Insurance/5.txt
legal,Williams_v_GoAuto_Insurance,6,1,2877,1,2985,0,108,True,False,data/legal/paraphrased/Williams_v_GoAuto_Insurance/6.txt
legal,Williams_v_GoAuto_Insurance,7,1,2877,1,2961,0,84,True,False,data/legal/paraphrased/Williams_v_GoAuto_Insurance/7.txt
legal,Williams_v_GoAuto_Insurance,8,1,2877,1,3012,0,135,True,False,data/legal/paraphrased/Williams_v_GoAuto_Insurance/8.txt
