document,pre_sanity_row,current_row,action,details
arxiv/ByteLatent,257,256,needs_review,short_target_review:  50\%.
arxiv/ByteLatent,420,419,needs_review,question_shaped_cloze_review:  arithmetic coding.
arxiv/ByteLatent,443,442,needs_review,question_shaped_cloze_review:  wall-clock time.
arxiv/ByteLatent,471,469,probe_text_cleanup+fact_text_cleanup," x_i + \sum_{n = 3,...,8}E_{n}^{hash}(\text{Hash}(g_{i,n}))"
arxiv/ByteLatent,472,470,probe_text_cleanup+fact_text_cleanup," \text{RollPolyHash}(g_{i,n})"
arxiv/DPO,78,74,probe_text_cleanup+fact_text_cleanup, the latent scoring function.
arxiv/DPO,134,128,probe_text_cleanup+fact_text_cleanup, $\beta$
arxiv/DPO,159,153,probe_text_cleanup+fact_text_cleanup," $r(x, y) - \beta\log\sum_{y}\pi_\text{ref}(y\mid x)\exp\left(\frac{1}{\beta}r(x, y)\right)$."
arxiv/DPO,161,155,needs_review,question_shaped_cloze_review:  normalizes the reward function.
arxiv/DPO,177,171,probe_text_cleanup+fact_text_cleanup, a learned value function
arxiv/DPO,181,175,probe_text_cleanup+fact_text_cleanup, a reward function.
arxiv/DPO,314,307,probe_text_cleanup+fact_text_cleanup, \pi_{\theta}(y \mid x)
arxiv/FeatLLM,17,16,needs_review,question_shaped_cloze_review:  expert domain knowledge.
arxiv/FeatLLM,32,31,probe_text_cleanup+fact_text_cleanup, at least one
arxiv/FeatLLM,46,45,needs_review,question_shaped_cloze_review:  a complex machine learning model.
arxiv/FeatLLM,73,72,needs_review,question_shaped_cloze_review:  generalizable representations.
arxiv/FeatLLM,75,74,needs_review,question_shaped_cloze_review:  image data
arxiv/FeatLLM,82,81,needs_review,question_shaped_cloze_review:  the heterogeneous nature of tabular data.
arxiv/FeatLLM,100,99,needs_review,question_shaped_cloze_review:  serializing tabular data into text.
arxiv/FeatLLM,252,251,needs_review,question_shaped_cloze_review:  the effect of tuning.
arxiv/FeatLLM,256,255,needs_review,question_shaped_cloze_review:  the prior knowledge of LLM
arxiv/FeatLLM,267,266,needs_review,question_shaped_cloze_review: their informativeness.
arxiv/FeatLLM,290,289,probe_text_cleanup+fact_text_cleanup, rule generation and an ensemble process with bagging.
arxiv/GRPO,5,4,needs_review,question_shaped_cloze_review:  Common Crawl
arxiv/GRPO,10,9,probe_text_cleanup+fact_text_cleanup, Group Relative Policy Optimization (GRPO).
arxiv/GRPO,53,51,needs_review,question_shaped_cloze_review:  the number of parameters.
arxiv/GRPO,227,224,probe_text_cleanup+fact_text_cleanup, $\pi_{\theta_{old}}$.
arxiv/GRPO,228,225,probe_text_cleanup+fact_text_cleanup, $\mathcal{J}_{GRPO}(\theta)$
arxiv/GRPO,323,315,needs_review,question_shaped_cloze_review:  the model parameter.
arxiv/GRPO,382,373,needs_review,short_target_review:  31.6\%
arxiv/GRPO,401,391,probe_text_cleanup+fact_text_cleanup, few-shot capability.
arxiv/GSPO,76,75,needs_review,question_shaped_cloze_review:  the unit of optimization objective.
arxiv/GSPO,112,110,needs_review,short_target_review:  3e-4.
arxiv/GSPO,125,123,needs_review,short_target_review:  GRPO.
arxiv/LongRoPE,158,158,needs_review,short_target_review:  $p$.
arxiv/LongRoPE,316,316,needs_review,short_target_review:  256k.
arxiv/LongRoPE,383,382,needs_review,meaningfulness_review:  Together-32k~\cite{together}
arxiv/OFT,116,115,needs_review,question_shaped_cloze_review:  controllable generation.
arxiv/OFT,209,205,needs_review,short_target_review:  $960$.
arxiv/OFT,384,378,needs_review,meaningfulness_review:  depth-wise convolution kernels~\cite{chollet2017xception}
arxiv/QLoRA,142,142,needs_review,short_target_review:  64.
arxiv/QLoRA,254,253,needs_review,short_target_review:  Elo.
arxiv/QLoRA,256,255,needs_review,short_target_review:  65\%.
arxiv/QLoRA,257,256,needs_review,short_target_review:  50\%.
arxiv/fa3,124,122,needs_review,short_target_review:  TMA.
arxiv/fa3,251,249,needs_review,short_target_review:  2.
arxiv/xLSTM,186,183,needs_review,short_target_review:  RNN.
arxiv/xLSTM,208,205,needs_review,short_target_review:  571.
arxiv/xLSTM,233,230,needs_review,short_target_review:  1.
legal/Bruce_Cohen_v_Consilio_LLC,48,48,probe_text_cleanup+fact_text_cleanup,the employee concerned.
legal/Bruce_Cohen_v_Consilio_LLC,61,61,probe_text_cleanup+fact_text_cleanup,the Commissioner
legal/Bruce_Cohen_v_Consilio_LLC,80,80,probe_text_cleanup+fact_text_cleanup,statutory penalties
legal/Jimenez_v_Bondi,27,27,probe_text_cleanup+fact_text_cleanup,a statutorily protected ground
legal/Pacito_v_Trump,9,8,probe_text_cleanup+fact_text_cleanup,unaccompanied refugee children were at issue in the case.
legal/Pacito_v_Trump,40,39,probe_text_cleanup+fact_text_cleanup,plaintiffs’ challenge to the validity of Executive Order No. 14163’s suspension of refugee admissions
legal/Pacito_v_Trump,59,58,probe_text_cleanup+fact_text_cleanup,the district court’s injunction on that issue.
legal/Pacito_v_Trump,61,60,probe_text_cleanup+fact_text_cleanup,those who were recently admitted before the suspension went into effect.
legal/Santos_v_Kimmel,31,31,probe_text_cleanup+fact_text_cleanup,"“feelings of hope, strength, perseverance, encouragement, and positivity,”"
legal/Santos_v_Kimmel,37,37,probe_text_cleanup+fact_text_cleanup,a finding of fair use
legal/Santos_v_Kimmel,38,38,probe_text_cleanup+fact_text_cleanup,the first factor strongly supports a finding of fair use.
medical/Acute_neurological_Behets_disease_complicated_by_a_syndrome,16,14,probe_text_cleanup+fact_text_cleanup,a systemic form of BD.
medical/Autoimmune_heparininduced_thrombocytopenia_following_cardiac,65,65,probe_text_cleanup+fact_text_cleanup,100 g
medical/Central_hypoventilation_and_choking_episodes_revealing_Chiar,92,92,probe_text_cleanup+fact_text_cleanup,a non-contrast CT scan of the head
medical/Central_hypoventilation_and_choking_episodes_revealing_Chiar,128,128,needs_review,short_target_review: (72%)
medical/Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,78,78,probe_text_cleanup+fact_text_cleanup,"involving the hip adductors, bilateral gracilis muscles and bilateral distal iliopsoas muscles"
medical/From_dog_bite_to_dialysis_complementmediated_haemolytic_urae,20,20,needs_review,short_target_review: 10%.
medical/From_dog_bite_to_dialysis_complementmediated_haemolytic_urae,116,115,needs_review,question_shaped_cloze_review: negative microbiological testing
medical/Management_of_atypical_complicated_abdominal_masses_in_the_s,41,41,needs_review,short_target_review: 97%)
medical/Management_of_atypical_complicated_abdominal_masses_in_the_s,49,49,probe_text_cleanup+fact_text_cleanup,9.9 g/L
medical/Management_of_atypical_complicated_abdominal_masses_in_the_s,84,84,probe_text_cleanup+fact_text_cleanup,Hb 10.0 g/L
medical/Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,31,31,probe_text_cleanup+fact_text_cleanup,IPF.
medical/Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,46,46,needs_review,short_target_review: (TBD).
medical/Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,69,69,probe_text_cleanup+fact_text_cleanup,an upper gastrointestinal endoscopy
medical/Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,77,77,probe_text_cleanup+fact_text_cleanup,negative.
medical/Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,80,80,probe_text_cleanup+fact_text_cleanup,¹⁸F-fluorodeoxyglucose
medical/Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,88,88,probe_text_cleanup+fact_text_cleanup,"PARN gene (c.613T>C; p.Cys205Arg, exon 8)."
medical/Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,122,122,needs_review,short_target_review: 20%
medical/Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,28,28,probe_text_cleanup+fact_text_cleanup,a three-tier risk-stratified approach to monitoring.
medical/Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,59,59,probe_text_cleanup+fact_text_cleanup,clindamycin
medical/Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,87,87,needs_review,question_shaped_cloze_review: neither treatment approach was necessary
medical/Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,90,90,probe_text_cleanup+fact_text_cleanup,levocetirizine as a new standard medication
medical/Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel,1,1,probe_text_cleanup+fact_text_cleanup,hepatocyte nuclear factor 1-alpha (HNF1A)-MODY
medical/Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel,15,15,needs_review,short_target_review: T2D
medical/Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel,17,17,probe_text_cleanup+fact_text_cleanup,MODY.
medical/Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel,21,21,needs_review,short_target_review: MODY.
medical/Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel,36,36,probe_text_cleanup+fact_text_cleanup,6.0%
medical/Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel,43,43,probe_text_cleanup+fact_text_cleanup,hepatocyte nuclear factor 1-alpha (HNF1A)
medical/Pancreatopleural_fistula_in_childhood,112,112,needs_review,short_target_review: 32%
medical/TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy,26,26,probe_text_cleanup+fact_text_cleanup,TEE and MSCT
medical/TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy,77,76,probe_text_cleanup+fact_text_cleanup,13.7 mm
