document,row_1based_pre_sanity_v13,decision,reason,target,probe,fact
arxiv/1_58,45,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion,"$[-Q_b, Q_b]$.","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the activation quantization procedure described in ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the activations are scaled per token to get rid of the zero-point quantization, namely","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the activation quantization procedure described in ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the activations are scaled per token to get rid of the zero-point quantization, namely $[-Q_b, Q_b]$.
"
arxiv/1_58,46,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion,the zero-point quantization.,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the activation quantization scheme where activations are scaled to $[-Q_b, Q_b]$ per token, what is removed is","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the activation quantization scheme where activations are scaled to $[-Q_b, Q_b]$ per token, what is removed is the zero-point quantization.
"
arxiv/1_58,50,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion, the LLaMA-alike components,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the design of BitNet b1.58 adopts the kind of components that embrace the open-source community:","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the design of BitNet b1.58 adopts the kind of components that embrace the open-source community: the LLaMA-alike components
"
arxiv/1_58,56,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion, Huggingface.,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the popular open-source software mentioned in the discussion of LLaMA-alike components that BitNet b1.58 can be integrated into with minimal efforts is","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the popular open-source software mentioned in the discussion of LLaMA-alike components that BitNet b1.58 can be integrated into with minimal efforts is Huggingface.
"
arxiv/1_58,70,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion,2.4 times faster.,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in Table~\ref{tab:ppl} of the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the comparison shows that \text{BitNet b1.58} with a 3.9B model size is, relative to \text{LLaMA LLM} 3B,","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in Table~\ref{tab:ppl} of the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the comparison shows that \text{BitNet b1.58} with a 3.9B model size is, relative to \text{LLaMA LLM} 3B, 2.4 times faster.
"
arxiv/1_58,73,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion, \emph{lm-evaluation-harness},"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the authors followed the evaluation pipeline to perform the zero-shot accuracy evaluation on the end tasks reported in Table~\ref{tab:zero-shot}:","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the authors followed the evaluation pipeline to perform the zero-shot accuracy evaluation on the end tasks reported in Table~\ref{tab:zero-shot}: \emph{lm-evaluation-harness}
"
arxiv/1_58,80,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion, 4.1 times,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the memory and latency evaluation after scaling model size to 70B, \text{BitNet b1.58} 70B is faster than the \text{LLaMA LLM} baseline by:","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the memory and latency evaluation after scaling model size to 70B, \text{BitNet b1.58} 70B is faster than the \text{LLaMA LLM} baseline by 4.1 times.
"
arxiv/1_58,89,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion,71.4 times,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", according to the energy model in~\cite{energycost, pokebnn}, \text{BitNet b1.58} saves a factor of arithmetic operations energy consumption for matrix multiplication on 7nm chips of","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", according to the energy model in~\cite{energycost, pokebnn}, \text{BitNet b1.58} saves a factor of arithmetic operations energy consumption for matrix multiplication on 7nm chips of 71.4 times
"
arxiv/1_58,90,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion,7nm chips.,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", according to the cited energy model in the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the process node used to evaluate the 71.4-times arithmetic-operations energy saving for matrix multiplication of \text{BitNet b1.58} is","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", according to the cited energy model in the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the process node used to evaluate the 71.4-times arithmetic-operations energy saving for matrix multiplication of \text{BitNet b1.58} is 7nm chips.
"
arxiv/1_58,93,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion, the percentage of \emph{nn.Linear},"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in explaining why \text{BitNet b1.58} becomes increasingly more energy efficient than the FP16 \text{LLaMA LLM} baseline as model size scales, what grows with the model size is","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in explaining why \text{BitNet b1.58} becomes increasingly more energy efficient than the FP16 \text{LLaMA LLM} baseline as model size scales, what grows with the model size is the percentage of \emph{nn.Linear}
"
arxiv/1_58,94,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion, other components.,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the energy-consumption comparison between BitNet b1.58 and the FP16 LLaMA LLM baseline, the quantity that becomes smaller for larger models as the percentage of \emph{nn.Linear} grows with model size is","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the energy-consumption comparison between BitNet b1.58 and the FP16 LLaMA LLM baseline, the quantity that becomes smaller for larger models as the percentage of \emph{nn.Linear} grows with model size is other components.
"
arxiv/1_58,110,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion,ARC-easy.,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the benchmark used to evaluate the two models in the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the dataset listed last after Winogrande, PIQA, SciQ, and LAMBADA was","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the benchmark used to evaluate the two models in the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the dataset listed last after Winogrande, PIQA, SciQ, and LAMBADA was ARC-easy.
"
arxiv/1_58,121,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion, the context length.,"In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"" when BitNet b1.58 reduces activations from 16 bits to 8 bits to support long sequences, what can be doubled given the same resources is","In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"" when BitNet b1.58 reduces activations from 16 bits to 8 bits to support long sequences, what can be doubled given the same resources is the context length.
"
arxiv/1_58,123,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion, future work.,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the authors say that further losslessly compressing 1.58-bit LLMs to 4 bits or even lower is left as","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the authors say that further losslessly compressing 1.58-bit LLMs to 4 bits or even lower is left as future work.
"
arxiv/1_58,125,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion, memory and computational power,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", edge and mobile devices are often limited by two resource constraints, which can restrict the performance and scale of large language models:","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", edge and mobile devices are often limited by two resource constraints, which can restrict the performance and scale of large language models: memory and computational power
"
arxiv/1_58,127,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion, a wide range of applications.,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the reduced memory and energy consumption of 1.58-bit LLMs enable on edge and mobile devices","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the reduced memory and energy consumption of 1.58-bit LLMs enable on edge and mobile devices a wide range of applications."
arxiv/BOFT,5,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion, orthogonal matrices.,"In the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization,"" OFT still uses a fairly large number of trainable parameters because it parameterizes","In the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization,"" OFT still uses a fairly large number of trainable parameters because it parameterizes orthogonal matrices.
"
arxiv/BOFT,6,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion, an information transmission perspective.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization,"" the authors begin by examining Orthogonal Finetuning (OFT) to address its large number of trainable parameters from","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization,"" the authors begin by examining Orthogonal Finetuning (OFT) to address its large number of trainable parameters from an information transmission perspective.
"
arxiv/BOFT,7,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion, Cooley-Tukey fast Fourier transform algorithm,"In the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization,"" the efficient orthogonal parameterization that uses butterfly structures is inspired by the","In the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization,"" the efficient orthogonal parameterization that uses butterfly structures is inspired by the Cooley-Tukey fast Fourier transform algorithm
"
arxiv/BOFT,27,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion, the pretraining knowledge.,"In the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization,"" the fundamental principle behind model finetuning is to preserve the similarity between the pretrained model and the finetuned model under certain measurements, thereby preserving","In the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization,"" the fundamental principle behind model finetuning is to preserve the similarity between the pretrained model and the finetuned model under certain measurements, thereby preserving the pretraining knowledge.
"
arxiv/BOFT,28,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion, the pretrained model and the finetuned model.,"In the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization,"" model finetuning aims to ensure similarity between","In the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization,"" model finetuning aims to ensure similarity between the pretrained model and the finetuned model.
"
arxiv/BOFT,35,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion, a fixed sparsity pattern,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", because the orthogonal transformation is applied independently in different blocks, the orthogonal matrix in OFT has:","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", because the orthogonal transformation is applied independently in different blocks, the orthogonal matrix in OFT has a fixed sparsity pattern.
"
arxiv/BOFT,38,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion, expressiveness,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", although OFT's block-diagonal sparsity pattern saves parameters, the resulting block-diagonal orthogonal matrix reduces:","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", although OFT's block-diagonal sparsity pattern saves parameters, the resulting block-diagonal orthogonal matrix reduces expressiveness.
"
arxiv/BOFT,41,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion, parameter-efficient.,"According to the paper, when generating a dense orthogonal matrix to address the limitations of the block-diagonal sparsity pattern, the authors aim to preserve a design that is","According to the paper, when generating a dense orthogonal matrix to address the limitations of the block-diagonal sparsity pattern, the authors aim to preserve a design that is parameter-efficient.
"
arxiv/BOFT,44,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion, computation time.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", the authors explain that their approach to generating a dense orthogonal matrix is guided by the insight that the number of trainable parameters can be reduced by trading space for","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", the authors explain that their approach to generating a dense orthogonal matrix is guided by the insight that the number of trainable parameters can be reduced by trading space for computation time.
"
arxiv/BOFT,45,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion, trainable parameters.,"In the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization,"" trading computation time for space in generating a dense orthogonal matrix from multiple factorized sparse matrices can reduce","In the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization,"" trading computation time for space in generating a dense orthogonal matrix from multiple factorized sparse matrices can reduce trainable parameters.
"
arxiv/BOFT,52,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion, sparse matrix factorization.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization,"" in the information transmission framework for generating dense orthogonal matrices by multiplying sparse matrices, the approach that limits the number of trainable parameters while remaining expressive enough to generate dense matrices is","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization,"" in the information transmission framework for generating dense orthogonal matrices by multiplying sparse matrices, the approach that limits the number of trainable parameters while remaining expressive enough to generate dense matrices is sparse matrix factorization.
"
arxiv/BOFT,53,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion, the number of trainable parameters,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", in the information transmission framework, sparse matrix factorizations that are expressive enough to generate dense matrices can limit:","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", in the information transmission framework, sparse matrix factorizations that are expressive enough to generate dense matrices can limit the number of trainable parameters.
"
arxiv/BOFT,61,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion, a significant reduction.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization,"" in the discussion of butterfly factorization and orthogonal parameterization, the resulting efficient orthogonal parameterization is described relative to the original parameterization as","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization,"" in the discussion of butterfly factorization and orthogonal parameterization, the resulting efficient orthogonal parameterization is described relative to the original parameterization as a significant reduction.
"
arxiv/BOFT,69,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion, the low-rank structure.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization,"" the structure in LoRA that the authors contrast their orthogonal finetuning approach with is","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization,"" the structure in LoRA that the authors contrast their orthogonal finetuning approach with is the low-rank structure.
"
arxiv/BOFT,73,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion, the block-diagonal structure.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization,"" OFT uses the structure that trades off expressivity and regularity, in contrast to BOFT's butterfly structure,","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization,"" OFT uses the structure that trades off expressivity and regularity, in contrast to BOFT's butterfly structure, the block-diagonal structure.
"
arxiv/BOFT,75,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion, downstream tasks.,"In the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization,"" the butterfly-structured BOFT approach enables the authors to find a smaller hypothesis class within the orthogonal group for","In the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization,"" the butterfly-structured BOFT approach enables the authors to find a smaller hypothesis class within the orthogonal group for downstream tasks.
"
arxiv/BOFT,87,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion, parameter-efficiency.,"According to the paper, BOFT outperforms current state-of-the-art methods by a considerable margin, validating its superior generalization ability and","According to the paper, BOFT outperforms current state-of-the-art methods by a considerable margin, validating its superior generalization ability and parameter-efficiency.
"
arxiv/BOFT,93,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion, the parameter budget.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization,"" in the discussion of LoRA and related methods, several methods dynamically adjust the rank for different layers to adequately allocate","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization,"" in the discussion of LoRA and related methods, several methods dynamically adjust the rank for different layers to adequately allocate the parameter budget.
"
arxiv/BOFT,97,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion, an orthogonal matrix.,"According to the paper, OFT learns the kind of matrix used to transform neurons within the same layer, namely","According to the paper, OFT learns the kind of matrix used to transform neurons within the same layer, namely an orthogonal matrix.
"
arxiv/BOFT,99,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion, $\frac{N}{2}$-point.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", in the discussion of butterfly structures, the radix-2 Cooley-Tukey algorithm recursively reduces the $N$-point discrete Fourier transform to two","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", in the discussion of butterfly structures, the radix-2 Cooley-Tukey algorithm recursively reduces the $N$-point discrete Fourier transform to two $\frac{N}{2}$-point.
"
arxiv/BOFT,101,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion, orthogonal matrices.,"In the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization,"" butterfly matrices had already been used to parameterize","In the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization,"" butterfly matrices had already been used to parameterize orthogonal matrices.
"
arxiv/BOFT,104,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion, fast linear transforms.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization,"" \\cite{dao2019learning,dao2019kaleidoscope} use butterfly parameterizations to learn","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization,"" \\cite{dao2019learning,dao2019kaleidoscope} use butterfly parameterizations to learn fast linear transforms.
"
arxiv/BOFT,116,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion, the semantic knowledge from pretraining.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization,"" applying an orthogonal transformation to finetune the weight matrix is intended to preserve the pair-wise angles of neurons, so what can then be largely preserved is","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization,"" applying an orthogonal transformation to finetune the weight matrix is intended to preserve the pair-wise angles of neurons, so what can then be largely preserved is the semantic knowledge from pretraining.
"
arxiv/BOFT,123,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion," $\text{diag}(\bm{R}_1,\bm{R}_2,\cdots,\bm{R}_r)$.","According to the paper **""Parameter-Efficient Orthogonal Finetuning via Factorization""**, the authors introduce a block-diagonal structure to parameterize the orthogonal matrix $\bm{R}$ for parameter-efficiency by using","According to the paper **""Parameter-Efficient Orthogonal Finetuning via Factorization""**, the authors introduce a block-diagonal structure to parameterize the orthogonal matrix $\bm{R}$ for parameter-efficiency by using $\text{diag}(\bm{R}_1,\bm{R}_2,\cdots,\bm{R}_r)$.
"
arxiv/BOFT,144,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion,"$(3,1).","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", for $\bm{R}=\bm{B}_4\bm{B}_3\bm{B}_2\bm{B}_1$, which corresponds to source nodes in the first level and receiver nodes in the $5$-th level, the sparsity pattern has a zero element at matrix position","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", for $\bm{R}=\bm{B}_4\bm{B}_3\bm{B}_2\bm{B}_1$, which corresponds to source nodes in the first level and receiver nodes in the $5$-th level, the sparsity pattern has a zero element at matrix position $(3,1).
"
arxiv/BOFT,150,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion, a dense matrix $\bm{R}$.,"In the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization,"" the block-diagonal structure in the original OFT reduces the number of trainable parameters but fails to construct","In the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization,"" the block-diagonal structure in the original OFT reduces the number of trainable parameters but fails to construct a dense matrix $\bm{R}$.
"
arxiv/BOFT,151,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion, trainable parameters.,"In the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization,"" the block-diagonal structure of $\bm{R}$ in the original OFT, although unable to construct a dense matrix $\bm{R}$, reduces","In the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization,"" the block-diagonal structure of $\bm{R}$ in the original OFT, although unable to construct a dense matrix $\bm{R}$, reduces trainable parameters.
"
arxiv/BOFT,160,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion, the orthogonality.,"According to the paper, for each feasible set of edge connections in the information transmission framework, what may sometimes add or remove some edges is","According to the paper, for each feasible set of edge connections in the information transmission framework, what may sometimes add or remove some edges is the orthogonality.
"
arxiv/BOFT,171,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion, the frequency domain.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization,"" in the discussion of the butterfly structure and its analogy to the Fourier transform for the information transmission problem, a local change can cause a global change in the spatial domain when it occurs in","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization,"" in the discussion of the butterfly structure and its analogy to the Fourier transform for the information transmission problem, a local change can cause a global change in the spatial domain when it occurs in the frequency domain.
"
arxiv/BOFT,178,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion,two $\frac{d}{2}$-dimensional butterfly matrices.,"According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", in the recursive definition of the $d$-dimensional butterfly matrix $\bm{B}(d)$ for $d=2^N$ in the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", $\bm{B}_1(\frac{d}{2})$ and $\bm{B}_2(\frac{d}{2})$ are","According to the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", in the recursive definition of the $d$-dimensional butterfly matrix $\bm{B}(d)$ for $d=2^N$ in the paper ""Parameter-Efficient Orthogonal Finetuning via Factorization"", $\bm{B}_1(\frac{d}{2})$ and $\bm{B}_2(\frac{d}{2})$ are two $\frac{d}{2}$-dimensional butterfly matrices.
"
arxiv/BOFT,179,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion," $\tilde{\bm{B}}(d,2)$.","According to the paper **""Parameter-Efficient Orthogonal Finetuning via Factorization""**, in the recursive definition of the $d$-dimensional butterfly matrix $\bm{B}(d)$ for $d=2^N$, the last butterfly component appearing in the factorization $\tilde{\bm{B}}(d,d)\tilde{\bm{B}}(d,\frac{d}{2})\cdots$ is","According to the paper **""Parameter-Efficient Orthogonal Finetuning via Factorization""**, in the recursive definition of the $d$-dimensional butterfly matrix $\bm{B}(d)$ for $d=2^N$, the last butterfly component appearing in the factorization $\tilde{\bm{B}}(d,d)\tilde{\bm{B}}(d,\frac{d}{2})\cdots$ is $\tilde{\bm{B}}(d,2)$.
"
arxiv/BOFT,182,restored_for_review_or_repair,previously repair/review class; duplicate/repairable wording is not a drop criterion, orthogonal.,"In the paper, when parameterizing a matrix using the butterfly matrix $\bm{B}(d)$, all multiplicative factors $\tilde{\bm{B}}(d,k), \forall k$ must satisfy the property of being","In the paper, when parameterizing a matrix using the butterfly matrix $\bm{B}(d)$, all multiplicative factors $\tilde{\bm{B}}(d,k), \forall k$ must satisfy the property of being orthogonal.
"
