document,v14_filtered_row,section,target,probe,fact,raw_knowledge_statement
America_First_Legal_Foundation_v_Jamieson_Greer,41,II,the issues of imminence and redressability,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" when plaintiffs claim injury from the violation of a statutory procedural right designed to protect a threatened concrete interest, courts relax, though not eliminate entirely,","According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" when plaintiffs claim injury from the violation of a statutory procedural right designed to protect a threatened concrete interest, courts relax, though not eliminate entirely, the issues of imminence and redressability","“Where plaintiffs allege injury resulting from violation of a procedural right afforded to them by statute and designed to protect their threatened concrete interest, the courts relax—while not wholly eliminating—the issues of imminence and redressability, but not the issues of injury in fact or causation.” Ctr. for Law & Educ. v. Dep’t of Educ., 396 F.3d 1152, 1157 (D.C. Cir. 2005); see Fla. Audubon Soc’y v. Bentsen, 94 F.3d 658, 664–65 (D.C. Cir. 1996) (en banc)."
America_First_Legal_Foundation_v_Jamieson_Greer,43,II,"“concrete, particularized interest.”","According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" when a plaintiff alleges standing based on the violation of a procedural right, the resulting injury must affect a","According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" when a plaintiff alleges standing based on the violation of a procedural right, the resulting injury must affect a “concrete, particularized interest.”","In such cases, plaintiffs thus must show that the violation of a procedural right “resulted in injury” to some “concrete, particularized interest.”"
America_First_Legal_Foundation_v_Jamieson_Greer,45,II,section 1216,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" the court discussed AFL’s first standing theory, which alleged that OSC’s failure to investigate DOJ prevented AFL from receiving records it had requested under FOIA, and AFL claimed OSC failed to investigate DOJ under","According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" the court discussed AFL’s first standing theory, which alleged that OSC’s failure to investigate DOJ prevented AFL from receiving records it had requested under FOIA, and AFL claimed OSC failed to investigate DOJ under section 1216",AFL’s first standing theory is that OSC’s failure to investigate DOJ under section 1216 has prevented AFL from receiving the records it requested under FOIA.
America_First_Legal_Foundation_v_Jamieson_Greer,51,II,the MSPB and DOJ,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" the court rejected AFL’s standing theory in part because it depended on speculation about decisions by independent government actors not before the court, namely","According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" the court rejected AFL’s standing theory in part because it depended on speculation about decisions by independent government actors not before the court, namely the MSPB and DOJ","This requires speculation about choices by two government agencies not parties to this lawsuit (the MSPB and DOJ), yet “causation generally cannot rely on speculation about the unfettered choices made by independent actors not before the courts.”"
America_First_Legal_Foundation_v_Jamieson_Greer,59,II,FOIA violations.,"According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" the court said that even if 5 U.S.C. § 1216(a)(3) requires the Office of Special Counsel to investigate, that provision concerns","According to the opinion in ""America First Legal Foundation v. Jamieson Greer,"" the court said that even if 5 U.S.C. § 1216(a)(3) requires the Office of Special Counsel to investigate, that provision concerns FOIA violations.","But here, even if section 1216(a)(3) requires OSC to investigate FOIA violations, it creates no entitlement to receive information."
Apex_Bank_v_Cc_Serve_Corp,8,III,“Aspire”.,"According to the opinion in ""Apex Bank v. CC Serve Corp."", when the Board considered Apex's evidence of third-party marks under the sixth DuPont factor, those marks were used in connection with credit card-related services and the broader financial services industry and included the word","According to the opinion in ""Apex Bank v. CC Serve Corp."", when the Board considered Apex's evidence of third-party marks under the sixth DuPont factor, those marks were used in connection with credit card-related services and the broader financial services industry and included the word “Aspire”.","The marks used the word “Aspire” in connection with credit card-related services and, more broadly, the financial services industry."
Apex_Bank_v_Cc_Serve_Corp,17,I,the ASPIRE mark,"In the case ""Apex Bank v. CC Serve Corp."", where CC Serve is described as offering credit card services together with a bank that issues branded credit cards and associated accounts to customers, CC Serve offers those credit card services in connection with","In the case ""Apex Bank v. CC Serve Corp."", where CC Serve is described as offering credit card services together with a bank that issues branded credit cards and associated accounts to customers, CC Serve offers those credit card services in connection with the ASPIRE mark","CC Serve offers credit card services in connection with the ASPIRE mark—CC Serve joins with a bank, and the bank issues ASPIRE-branded credit cards and associated accounts to customers."
Apex_Bank_v_Cc_Serve_Corp,41,III,substantial evidence supports the Board’s finding that the parties’ services are highly similar.,"According to the opinion in ""Apex Bank v. CC Serve Corp."", the court said that","According to the opinion in ""Apex Bank v. CC Serve Corp."", the court said that substantial evidence supports the Board’s finding that the parties’ services are highly similar.","The Board carefully considered the descriptions of each party’s services, and substantial evidence supports the Board’s finding that the parties’ services are highly similar."
Apex_Bank_v_Cc_Serve_Corp,46,III,credit card services,"According to the opinion in ""Apex Bank v. CC Serve Corp."", after the Board applied the sixth DuPont factor and defined the relevant public as consumers of certain services, it focused solely on the identified marks for","According to the opinion in ""Apex Bank v. CC Serve Corp."", after the Board applied the sixth DuPont factor and defined the relevant public as consumers of certain services, it focused solely on the identified marks for credit card services",The Board focused solely on the marks identified for credit card services and deemed the marks using Aspire for other services to be “essentially irrelevant.”
Apex_Bank_v_Cc_Serve_Corp,55,III,partially legally identical,"According to the opinion in ""Apex Bank v. CC Serve Corp."", when the Board analyzed the second DuPont factor and found the parties' services highly similar, the court described the services at that stage as","According to the opinion in ""Apex Bank v. CC Serve Corp."", when the Board analyzed the second DuPont factor and found the parties' services highly similar, the court described the services at that stage as partially legally identical","When the Board has already made a factual finding that the services are highly similar—in fact, partially legally identical—in its analysis of the second DuPont factor, J.A. 27–28, the Board should retain the same scope in its consideration of similarity under the other factors."
Apex_Bank_v_Cc_Serve_Corp,61,III,the number and nature of similar marks used on similar goods,"According to the opinion in ""Apex Bank v. CC Serve Corp."", after vacating the Board’s findings on DuPont factors six and one and remanding the case, the court said the Board must consider on remand","According to the opinion in ""Apex Bank v. CC Serve Corp."", after vacating the Board’s findings on DuPont factors six and one and remanding the case, the court said the Board must consider on remand the number and nature of similar marks used on similar goods","But we vacate the Board’s findings with respect to DuPont factors six and one and remand for the Board to consider the number and nature of similar marks used on similar goods and the appearance, sound, connotation, and commercial impression of the marks in light of its finding that the parties’ services are highly similar."
Bruce_Cohen_v_Consilio_LLC,0,I,any further discovery or litigation.,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", after Consilio made payments and the parties agreed on the next procedural step, they stipulated that the Court should hear and decide Defendants’ summary judgment motion before","According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", after Consilio made payments and the parties agreed on the next procedural step, they stipulated that the Court should hear and decide Defendants’ summary judgment motion before any further discovery or litigation.","Following Consilio’s payments, the parties stipulated “that the most expedient and efficient path forward [would be] for the Court to hear and decide Defendants’ summary judgment motion on [the MPWA, MFLSA, and MWTA claims] before any further discovery or litigation.”"
Bruce_Cohen_v_Consilio_LLC,2,II,moot.,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", the Eighth Circuit considered whether Cohen’s remaining MFLSA claim for civil penalties would still present a live controversy after he had already been paid all overtime wages and liquidated damages, and if Consilio’s violative overtime policy is no longer in place and it is absolutely clear that the wrongful conduct will not recur, Cohen’s MFLSA claim may be","According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", the Eighth Circuit considered whether Cohen’s remaining MFLSA claim for civil penalties would still present a live controversy after he had already been paid all overtime wages and liquidated damages, and if Consilio’s violative overtime policy is no longer in place and it is absolutely clear that the wrongful conduct will not recur, Cohen’s MFLSA claim may be moot.","However, if Consilio’s policy is no longer in place and it is “absolutely clear” that its wrongful conduct will not recur, Cohen’s MFLSA claim may in fact be moot."
Bruce_Cohen_v_Consilio_LLC,3,II,jurisdiction.,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", when discussing whether Cohen’s MFLSA claim for civil penalties might be moot, the court said federal courts are not ""license[d] to retain"" cases in which one or both parties plainly lack a continuing interest. The court was referring to","According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", when discussing whether Cohen’s MFLSA claim for civil penalties might be moot, the court said federal courts are not ""license[d] to retain"" cases in which one or both parties plainly lack a continuing interest. The court was referring to jurisdiction.",And federal courts are not “license[d] to retain jurisdiction over cases in which one or both of the parties plainly lack a continuing interest[.]” Id. at 192.
Bruce_Cohen_v_Consilio_LLC,4,II,vacate the district court’s grant of summary judgment as to Cohen’s MFLSA claim,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", after raising a jurisdictional concern about whether Cohen’s MFLSA claim for statutory penalties might be moot, the appellate court decided to","According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", after raising a jurisdictional concern about whether Cohen’s MFLSA claim for statutory penalties might be moot, the appellate court decided to vacate the district court’s grant of summary judgment as to Cohen’s MFLSA claim","Accordingly, we vacate the district court’s grant of summary judgment as to Cohen’s MFLSA claim and remand for the district court to determine its jurisdiction."
Bruce_Cohen_v_Consilio_LLC,13,I,on behalf of himself and a putative class,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", when Cohen sued Consilio in August 2020 for allegedly failing to pay overtime wages, he did so","According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", when Cohen sued Consilio in August 2020 for allegedly failing to pay overtime wages, he did so on behalf of himself and a putative class","In August 2020, Cohen sued Consilio on behalf of himself and a putative class, alleging that Consilio failed to pay overtime wages owed to him and similarly situated employees."
Bruce_Cohen_v_Consilio_LLC,16,I,liquidated damages,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", Cohen sued Consilio under Minnesota wage statutes, including the Minnesota Payment of Wages Act and the Minnesota Fair Labor Standards Act, and besides overtime pay he sought","According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", Cohen sued Consilio under Minnesota wage statutes, including the Minnesota Payment of Wages Act and the Minnesota Fair Labor Standards Act, and besides overtime pay he sought liquidated damages","As remedies, Cohen sought overtime pay, liquidated damages, statutory penalties, and injunctive relief."
Bruce_Cohen_v_Consilio_LLC,17,I,injunctive relief,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", Cohen sued Consilio on behalf of himself and a putative class under the Minnesota wage statutes, and among the remedies he requested was","According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", Cohen sued Consilio on behalf of himself and a putative class under the Minnesota wage statutes, and among the remedies he requested was injunctive relief","As remedies, Cohen sought overtime pay, liquidated damages, statutory penalties, and injunctive relief."
Bruce_Cohen_v_Consilio_LLC,22,I,the MPWA,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", after Consilio paid the claimed overtime wages and liquidated damages and Cohen still sought statutory penalties, Cohen argued that he was entitled to $172,080 in average daily wage penalties under","According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", after Consilio paid the claimed overtime wages and liquidated damages and Cohen still sought statutory penalties, Cohen argued that he was entitled to $172,080 in average daily wage penalties under the MPWA","Cohen argued he was entitled to $172,080 in average daily wage penalties under the MPWA, $42,000 in penalties under the MFLSA, and $42,000 in penalties under the MWTA."
Bruce_Cohen_v_Consilio_LLC,42,II,“may charge and collect a penalty”,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", the Eighth Circuit pointed to Minn. Stat. Ann. § 181.13(a), which provides that after a discharged employee makes a demand, the employee may recover unpaid wages or commissions as well as","According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", the Eighth Circuit pointed to Minn. Stat. Ann. § 181.13(a), which provides that after a discharged employee makes a demand, the employee may recover unpaid wages or commissions as well as “may charge and collect a penalty”","See Minn. Stat. Ann. § 181.13(a) (explaining that upon a discharged employee’s demand, such employee may recover unpaid wages or commissions as well as “may charge and collect a penalty”); id. § 181.14, subd. 2 (same for employees who quit or resign); see also Lagasse v. Horton, 982 N.W.2d 189, 199 n.2 (Minn. 2022) (explaining “that the Legislature’s action in one statute but inaction in another shows that the Legislature ‘knows how’ to accomplish a particular objective if it wishes to do so” (citing In re Hubbard, 778 N.W.2d 313, 323 (Minn. 2010)))."
Bruce_Cohen_v_Consilio_LLC,51,II,its power to determine the legality of the practice,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", when the Eighth Circuit discussed mootness and Cohen’s claim for statutory penalties, it explained that a defendant’s voluntary cessation of a challenged practice does not deprive a federal court of","According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", when the Eighth Circuit discussed mootness and Cohen’s claim for statutory penalties, it explained that a defendant’s voluntary cessation of a challenged practice does not deprive a federal court of its power to determine the legality of the practice","Cohen’s claim for penalties “might become moot if subsequent events made it absolutely clear that the allegedly wrongful behavior could not reasonably be expected to recur,” Friends of the Earth, Inc., 528 U.S. at 189 (quoting United States v. Concentrated Phosphate Exp. Ass’n, 393 U.S. 199, 203 (1968)), although “[i]t is well settled that ‘a defendant’s voluntary cessation of a challenged practice does not deprive a federal court of its power to determine the legality of the practice,’” id. (quoting City of Mesquite v. Aladdin’s Castle, Inc., 455 U.S. 283, 289 (1982))."
Bruce_Cohen_v_Consilio_LLC,54,II,MWTA claim,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", when discussing Cohen’s allegation that Consilio failed to provide the statutorily required notice of a change in its overtime policy, the court next addressed the","According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", when discussing Cohen’s allegation that Consilio failed to provide the statutorily required notice of a change in its overtime policy, the court next addressed the MWTA claim","We next address Cohen’s MWTA claim alleging that Consilio failed to provide statutorily required notice of a change in its overtime policy, and that as such he is entitled to penalties."
Bruce_Cohen_v_Consilio_LLC,60,III,vacate the district court’s order,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", the court’s action with respect to the district court’s order on Cohen’s claim under the MFLSA was to","According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", the court’s action with respect to the district court’s order on Cohen’s claim under the MFLSA was to vacate the district court’s order",We vacate the district court’s order regarding Cohen’s claim under the MFLSA and remand for further proceedings.
Bruce_Cohen_v_Consilio_LLC,61,III,statutory penalties,"According to Judge Kobes’s special concurrence in ""Bruce Charles Cohen v. Consilio, LLC"", after the court vacated and remanded Cohen’s MFLSA claim, Judge Kobes was not convinced that Cohen had standing to seek","According to Judge Kobes’s special concurrence in ""Bruce Charles Cohen v. Consilio, LLC"", after the court vacated and remanded Cohen’s MFLSA claim, Judge Kobes was not convinced that Cohen had standing to seek statutory penalties","I am not convinced that Cohen has standing to seek statutory penalties under Friends of the Earth, Inc. v. Laidlaw Environmental Services (TOC), Inc., 528 U.S. 167 (2000)."
Finesse_Wireless_LLC_v_Att_Mobility_LLC,11,I. JMOL of Noninfringement,two inputs.,"In the opinion in ""Finesse Wireless LLC v. AT&T Mobility LLC,"" in the discussion of Appellants' prosecution-history argument that the ’775 patent claims reciting ""three signals"" overcame the Filipovic prior art reference, the Filipovic reference taught that the cancellation signals were generated from","In the opinion in ""Finesse Wireless LLC v. AT&T Mobility LLC,"" in the discussion of Appellants' prosecution-history argument that the ’775 patent claims reciting ""three signals"" overcame the Filipovic prior art reference, the Filipovic reference taught that the cancellation signals were generated from two inputs.","Specifically, Appellants argue Finesse surrendered claim scope over two signals when it amended the claims during prosecution to recite “three signals,” instead of “two or three signals,” to overcome the Filipovic prior art reference that teaches generating cancellation signals using two inputs. J.A. 1021– 22 (original claims); J.A. 1006–10 (obviousness rejection); J.A. 967–86 (response to rejection)."
Finesse_Wireless_LLC_v_Att_Mobility_LLC,18,I. JMOL of Noninfringement,a new trial.,"In the case ""Finesse Wireless LLC v. AT&T Mobility LLC,"" after the jury verdict and during the damages phase, Appellants requested JMOL on damages and, in the alternative,","In the case ""Finesse Wireless LLC v. AT&T Mobility LLC,"" after the jury verdict and during the damages phase, Appellants requested JMOL on damages and, in the alternative, a new trial.","After the jury verdict, Appellants moved for JMOL on damages or, in the alternative, a new trial. J.A. 13732–56."
Finesse_Wireless_LLC_v_Att_Mobility_LLC,20,Header,the United States District Court for the Eastern District of Texas’ denial of judgment as a matter of law (JMOL) of noninfringement,"In the case ""Finesse Wireless LLC v. AT&T Mobility LLC,"" AT&T Mobility LLC and Nokia of America Corporation appealed","In the case ""Finesse Wireless LLC v. AT&T Mobility LLC,"" AT&T Mobility LLC and Nokia of America Corporation appealed the United States District Court for the Eastern District of Texas’ denial of judgment as a matter of law (JMOL) of noninfringement","AT&T Mobility LLC (AT&T) and Nokia of America Corporation (Nokia; collectively, Appellants) appeal the United States District Court for the Eastern District of Texas’ denial of judgment as a matter of law (JMOL) of noninfringement for the asserted claims of U.S. Patent Nos. 7,346,134 and 9,548,775."
Finesse_Wireless_LLC_v_Att_Mobility_LLC,28,I. JMOL of Noninfringement,"the law of the regional circuit, here the Fifth Circuit.","According to the opinion in ""Finesse Wireless LLC v. AT&T Mobility LLC,"" when reviewing a district court’s denial of JMOL, the applicable law is","According to the opinion in ""Finesse Wireless LLC v. AT&T Mobility LLC,"" when reviewing a district court’s denial of JMOL, the applicable law is the law of the regional circuit, here the Fifth Circuit.","We review a district court’s denial of JMOL under the law of the regional circuit, here the Fifth Circuit."
Finesse_Wireless_LLC_v_Att_Mobility_LLC,31,I. JMOL of Noninfringement,the “interference generating signals”,"In the case ""Finesse Wireless LLC v. AT&T Mobility LLC,"" the opinion describes the ’134 patent’s method for reducing IMP interference by isolating “signals of interest” from other signals and using a computed estimate of the IMPs, and the claimed method cancels out","In the case ""Finesse Wireless LLC v. AT&T Mobility LLC,"" the opinion describes the ’134 patent’s method for reducing IMP interference by isolating “signals of interest” from other signals and using a computed estimate of the IMPs, and the claimed method cancels out the “interference generating signals”","The ’134 patent claims a method for reducing IMP interference by isolating “signals of interest” from “interference generating signals” and then canceling out the “interference generating signals” using a computed estimate of the IMPs. ’134 patent at Abstract, 2:1–18."
Finesse_Wireless_LLC_v_Att_Mobility_LLC,34,I. JMOL of Noninfringement,the downlink transmit (DL(TX)) reference,"In the case ""Finesse Wireless LLC v. AT&T Mobility LLC,"" when testifying about the accused radios’ operation based on the Nokia technical document, Finesse’s infringement expert Dr. Jonathan Wells mapped the claimed “signals of interest” to","In the case ""Finesse Wireless LLC v. AT&T Mobility LLC,"" when testifying about the accused radios’ operation based on the Nokia technical document, Finesse’s infringement expert Dr. Jonathan Wells mapped the claimed “signals of interest” to the downlink transmit (DL(TX)) reference","Dr. Wells consistently and repeatedly testified he mapped “signals of interest” to the downlink transmit (DL(TX)) reference and “interference generating signals” to the modeled PIM path (both depicted in the dashed red path as explained in red box under legend). See, e.g., J.A. 14918 at 50:16–19 (“The downlink TX reference is the signal of interest.”), 14920–21 at 52:22–53:1 (“the model PIM path would be . . . the signal [that] is causing the intermodulation products in band at the signal of interest”), 15009 at 141:10–14 (“[Q.] So here you identified the modeled PIM path to be the interference generating signals capable of generating intermodulation products in-band of the signal of interest. Correct? A. Yes, I did.”)."
Finesse_Wireless_LLC_v_Att_Mobility_LLC,36,I. JMOL of Noninfringement,‘modeled PIM signal’,"In the case ""Finesse Wireless LLC v. AT&T Mobility LLC,"" according to Dr. Jonathan Wells’s expert report on infringement of the ’134 patent, he identified the claimed “interference generating signal” as the","In the case ""Finesse Wireless LLC v. AT&T Mobility LLC,"" according to Dr. Jonathan Wells’s expert report on infringement of the ’134 patent, he identified the claimed “interference generating signal” as the ‘modeled PIM signal’",Dr. Wells’ expert report similarly opined “[t]he ‘DL (TX) reference’ signal . . . meets the agreed construction of a ‘signal(s) of interest’” and “the ‘modeled PIM signal’ is the ‘interference generating signal.’” J.A. 4476–77 ¶ 343.
Finesse_Wireless_LLC_v_Att_Mobility_LLC,38,I. JMOL of Noninfringement,the “signals of interest” and “interference generating signals”,"In the case ""Finesse Wireless LLC v. AT&T Mobility LLC,"" during the infringement dispute over claim 1 of the ’134 patent, Dr. Wells did not testify that x1 and x2 map onto","In the case ""Finesse Wireless LLC v. AT&T Mobility LLC,"" during the infringement dispute over claim 1 of the ’134 patent, Dr. Wells did not testify that x1 and x2 map onto the “signals of interest” and “interference generating signals”","Dr. Wells did not testify that x1 and x2 map onto the “signals of interest” and “interference generating signals” and instead continued to testify “the – two signals are the downlink TX reference and the modeled PIM path.” J.A. 15010 at 142:19–20; see also J.A. 15011 at 143:20–22 (“[T]he red path is the downlink TX reference and the modeled PIM path. It’s the two signals.”), 15017 at 149:7–9 (“[Q.] But you identify the interference generating signal as the modeled PIM path? Correct? A. Yes, that’s right. . . . the second signal on that red path.”), 15017 at 149:12–13 (“[T]he red path is the downlink TX reference and the modeled PIM path.”)."
Finesse_Wireless_LLC_v_Att_Mobility_LLC,40,I. JMOL of Noninfringement,the “signals of interest”,"In the case ""Finesse Wireless LLC v. AT&T Mobility LLC,"" the opinion explained that Dr. Jonathan Wells’s infringement testimony did not map x1 or x2 onto the claimed category of desired signals, namely","In the case ""Finesse Wireless LLC v. AT&T Mobility LLC,"" the opinion explained that Dr. Jonathan Wells’s infringement testimony did not map x1 or x2 onto the claimed category of desired signals, namely the “signals of interest”","Again, he did not map x1 or x2 onto either the “signals of interest” or the “interference generating signals” as required by the claims."
