target,probe,fact,question,text_sentences,inference_type,answer
 decreased math performance,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', initializing the model from a general LLM rather than from a code-initialized checkpoint such as DeepSeek-Coder would most likely lead to","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', initializing the model from a general LLM rather than from a code-initialized checkpoint such as DeepSeek-Coder would most likely lead to decreased math performance","If the team had initialized from a general LLM rather than DeepSeek-Coder (code-initialized), what is the most likely directional change in math performance implied by the paper's observations?","['DeepSeekMath-Base is initialized with DeepSeek-Coder-Base-v1.5 7B, as we notice that starting from a code training model is a better choice compared to a general LLM.', 'We believe it does, at least for mathematical reasoning.', ""Code training prior to math training improves models' ability to solve mathematical problems both with and without tool use."", 'Code training also improves mathematical reasoning without tool use.']",Predicting Hypothetical,decreased math performance
 worse performance,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', if the DeepSeekMath Corpus had been English-only, the authors would most likely expect the model's performance on Chinese mathematical benchmarks to be","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', if the DeepSeekMath Corpus had been English-only, the authors would most likely expect the model's performance on Chinese mathematical benchmarks to be worse performance","If the DeepSeekMath Corpus had been English-only, what would the authors most likely expect for Chinese benchmark performance?","['The DeepSeekMath~Corpus encompasses data in multiple languages, predominantly featuring English and Chinese as the two most represented languages.', 'As shown in Table \\ref{tab:corpora_comparison}, training on the DeepSeekMath~Corpus enhances mathematical reasoning performance in both English and Chinese.', 'In contrast, existing mathematical corpora, which are primarily English-centric, show limited improvement and may even hinder performance in Chinese mathematical reasoning.', 'In addition, the DeepSeekMath Corpus is multilingual, so we notice an improvement in Chinese mathematical benchmarks \\citep{wei2023cmath,agieval}.', ""Notably, DeepSeekMath-Base is superior on Chinese benchmarks, likely because we don't follow previous works \\citep{minerva,llemma} to collect English-only math pre-training data, and also include high-quality non-English ones.""]",Predicting Hypothetical,worse performance
 domain homogeneity,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the iterative domain-expansion step marks a domain as math-related when over $10\%$ of its pages are collected; the implicit assumption underlying using that heuristic to add other pages from the same domain to the seed corpus is","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the iterative domain-expansion step marks a domain as math-related when over $10\%$ of its pages are collected; the implicit assumption underlying using that heuristic to add other pages from the same domain to the seed corpus is domain homogeneity",The iterative domain-expansion step marks a domain as math-related when over 10% of its pages are collected; what implicit assumption underlies using that heuristic to add other pages from the same domain to the seed corpus?,"['For each domain, we calculate the percentage of web pages that are collected in the first iteration. Domains where over 10% of the web pages have been collected are classified as math-related (e.g., mathoverflow.net).', 'Web pages linked to these URLs, yet uncollected, will be added to the seed corpus.', 'Specifically, we first organize the entire Common Crawl into disjoint domains; a domain is defined as web pages sharing the same base URL.', 'Subsequently, we manually annotate the URLs associated with mathematical content within these identified domains (e.g., \\url{mathoverflow.net/questions}).']",New Insight,domain homogeneity
 seed diversification,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', a concrete change to the fastText training seed that improved its ability to recall more mathematical pages during later iterations was","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', a concrete change to the fastText training seed that improved its ability to recall more mathematical pages during later iterations was seed diversification",Which concrete change to the fastText training seed improved its ability to recall more mathematical pages during later iterations?,"['After the first iteration of data collection, numerous mathematical web pages remain uncollected, mainly because the fastText model is trained on a set of positive examples that lacks sufficient diversity.', 'We therefore identify additional mathematical web sources to enrich the seed corpus, so that we can optimize the fastText model.', 'Web pages linked to these URLs, yet uncollected, will be added to the seed corpus.', 'This approach enables us to gather more positive examples, thereby training an improved fastText model capable of recalling more mathematical data in the subsequent iteration.']",Conceptual Synthesis,seed diversification
 memory usage,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors state that Group Relative Policy Optimization (GRPO) forgoes the critic/value function and estimates baselines from group scores, reducing training resource demands such as","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors state that Group Relative Policy Optimization (GRPO) forgoes the critic/value function and estimates baselines from group scores, reducing training resource demands such as memory usage",Which training resource usage does the paper explicitly claim GRPO optimizes compared to PPO?,"['The mathematical reasoning capability of DeepSeekMath~is attributed to two key factors: ... Second, we introduce Group Relative Policy Optimization (GRPO), a variant of Proximal Policy Optimization (PPO), that enhances mathematical reasoning abilities while concurrently optimizing the memory usage of PPO.', 'GRPO foregoes the critic model, instead estimating the baseline from group scores, significantly reducing training resources.', 'As the value function employed in PPO is typically another model of comparable size as the policy model, it brings a substantial memory and computational burden.', 'We introduce Group Relative Policy Optimization (GRPO), a variant of Proximal Policy Optimization (PPO), which can notably improve mathematical reasoning capabilities with less memory consumption.']",Conceptual Synthesis,memory usage
 reinforcement learning,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors present RFT, DPO, PPO, and GRPO under a unified paradigm and argue that, within this framework, these methods can be understood primarily as simplified variants of","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors present RFT, DPO, PPO, and GRPO under a unified paradigm and argue that, within this framework, these methods can be understood primarily as simplified variants of reinforcement learning","The authors present RFT, DPO, PPO and GRPO under a single framework. According to their unified paradigm, these methods are conceptualized primarily as simplified variants of what broader methodology?","['We also provide a unified paradigm to understand different methods, such as Rejection Sampling Fine-Tuning (RFT), Direct Preference Optimization (DPO), PPO and GRPO.', 'Based on such a unified paradigm, we find that all these methods are conceptualized as either direct or simplified RL techniques.', 'Within this paradigm, all methods are conceptualized as either direct or simplified  RL techniques.']",Conceptual Synthesis,reinforcement learning
 a code-trained model,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors claim that the prior initialization choice that causally improved downstream mathematical reasoning compared to starting from a general LLM was","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors claim that the prior initialization choice that causally improved downstream mathematical reasoning compared to starting from a general LLM was a code-trained model",Which prior initialization choice does the paper claim causally improved downstream mathematical reasoning compared to starting from a general LLM?,"['DeepSeekMath-Base is initialized with DeepSeek-Coder-Base-v1.5 7B, as we notice that starting from a code training model is a better choice compared to a general LLM.', 'We believe it does, at least for mathematical reasoning.', ""Code training prior to math training improves models' ability to solve mathematical problems both with and without tool use."", ""We attempt to offer a partial response to this, particularly within the mathematical domain: code training improves models' ability to do mathematical reasoning both with and without tool use.""]",Conceptual Synthesis,code-trained model
 step-level rewards,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', GRPO with process supervision (GRPO+PS) outperforms GRPO with outcome supervision (GRPO+OS) because its advantage calculation aggregates rewards at each reasoning step, i.e., it leverages","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', GRPO with process supervision (GRPO+PS) outperforms GRPO with outcome supervision (GRPO+OS) because its advantage calculation aggregates rewards at each reasoning step, i.e., it leverages step-level rewards","Why does GRPO with process supervision (GRPO+PS) outperform GRPO with outcome supervision (GRPO+OS), according to the paper's explanation of the advantage calculation?","['GRPO+PS shows superior performance compared to GRPO+OS, indicating the benefits of using fine-grained, step-aware gradient coefficients.', 'Process supervision ... provides a reward at the end of each reasoning step.', 'Formally, given the question $q$ and $G$  sampled outputs $\\{o_1, o_2, \\cdots, o_G\\}$, a process reward model is used to score each step of the outputs, yielding corresponding rewards: $\\mathbf{R} = \\{ \\{r_1^{index(1)},\\cdots,r_1^{index(K_1)}\\}, \\cdots,  \\{r_G^{index(1)},\\cdots,r_G^{index(K_G)}\\} \\}$, where $index(j)$ is the end token index of the $j$-th step, and $K_i$ is the total number of steps in the $i$-th output.', 'Subsequently, the process supervision calculates the advantage of each token as the sum of the normalized rewards from the following steps, i.e., $\\hat{A}_{i, t} = \\sum_{index(j) \\ge t} \\widetilde{r}_i^{index(j)}$, and then optimizes the policy by maximizing the objective defined in equation (\\ref{eq:GRPO-obj}).']",Conceptual Synthesis,step-level rewards
 reward function,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', within the unified paradigm the authors propose, the component the authors identify as the one to directly target in order to make the reward signal generalize better to out-of-distribution questions and decoding outputs is the","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', within the unified paradigm the authors propose, the component the authors identify as the one to directly target in order to make the reward signal generalize better to out-of-distribution questions and decoding outputs is the reward function","Within the unified paradigm the authors propose, which of the three components should be directly targeted if the goal is to make the reward signal generalize better to out-of-distribution questions and decoding outputs?","['There exist three key components: 1) Data Source, which determines the training data; 2) Reward Function, which is the source of the training reward signal; 3) Algorithm: which processes the training data and the reward signal to the gradient coefficient GC', 'How to enhance the generalization ability of the reward model. The reward model must be effectively generalized to handle out-of-distribution questions and advanced decoding outputs', 'Reward function is the source of the training signal.', 'In RL, the reward function is usually the neural reward model.']",Conceptual Synthesis,Reward Function
 include code tokens,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', to preserve coding performance while doing extensive math pretraining, the authors explicitly chose to","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', to preserve coding performance while doing extensive math pretraining, the authors explicitly chose to include code tokens",What explicit procedural choice did the authors use to preserve coding performance while doing extensive math pretraining?,"['The distribution of the data is as follows: 56% is from the DeepSeekMath Corpus, 4% from AlgebraicStack, 10% from arXiv, 20% is Github code, and the remaining 10% is natural language data from Common Crawl in both English and Chinese.', 'by including code tokens for continual training, DeepSeekMath-Base 7B effectively maintains the performance of DeepSeek-Coder-Base-v1.5 on the two coding benchmarks.', 'Math training following code training degrades coding performance.', 'Interestingly, under the one-stage training setting, mixing code tokens and math tokens effectively mitigates the issue of catastrophic forgetting that arises from two-stage training, and also synergizes coding (Table \\ref{tab:code-math-general-eval}) and program-aided mathematical reasoning (Table \\ref{tab:code-math}).']",Conceptual Synthesis,include code tokens
 reward-scaled gradients,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the GRPO feature that enables it to differentially reinforce or penalize sampled outputs compared to Online RFT is the use of","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the GRPO feature that enables it to differentially reinforce or penalize sampled outputs compared to Online RFT is the use of reward-scaled gradients",Which GRPO feature enables it to differentially reinforce or penalize sampled outputs compared to Online RFT?,"['GRPO uniquely adjusts its gradient coefficient based on the reward value provided by the reward model.', 'This allows for differential reinforcement and penalization of responses according to their varying magnitudes. In contrast, Online RFT lacks this feature; it does not penalize incorrect responses and uniformly reinforces all responses with correct answers at the same level of intensity.', 'Outcome supervision provides the normalized reward at the end of each output o_i and sets the advantages  \\hat{A}_{i, t} of all tokens in the output as the normalized reward, i.e., \\hat{A}_{i, t} = \\widetilde{r}_i = \\frac{r_i- {\\rm mean}(\\mathbf{r})}{{\\rm std}(\\mathbf{r})}$, and then optimizes the policy by maximizing the objective defined in equation (\\ref{eq:GRPO-obj}).', 'Subsequently, the process supervision calculates the advantage of each token as the sum of the normalized rewards from the following steps, i.e., $\\hat{A}_{i, t} = \\sum_{index(j) \\ge t} \\widetilde{r}_i^{index(j)}$, and then optimizes the policy by maximizing the objective defined in equation (\\ref{eq:GRPO-obj}).']",Conceptual Synthesis,reward-scaled gradients
 data quality matters,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', from the authors' comparisons between a smaller well-trained model and much larger prior models, they draw the concise principle about model construction that","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', from the authors' comparisons between a smaller well-trained model and much larger prior models, they draw the concise principle about model construction that data quality matters","From the authors' comparisons between a smaller well-trained model and much larger prior models, what concise principle about model construction do they draw?","['Our pre-trained base model DeepSeekMath-Base 7B achieves 64.2% on GSM8K and 36.2% on the competition-level MATH dataset, outperforming Minerva 540B.', 'indicating the number of parameters is not the only key factor in mathematical reasoning capability. A smaller model pre-trained on high-quality data could achieve strong performance as well.', 'The mathematical reasoning capability of DeepSeekMath~is attributed to two key factors: First, we harness the significant potential of publicly available web data through a meticulously engineered data selection pipeline.', 'As shown in Table \\ref{tab:corpora_comparison}, there is a clear performance lead of the model trained on the DeepSeekMath~Corpus.']",Conceptual Synthesis,data quality matters
 baseline subtraction,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', conceptually GRPO subtracts the group mean reward when forming advantages, e.g., $\widetilde{r}_i = r_i - \mathrm{mean}(\mathbf{r})$, which most closely resembles the classic variance-reduction technique in policy optimization known as","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', conceptually GRPO subtracts the group mean reward when forming advantages, e.g., $\widetilde{r}_i = r_i - \mathrm{mean}(\mathbf{r})$, which most closely resembles the classic variance-reduction technique in policy optimization known as baseline subtraction","Conceptually, GRPO's subtraction of the group mean reward to form advantages most closely resembles which classic variance-reduction technique in policy optimization?","['we propose Group Relative Policy Optimization (GRPO), which obviates the need for additional value function approximation as in PPO, and instead uses the average reward of multiple sampled outputs, produced in response to the same question, as the baseline.', 'Outcome supervision provides the normalized reward at the end of each output ... i.e., \\hat{A}_{i, t} = \\widetilde{r}_i = \\frac{r_i- {\\rm mean}(\\mathbf{r})}{{\\rm std}(\\mathbf{r})}', 'Additionally, during RL training, the value function is treated as a baseline in the calculation of the advantage for variance reduction.', 'Subsequently, these rewards are normalized by subtracting the group average and dividing by the group standard deviation.']",Conceptual Synthesis,baseline subtraction
 a reliable reward model,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', an implicit assumption about the reward source that must hold for GRPO to reliably improve model behavior is that the reward source is","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', an implicit assumption about the reward source that must hold for GRPO to reliably improve model behavior is that the reward source is a reliable reward model",What implicit assumption about the reward source must hold for GRPO to reliably improve model behaviour?,"['However, it is impossible to ensure the reward signal is always reliable, especially in extremely complex tasks.', 'To this end, we will explore the reinforcement learning algorithm that is robust against noisy reward signals.', 'In RL, the reward function is usually the neural reward model.', 'The reward model must be effectively generalized to handle out-of-distribution questions and advanced decoding outputs; otherwise, reinforcement learning may merely stabilize the distribution of LLMs rather than improve their fundamental capabilities;']",New Insight,reliable reward model
 a 10-gram exact match suffices,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the decontamination procedure removes any text segment that contains an exact n-gram match with evaluation benchmarks, and therefore the rule implicitly assumes that","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the decontamination procedure removes any text segment that contains an exact n-gram match with evaluation benchmarks, and therefore the rule implicitly assumes that a 10-gram exact match suffices",What implicit assumption does the decontamination rule using 10-gram exact matches rely upon to avoid benchmark leakage?,"['To avoid benchmark contamination, we follow \\cite{deepseek-coder} to filter out web pages containing questions or answers from English mathematical benchmarks such as GSM8K \\citep{gsm8k} and MATH \\citep{MATH} and Chinese benchmarks such as CMATH \\citep{wei2023cmath} and AGIEval \\citep{agieval}.', 'The filtering criteria are as follows: any text segment containing a 10-gram string that matches exactly with any sub-string from the evaluation benchmarks is removed from our math training corpus.', 'For benchmark texts that are shorter than 10 grams but have at least 3 grams, we employ exact matching to filter out contaminated web pages.']",New Insight,10-gram suffices
 KL divergence,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the GRPO objective includes a regularization term weighted by $\beta$ that penalizes divergence between the trained policy $\pi_{\theta}$ and a reference policy $\pi_{ref}$; the regularization term is","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the GRPO objective includes a regularization term weighted by $\beta$ that penalizes divergence between the trained policy $\pi_{\theta}$ and a reference policy $\pi_{ref}$; the regularization term is KL divergence",In GRPO the regularization term controlled by beta penalizes divergence between the current policy and a reference; what is this regularized quantity?,"['And different from the KL penalty term used in (\\ref{eq:PPO-reward}), we estimate the KL divergence with the following unbiased estimator', 'GRPO regularizes by directly adding the KL divergence between the trained policy and the reference policy to the loss']",Conceptual Synthesis,KL divergence
 no notable change,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors analyze the role of arXiv papers in their pretraining experiments and describe the experiments carried out to measure their effect on mathematical benchmarks; based on that discussion, removing arXiv entirely from the pretraining mix would most likely result in","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors analyze the role of arXiv papers in their pretraining experiments and describe the experiments carried out to measure their effect on mathematical benchmarks; based on that discussion, removing arXiv entirely from the pretraining mix would most likely result in no notable change","The authors state that training on arXiv 'brings no notable improvements' on their benchmarks. If the team removed arXiv entirely from the pretraining mix, what is the most likely effect on benchmark performance according to their claim?","['Although training on arXiv papers is common, especially in many math-related papers, it brings no notable improvements on all mathematical benchmarks adopted in this paper.', 'Perhaps counter-intuitively, according to our experiments, arXiv papers seem ineffective in improving mathematical reasoning.', 'When trained on a arXiv-only corpus, both models display no notable improvements or even deterioration across various mathematical benchmarks of different complexities employed in this study.']",Predicting Hypothetical,no notable change
