target,probe,fact,question,text_sentences,inference_type,answer
 rank indicates math quality,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', preserving only the top-ranking pages predicted by the fastText model as part of the math corpus rests on the unstated assumption that","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', preserving only the top-ranking pages predicted by the fastText model as part of the math corpus rests on the unstated assumption that rank indicates math quality",What unstated assumption underlies preserving only the top-ranking pages predicted by the fastText model as part of the math corpus?,"['To filter out low-quality mathematical content, we rank the collected pages according to their scores predicted by the fastText model, and only preserve the top-ranking ones.']",Implicit Assumptions,rank indicates math quality
 lower math performance,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', based on the authors' initialization choice, the expected outcome if DeepSeekMath had been initialized from a general LLM instead of a code-trained model is","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', based on the authors' initialization choice, the expected outcome if DeepSeekMath had been initialized from a general LLM instead of a code-trained model is lower math performance","Based on the authors' initialization choice, what is the expected outcome if DeepSeekMath had been initialized from a general LLM instead of a code-trained model?","['DeepSeekMath-Base is initialized with DeepSeek-Coder-Base-v1.5 7B, as we notice that starting from a code training model is a better choice compared to a general LLM.']",Counterfactual Scenarios - Predicting Hypotheticals,lower math performance
 value function,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', GRPO removes the expensive component used by PPO that causes substantial memory and computation burden, the","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', GRPO removes the expensive component used by PPO that causes substantial memory and computation burden, the value function","According to the paper's comparison between PPO and GRPO, which expensive component used by PPO does GRPO remove to reduce memory and computation burden?","['As the value function employed in PPO is typically another model of comparable size as the policy model, it brings a substantial memory and computational burden.', 'we propose Group Relative Policy Optimization (GRPO), which obviates the need for additional value function approximation as in PPO']",Conceptual Synthesis - Causal Mechanism,value function
 subtracting the group mean,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', estimating a baseline from group scores in GRPO is conceptually analogous to the simple statistical operation commonly used to stabilize estimates:","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', estimating a baseline from group scores in GRPO is conceptually analogous to the simple statistical operation commonly used to stabilize estimates: subtracting the group mean",Estimating a baseline from group scores in GRPO is conceptually analogous to which simple statistical operation commonly used to stabilize estimates?,"['GRPO foregoes the critic model, instead estimating the baseline from group scores, significantly reducing training resources.', 'GRPO foregoes the critic model, instead estimating the baseline from group scores, significantly reducing training resources compared to Proximal Policy Optimization (PPO).']",Analogous Understanding - Intuitive Analogy,subtract group mean
 decreased math performance,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', initializing the model from a general LLM rather than from a code-initialized checkpoint such as DeepSeek-Coder would most likely lead to","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', initializing the model from a general LLM rather than from a code-initialized checkpoint such as DeepSeek-Coder would most likely lead to decreased math performance","If the team had initialized from a general LLM rather than DeepSeek-Coder (code-initialized), what is the most likely directional change in math performance implied by the paper's observations?","['DeepSeekMath-Base is initialized with DeepSeek-Coder-Base-v1.5 7B, as we notice that starting from a code training model is a better choice compared to a general LLM.', 'We believe it does, at least for mathematical reasoning.']",Counterfactual Scenarios - Predicting Hypotheticals,decreased math performance
 worse performance,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', if the DeepSeekMath Corpus had been English-only, the authors would most likely expect the model's performance on Chinese mathematical benchmarks to be","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', if the DeepSeekMath Corpus had been English-only, the authors would most likely expect the model's performance on Chinese mathematical benchmarks to be worse performance","If the DeepSeekMath Corpus had been English-only, what would the authors most likely expect for Chinese benchmark performance?","['The DeepSeekMath~Corpus encompasses data in multiple languages, predominantly featuring English and Chinese as the two most represented languages.', 'As shown in Table \\ref{tab:corpora_comparison}, training on the DeepSeekMath~Corpus enhances mathematical reasoning performance in both English and Chinese.', 'In contrast, existing mathematical corpora, which are primarily English-centric, show limited improvement and may even hinder performance in Chinese mathematical reasoning.']",Counterfactual Scenarios - Predicting Hypotheticals,worse performance
 domain homogeneity,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the iterative domain-expansion step marks a domain as math-related when over $10\%$ of its pages are collected; the implicit assumption underlying using that heuristic to add other pages from the same domain to the seed corpus is","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the iterative domain-expansion step marks a domain as math-related when over $10\%$ of its pages are collected; the implicit assumption underlying using that heuristic to add other pages from the same domain to the seed corpus is domain homogeneity",The iterative domain-expansion step marks a domain as math-related when over 10% of its pages are collected; what implicit assumption underlies using that heuristic to add other pages from the same domain to the seed corpus?,"['For each domain, we calculate the percentage of web pages that are collected in the first iteration. Domains where over 10% of the web pages have been collected are classified as math-related (e.g., mathoverflow.net).', 'Web pages linked to these URLs, yet uncollected, will be added to the seed corpus.']",Implicit Assumptions,domain homogeneity
 seed diversification,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', a concrete change to the fastText training seed that improved its ability to recall more mathematical pages during later iterations was","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', a concrete change to the fastText training seed that improved its ability to recall more mathematical pages during later iterations was seed diversification",Which concrete change to the fastText training seed improved its ability to recall more mathematical pages during later iterations?,"['After the first iteration of data collection, numerous mathematical web pages remain uncollected, mainly because the fastText model is trained on a set of positive examples that lacks sufficient diversity.', 'We therefore identify additional mathematical web sources to enrich the seed corpus, so that we can optimize the fastText model.']",Causal Mechanism - Ablation,seed diversification
 memory usage,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors state that Group Relative Policy Optimization (GRPO) forgoes the critic/value function and estimates baselines from group scores, reducing training resource demands such as","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors state that Group Relative Policy Optimization (GRPO) forgoes the critic/value function and estimates baselines from group scores, reducing training resource demands such as memory usage",Which training resource usage does the paper explicitly claim GRPO optimizes compared to PPO?,"['The mathematical reasoning capability of DeepSeekMath~is attributed to two key factors: ... Second, we introduce Group Relative Policy Optimization (GRPO), a variant of Proximal Policy Optimization (PPO), that enhances mathematical reasoning abilities while concurrently optimizing the memory usage of PPO.', 'GRPO foregoes the critic model, instead estimating the baseline from group scores, significantly reducing training resources.']",Causal Mechanism - Resource Tradeoff,memory usage
 paraphrase contamination,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the contamination filter removes any training text segment containing a $10$-gram string that matches exactly with evaluation benchmarks; for benchmark texts shorter than $10$ grams but at least $3$ grams it also uses exact matching. Therefore, this filter is least likely to remove","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the contamination filter removes any training text segment containing a $10$-gram string that matches exactly with evaluation benchmarks; for benchmark texts shorter than $10$ grams but at least $3$ grams it also uses exact matching. Therefore, this filter is least likely to remove paraphrase contamination",The contamination filter removes any training text segment containing a 10-gram string that matches evaluation benchmarks; what kind of contamination is this filter least likely to remove?,"['To avoid benchmark contamination, we follow to filter out web pages containing questions or answers from English mathematical benchmarks such as GSM8K and MATH and Chinese benchmarks such as CMATH and AGIEval.', 'The filtering criteria are as follows: any text segment containing a 10-gram string that matches exactly with any sub-string from the evaluation benchmarks is removed from our math training corpus.']",Implicit Assumptions,paraphrase contamination
 reinforcement learning,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors present RFT, DPO, PPO, and GRPO under a unified paradigm and argue that, within this framework, these methods can be understood primarily as simplified variants of","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors present RFT, DPO, PPO, and GRPO under a unified paradigm and argue that, within this framework, these methods can be understood primarily as simplified variants of reinforcement learning","The authors present RFT, DPO, PPO and GRPO under a single framework. According to their unified paradigm, these methods are conceptualized primarily as simplified variants of what broader methodology?","['We also provide a unified paradigm to understand different methods, such as Rejection Sampling Fine-Tuning (RFT), Direct Preference Optimization (DPO), PPO and GRPO.', 'Based on such a unified paradigm, we find that all these methods are conceptualized as either direct or simplified RL techniques.']",Conceptual Synthesis - Core Insight,reinforcement learning
 a code-trained model,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors claim that the prior initialization choice that causally improved downstream mathematical reasoning compared to starting from a general LLM was","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors claim that the prior initialization choice that causally improved downstream mathematical reasoning compared to starting from a general LLM was a code-trained model",Which prior initialization choice does the paper claim causally improved downstream mathematical reasoning compared to starting from a general LLM?,"['DeepSeekMath-Base is initialized with DeepSeek-Coder-Base-v1.5 7B, as we notice that starting from a code training model is a better choice compared to a general LLM.', 'We believe it does, at least for mathematical reasoning.']",Causal Mechanism - Ablation,code-trained model
 math pretraining and GRPO,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', a concise phrase can capture the paper's central contribution, combining its main methodological innovations (a large-scale domain-specific data-selection pipeline and a novel reinforcement-learning optimization method). The concise phrase is:","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', a concise phrase can capture the paper's central contribution, combining its main methodological innovations (a large-scale domain-specific data-selection pipeline and a novel reinforcement-learning optimization method). The concise phrase is: math pretraining and GRPO","Combining the paper's main methodological innovations (data and algorithm), what concise phrase best captures the central contribution DeepSeekMath claims to achieve?","['DeepSeekMath~7B has achieved an impressive score of 51.7% on the competition-level MATH benchmark without relying on external toolkits and voting techniques, approaching the performance level of Gemini-Ultra and GPT-4.', 'The mathematical reasoning capability of DeepSeekMath~is attributed to two key factors: First, we harness the significant potential of publicly available web data through a meticulously engineered data selection pipeline. Second, we introduce Group Relative Policy Optimization (GRPO), a variant of Proximal Policy Optimization (PPO), that enhances mathematical reasoning abilities while concurrently optimizing the memory usage of PPO.']",Conceptual Synthesis - Core Insight,math pretraining + GRPO
 step-level rewards,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', GRPO with process supervision (GRPO+PS) outperforms GRPO with outcome supervision (GRPO+OS) because its advantage calculation aggregates rewards at each reasoning step, i.e., it leverages","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', GRPO with process supervision (GRPO+PS) outperforms GRPO with outcome supervision (GRPO+OS) because its advantage calculation aggregates rewards at each reasoning step, i.e., it leverages step-level rewards","Why does GRPO with process supervision (GRPO+PS) outperform GRPO with outcome supervision (GRPO+OS), according to the paper's explanation of the advantage calculation?","['GRPO+PS shows superior performance compared to GRPO+OS, indicating the benefits of using fine-grained, step-aware gradient coefficients.', 'Process supervision ... provides a reward at the end of each reasoning step.']",Conceptual Synthesis - Causal Mechanism,step-level rewards
 reward function,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', within the unified paradigm the authors propose, the component the authors identify as the one to directly target in order to make the reward signal generalize better to out-of-distribution questions and decoding outputs is the","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', within the unified paradigm the authors propose, the component the authors identify as the one to directly target in order to make the reward signal generalize better to out-of-distribution questions and decoding outputs is the reward function","Within the unified paradigm the authors propose, which of the three components should be directly targeted if the goal is to make the reward signal generalize better to out-of-distribution questions and decoding outputs?","['There exist three key components: 1) Data Source, which determines the training data; 2) Reward Function, which is the source of the training reward signal; 3) Algorithm: which processes the training data and the reward signal to the gradient coefficient GC', 'How to enhance the generalization ability of the reward model. The reward model must be effectively generalized to handle out-of-distribution questions and advanced decoding outputs']",Conceptual Synthesis - Application,Reward Function
 include code tokens,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', to preserve coding performance while doing extensive math pretraining, the authors explicitly chose to","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', to preserve coding performance while doing extensive math pretraining, the authors explicitly chose to include code tokens",What explicit procedural choice did the authors use to preserve coding performance while doing extensive math pretraining?,"['The distribution of the data is as follows: 56% is from the DeepSeekMath Corpus, 4% from AlgebraicStack, 10% from arXiv, 20% is Github code, and the remaining 10% is natural language data from Common Crawl in both English and Chinese.', 'by including code tokens for continual training, DeepSeekMath-Base 7B effectively maintains the performance of DeepSeek-Coder-Base-v1.5 on the two coding benchmarks.']",Causal Mechanism - Training Design,include code tokens
 reward-scaled gradients,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the GRPO feature that enables it to differentially reinforce or penalize sampled outputs compared to Online RFT is the use of","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the GRPO feature that enables it to differentially reinforce or penalize sampled outputs compared to Online RFT is the use of reward-scaled gradients",Which GRPO feature enables it to differentially reinforce or penalize sampled outputs compared to Online RFT?,"['GRPO uniquely adjusts its gradient coefficient based on the reward value provided by the reward model.', 'This allows for differential reinforcement and penalization of responses according to their varying magnitudes. In contrast, Online RFT lacks this feature; it does not penalize incorrect responses and uniformly reinforces all responses with correct answers at the same level of intensity.']",Causal Mechanism,reward-scaled gradients
 data quality matters,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', from the authors' comparisons between a smaller well-trained model and much larger prior models, they draw the concise principle about model construction that","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', from the authors' comparisons between a smaller well-trained model and much larger prior models, they draw the concise principle about model construction that data quality matters","From the authors' comparisons between a smaller well-trained model and much larger prior models, what concise principle about model construction do they draw?","['Our pre-trained base model DeepSeekMath-Base 7B achieves 64.2% on GSM8K and 36.2% on the competition-level MATH dataset, outperforming Minerva 540B.', 'indicating the number of parameters is not the only key factor in mathematical reasoning capability. A smaller model pre-trained on high-quality data could achieve strong performance as well.']",Conceptual Synthesis - Core Insight,data quality matters
 baseline subtraction,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', conceptually GRPO subtracts the group mean reward when forming advantages, e.g., $\widetilde{r}_i = r_i - \mathrm{mean}(\mathbf{r})$, which most closely resembles the classic variance-reduction technique in policy optimization known as","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', conceptually GRPO subtracts the group mean reward when forming advantages, e.g., $\widetilde{r}_i = r_i - \mathrm{mean}(\mathbf{r})$, which most closely resembles the classic variance-reduction technique in policy optimization known as baseline subtraction","Conceptually, GRPO's subtraction of the group mean reward to form advantages most closely resembles which classic variance-reduction technique in policy optimization?","['we propose Group Relative Policy Optimization (GRPO), which obviates the need for additional value function approximation as in PPO, and instead uses the average reward of multiple sampled outputs, produced in response to the same question, as the baseline.', 'Outcome supervision provides the normalized reward at the end of each output ... i.e., \\hat{A}_{i, t} = \\widetilde{r}_i = \\frac{r_i- {\\rm mean}(\\mathbf{r})}{{\\rm std}(\\mathbf{r})}']",Analogous Understanding - Intuitive Analogy,baseline subtraction
 a reliable reward model,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', an implicit assumption about the reward source that must hold for GRPO to reliably improve model behavior is that the reward source is","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', an implicit assumption about the reward source that must hold for GRPO to reliably improve model behavior is that the reward source is a reliable reward model",What implicit assumption about the reward source must hold for GRPO to reliably improve model behaviour?,"['However, it is impossible to ensure the reward signal is always reliable, especially in extremely complex tasks.', 'To this end, we will explore the reinforcement learning algorithm that is robust against noisy reward signals.']",Implicit Assumptions,reliable reward model
 a 10-gram exact match suffices,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the decontamination procedure removes any text segment that contains an exact n-gram match with evaluation benchmarks, and therefore the rule implicitly assumes that","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the decontamination procedure removes any text segment that contains an exact n-gram match with evaluation benchmarks, and therefore the rule implicitly assumes that a $10$-gram exact match suffices",What implicit assumption does the decontamination rule using 10-gram exact matches rely upon to avoid benchmark leakage?,"['To avoid benchmark contamination, we follow \\cite{deepseek-coder} to filter out web pages containing questions or answers from English mathematical benchmarks such as GSM8K \\citep{gsm8k} and MATH \\citep{MATH} and Chinese benchmarks such as CMATH \\citep{wei2023cmath} and AGIEval \\citep{agieval}.', 'The filtering criteria are as follows: any text segment containing a 10-gram string that matches exactly with any sub-string from the evaluation benchmarks is removed from our math training corpus.']",Implicit Assumptions,10-gram suffices
 KL divergence,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the GRPO objective includes a regularization term weighted by $\beta$ that penalizes divergence between the trained policy $\pi_{\theta}$ and a reference policy $\pi_{ref}$; the regularization term is","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the GRPO objective includes a regularization term weighted by $\beta$ that penalizes divergence between the trained policy $\pi_{\theta}$ and a reference policy $\pi_{ref}$; the regularization term is KL divergence",In GRPO the regularization term controlled by beta penalizes divergence between the current policy and a reference; what is this regularized quantity?,"['And different from the KL penalty term used in (\\ref{eq:PPO-reward}), we estimate the KL divergence with the following unbiased estimator', 'GRPO regularizes by directly adding the KL divergence between the trained policy and the reference policy to the loss']",Mathematical Understanding - Equation Interpretation,KL divergence
 no notable change,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors analyze the role of arXiv papers in their pretraining experiments and describe the experiments carried out to measure their effect on mathematical benchmarks; based on that discussion, removing arXiv entirely from the pretraining mix would most likely result in","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors analyze the role of arXiv papers in their pretraining experiments and describe the experiments carried out to measure their effect on mathematical benchmarks; based on that discussion, removing arXiv entirely from the pretraining mix would most likely result in no notable change","The authors state that training on arXiv 'brings no notable improvements' on their benchmarks. If the team removed arXiv entirely from the pretraining mix, what is the most likely effect on benchmark performance according to their claim?","['Although training on arXiv papers is common, especially in many math-related papers, it brings no notable improvements on all mathematical benchmarks adopted in this paper.']",Counterfactual Scenarios - Predicting Hypotheticals,no notable change
 model capacity,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors conjecture that mixing code and math tokens in one-stage training harmed math reasoning without tool use for their $1.3\text{B}$ model because of","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors conjecture that mixing code and math tokens in one-stage training harmed math reasoning without tool use for their $1.3\text{B}$ model because of model capacity",Why do the authors conjecture that mixing code and math tokens in one-stage training harmed math reasoning without tool use for their 1.3B model?,"['One conjecture is that DeepSeek-LLM 1.3B, due to its limited scale, lacks the capacity to fully assimilate both code and mathematical data simultaneously.', 'However, combining code tokens and math tokens for one-stage training compromises mathematical reasoning without tool use.']",Conceptual Synthesis: Causal Mechanism,model capacity limit
 group-relative advantage,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', conceptually, $\hat{A}_{i,t}$ denotes the advantage term computed for token $t$ of output $i$ within the GRPO objective:","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', conceptually, $\hat{A}_{i,t}$ denotes the advantage term computed for token $t$ of output $i$ within the GRPO objective: group-relative advantage","Conceptually, what role does \hat{A}_{i,t} play in the GRPO objective?","['where ε and β are hyper-parameters, and \\hat{A}_{i,t} is the advantage calculated based on relative rewards of the outputs inside each group only, which will be detailed in the following subsections.', 'Outcome supervision provides the normalized reward at the end of each output o_i and sets the advantages \\hat{A}_{i, t} of all tokens in the output as the normalized reward, i.e., \\hat{A}_{i, t} = \\widetilde{r}_i = \\frac{r_i- {\\rm mean}(\\mathbf{r})}{{\\rm std}(\\mathbf{r})}.']",Mathematical Understanding: Equation Interpretation,group-relative advantage
