row_1based,decision,issue_type,reason,old_target,new_target,old_probe,new_probe,old_fact,new_fact
22,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.","her two teenage sons and her housemate, C.F."," her two teenage sons and her housemate, C.F.","In United States v. Justin Lyle Cutbank, during the events of November 19-20, 2020, Cutbank ordered D.F. to rouse others sleeping in the house, including","In the case ""United States v. Justin Cutbank"", during the events of November 19-20, 2020, Cutbank ordered D.F. to rouse others sleeping in the house, including","In United States v. Justin Lyle Cutbank, during the events of November 19-20, 2020, Cutbank ordered D.F. to rouse others sleeping in the house, includingher two teenage sons and her housemate, C.F.","In the case ""United States v. Justin Cutbank"", during the events of November 19-20, 2020, Cutbank ordered D.F. to rouse others sleeping in the house, including her two teenage sons and her housemate, C.F."
23,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.",a half mile from D.F.’s residence., a half mile from D.F.’s residence.,"In United States v. Justin Lyle Cutbank, after D.F. contacted the police, they received a separate call from another house about","In the case ""United States v. Justin Cutbank"", after D.F. contacted the police, they received a separate call from another house about","In United States v. Justin Lyle Cutbank, after D.F. contacted the police, they received a separate call from another house abouta half mile from D.F.’s residence.","In the case ""United States v. Justin Cutbank"", after D.F. contacted the police, they received a separate call from another house about a half mile from D.F.’s residence."
24,repair,source_framing_issue|target_source_repair,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed. Repaired the target to the exact source span ""his gun"" while preserving the fact that the officer's gun was grabbed.",an officer’s gun., his gun.,"In United States v. Justin Lyle Cutbank, after police found Cutbank at another house following his flight from D.F.’s residence, the opinion states that when officers attempted to detain him and he resisted, he grabbed","In the case ""United States v. Justin Cutbank"", after police found Cutbank at another house following his flight from D.F.’s residence, the opinion states that when officers attempted to detain him and he resisted, he grabbed","In United States v. Justin Lyle Cutbank, after police found Cutbank at another house following his flight from D.F.’s residence, the opinion states that when officers attempted to detain him and he resisted, he grabbedan officer’s gun.","In the case ""United States v. Justin Cutbank"", after police found Cutbank at another house following his flight from D.F.’s residence, the opinion states that when officers attempted to detain him and he resisted, he grabbed his gun."
25,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", DNA on the gun, DNA on the gun,"In United States v. Justin Lyle Cutbank, after officers searched the path they believed Cutbank took between D.F.'s home and the garage and recovered a Marlin .22 caliber rifle with a sawed-off barrel and stock, the evidence on that weapon that matched Cutbank was","In the case ""United States v. Justin Cutbank"", after officers searched the path they believed Cutbank took between D.F.'s home and the garage and recovered a Marlin .22 caliber rifle with a sawed-off barrel and stock, the evidence on that weapon that matched Cutbank was","In United States v. Justin Lyle Cutbank, after officers searched the path they believed Cutbank took between D.F.'s home and the garage and recovered a Marlin .22 caliber rifle with a sawed-off barrel and stock, the evidence on that weapon that matched Cutbank was DNA on the gun","In the case ""United States v. Justin Cutbank"", after officers searched the path they believed Cutbank took between D.F.'s home and the garage and recovered a Marlin .22 caliber rifle with a sawed-off barrel and stock, the evidence on that weapon that matched Cutbank was DNA on the gun"
26,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.",D.F. and C.F., D.F. and C.F.,"In United States v. Justin Lyle Cutbank, at trial, the witnesses who identified the Marlin .22 caliber rifle as a weapon they had seen Cutbank with before that night were","In the case ""United States v. Justin Cutbank"", at trial, the witnesses who identified the Marlin .22 caliber rifle as a weapon they had seen Cutbank with before that night were","In United States v. Justin Lyle Cutbank, at trial, the witnesses who identified the Marlin .22 caliber rifle as a weapon they had seen Cutbank with before that night wereD.F. and C.F.","In the case ""United States v. Justin Cutbank"", at trial, the witnesses who identified the Marlin .22 caliber rifle as a weapon they had seen Cutbank with before that night were D.F. and C.F."
27,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", charged felon in possession offense, charged felon in possession offense,"In United States v. Justin Lyle Cutbank, the jury convicted Cutbank of the offense, aside from finding that he had at least three prior violent felony convictions under 18 U.S.C. § 924(e), and that offense was the","In the case ""United States v. Justin Cutbank"", the jury convicted Cutbank of the offense, aside from finding that he had at least three prior violent felony convictions under 18 U.S.C. § 924(e), and that offense was the","In United States v. Justin Lyle Cutbank, the jury convicted Cutbank of the offense, aside from finding that he had at least three prior violent felony convictions under 18 U.S.C. § 924(e), and that offense was the charged felon in possession offense","In the case ""United States v. Justin Cutbank"", the jury convicted Cutbank of the offense, aside from finding that he had at least three prior violent felony convictions under 18 U.S.C. § 924(e), and that offense was the charged felon in possession offense"
28,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", a series of evidentiary and procedural issues, a series of evidentiary and procedural issues,"In the case United States v. Justin Lyle Cutbank, Cutbank raises","In the case ""United States v. Justin Cutbank"", Cutbank raises","In the case United States v. Justin Lyle Cutbank, Cutbank raises a series of evidentiary and procedural issues","In the case ""United States v. Justin Cutbank"", Cutbank raises a series of evidentiary and procedural issues"
29,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", the sawed-off Marlin .22 caliber rifle, the sawed-off Marlin .22 caliber rifle,"In United States v. Justin Lyle Cutbank, before trial Cutbank moved to bar testimony from D.F. and C.F. under Federal Rule of Evidence 404(b), and D.F. and C.F. said they had previously seen Cutbank with","In the case ""United States v. Justin Cutbank"", before trial Cutbank moved to bar testimony from D.F. and C.F. under Federal Rule of Evidence 404(b), and D.F. and C.F. said they had previously seen Cutbank with","In United States v. Justin Lyle Cutbank, before trial Cutbank moved to bar testimony from D.F. and C.F. under Federal Rule of Evidence 404(b), and D.F. and C.F. said they had previously seen Cutbank with the sawed-off Marlin .22 caliber rifle","In the case ""United States v. Justin Cutbank"", before trial Cutbank moved to bar testimony from D.F. and C.F. under Federal Rule of Evidence 404(b), and D.F. and C.F. said they had previously seen Cutbank with the sawed-off Marlin .22 caliber rifle"
30,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", intrinsic evidence relevant to proving the possession charge and demonstrating continuous possession of the firearm before the incident., intrinsic evidence relevant to proving the possession charge and demonstrating continuous possession of the firearm before the incident.,"In United States v. Justin Lyle Cutbank, the district court concluded that testimony from D.F. and C.F. that they had previously seen Cutbank with a sawed-off Marlin .22 caliber rifle would be","In the case ""United States v. Justin Cutbank"", the district court concluded that testimony from D.F. and C.F. that they had previously seen Cutbank with a sawed-off Marlin .22 caliber rifle would be","In United States v. Justin Lyle Cutbank, the district court concluded that testimony from D.F. and C.F. that they had previously seen Cutbank with a sawed-off Marlin .22 caliber rifle would be intrinsic evidence relevant to proving the possession charge and demonstrating continuous possession of the firearm before the incident.","In the case ""United States v. Justin Cutbank"", the district court concluded that testimony from D.F. and C.F. that they had previously seen Cutbank with a sawed-off Marlin .22 caliber rifle would be intrinsic evidence relevant to proving the possession charge and demonstrating continuous possession of the firearm before the incident."
31,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", continuous possession of the firearm before the incident., continuous possession of the firearm before the incident.,"In United States v. Justin Lyle Cutbank, the district court ruled before trial that testimony from D.F. and C.F. about previously seeing Cutbank with a sawed-off Marlin .22 caliber rifle was intrinsic evidence rather than Rule 404(b) propensity evidence, and the evidence was relevant to demonstrating","In the case ""United States v. Justin Cutbank"", the district court ruled before trial that testimony from D.F. and C.F. about previously seeing Cutbank with a sawed-off Marlin .22 caliber rifle was intrinsic evidence rather than Rule 404(b) propensity evidence, and the evidence was relevant to demonstrating","In United States v. Justin Lyle Cutbank, the district court ruled before trial that testimony from D.F. and C.F. about previously seeing Cutbank with a sawed-off Marlin .22 caliber rifle was intrinsic evidence rather than Rule 404(b) propensity evidence, and the evidence was relevant to demonstrating continuous possession of the firearm before the incident.","In the case ""United States v. Justin Cutbank"", the district court ruled before trial that testimony from D.F. and C.F. about previously seeing Cutbank with a sawed-off Marlin .22 caliber rifle was intrinsic evidence rather than Rule 404(b) propensity evidence, and the evidence was relevant to demonstrating continuous possession of the firearm before the incident."
32,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", later possession of that same weapon, later possession of that same weapon,"In United States v. Justin Lyle Cutbank, in addressing whether prior observations of Cutbank with the sawed-off Marlin .22 caliber rifle were intrinsic evidence rather than Rule 404(b) propensity evidence, the court noted that prior possession of a firearm is directly relevant to proving","In the case ""United States v. Justin Cutbank"", in addressing whether prior observations of Cutbank with the sawed-off Marlin .22 caliber rifle were intrinsic evidence rather than Rule 404(b) propensity evidence, the court noted that prior possession of a firearm is directly relevant to proving","In United States v. Justin Lyle Cutbank, in addressing whether prior observations of Cutbank with the sawed-off Marlin .22 caliber rifle were intrinsic evidence rather than Rule 404(b) propensity evidence, the court noted that prior possession of a firearm is directly relevant to proving later possession of that same weapon","In the case ""United States v. Justin Cutbank"", in addressing whether prior observations of Cutbank with the sawed-off Marlin .22 caliber rifle were intrinsic evidence rather than Rule 404(b) propensity evidence, the court noted that prior possession of a firearm is directly relevant to proving later possession of that same weapon"
33,repair,source_framing_issue,"Repaired to required legal case/opinion framing with the cleaned source title ""United States v. Justin Cutbank""; retained the source-supported legal fact and normalized cloze spacing where needed.", the sawed-off rifle, the sawed-off rifle,"In United States v. Justin Lyle Cutbank, D.F. testified at trial that before the incident at issue she had seen Cutbank with","In the case ""United States v. Justin Cutbank"", D.F. testified at trial that before the incident at issue she had seen Cutbank with","In United States v. Justin Lyle Cutbank, D.F. testified at trial that before the incident at issue she had seen Cutbank with the sawed-off rifle","In the case ""United States v. Justin Cutbank"", D.F. testified at trial that before the incident at issue she had seen Cutbank with the sawed-off rifle"
