target,probe,fact,question,text_sentences,prior_knowledge,question_explanation,inference_explanation,answer
 the reference policy,"According to the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', given the optimal policy expression $\pi_r(y\mid x) = \frac{1}{Z(x)}\pi_{\text{ref}}(y\mid x)\exp\left(\frac{1}{\beta}r(x,y)\right)$, as $\beta \to \infty$ we have $\pi_r(y\mid x) \to \pi_{\text{ref}}(y\mid x)$, i.e., $\pi_r$ converges to","According to the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', given the optimal policy expression $\pi_r(y\mid x) = \frac{1}{Z(x)}\pi_{\text{ref}}(y\mid x)\exp\left(\frac{1}{\beta}r(x,y)\right)$, as $\beta \to \infty$ we have $\pi_r(y\mid x) \to \pi_{\text{ref}}(y\mid x)$, i.e., $\pi_r$ converges to the reference policy","As β → ∞ in the optimal policy expression, what does π_r converge to relative to the reference policy?","['\\begin{equation}\\label{eq:op_policy}\n    \\pi_r(y\\mid x) = \\frac{1}{Z(x)}\\pi_\\text{ref}(y\\mid x)\\exp\\left(\\frac{1}{\\beta}r(x, y)\\right),\n\\end{equation}']",Limit of exp(r/β) as β→∞ approaches 1 for bounded r; normalization preserves the base distribution.,Asks about the limiting behavior of π_r when the temperature parameter grows large.,"exp(r/β) → 1, so π_r ∝ π_ref and normalization yields π_r = π_ref.",the reference policy
 the need for on-policy sampling,"In the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', the authors state that in PPO-based RLHF, the practical bottleneck most directly removed by DPO's training procedure is","In the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', the authors state that in PPO-based RLHF, the practical bottleneck most directly removed by DPO's training procedure is the need for on-policy sampling",Which practical bottleneck of PPO-based RLHF is most directly removed by DPO’s training procedure?,"['The resulting algorithm, which we call Direct Preference Optimization (DPO), is stable, performant, and computationally lightweight, eliminating the need for  sampling from the LM during fine-tuning or performing significant hyperparameter tuning.', 'While RLHF produces models with impressive conversational and coding abilities, the RLHF pipeline is considerably more complex than supervised learning, involving training multiple LMs and sampling from the LM policy in the loop of training, incurring significant computational costs.']",Difference between supervised and on-policy RL pipelines: on-policy sampling is expensive and unstable.,It asks you to name the key removed component that causes complexity and cost in RLHF.,DPO removes the need for collecting on-policy rollouts during optimization.,on-policy sampling
 zero everywhere,"In the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', using the definition $\hat{r}_\theta(x,y)=\beta\log\frac{\pi_\theta(y\mid x)}{\pi_{\text{ref}}(y\mid x)}$, if $\pi_\theta(y\mid x)=\pi_{\text{ref}}(y\mid x)$ for all $y$ (and any $x$), then the implicit reward $\hat{r}_\theta(x,y)$ is","In the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', using the definition $\hat{r}_\theta(x,y)=\beta\log\frac{\pi_\theta(y\mid x)}{\pi_{\text{ref}}(y\mid x)}$, if $\pi_\theta(y\mid x)=\pi_{\text{ref}}(y\mid x)$ for all $y$ (and any $x$), then the implicit reward $\hat{r}_\theta(x,y)$ is zero everywhere","If π_θ equals π_ref for all y, what is the value of the implicit reward r̂(x,y)?","['where $\\hat{r}_\\theta(x, y) = \\beta \\log \\frac{\\pi_\\theta(y \\mid x)}{\\pi_\\text{ref}(y \\mid x)}$ is the reward implicitly defined by the language model $\\pi_\\theta$ and reference model $\\pi_\\text{ref}$ (more in Section~\\ref{sec:theory}).']",Log of 1 is zero.,Checks understanding of the implicit reward when model and reference match.,"The ratio is 1, so the log is 0 and r̂ is zero.",zero everywhere
 a prior,"According to the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', interpreting the optimal policy $\pi_r(y\mid x) \propto \pi_{\text{ref}}(y\mid x)\exp\left(\frac{r(x,y)}{\beta}\right)$ as a Bayesian update where $\exp\left(\frac{r(x,y)}{\beta}\right)$ acts like a likelihood term, $\pi_{\text{ref}}$ plays the role of","According to the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', interpreting the optimal policy $\pi_r(y\mid x) \propto \pi_{\text{ref}}(y\mid x)\exp\left(\frac{r(x,y)}{\beta}\right)$ as a Bayesian update where $\exp\left(\frac{r(x,y)}{\beta}\right)$ acts like a likelihood term, $\pi_{\text{ref}}$ plays the role of a prior","Interpreting the optimal policy π_r(y|x) ∝ π_ref(y|x)·exp(r/β) as a Bayesian update where exp(r/β) acts like a likelihood term, what role does π_ref play in this analogy?","['Following prior work~\\citep{peters2007reinforcement, peng2019advantage, korbak2022reinforcement, go2023aligning}, it is straightforward to show that the optimal solution to the KL-constrained reward maximization objective in Eq.~\\ref{eq:RL} takes the form:', '\\begin{equation}\\label{eq:op_policy}\n    \\pi_r(y\\mid x) = \\frac{1}{Z(x)}\\pi_\\text{ref}(y\\mid x)\\exp\\left(\\frac{1}{\\beta}r(x, y)\\right),\n\\end{equation}']",Bayesian updating: posterior ∝ prior × likelihood. Recognizing exp(log-likelihood) form and that normalization Z(x) plays the role of evidence.,Maps the optimal policy formula to the structure of Bayesian inference to see which component corresponds to the prior.,Comparing π_r ∝ π_ref × exp(r/β) to posterior ∝ prior × likelihood implies π_ref acts as the prior.,a prior
 diversity collapse,"In the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', Direct Preference Optimization (DPO) incorporates dynamic, per-example importance weights that prevent model degeneration; if these per-example importance weights were removed, the failure mode that would likely reappear is","In the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', Direct Preference Optimization (DPO) incorporates dynamic, per-example importance weights that prevent model degeneration; if these per-example importance weights were removed, the failure mode that would likely reappear is diversity collapse",What failure mode would likely reappear if DPO’s per-example importance weights were removed?,"['Intuitively, the DPO update increases the relative log probability of preferred to dispreferred responses, but it incorporates a dynamic, per-example importance weight that prevents the model degeneration that we find occurs with a naive probability ratio objective.', 'The added constraint is important, as it prevents the model from deviating too far from the distribution on which the reward model is accurate, as well as maintaining the generation diversity and preventing mode-collapse to single high-reward answers.']",Understanding of collapse phenomena in generative models; how weighting can stabilize training against trivial solutions.,It asks which negative behavior DPO’s weights are guarding against.,"Weights counteract the naive ratio’s degeneracy; without them, behavior akin to mode-collapse (loss of diversity) is expected to reappear.",diversity collapse
 $i.i.d.$ preference samples,"According to the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', to guarantee consistency for DPO (Direct Preference Optimization), the minimal assumption about the preference dataset $D$ that parallels standard MLE conditions is","According to the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', to guarantee consistency for DPO (Direct Preference Optimization), the minimal assumption about the preference dataset $D$ that parallels standard MLE conditions is $i.i.d.$ preference samples",What minimal assumption about the preference dataset D parallels standard MLE conditions to guarantee consistency for DPO?,"['Moreover, since our procedure is equivalent to fitting a reparametrized Bradley-Terry model, it enjoys certain theoretical properties, such as consistencies under suitable assumption of the preference data distribution \\cite{bong2022generalized}.']",MLE consistency typically assumes i.i.d. samples from the true data-generating distribution.,Seeks the usual statistical condition enabling consistent estimation under MLE.,"DPO uses MLE on preferences; thus, i.i.d. samples from the true preference distribution are required.",i.i.d. preference samples
 pairwise classification,"According to the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', DPO reparameterizes preferences into a cross-entropy over pairwise comparisons, effectively turning reinforcement learning from human feedback (RLHF) into","According to the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', DPO reparameterizes preferences into a cross-entropy over pairwise comparisons, effectively turning reinforcement learning from human feedback (RLHF) into pairwise classification","By reparameterizing preferences into a cross-entropy over pairwise comparisons, what supervised learning paradigm does DPO effectively turn RLHF into?","['DPO is able to bypass both fitting an explicit reward and performing RL to learn the policy using a single maximum likelihood objective.', 'Rather than coercing the preference learning problem into a standard RL setting in order to use off-the-shelf RL algorithms, DPO identifies a mapping between language model policies and reward functions that enables training a language model to satisfy human preferences \\textit{directly}, with a simple cross-entropy loss, without reinforcement learning or loss of generality.']",Pairwise preference learning with cross-entropy corresponds to pairwise classification/ranking.,Asks to name the supervised learning framing that DPO induces.,Cross-entropy on pairwise preferences is pairwise classification.,pairwise classification
 optimization inefficiency,"According to the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', PPO can underperform DPO on the reward-$KL$ frontier even when PPO has access to ground-truth rewards (PPO-GT), due to","According to the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', PPO can underperform DPO on the reward-$KL$ frontier even when PPO has access to ground-truth rewards (PPO-GT), due to optimization inefficiency",Why can PPO underperform DPO on the reward–KL frontier even with access to ground-truth rewards?,"['We find that DPO produces by far the most efficient frontier, achieving the highest reward while still achieving low KL.', ""This result is particularly notable for multiple reasons. First, DPO and PPO optimize the same objective, but DPO is notably more efficient; DPO's reward/KL tradeoff strictly dominates PPO."", 'Second, DPO achieves a better frontier than PPO, \\emph{even when PPO can access ground truth rewards} (PPO-GT).', 'While this term does not affect the optimal solution, without it, the policy gradient of the objective could have high variance, making learning unstable.', 'In contrast the DPO reparameterization yields a reward function that does not require any baselines.']","Actor-critic methods can suffer from high-variance, unstable optimization; superior optimization efficiency can yield better frontier points even with perfect rewards.",Connects empirical dominance to the underlying optimization stability differences.,PPO’s high-variance gradients and baseline learning challenges can hinder optimization efficiency relative to DPO’s stable MLE-style updates.,optimization inefficiency
 temperature parameter,"In the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', in the Bayesian analogy of the optimal policy $\pi_r(y\mid x)=\frac{1}{Z(x)}\pi_{\text{ref}}(y\mid x)\exp\left(\frac{1}{\beta}r(x,y)\right)$, $\beta$ corresponds to the scaling of the likelihood as a","In the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', in the Bayesian analogy of the optimal policy $\pi_r(y\mid x)=\frac{1}{Z(x)}\pi_{\text{ref}}(y\mid x)\exp\left(\frac{1}{\beta}r(x,y)\right)$, $\beta$ corresponds to the scaling of the likelihood as a temperature parameter","In the Bayesian analogy of the optimal policy, what does β correspond to in terms of likelihood scaling?","['\\begin{equation}\\label{eq:op_policy}\n    \\pi_r(y\\mid x) = \\frac{1}{Z(x)}\\pi_\\text{ref}(y\\mid x)\\exp\\left(\\frac{1}{\\beta}r(x, y)\\right),\n\\end{equation}', 'accounting for the strength of the KL constraint.']",Inverse-temperature/precision parameters scale log-likelihood contributions in tempered Bayesian posteriors.,Asks for the role of β when viewing exp(r/β) as a tempered likelihood.,"The factor 1/β scales the log-likelihood, making β a temperature parameter.",temperature parameter
 mode-seeking,"According to the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', if the KL-divergence penalty $D_{\mathrm{KL}}(\pi_\theta\|\pi_{\mathrm{ref}})$ in the RLHF objective (where $\pi_\theta$ is the learned policy and $\pi_{\mathrm{ref}}$ is the reference policy) were replaced by the reverse KL $D_{\mathrm{KL}}(\pi_{\mathrm{ref}}\|\pi_\theta)$, the expected mode behavior during optimization would be","According to the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', if the KL-divergence penalty $D_{\mathrm{KL}}(\pi_\theta\|\pi_{\mathrm{ref}})$ in the RLHF objective (where $\pi_\theta$ is the learned policy and $\pi_{\mathrm{ref}}$ is the reference policy) were replaced by the reverse KL $D_{\mathrm{KL}}(\pi_{\mathrm{ref}}\|\pi_\theta)$, the expected mode behavior during optimization would be mode-seeking","If the KL in the RLHF objective were replaced by reverse KL, what mode behavior would you expect during optimization?","['Following prior works~\\citep{jaques2017sequence, jaques2020human}, the optimization is formulated as', 'The added constraint is important, as it prevents the model from deviating too far from the distribution on which the reward model is accurate, as well as maintaining the generation diversity and preventing mode-collapse to single high-reward answers.']","KL vs reverse-KL: forward KL is mode-covering, reverse KL is mode-seeking.",It asks you to predict qualitative behavior under a different divergence.,Reverse KL penalizes assigning mass to low-probability regions and tends to concentrate on peaks.,mode-seeking
 normalized to one,"According to the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', within each reward equivalence class $r - r^{\prime} = f(x)$, the DPO projection selects, per the normalization condition $\sum_{y}\pi_{\text{ref}}(y\mid x)\exp\left(\frac{1}{\beta} r(x,y)\right)=1$, the representative","According to the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', within each reward equivalence class $r - r^{\prime} = f(x)$, the DPO projection selects, per the normalization condition $\sum_{y}\pi_{\text{ref}}(y\mid x)\exp\left(\frac{1}{\beta} r(x,y)\right)=1$, the representative normalized to one","Within each reward equivalence class r − r′ = f(x), which specific representative does the DPO projection select per the normalization condition?","['We can alternatively view Theorem~\\ref{thm:main} as specifying exactly which reward function within each equivalence class the DPO reparameterization selects, that is, the reward function satisfying:', '\\begin{equation}\\label{eq:lag_p}\n     \\sum_{y}\\underbrace{\\pi_\\text{ref}(y\\mid x)\\exp\\left(\\frac{1}{\\beta}r(x, y)\\right)}_{=\\pi(y\\mid x)\\text{, using Thm.~\\ref{thm:main} reparam.}} = 1,\n\\end{equation}', 'i.e., $\\pi(y\\mid x)$ is a valid distribution (probabilities are positive and sum to 1).']",Equivalence classes and canonical representatives chosen by normalization constraints.,Asks which canonical member of the equivalence class DPO picks.,"The constraint enforces that the induced π sums to one, selecting the normalized representative.",normalization to one
 log-odds advantage,"In the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', under DPO's margin, the single scalar whose increase most directly strengthens the push away from $\pi_{\text{ref}}$ for a preferred completion $y_w$ is the","In the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', under DPO's margin, the single scalar whose increase most directly strengthens the push away from $\pi_{\text{ref}}$ for a preferred completion $y_w$ is the log-odds advantage","Under DPO’s margin, what is the single scalar whose increase most directly strengthens the push away from π_ref for a preferred completion?","['\\begin{equation}\\label{eq:optimum_model}\n    \\mathcal{L}_\\text{DPO}(\\pi_{\\theta}; \\pi_\\text{ref}) = -\\mathbb{E}_{(x, y_w, y_l)\\sim \\mathcal{D}}\\left[\\log \\sigma \\left(\\beta \\log \\frac{\\pi_{\\theta}(y_w\\mid x)}{\\pi_\\text{ref}(y_w\\mid x)} - \\beta \\log \\frac{\\pi_{\\theta}(y_l\\mid x)}{\\pi_\\text{ref}(y_l\\mid x)}\\right)\\right].\n\\end{equation}']",Larger positive margins in logistic losses strengthen gradients; the margin here is a log-ratio difference.,Identifies the exact scalar margin that drives updates.,The log probability ratio log(πθ/π_ref) for the preferred completion directly increases the margin.,log-odds advantage
