target,probe,fact,inference_type,text_sentences,question,answer
 stability and generalization,"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', preserving the spectral norm (i.e., the largest singular value $\|\bm{W}^0\|_2$) via orthogonal finetuning primarily benefits training by improving","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', preserving the spectral norm (i.e., the largest singular value $\|\bm{W}^0\|_2$) via orthogonal finetuning primarily benefits training by improving stability and generalization",Conceptual Synthesis - Causal Mechanism,"['Both OFT and BOFT multiply an orthogonal matrix R to the left and obtain the finetuned weights R U Σ V^T, which does not affect the largest singular value (i.e., the spectral norm of W^0).', 'Such a preservation has been shown to greatly benefit training stability and generalization.']",Preserving the spectral norm via orthogonal finetuning primarily benefits which aspects of training?,stability and generalization
 more expressivity and more parameters,"In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', increasing the number of butterfly factor layers $m$ leads to","In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', increasing the number of butterfly factor layers $m$ leads to more expressivity and more parameters",Causal Mechanism - Parameter vs Expressivity Trade-off,"['With butterfly factorization, we are able to generate a d-dimensional dense matrix with a product of O(log d) sparse matrices, each with O(d) non-zero entries.', 'Compared to the block-diagonal structure that OFT uses to trade off expressivity and regularity, BOFT uses the butterfly structure to construct a smoother interpolation between matrices from the full orthogonal group (expressivity) and identity matrices (regularity).']","If the number of butterfly factor layers increases, how does that affect expressivity and parameter count?","more expressivity, more parameters"
 preserves orthogonality,"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the proposed multiplicative Dropout randomly replaces a percentage of the butterfly components and diagonal blocks in each butterfly component with identity matrices $\bm{I}$, relying on the implicit property that replacing these blocks by $\bm{I}$ keeps the model valid, namely that this operation","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the proposed multiplicative Dropout randomly replaces a percentage of the butterfly components and diagonal blocks in each butterfly component with identity matrices $\bm{I}$, relying on the implicit property that replacing these blocks by $\bm{I}$ keeps the model valid, namely that this operation preserves orthogonality",Implicit Assumptions - Method Design,"['The multiplicative Dropout first randomly picks p1 percent of the butterfly components and p2 percent of the diagonal blocks in each butterfly component, and then replaces these blocks as identity matrices.']",What implicit property of replacing butterfly blocks with identity does multiplicative Dropout rely on to keep the model valid?,preserves orthogonality
 block-diagonal,"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', if the target transform is a dense classic linear transform, the implicitly assumed inadequate structure is","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', if the target transform is a dense classic linear transform, the implicitly assumed inadequate structure is block-diagonal",Implicit Assumptions - Representational Limits,"['This block-diagonal sparsity pattern, despite saving parameters, may introduce some undesirable inductive biases (e.g., the block-diagonal orthogonal matrix reduces expressiveness and cannot approximate classic linear transforms), and more importantly, how to find a good sparsity pattern remains a mystery.', 'Our intuition comes from the property that the butterfly structure can easily recover many classic linear transforms while it is impossible for the block-diagonal structure in OFT to recover any.']",Which structure (block-diagonal or butterfly) is implicitly assumed inadequate if the target transform is a dense classic linear transform?,block-diagonal
 butterfly structure,"In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', if a finetuned layer must approximate a discrete Fourier transform, the more suitable sparsity structure is the","In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', if a finetuned layer must approximate a discrete Fourier transform, the more suitable sparsity structure is the butterfly structure",Counterfactual Scenario - Predicting Hypotheticals,"['Compared to the block-diagonal structure that OFT uses to trade off expressivity and regularity, BOFT uses the butterfly structure to construct a smoother interpolation between matrices from the full orthogonal group (expressivity) and identity matrices (regularity).', 'Our intuition comes from the property that the butterfly structure can easily recover many classic linear transforms while it is impossible for the block-diagonal structure in OFT to recover any.']","If a finetuned layer must approximate a discrete Fourier transform, which sparsity structure is more suitable?",butterfly structure
 orthogonal factors,"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', for BOFT's $\mathcal{O}(d\log d)$ parameter claim to hold, the factorized sparse matrices must satisfy an implicit property: they must have","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', for BOFT's $\mathcal{O}(d\log d)$ parameter claim to hold, the factorized sparse matrices must satisfy an implicit property: they must have orthogonal factors",Implicit Assumptions - Structural Requirement,"['By ensuring that each sparse matrix is orthogonal, we arrive at an efficient orthogonal parameterization with only O(d\\log d) parameters, which is a significant reduction from the original parameterization.']",What implicit property must the factorized sparse matrices satisfy for BOFT's O(d log d) parameter claim to hold?,orthogonal factors
 increased computation,"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', BOFT achieves parameter savings by composing a dense orthogonal matrix as a product of multiple sparse orthogonal factors, a design which the authors describe as introducing a tradeoff; this tradeoff manifests as","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', BOFT achieves parameter savings by composing a dense orthogonal matrix as a product of multiple sparse orthogonal factors, a design which the authors describe as introducing a tradeoff; this tradeoff manifests as increased computation",Implicit Assumptions - Resource Tradeoff,"['Since we represent the orthogonal matrix with the multiplication of sparse matrices, the multiplication has to be performed repeatedly in each training iteration.', 'This approach is guided by the insight that the number of trainable parameters can be reduced by trading computation time for space.']",What unstated tradeoff does BOFT rely on to save parameters?,increased computation
 butterfly factorization,"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the central mechanism BOFT uses to substantially reduce finetuning parameters while keeping the transform dense is","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the central mechanism BOFT uses to substantially reduce finetuning parameters while keeping the transform dense is butterfly factorization",Conceptual Synthesis - Core Insight,"['This approach is guided by the insight that the number of trainable parameters can be reduced by trading computation time for space.', 'To achieve parameter efficiency in our information transmission framework, we draw inspiration from the butterfly structures in the Cooley-Tukey fast Fourier transform algorithm in which information from different nodes can be exchanged efficiently.', 'By ensuring that each sparse matrix is orthogonal, we arrive at an efficient orthogonal parameterization with only O(d\\log d) parameters, which is a significant reduction from the original parameterization.']","According to the paper, what is the central mechanism BOFT uses to substantially reduce finetuning parameters while keeping the transform dense?",butterfly factorization
 product of sparse matrices,"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the property of the butterfly factorization that directly yields the $\mathcal{O}(d\log d)$ parameter count is that it is a","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the property of the butterfly factorization that directly yields the $\mathcal{O}(d\log d)$ parameter count is that it is a product of sparse matrices",Causal Mechanism - Structural Cause,"['With butterfly factorization, we are able to generate a d-dimensional dense matrix with a product of O(log d) sparse matrices, each with O(d) non-zero entries.', 'By ensuring that each sparse matrix is orthogonal, we arrive at an efficient orthogonal parameterization with only O(d\\log d) parameters, which is a significant reduction from the original parameterization.']",Which property of the butterfly factorization directly yields the O(d log d) parameter count?,product of sparse matrices
 decrease $b,"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', for fixed $d$ and $m$, the effective number of trainable parameters is given by $\frac{1}{2}(b-1)dm$, so to minimize this quantity one should","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', for fixed $d$ and $m$, the effective number of trainable parameters is given by $\frac{1}{2}(b-1)dm$, so to minimize this quantity one should decrease $b",Mathematical Understanding - Parameter Scaling,"['In general, BOFT(m,b) takes 1/2 (b-1) d m effective trainable parameters for finetuning a linear layer of size d×n.', 'If we use the butterfly matrix, i.e., m=log d,b=2, BOFT uses O(d log d) parameters.']","For fixed d and m, adjusting b to minimize parameters requires which direction of change in b?",decrease b
 LoRA,"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', when a practitioner has strict limits on training FLOPs but abundant memory, the preferable finetuning family is","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', when a practitioner has strict limits on training FLOPs but abundant memory, the preferable finetuning family is LoRA",Counterfactual Scenarios - Practical Constraint,"['This approach is guided by the insight that the number of trainable parameters can be reduced by trading computation time for space.', 'LoRA updates the pretrained weight matrix by adding a product of two low-rank matrices, achieving promising performance on natural language tasks.']","If a practitioner had strict limits on training FLOPs but abundant memory, which finetuning family would be preferable?",LoRA
 independent blocks,"In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', an intuitive way to describe the block-diagonal restriction is that the layer behaves as","In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', an intuitive way to describe the block-diagonal restriction is that the layer behaves as independent blocks",Analogous Understanding - Intuitive Analogy,"['OFT introduces a block-diagonal structure to reduce the number of parameters. However, the parameter efficiency also comes at a price -- the orthogonal matrix has a fixed sparsity pattern and the orthogonal transformation is applied independently in different blocks.']",An intuitive way to describe the block-diagonal restriction is that the layer behaves as what?,independent blocks
 increased computational cost,"In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the authors note that because BOFT composes a dense orthogonal matrix from a product of multiple sparse orthogonal matrices and thus performs repeated sparse multiplications during training, the main practical cost BOFT incurs relative to a single dense update is","In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the authors note that because BOFT composes a dense orthogonal matrix from a product of multiple sparse orthogonal matrices and thus performs repeated sparse multiplications during training, the main practical cost BOFT incurs relative to a single dense update is increased computational cost",Counterfactual Scenario - Practical Cost,"['Since we represent the orthogonal matrix with the multiplication of sparse matrices, the multiplication has to be performed repeatedly in each training iteration.', 'To put the matrix factorization into perspective, we interpret the generation of a dense orthogonal matrix as an information transmission problem.']",What is the main practical cost BOFT incurs relative to a single dense update because of repeated sparse multiplications?,increased computation
 BOFT,"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', if a finetuning task required embedding a discrete cosine transform in a layer, the method that could represent it is","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', if a finetuning task required embedding a discrete cosine transform in a layer, the method that could represent it is BOFT",Counterfactual Scenarios - Predicting Hypotheticals,"['the block-diagonal orthogonal matrix reduces expressiveness and cannot approximate classic linear transforms', 'Our intuition comes from the property that the butterfly structure can easily recover many classic linear transforms while it is impossible for the block-diagonal structure in OFT to recover any.']","If a finetuning task required embedding a discrete cosine transform in a layer, which method could represent it?",BOFT
 orthogonality,"In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the authors attribute OFT's improved training stability compared to LoRA to","In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the authors attribute OFT's improved training stability compared to LoRA to orthogonality",Causal Mechanism - Explanation,"['Inspired by how hyperspherical energy characterizes generalization, qiu2023controlling proposes orthogonal finetuning, an alternative yet effective method to finetune text-to-image diffusion models.', 'Specifically, OFT learns an orthogonal matrix to transform the neurons of the same layer, and it achieves stronger generalization and consistently more stable training than LoRA.']",Which property of OFT do the authors credit for its improved stability over LoRA?,orthogonality
 orthogonal,"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', to guarantee that the overall factorized transform remains a matrix that preserves inner products, each factor must be","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', to guarantee that the overall factorized transform remains a matrix that preserves inner products, each factor must be orthogonal",Implicit Assumptions - Algebraic Property,"['By ensuring that each sparse matrix is orthogonal, we arrive at an efficient orthogonal parameterization with only O(d\\log d) parameters']","To guarantee that the overall factorized transform stays orthogonal, what must each factor be?",orthogonal
 Cooley-Tukey FFT,"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', BOFT's sparse-factor design is motivated by a classic algorithmic decomposition used to enable efficient information transmission in fast linear transforms, known as the","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', BOFT's sparse-factor design is motivated by a classic algorithmic decomposition used to enable efficient information transmission in fast linear transforms, known as the Cooley-Tukey FFT",Analogous Understanding - Intuitive Analogy,"['Inspired by how the Cooley-Tukey fast Fourier transform algorithm enables efficient information transmission, we propose an efficient orthogonal parameterization using butterfly structures.', 'Specifically, the butterfly graph in the Cooley-Tukey algorithm inherently induces a way to perform sparse matrix factorization, called butterfly factorization.']",Which classic algorithmic decomposition motivates BOFT's sparse-factor design?,Cooley-Tukey FFT
 pairwise angles,"In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', OFT aims to preserve the relational property between neurons that maintains pretrained knowledge, namely the","In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', OFT aims to preserve the relational property between neurons that maintains pretrained knowledge, namely the pairwise angles",Implicit Assumptions - Preservation Principle,"['The fundamental principle behind model finetuning is to ensure that the pretrained model and the finetuned model are similar based on certain measurements, such that the pretraining knowledge is preserved.', 'a more principled approach tries to preserve the relational information of the weight matrices, i.e. the pairwise angles between neurons. This insight leads to a novel model finetuning framework, known as Orthogonal Finetuning (OFT)...']",What relational property between neurons does OFT aim to preserve to maintain pretrained knowledge?,pairwise angles
 butterfly,"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', for a model layer that benefits from dense cross-channel mixing (e.g., global linear transforms), the more appropriate finetuning structure is","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', for a model layer that benefits from dense cross-channel mixing (e.g., global linear transforms), the more appropriate finetuning structure is butterfly",Counterfactual Scenarios - Generalization to Other Domains,"['Our intuition comes from the property that the butterfly structure can easily recover many classic linear transforms while it is impossible for the block-diagonal structure in OFT to recover any.', 'BOFT subsumes OFT as a special case and provides a general orthogonal finetuning framework.']","For a model layer that benefits from dense cross-channel mixing (e.g., global linear transforms), which finetuning structure is more appropriate?",butterfly
 smoother interpolation,"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', a property of BOFT that helps produce a smaller hypothesis class and better generalization is","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', a property of BOFT that helps produce a smaller hypothesis class and better generalization is smoother interpolation",Conceptual Synthesis - Causal Mechanism,"['Compared to the block-diagonal structure that OFT uses to trade off expressivity and regularity, BOFT uses the butterfly structure to construct a smoother interpolation between matrices from the full orthogonal group (expressivity) and identity matrices (regularity).', 'This enables us to find a smaller hypothesis class within the orthogonal group for downstream tasks.']",Which specific property of BOFT do the authors argue helps produce a smaller hypothesis class and better generalization?,smoother interpolation
 more mixing stages,"In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the authors state that, mechanistically, increasing $m$ while decreasing $b$ tends to improve BOFT parameter-efficiency because it creates","In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the authors state that, mechanistically, increasing $m$ while decreasing $b$ tends to improve BOFT parameter-efficiency because it creates more mixing stages",Causal Mechanism - Ablation-style reasoning,"['In general, BOFT(m,b) takes \\frac{1}{2}(b-1)dm effective trainable parameters for finetuning a linear layer of size d\\times n.', 'BOFT with smaller b and larger m is generally more parameter-efficient.']",Why does increasing m while decreasing b tend to improve BOFT parameter-efficiency (mechanistically)?,more mixing stages
 product of sparse orthogonals,"In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the single architectural idea that enables BOFT to produce a dense orthogonal finetuning update while remaining parameter-efficient is the","In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the single architectural idea that enables BOFT to produce a dense orthogonal finetuning update while remaining parameter-efficient is the product of sparse orthogonals",Conceptual Synthesis - Core Insight,"['To finetune the pretrained weight matrix, OFT reparameterizes the new weight matrix as the product of a learnable orthogonal matrix and the frozen pretrained weight matrix.', 'To address this question, we propose to compose a dense orthogonal matrix with a product of multiple sparse orthogonal matrices.']",What single architectural idea enables BOFT to produce a dense orthogonal finetuning update while remaining parameter-efficient?,product of sparse orthogonals
 their transposes,"In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the authors show that to approximate all orthogonal matrices of size $d$ it suffices to form products of butterfly matrices such as $\bm{B}_{d-1,1}(d)\,\bm{B}_{d-1,2}(d)\cdots\bm{B}_{1,1}(d)\,\bm{B}_{1,2}(d)$ by alternating multiplication of butterfly matrices with","In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the authors show that to approximate all orthogonal matrices of size $d$ it suffices to form products of butterfly matrices such as $\bm{B}_{d-1,1}(d)\,\bm{B}_{d-1,2}(d)\cdots\bm{B}_{1,1}(d)\,\bm{B}_{1,2}(d)$ by alternating multiplication of butterfly matrices with their transposes",Mathematical Understanding - Structural Interpretation,"['BOFT is more expressive than OFT with the same block size.', 'For the butterfly matrix to approximate all orthogonal matrices of size d, we can multiply butterfly matrices with B_{d-1,1}(d) B_{d-1,2}^T(d) ... B_{1,1}(d) B_{1,2}^T(d), where B_{i,j}(d), ∀ i, ∀ j are butterfly matrices.']",To span the full orthogonal group the construction alternates multiplication of butterfly matrices with what other factor?,their transposes
 near-linear,"In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the authors explain that conceptually converting parameter complexity from $O(d^2)$ to $O(d\log d)$ changes the parameter growth class from quadratic to","In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the authors explain that conceptually converting parameter complexity from $O(d^2)$ to $O(d\log d)$ changes the parameter growth class from quadratic to near-linear",Mathematical Understanding - Equation Interpretation,"['a d-dimensional dense orthogonal matrix requires O(d^2) parameters', 'we arrive at an efficient orthogonal parameterization with only O(d\\log d) parameters']","Conceptually, converting O(d^2) to O(d log d) changes the parameter growth from what to what?",quadratic to near-linear
 paired zeros,"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the orthogonality constraint introduces a common sparsity-pattern effect between matrix entries, e.g., in a $2\times 2$ orthogonal matrix a zero at position $(1,1)$ implies a zero at position $(2,2)$, namely","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the orthogonality constraint introduces a common sparsity-pattern effect between matrix entries, e.g., in a $2\times 2$ orthogonal matrix a zero at position $(1,1)$ implies a zero at position $(2,2)$, namely paired zeros",Implicit Assumptions - Structural consequence,"['For example, for a 2\\times 2 orthogonal matrix, one zero at the (1,1) position will imply another zero at the (2,2) position (i.e., one missing edge could imply another missing edge).', 'Therefore, for each feasible set of edge connections, the orthogonality may sometimes add or remove some edges.']",What common sparsity-pattern effect does the orthogonality constraint introduce between matrix entries?,paired zeros
 $\bm{I}-\bm{Q}$ is invertible,"In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the authors employ the Cayley parameterization $\bm{R}=(\bm{I}+\bm{Q})(\bm{I}-\bm{Q})^{-1}$ where $\bm{Q}$ is skew-symmetric. For the Cayley parameterization to be valid, the implicit mathematical condition on $\bm{Q}$ that must hold is that","In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', the authors employ the Cayley parameterization $\bm{R}=(\bm{I}+\bm{Q})(\bm{I}-\bm{Q})^{-1}$ where $\bm{Q}$ is skew-symmetric. For the Cayley parameterization to be valid, the implicit mathematical condition on $\bm{Q}$ that must hold is that $\bm{I}-\bm{Q}$ is invertible",Implicit Assumptions,"['we follow \\cite{qiu2023controlling,liu2021orthogonal} to employ Cayley parameterization, i.e., R=(I+Q)(I-Q)^{-1} where Q is a skew-symmetric matrix with Q=-Q^\\top.']",What implicit mathematical condition on Q must hold for the Cayley parameterization R=(I+Q)(I-Q)^{-1} to be valid?,I-Q invertible
 original OFT,"In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', if BOFT($m$,$b$) is configured with $m=1$ and $b=d$, it reduces to the","In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', if BOFT($m$,$b$) is configured with $m=1$ and $b=d$, it reduces to the original OFT",Counterfactual Scenarios - Predicting Hypotheticals,"['For convenience, we denote BOFT with R(m,\\frac{b}{2}) as BOFT(m,b), where b\\geq 2. When m=1, then BOFT(1,b) reduces to the block-diagonal OFT.', 'BOFT(1,d) reduces to the original OFT']","If BOFT is configured with m=1 and b=d, which finetuning parameterization does it become?",original OFT
 computer networking,"In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', to find possibly more efficient information-transmission topologies, the authors suggest drawing inspiration from the research discipline of","In the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', to find possibly more efficient information-transmission topologies, the authors suggest drawing inspiration from the research discipline of computer networking",Implicit Assumptions / Cross-discipline Inspiration,"['Moreover, whether the butterfly network is the most efficient way to transmit information is also unknown.', 'Our information transmission framework further enables us to draw inspiration from a distinct research discipline -- computer networking, where the efficiency of a network topology for transmitting information is heavily studied.']",From which research discipline do the authors suggest drawing inspiration to find possibly more efficient information-transmission topologies?,computer networking
 expressivity,"According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', holding the parameter count roughly fixed, increasing $m$ while decreasing $b$ tends to improve the BOFT transformation's high-level property known as","According to the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', holding the parameter count roughly fixed, increasing $m$ while decreasing $b$ tends to improve the BOFT transformation's high-level property known as expressivity",Counterfactual Scenarios - Design trade-off,"['BOFT with smaller b and larger m is generally more parameter-efficient.', 'In general, the butterfly matrix represents a more structured subset of the orthogonal group (compared to the block-diagonal structure), which makes BOFT provably more expressive than OFT with the same block size.']","Holding parameter count roughly fixed, increasing m while decreasing b tends to improve what high-level property of the BOFT transformation?",expressivity
