source,document_id,path,title,num_queries,expected_num_queries,num_body_sentence_queries,title_count,max_body_sentence_count,num_hit_queries,num_error_queries,status
medical,Acute_neurological_Behets_disease_complicated_by_a_syndrome,data/medical/raw/Acute_neurological_Behets_disease_complicated_by_a_syndrome.txt,Acute neurological Behçet’s disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone,11,11,10,0,0,0,0,no_evidence
medical,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,data/medical/raw/Autoimmune_heparininduced_thrombocytopenia_following_cardiac.txt,Autoimmune heparin-induced thrombocytopenia following cardiac surgery,11,11,10,0,0,0,0,no_evidence
medical,Central_hypoventilation_and_choking_episodes_revealing_Chiar,data/medical/raw/Central_hypoventilation_and_choking_episodes_revealing_Chiar.txt,Central hypoventilation and choking episodes revealing Chiari malformation type I,11,11,10,0,0,0,0,no_evidence
medical,Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,data/medical/raw/Dermatomyositis_masquerading_as_angioedema_a_crucial_differe.txt,Dermatomyositis masquerading as angioedema: a crucial differential not to overlook,11,11,10,0,0,0,0,no_evidence
medical,From_dog_bite_to_dialysis_complementmediated_haemolytic_urae,data/medical/raw/From_dog_bite_to_dialysis_complementmediated_haemolytic_urae.txt,From dog bite to dialysis: complement-mediated haemolytic uraemic syndrome,11,11,10,0,0,0,0,no_evidence
medical,Immunemediated_necrotising_myopathy_following_semaglutide_tr,data/medical/raw/Immunemediated_necrotising_myopathy_following_semaglutide_tr.txt,Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?,11,11,10,0,0,0,0,no_evidence
medical,Management_of_atypical_complicated_abdominal_masses_in_the_s,data/medical/raw/Management_of_atypical_complicated_abdominal_masses_in_the_s.txt,Management of atypical complicated abdominal masses in the second trimester of pregnancy,11,11,10,0,0,0,0,no_evidence
medical,Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,data/medical/raw/Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic.txt,"Monoallelic PARN mutation presenting as pancytopenia, hepatic fibrosis and idiopathic pulmonary fibrosis",11,11,10,0,0,0,0,no_evidence
medical,Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,data/medical/raw/Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care.txt,Multiphasic anaphylaxis in the emergency and intensive care setting,11,11,10,0,0,0,0,no_evidence
medical,Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel,data/medical/raw/Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel.txt,Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A,11,11,10,0,0,0,0,no_evidence
medical,Pancreatopleural_fistula_in_childhood,data/medical/raw/Pancreatopleural_fistula_in_childhood.txt,Pancreatopleural fistula in childhood,11,11,10,0,0,0,0,no_evidence
medical,TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy,data/medical/raw/TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy.txt,"TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome",11,11,10,0,0,0,0,no_evidence
legal,America_First_Legal_Foundation_v_Jamieson_Greer,data/legal/raw/America_First_Legal_Foundation_v_Jamieson_Greer.txt,America First Legal Foundation v. Jamieson Greer,11,11,10,0,0,0,0,no_evidence
legal,Apex_Bank_v_Cc_Serve_Corp,data/legal/raw/Apex_Bank_v_Cc_Serve_Corp.txt,Apex Bank v. Cc Serve Corp.,11,11,10,0,0,0,0,no_evidence
legal,Bruce_Cohen_v_Consilio_LLC,data/legal/raw/Bruce_Cohen_v_Consilio_LLC.txt,"Bruce Cohen v. Consilio, LLC",11,11,10,0,0,0,0,no_evidence
legal,Finesse_Wireless_LLC_v_Att_Mobility_LLC,data/legal/raw/Finesse_Wireless_LLC_v_Att_Mobility_LLC.txt,Finesse Wireless LLC v. At&t Mobility LLC,11,11,10,0,0,0,0,no_evidence
legal,Foad_Farahi_v_FBI,data/legal/raw/Foad_Farahi_v_FBI.txt,Foad Farahi v. FBI,11,11,10,0,0,0,0,no_evidence
legal,Jimenez_v_Bondi,data/legal/raw/Jimenez_v_Bondi.txt,Jimenez v. Bondi,11,11,10,0,0,0,0,no_evidence
legal,Pacito_v_Trump,data/legal/raw/Pacito_v_Trump.txt,Pacito v. Trump,11,11,10,0,0,0,0,no_evidence
legal,Santos_v_Kimmel,data/legal/raw/Santos_v_Kimmel.txt,Santos v. Kimmel,11,11,10,0,0,0,0,no_evidence
legal,United_States_v_Constantinescu,data/legal/raw/United_States_v_Constantinescu.txt,United States v. Constantinescu,11,11,10,0,0,0,0,no_evidence
legal,United_States_v_Jaison_Coleman,data/legal/raw/United_States_v_Jaison_Coleman.txt,United States v. Jaison Coleman,11,11,10,0,0,0,0,no_evidence
legal,United_States_v_Justin_Cutbank,data/legal/raw/United_States_v_Justin_Cutbank.txt,United States v. Justin Cutbank,11,11,10,0,0,0,0,no_evidence
legal,Williams_v_GoAuto_Insurance,data/legal/raw/Williams_v_GoAuto_Insurance.txt,Williams v. GoAuto Insurance,11,11,10,0,0,0,0,no_evidence
