v13_row_0based,v13_row_1based,decision,issue_type,filter_reason,review_reason,probe,target,fact,raw_knowledge_statement,section
70,71,keep_rejected,too_generic_target|weak_distractor_space,"It fails criterion 3 because the target, ""resuming training,"" is a very generic short phrase with little conceptual specificity, making it hard to create five meaningful, field-relevant distractors.",Target remains too generic or low-information for restoration.,"According to the paper ""Group Sequence Policy Optimization"", once model collapse occurs, even returning to a previous checkpoint and carefully tuning hyperparameters such as the clipping ranges is described as insufficient for",resuming training.,"According to the paper ""Group Sequence Policy Optimization"", once model collapse occurs, even returning to a previous checkpoint and carefully tuning hyperparameters such as the clipping ranges is described as insufficient for resuming training.","Once the collapse occurs, resuming training is unavailing, even when reverting to a previous checkpoint and meticulously tuning hyperparameters (e.g., the clipping ranges), extending generation length, or switching the RL queries.",Motivation
77,78,keep_rejected,tautological_stem|weak_distractor_space,Unsuitable by criterion 1: the answer is tautologically recoverable from the probe itself because 'GSPO' is just the acronym of the algorithm name 'Group Sequence Policy Optimization' already written in the question.,Visible stem makes the completion too easy or too weakly distractible.,"According to the paper ""Group Sequence Policy Optimization"", the abbreviation the authors use for the proposed algorithm is",GSPO.,"According to the paper ""Group Sequence Policy Optimization"", the abbreviation the authors use for the proposed algorithm is GSPO.","Based on this straightforward observation, we propose the \textbf{Group Sequence Policy Optimization (GSPO)} algorithm.",Algorithm
83,84,keep_rejected,unsupported_or_unclear,"It fails criterion 5 because the probe-answer pair is incompletely formulated relative to the source fact—the source says a few token likelihood changes cause ""dramatic fluctuations of the sequence-level importance ratio,"" whereas the target alone is just the generic phrase ""dramatic fluctuations.""","Question or target is malformed, incomplete, ambiguous, or not source-faithful enough to restore.","In the paper ""Group Sequence Policy Optimization"", the discussion of length normalization in $s_{i}(\theta)$ and the sequence-level importance ratio states that likelihood changes of a few tokens can cause",dramatic fluctuations.,"In the paper ""Group Sequence Policy Optimization"", the discussion of length normalization in $s_{i}(\theta)$ and the sequence-level importance ratio states that likelihood changes of a few tokens can cause dramatic fluctuations.","Otherwise, the likelihood changes of a few tokens can result in dramatic fluctuations of the sequence-level importance ratio, and the importance ratios of responses with different lengths will require varying clipping ranges.",Algorithm
86,87,keep_rejected,too_generic_target|weak_distractor_space,"It fails criterion 3 because the target is a generic stock phrase ('order of magnitude') strongly cued by the wording 'differ ... by an,' making the answer largely a collocation rather than a concept that supports five meaningful distractors.",Target remains too generic or low-information for restoration.,"According to the paper ""Group Sequence Policy Optimization"", the clipping ranges used in GSPO, given that they use distinct definitions of importance ratios, differ from those used in previous algorithms such as GRPO by an",order of magnitude.,"According to the paper ""Group Sequence Policy Optimization"", the clipping ranges used in GSPO, given that they use distinct definitions of importance ratios, differ from those used in previous algorithms such as GRPO by an order of magnitude.","We also note that the clipping ranges in GSPO and in previous algorithms (e.g., GRPO) typically differ in order of magnitude due to the distinct definitions of importance ratios.",Algorithm
92,93,keep_rejected,tautological_stem|weak_distractor_space,"It fails criterion 1 because the completion 'their respective importance weight' is essentially a tautological restatement of 'tokens are weighted according to ...', making the answer too circular rather than a distinct concept suitable for meaningful 5-way distractors.",Visible stem makes the completion too easy or too weakly distractible.,"According to the paper ""Group Sequence Policy Optimization"", in GRPO, the tokens are weighted according to",their respective ``importance weight'',"According to the paper ""Group Sequence Policy Optimization"", in GRPO, the tokens are weighted according to their respective ``importance weight''","In GRPO, the tokens are weighted according to their respective ``importance weight'' $\frac{ \pi_{\theta} (y_{i,t} | x, y_{i,<t}) }{ \pi_{\theta_\text{old}} (y_{i,t} | x,y_{i,<t})}$.",Algorithm
95,96,keep_rejected,too_generic_target|weak_distractor_space,"This probe is unsuitable because the target is an overly generic short phrase ('unpredictable consequences') rather than a specific concept or method, making it hard to create five meaningful, discriminative MCQA options (criteria 3 and 4).",Target remains too generic or low-information for restoration.,"According to the paper ""Group Sequence Policy Optimization"", in the discussion of GRPO token importance weights that can vary among $(0, 1+\varepsilon]$ when $\widehat{A}_{i} >0$ or $[1-\varepsilon, +\infty)$ when $\widehat{A}_{i} < 0$, their impact can accumulate and lead to",unpredictable consequences.,"According to the paper ""Group Sequence Policy Optimization"", in the discussion of GRPO token importance weights that can vary among $(0, 1+\varepsilon]$ when $\widehat{A}_{i} >0$ or $[1-\varepsilon, +\infty)$ when $\widehat{A}_{i} < 0$, their impact can accumulate and lead to unpredictable consequences.","However, these unequal weights, which can vary among $(0, 1+\varepsilon]$ (for $\widehat{A}_{i} >0$) or $[1-\varepsilon, +\infty)$ (for $\widehat{A}_{i} < 0$), are not negligible, and their impact can accumulate and lead to unpredictable consequences as training progresses.",Algorithm
96,97,keep_rejected,weak_distractor_space,Unsuitable under criteria 1 and 3: the target is a vague referential phrase ('this instability factor') that merely points back to the instability already described in the probe/context rather than naming a distinct concept that could support meaningful distractors.,No strong restoration rationale under the restoration rubric.,"According to the paper ""Group Sequence Policy Optimization"", by weighting all the tokens in a response equally, GSPO eliminates",this instability factor.,"According to the paper ""Group Sequence Policy Optimization"", by weighting all the tokens in a response equally, GSPO eliminates this instability factor.","In contrast, GSPO weights all the tokens in a response equally, eliminating this instability factor of GRPO.",Algorithm
125,126,keep_rejected,unsupported_or_unclear,"Unsuitable because the target is a trivially generic short phrase and the probe is incompletely formulated relative to the source, which specifically says GSPO provides 'a more reliable and effective learning signal' (criteria 3 and 5).","Question or target is malformed, incomplete, ambiguous, or not source-faithful enough to restore.","According to the paper ""Group Sequence Policy Optimization"", GSPO's sequence-level approach provides, in contrast to GRPO's token-level gradient estimates, a",learning signal.,"According to the paper ""Group Sequence Policy Optimization"", GSPO's sequence-level approach provides, in contrast to GRPO's token-level gradient estimates, a learning signal.","In contrast, GSPO's sequence-level approach provides a more reliable and effective learning signal.",Experiments and Discussion
129,130,keep_rejected,too_generic_target|weak_distractor_space,"It fails criterion 3 because the target ""converging properly"" is a generic, low-specificity phrase rather than a distinct concept or method, making it hard to build five meaningful discriminative options.",Target remains too generic or low-information for restoration.,"According to the paper ""Group Sequence Policy Optimization"", when the authors adopt the GRPO algorithm for RL training of MoE models and observe expert-activation volatility, this volatility can prevent the RL training from",converging properly,"According to the paper ""Group Sequence Policy Optimization"", when the authors adopt the GRPO algorithm for RL training of MoE models and observe expert-activation volatility, this volatility can prevent the RL training from converging properly","In particular, we found that when adopting the GRPO algorithm, the \textit{expert-activation volatility} of MoE models can prevent RL training from converging properly.",Experiments and Discussion
130,131,keep_rejected,too_generic_target|weak_distractor_space,"It is unsuitable under criterion 3 because the target is a short, generic temporal phrase ('one or more gradient updates') rather than a distinctive concept or named method that would support five meaningful, conceptually grounded distractors.",Target remains too generic or low-information for restoration.,"According to the paper ""Group Sequence Policy Optimization"", in the discussion of expert-activation volatility in MoE models during GRPO-based RL training, the experts activated for the same response can change significantly after",one or more gradient updates.,"According to the paper ""Group Sequence Policy Optimization"", in the discussion of expert-activation volatility in MoE models during GRPO-based RL training, the experts activated for the same response can change significantly after one or more gradient updates.","To be specific, after one or more gradient updates, the experts activated for the same response can change significantly.",Experiments and Discussion
137,138,keep_rejected,near_binary_answer_space,"It fails criterion 1 because the target phrase is essentially a paraphrase of the probe itself: if the two policies share the same routing pattern, that already implies optimization of the same/consistent activated network.",Answer space is too narrow for robust five-option MCQA.,"In the paper ""Group Sequence Policy Optimization"", within the Routing Replay strategy for GRPO training of MoE models, having $\pi_{\theta}(y_{i,t} \mid x, y_{i,<t})$ and $\pi_{\theta_\text{old}}(y_{i,t} \mid x, y_{i,<t})$ share the same routing pattern helps ensure optimization across gradient updates of",the consistent activated network.,"In the paper ""Group Sequence Policy Optimization"", within the Routing Replay strategy for GRPO training of MoE models, having $\pi_{\theta}(y_{i,t} \mid x, y_{i,<t})$ and $\pi_{\theta_\text{old}}(y_{i,t} \mid x, y_{i,<t})$ share the same routing pattern helps ensure optimization across gradient updates of the consistent activated network.","In this way, for each token $y_{i,t}$, $\pi_{\theta} (y_{i,t} | x, y_{i,<t})$ and $\pi_{\theta_\text{old}} (y_{i,t} | x,y_{i,<t})$ share the same activated network, so that we can restore the stability of the token-level importance ratios and ensure optimization of the consistent activated network across gradient updates.",Experiments and Discussion
138,139,keep_rejected,too_generic_target|weak_distractor_space,"It is unsuitable under criterion 3 because the target phrase 'the actual capacity' is too short and generic on its own, making it hard to distinguish from plausible 5-way alternatives without the fuller concept 'the actual capacity of the MoE model.'",Target remains too generic or low-information for restoration.,"According to the paper ""Group Sequence Policy Optimization"", besides incurring additional memory and communication overhead during Routing Replay for GRPO training of MoE models, reusing routing modes can also limit",the actual capacity.,"According to the paper ""Group Sequence Policy Optimization"", besides incurring additional memory and communication overhead during Routing Replay for GRPO training of MoE models, reusing routing modes can also limit the actual capacity.","Although Routing Replay enables the GRPO training of MoE models to converge properly, its practice of reusing routing modes incurs additional memory and communication overhead and can also limit the actual capacity of the MoE model.",Experiments and Discussion
144,145,keep_rejected,too_generic_target|weak_distractor_space,"It fails criterion 3 because the target, ""the training process,"" is a very generic short phrase with little conceptual specificity, making it hard to build five meaningful, discriminative answer choices.",Target remains too generic or low-information for restoration.,"According to the paper ""Group Sequence Policy Optimization"", when GSPO resolves expert-activation volatility in MoE models and removes the need for complex workarounds like Routing Replay, this approach simplifies and stabilizes",the training process.,"According to the paper ""Group Sequence Policy Optimization"", when GSPO resolves expert-activation volatility in MoE models and removes the need for complex workarounds like Routing Replay, this approach simplifies and stabilizes the training process.",This not only simplifies and stabilizes the training process but also allows the model to leverage its full capacity without artificial constraints.,Experiments and Discussion
145,146,keep_rejected,too_generic_target|weak_distractor_space,"It is unsuitable under criterion 3 because the target, ""artificial constraints,"" is a generic short phrase rather than a distinctive concept or named method, making it difficult to create five meaningful, discriminative options.",Target remains too generic or low-information for restoration.,"According to the paper ""Group Sequence Policy Optimization"", the approach allows the model to leverage its full capacity without",artificial constraints.,"According to the paper ""Group Sequence Policy Optimization"", the approach allows the model to leverage its full capacity without artificial constraints.",This not only simplifies and stabilizes the training process but also allows the model to leverage its full capacity without artificial constraints.,Experiments and Discussion
147,148,keep_rejected,tautological_stem|weak_distractor_space,It fails criterion 1 because the probe makes the answer essentially tautological: contrasting 'rather than token-level likelihoods' makes 'sequence-level' the obvious complementary completion.,Visible stem makes the completion too easy or too weakly distractible.,"According to the paper ""Group Sequence Policy Optimization"", the level of likelihoods GSPO uses for optimization, rather than token-level likelihoods, is",sequence-level.,"According to the paper ""Group Sequence Policy Optimization"", the level of likelihoods GSPO uses for optimization, rather than token-level likelihoods, is sequence-level.","However, GSPO uses only sequence-level, rather than token-level, likelihoods for optimization, and intuitively, the former is much more tolerant of precision discrepancies.",Experiments and Discussion
151,152,keep_rejected,unsupported_or_unclear,"The probe is incorrectly formulated relative to the source fact (criterion 5), because the paper lists partial rollout, multi-turn RL, and training-inference disaggregated frameworks as separate beneficial scenarios, whereas the probe syntactically merges them into 'frameworks with partial rollout.'","Question or target is malformed, incomplete, ambiguous, or not source-faithful enough to restore.","In the paper ""Group Sequence Policy Optimization"", the authors state that directly using the likelihoods returned by the inference engine for optimization, instead of recomputing them with the training engine, is especially beneficial for multi-turn RL and training-inference disaggregated frameworks with",partial rollout,"In the paper ""Group Sequence Policy Optimization"", the authors state that directly using the likelihoods returned by the inference engine for optimization, instead of recomputing them with the training engine, is especially beneficial for multi-turn RL and training-inference disaggregated frameworks with partial rollout",This can be especially beneficial in scenarios like partial rollout and multi-turn RL and in the training-inference disaggregated frameworks.,Experiments and Discussion
