domain,probe_index,decision,split_word_index,new_target,reason
Bruce_Cohen_v_Consilio_LLC,6,ACCEPT,1,the district court’s grant of summary judgment as to Cohen’s MFLSA claim,Clean suffix preserves vacated ruling
Bruce_Cohen_v_Consilio_LLC,18,ACCEPT,1,wages owed to him and similarly situated employees.,Clean suffix preserves unpaid wages object
Bruce_Cohen_v_Consilio_LLC,26,ACCEPT,3,all overtime wages he alleges he is owed in this lawsuit,Clean suffix preserves payment scope
Bruce_Cohen_v_Consilio_LLC,29,ACCEPT,8,"[the MPWA, MFLSA, and MWTA claims] before any further discovery or litigation",Clean suffix preserves motion scope
Bruce_Cohen_v_Consilio_LLC,30,ACCEPT,5,the case w[ould] be fully resolved,Clean suffix preserves resolution consequence
Bruce_Cohen_v_Consilio_LLC,36,ACCEPT,3,the section” of the MPWA that the employer allegedly violates.,Clean suffix preserves statutory condition
Bruce_Cohen_v_Consilio_LLC,38,ACCEPT,4,the civil penalties or damages provided for in the section violated.,Clean suffix preserves liability object
Bruce_Cohen_v_Consilio_LLC,39,ACCEPT,1,civil penalties or damages provided for in the section violated.,Removes article and preserves coherent target
Bruce_Cohen_v_Consilio_LLC,44,ACCEPT,10,an employee.,Clean suffix preserves beneficiary
Bruce_Cohen_v_Consilio_LLC,52,ACCEPT,3,"wages . . . as well as commissions, in addition to the right to be paid at certain times",Clean suffix preserves substantive right
Bruce_Cohen_v_Consilio_LLC,55,ACCEPT,1,a particular objective if it wishes to do so,Clean suffix preserves objective
Bruce_Cohen_v_Consilio_LLC,56,ACCEPT,1,the Commissioner may seek daily average wage penalties,Removes leading limiter and preserves actor
Bruce_Cohen_v_Consilio_LLC,67,ACCEPT,5,could not reasonably be expected to recur.,Clean suffix preserves mootness standard
Bruce_Cohen_v_Consilio_LLC,68,ACCEPT,3,determine the legality of the practice,Clean suffix preserves court power
Bruce_Cohen_v_Consilio_LLC,69,ACCEPT,5,is still in place remains in dispute.,Clean suffix preserves disputed status
Bruce_Cohen_v_Consilio_LLC,70,ACCEPT,5,its wrongful conduct will not recur,Clean suffix preserves recurrence condition
Bruce_Cohen_v_Consilio_LLC,72,ACCEPT,4,a change in its overtime policy,Clean suffix preserves notice subject
Finesse_Wireless_LLC_v_Att_Mobility_LLC,1,ACCEPT,5,’134 and ’775 patents.,Clean suffix preserves patent term object
Finesse_Wireless_LLC_v_Att_Mobility_LLC,16,ACCEPT,4,is not supported by substantial evidence.,Clean suffix preserves reason
Finesse_Wireless_LLC_v_Att_Mobility_LLC,30,ACCEPT,1,United States District Court for the Eastern District of Texas’ denial of judgment as a matter of law (JMOL) of noninfringement,Removes article and preserves coherent target
Finesse_Wireless_LLC_v_Att_Mobility_LLC,32,ACCEPT,3,intermodulation product (IMP) interference in radios.,Shorter suffix is coherent and preserves the fact
Finesse_Wireless_LLC_v_Att_Mobility_LLC,39,ACCEPT,7,the Fifth Circuit.,Shorter suffix identifies the circuit cleanly
Finesse_Wireless_LLC_v_Att_Mobility_LLC,46,ACCEPT,1,sub-sample phase shifts to make a phase adjustment on the estimations of the intermodulation product interfering signals.,Moves only a generic gerund into the probe
Finesse_Wireless_LLC_v_Att_Mobility_LLC,51,REJECT,,,No safe coherent suffix-only shortening from review.
Finesse_Wireless_LLC_v_Att_Mobility_LLC,53,REJECT,,,No safe coherent suffix-only shortening from review.
Finesse_Wireless_LLC_v_Att_Mobility_LLC,59,REJECT,,,No safe coherent suffix-only shortening from review.
Finesse_Wireless_LLC_v_Att_Mobility_LLC,62,ACCEPT,5,x1 and x2 correspond to DL[(TX) reference] and modeled PIM [path].”,Shorter suffix preserves the characterization
Finesse_Wireless_LLC_v_Att_Mobility_LLC,66,REJECT,,,No safe coherent suffix-only shortening from review.
Finesse_Wireless_LLC_v_Att_Mobility_LLC,69,REJECT,,,No safe coherent suffix-only shortening from review.
Finesse_Wireless_LLC_v_Att_Mobility_LLC,71,ACCEPT,4,an antenna used by the transmitter,Shorter suffix remains the coupled endpoint
Finesse_Wireless_LLC_v_Att_Mobility_LLC,79,ACCEPT,1,"two signals, plus a copy of one of those signals",Moves only a generic lead word into the probe
Finesse_Wireless_LLC_v_Att_Mobility_LLC,82,REJECT,,,No safe coherent suffix-only shortening from review.
Finesse_Wireless_LLC_v_Att_Mobility_LLC,94,ACCEPT,2,"x2, its complex conjugate x2', and its modulus |x2|.",Moves only generic words into the probe
Finesse_Wireless_LLC_v_Att_Mobility_LLC,99,ACCEPT,5,not supported by substantial evidence.,Shorter suffix states the reason coherently
Finesse_Wireless_LLC_v_Att_Mobility_LLC,100,ACCEPT,8,under regional circuit law,Shorter suffix preserves the review-law fact
Foad_Farahi_v_FBI,6,ACCEPT,2,security risk or violation of federal law.,Shorter suffix remains coherent
Foad_Farahi_v_FBI,9,REJECT,,,No safe coherent suffix-only shortening from review.
Foad_Farahi_v_FBI,17,REJECT,,,No safe coherent suffix-only shortening from review.
Foad_Farahi_v_FBI,26,ACCEPT,2,enforcement proceedings that were then pending or reasonably anticipated,Shorter suffix remains the interference object
Foad_Farahi_v_FBI,29,ACCEPT,1,enforcement proceedings were still pending or reasonably anticipated.,Moves only whether into the probe
Foad_Farahi_v_FBI,40,ACCEPT,1,nonexempt portions ‘are inextricably intertwined with exempt portions.’”,Shorter suffix preserves the quoted condition
Foad_Farahi_v_FBI,54,ACCEPT,6,the scope of the investigation—a widely accepted justification in Exemption 7(A) cases.,Shorter suffix preserves how disclosure interferes
Foad_Farahi_v_FBI,66,ACCEPT,2,that nothing had changed while its initial summary-judgment motion was pending.,Shorter suffix preserves the confirmation purpose
Foad_Farahi_v_FBI,77,ACCEPT,1,it defined the categories of documents used to explain its withholding decisions.,Moves only how into the probe
Foad_Farahi_v_FBI,79,REJECT,,,No safe coherent suffix-only shortening from review.
Foad_Farahi_v_FBI,83,REJECT,,,No safe coherent suffix-only shortening from review.
Foad_Farahi_v_FBI,97,REJECT,,,No safe coherent suffix-only shortening from review.
Jimenez_v_Bondi,17,ACCEPT,3,is unable or unwilling to protect them.,Shorter suffix preserves the claimed condition
Jimenez_v_Bondi,27,ACCEPT,4,is unwilling or unable to help them.,Shorter suffix preserves the failed showing
Jimenez_v_Bondi,69,ACCEPT,3,derivative beneficiaries of Jimenez’s application for asylum.,Shorter suffix remains a coherent capacity
Jimenez_v_Bondi,79,REJECT,,,No safe coherent suffix-only shortening from review.
Jimenez_v_Bondi,80,ACCEPT,2,more complete explanation of those same grounds.,Shorter suffix remains the consulted material
Jimenez_v_Bondi,81,ACCEPT,7,unless the record demonstrates that any reasonable adjudicator would be compelled to conclude to the contrary,Shorter suffix preserves the exception to conclusiveness
Jimenez_v_Bondi,82,ACCEPT,4,any reasonable adjudicator would be compelled to conclude to the contrary.,Shorter suffix preserves the nonconclusiveness condition
Jimenez_v_Bondi,89,ACCEPT,5,well-founded fear of future persecution.,Shorter suffix remains meaningful
Jimenez_v_Bondi,92,ACCEPT,7,"those who differ (in race, religion, or political opinion) in a way regarded as offensive and must entail more than just restrictions or threats to life and liberty",Shorter suffix preserves the persecution standard
Jimenez_v_Bondi,107,REJECT,,,No safe coherent suffix-only shortening from review.
Jimenez_v_Bondi,108,ACCEPT,2,were contingent on compliance with a demand”,Shorter suffix preserves the reason
Jimenez_v_Bondi,113,ACCEPT,1,Petitioners establish a nexus between their alleged persecution and their political opinion.,Moves only whether into the probe
Jimenez_v_Bondi,115,ACCEPT,2,"incidental, tangential, superficial, or subordinate to another reason for harm",Shorter suffix is a coherent predicate complement
Jimenez_v_Bondi,118,REJECT,,,No safe coherent suffix-only shortening from review.
Jimenez_v_Bondi,123,REJECT,,,No safe coherent suffix-only shortening from review.
Jimenez_v_Bondi,128,REJECT,,,No safe coherent suffix-only shortening from review.
Jimenez_v_Bondi,130,ACCEPT,3,stopped or tried to stop the persecutors,Clear suffix remains coherent after moving only framing words.
Jimenez_v_Bondi,131,ACCEPT,3,"offered protection to the applicant, such as by placing the applicant in protective custody",Clear suffix remains coherent after moving only framing words.
Jimenez_v_Bondi,134,REJECT,,,No safe coherent suffix-only shortening from review.
Jimenez_v_Bondi,139,REJECT,,,No safe coherent suffix-only shortening from review.
Jimenez_v_Bondi,141,REJECT,,,No safe coherent suffix-only shortening from review.
Jimenez_v_Bondi,143,REJECT,,,No safe coherent suffix-only shortening from review.
Jimenez_v_Bondi,146,REJECT,,,No safe coherent suffix-only shortening from review.
Jimenez_v_Bondi,151,ACCEPT,7,relocating to another part of the applicant’s country.,Clear suffix states the relocation method coherently.
Jimenez_v_Bondi,155,REJECT,,,No safe coherent suffix-only shortening from review.
Jimenez_v_Bondi,159,REJECT,,,No safe coherent suffix-only shortening from review.
Pacito_v_Trump,8,ACCEPT,3,unaccompanied refugee children at issue here.,Clear suffix identifies the children coherently.
Pacito_v_Trump,15,ACCEPT,17,detrimental to the interest of the United States,Clear suffix preserves the required finding.
Pacito_v_Trump,21,ACCEPT,4,"Administrative Procedure Act, 5 U.S.C. § 551 et seq.",Clear suffix names the statute after moving generic setup words.
Pacito_v_Trump,23,REJECT,,,No safe coherent suffix-only shortening from review.
Pacito_v_Trump,24,REJECT,,,No safe coherent suffix-only shortening from review.
Pacito_v_Trump,29,REJECT,,,No safe coherent suffix-only shortening from review.
Pacito_v_Trump,38,ACCEPT,8,succeed on the merits,Clear suffix preserves the stay-factor requirement.
Pacito_v_Trump,39,ACCEPT,6,Executive Order No. 14163’s suspension of refugee admissions,Clear suffix identifies the specific challenge.
Pacito_v_Trump,40,ACCEPT,4,the persuasiveness of the President’s justifications.”,Clear suffix remains coherent as the object of the inquiry.
Pacito_v_Trump,44,ACCEPT,3,domestic and foreign interests of the United States,Clear suffix preserves the interest categories.
Pacito_v_Trump,46,REJECT,,,No safe coherent suffix-only shortening from review.
Pacito_v_Trump,54,REJECT,,,No safe coherent suffix-only shortening from review.
Pacito_v_Trump,59,ACCEPT,11,those who were recently admitted before the suspension went into effect.,Clear suffix identifies the affected group coherently.
Pacito_v_Trump,60,REJECT,,,No safe coherent suffix-only shortening from review.
Pacito_v_Trump,63,REJECT,,,No safe coherent suffix-only shortening from review.
Santos_v_Kimmel,4,REJECT,,,No safe coherent suffix-only shortening from review.
Santos_v_Kimmel,7,REJECT,,,No safe coherent suffix-only shortening from review.
Santos_v_Kimmel,13,REJECT,,,No safe coherent suffix-only shortening from review.
Santos_v_Kimmel,25,REJECT,,,No safe coherent suffix-only shortening from review.
Santos_v_Kimmel,28,ACCEPT,6,the subjective intent of the copyright holder or that of the secondary user.,Clear suffix states what does not control the issue.
Santos_v_Kimmel,31,ACCEPT,1,a willingness to say absurd things for money.,Moving only not into the probe leaves the answer coherent.
Santos_v_Kimmel,32,REJECT,,,No safe coherent suffix-only shortening from review.
Santos_v_Kimmel,37,REJECT,,,No safe coherent suffix-only shortening from review.
Santos_v_Kimmel,46,REJECT,,,No safe coherent suffix-only shortening from review.
Santos_v_Kimmel,53,REJECT,,,No safe coherent suffix-only shortening from review.
Santos_v_Kimmel,54,ACCEPT,11,those specific provisions of the contract upon which liability is predicated.,Clear suffix preserves the specific contractual detail.
Santos_v_Kimmel,55,REJECT,,,No safe coherent suffix-only shortening from review.
Santos_v_Kimmel,56,ACCEPT,3,contract that the Defendants allegedly breached.,Shorter suffix is coherent and preserves the same fact.
Santos_v_Kimmel,57,ACCEPT,3,contract that the Defendants allegedly breached.,Shorter suffix is coherent and preserves the same fact.
Santos_v_Kimmel,58,REJECT,,,No safe coherent suffix-only shortening from review.
United_States_v_Constantinescu,12,ACCEPT,3,information about the security on [social media].,Shorter suffix is coherent and preserves the same fact.
United_States_v_Constantinescu,19,ACCEPT,2,prima facie element of the charged offense,Shorter suffix is coherent and preserves the same fact.
United_States_v_Constantinescu,26,ACCEPT,5,"money, from the [entity] to be deceived.",Shorter suffix is coherent as the quoted example.
United_States_v_Constantinescu,57,ACCEPT,4,hurt the victim’s bottom line.,Shorter suffix is coherent and preserves the same fact.
United_States_v_Constantinescu,59,ACCEPT,3,information about the security . . . so that other investors were induced to purchase the security.,Shorter suffix is coherent and preserves the same fact.
United_States_v_Jaison_Coleman,22,ACCEPT,2,footage recorded by Officer Kizer and his colleagues at the Coleman home.,Shorter suffix is coherent and preserves the same fact.
United_States_v_Jaison_Coleman,44,ACCEPT,6,exceeded the scope of his wife’s consent.,Shorter suffix is coherent and preserves the same fact.
United_States_v_Jaison_Coleman,48,ACCEPT,3,the consent given by the third party.,Shorter suffix is coherent and preserves the same fact.
United_States_v_Jaison_Coleman,69,ACCEPT,2,district court’s finding that Lisa consented to the police entering her home.,Shorter suffix is coherent and preserves the same fact.
United_States_v_Justin_Cutbank,8,ACCEPT,5,appropriate instruction at the close of trial.,Shorter suffix is coherent and preserves the same fact.
United_States_v_Justin_Cutbank,9,ACCEPT,3,prior statements she made to a police investigator.,Shorter suffix is coherent and preserves the same fact.
United_States_v_Justin_Cutbank,29,ACCEPT,10,continuous possession of the firearm before the incident.,Shorter suffix is coherent and preserves the same fact.
United_States_v_Justin_Cutbank,33,ACCEPT,1,“handful of times” before the incident at issue.,Shorter suffix is coherent and preserves the same fact.
United_States_v_Justin_Cutbank,36,ACCEPT,2,actions and their knowledge at the time,Shorter suffix is coherent and preserves the same fact.
United_States_v_Justin_Cutbank,38,REJECT,,,No safe coherent suffix-only shortening from review.
United_States_v_Justin_Cutbank,39,ACCEPT,12,if the court provides an appropriate instruction at the close of trial,Shorter suffix is coherent and preserves the same fact.
United_States_v_Justin_Cutbank,40,REJECT,,,No safe coherent suffix-only shortening from review.
United_States_v_Justin_Cutbank,45,ACCEPT,10,continuous possession of the firearm before the incident.,Shorter suffix is coherent and preserves the same fact.
United_States_v_Justin_Cutbank,51,ACCEPT,4,cross-examine C.F. on her testimony regarding the gun possession,Shorter suffix is coherent and preserves the same fact.
United_States_v_Justin_Cutbank,56,ACCEPT,5,substantially swayed by the improperly admitted evidence.,Shorter suffix is coherent and preserves the same fact.
United_States_v_Justin_Cutbank,66,REJECT,,,No safe coherent suffix-only shortening from review.
United_States_v_Justin_Cutbank,67,ACCEPT,5,Cutback’s prior felony convictions.,Shorter suffix is coherent and preserves the same fact.
United_States_v_Justin_Cutbank,70,REJECT,,,No safe coherent suffix-only shortening from review.
United_States_v_Justin_Cutbank,73,ACCEPT,4,correctly calculating the applicable Guidelines range.,Shorter suffix is coherent and preserves the same fact.
United_States_v_Justin_Cutbank,74,ACCEPT,5,failing to calculate (or improperly calculating) the Guidelines range.,Shorter suffix is coherent and preserves the same fact.
United_States_v_Justin_Cutbank,75,ACCEPT,2,calculate (or improperly calculating) the Guidelines range,Shorter suffix is coherent and preserves the same fact.
United_States_v_Justin_Cutbank,77,REJECT,,,No safe coherent suffix-only shortening from review.
United_States_v_Justin_Cutbank,78,REJECT,,,No safe coherent suffix-only shortening from review.
Williams_v_GoAuto_Insurance,1,ACCEPT,7,Middle District of Louisiana.,Shorter suffix is coherent and preserves the same fact.
Williams_v_GoAuto_Insurance,18,ACCEPT,2,breach of good faith and fair dealing.,Shorter suffix is coherent and preserves the same fact.
Williams_v_GoAuto_Insurance,30,ACCEPT,1,interest in any loss which may occur thereunder,Shorter suffix is coherent and preserves the same fact.
Williams_v_GoAuto_Insurance,32,ACCEPT,1,power of attorney to cancel an insurance policy.,Shorter suffix is coherent and preserves the same fact.
Williams_v_GoAuto_Insurance,33,ACCEPT,6,fixing the exact time and date of cancellation,Shorter suffix is coherent and preserves the same fact.
Williams_v_GoAuto_Insurance,34,ACCEPT,7,the default may be cured,Shorter suffix is coherent and preserves the same fact.
Williams_v_GoAuto_Insurance,40,ACCEPT,1,affidavit proof of mailing is available upon request.,Shorter suffix is coherent and preserves the same fact.
Williams_v_GoAuto_Insurance,49,ACCEPT,1,notice of cancellation and statement from the premium finance company.,Shorter suffix is coherent and preserves the same fact.
Williams_v_GoAuto_Insurance,73,ACCEPT,2,signature stamp on the printed cancellation documents.,Shorter suffix is coherent and preserves the same fact.
Williams_v_GoAuto_Insurance,75,ACCEPT,1,APAC employee who delivers the notices of cancellation,Manual review: moving only the article leaves a coherent target.
