target,probe,fact,question,text_sentences,prior_knowledge,question_explanation,inference_explanation,answer
 weight loading latency,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', if compute cost drops by orders of magnitude, then, without caching, the type of latency that becomes a larger share of total inference time is","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', if compute cost drops by orders of magnitude, then, without caching, the type of latency that becomes a larger share of total inference time is weight loading latency","If compute cost drops orders of magnitude, which type of latency becomes a larger share of total inference time without caching?","['In contrast, the matrix multiplication of BitNet only involves integer addition, which saves orders of energy cost for LLMs.', 'In addition to computation, the process of transferring model parameters from DRAM to the memory of an on-chip accelerator (e.g., SRAM) can be expensive during inference.']","When compute accelerates, data movement often dominates end-to-end latency, especially on cold starts.",This asks which delay stands out more if you haven't preloaded weights.,"With computation much cheaper, weight transfer from DRAM becomes a larger fraction of latency without caching.",Weight loading
 cold-start,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', between cold-start and warm-cache inference regimes, the inference regime that benefits most from faster weight loading is","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', between cold-start and warm-cache inference regimes, the inference regime that benefits most from faster weight loading is cold-start",Which inference regime benefits most from faster weight loading: cold-start or warm-cache?,"['This can significantly reduce the cost and time of loading weights from DRAM, leading to faster and more efficient inference.']",Cold-start inference requires loading weights; warm-cache reuses resident weights.,This asks which scenario gains the most from quicker weight transfers.,"When weights are not yet resident (cold-start), reducing load time yields the largest benefit.",Cold-start
 arithmetic compute,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in $1.58$ Bits', after adopting BitNet b$1.58$, which constrains weights to $\{-1, 0, 1\}$ and replaces most FP$16$ matrix multiplications with largely INT$8$ additions—substantially reducing arithmetic energy and memory-bandwidth demands—on a power-limited accelerator the primary bottleneck is less likely to be","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in $1.58$ Bits', after adopting BitNet b$1.58$, which constrains weights to $\{-1, 0, 1\}$ and replaces most FP$16$ matrix multiplications with largely INT$8$ additions—substantially reducing arithmetic energy and memory-bandwidth demands—on a power-limited accelerator the primary bottleneck is less likely to be arithmetic compute","In a power-limited accelerator, after adopting BitNet b1.58, which component is less likely to be the primary bottleneck?","['In contrast, the matrix multiplication of BitNet only involves integer addition, which saves orders of energy cost for LLMs.', 'As the fundamental limit to compute performance in many chips is power, the energy savings can also be translated into faster computation.']","Understanding of hardware bottlenecks: when arithmetic becomes cheaper under a power cap, compute-bound stages speed up, shifting bottlenecks elsewhere.",This asks which part of the system would stop being the main slowdown once arithmetic is made much cheaper under the same power limit.,"If matmul switches to low-energy integer adds and power limits overall speed, then compute becomes less constraining, so arithmetic compute is less likely to bottleneck.",Arithmetic compute
 integer vector adds,"In the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the authors state that for a compiler targeting BitNet b1.58 matrix multiplications (i.e., $1.58$-bit matmuls that replace multiplications with integer additions), the instruction class to favor is","In the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the authors state that for a compiler targeting BitNet b1.58 matrix multiplications (i.e., $1.58$-bit matmuls that replace multiplications with integer additions), the instruction class to favor is integer vector adds","In a compiler targeting b1.58 matmuls, which instruction class should be favored?","['In contrast, the matrix multiplication of BitNet only involves integer addition, which saves orders of energy cost for LLMs.', 'BitNet b1.58 retains all the benefits of the original 1-bit BitNet, including its new computation paradigm, which requires almost no multiplication operations for matrix multiplication and can be highly optimized.']",Compilers map high-level ops to instruction mixes; matmuls rely on intensive arithmetic kernels.,This asks what kind of low-level operations the compiler should generate more of.,"Since b1.58 matmul centers on addition without multiplications, integer vector additions should be emphasized.",Integer vector adds
 feature selection,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', BitNet b1.58 constrains every model weight to be ternary $\{-1,0,1\}$ and emphasizes that the inclusion of the zero value enables explicit filtering of features; the classic learning mechanism that best explains why zeros can improve 1-bit LLM performance is","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', BitNet b1.58 constrains every model weight to be ternary $\{-1,0,1\}$ and emphasizes that the inclusion of the zero value enables explicit filtering of features; the classic learning mechanism that best explains why zeros can improve 1-bit LLM performance is feature selection",Which classic learning mechanism best explains why zeros can improve 1-bit LLM performance?,"['Firstly, its modeling capability is stronger due to its explicit support for feature filtering, made possible by the inclusion of 0 in the model weights, which can significantly improve the performance of 1-bit LLMs.']",feature selection improves performance by suppressing irrelevant inputs.,This asks what well-known idea captures the benefit of zeroing weights.,"Zero weights perform feature selection, which focuses the model on relevant signals to improve performance.",feature selection
 below $3\text{B}$ parameters,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', under the same training tokens, BitNet b$1.58$ is least likely to match FP16 baselines in both validation perplexity and end-task performance at parameter scales below $3\text{B}$ parameters.","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', under the same training tokens, BitNet b$1.58$ is least likely to match FP16 baselines in both validation perplexity and end-task performance at parameter scales below $3\text{B}$ parameters. below $3\text{B}$ parameters",Below what parameter scale is b1.58 least likely to match FP16 under the same training tokens?,"['Secondly, our experiments show that BitNet b1.58 can match full precision (i.e., FP16) baselines in terms of both perplexity and end-task performance, starting from a 3B size, when using the same configuration (e.g., model size, training tokens, etc.).']","If parity begins at a threshold scale, below that threshold parity is unlikely.",This asks at what smaller size you should not expect equal accuracy.,"Since parity starts at 3B, models below 3B are less likely to match FP16 under equal training tokens.",Below 3B
 reduced weight bandwidth,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', for latency-critical mobile inference constrained by DRAM energy, the most directly exploited benefit of BitNet b1.58 is","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', for latency-critical mobile inference constrained by DRAM energy, the most directly exploited benefit of BitNet b1.58 is reduced weight bandwidth","For latency-critical mobile inference constrained by DRAM energy, which benefit of b1.58 is most directly exploited?","['In addition to computation, the process of transferring model parameters from DRAM to the memory of an on-chip accelerator (e.g., SRAM) can be expensive during inference.', 'Compared to full-precision models, 1-bit LLMs have a much lower memory footprint from both a capacity and bandwidth standpoint.', 'This can significantly reduce the cost and time of loading weights from DRAM, leading to faster and more efficient inference.']","On mobile, DRAM accesses are energy-expensive; reducing bandwidth directly cuts energy.",This asks which specific improvement matters most when DRAM is the energy bottleneck.,"Lower weight bandwidth reduces DRAM traffic and thus energy, directly addressing the constraint.",Reduced weight bandwidth
 native b1.58 training,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', between native $1.58$-bit (native b1.58) training and post-training $4$-bit quantization, the training approach less likely to degrade long-context accuracy is","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', between native $1.58$-bit (native b1.58) training and post-training $4$-bit quantization, the training approach less likely to degrade long-context accuracy is native b1.58 training",Which training approach is less likely to degrade long-context accuracy: native b1.58 training or post-training 4-bit quantization?,"['However, post-training quantization is sub-optimal, even though it is widely used in industry LLMs.', 'In this work, we introduce a significant 1-bit LLM variant called BitNet b1.58, where every parameter is ternary, taking on values of {-1, 0, 1}.']","Post-training quantization can distort representations, especially in regimes sensitive to numerical precision; native training adapts to constraints.",This asks which method better preserves quality on tasks vulnerable to quantization error.,"Given sub-optimality of post-training quantization, models trained natively in low precision better accommodate constraints, reducing degradation.",native b1.58 training
 data parallelism,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', under a fixed DRAM bandwidth budget the parallelism strategy that becomes more viable when using BitNet b1.58 (the 1.58-bit LLM introduced in the paper) is","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', under a fixed DRAM bandwidth budget the parallelism strategy that becomes more viable when using BitNet b1.58 (the 1.58-bit LLM introduced in the paper) is data parallelism","Under a fixed DRAM bandwidth budget, which parallelism strategy becomes more viable with b1.58?","['Compared to full-precision models, 1-bit LLMs have a much lower memory footprint from both a capacity and bandwidth standpoint.', 'This can significantly reduce the cost and time of loading weights from DRAM, leading to faster and more efficient inference.']",Data parallelism scales better when per-replica memory bandwidth is lower; tensor parallelism often increases communication.,This asks which way of spreading work across devices benefits from lower weight bandwidth.,"With lower per-replica bandwidth needs, data parallelism becomes more feasible at scale.",Data parallelism
 batch size,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', when DRAM bandwidth is fixed, $\text{BitNet b1.58}$ can raise throughput without changing compute by increasing the inference parameter known as batch size.","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', when DRAM bandwidth is fixed, $\text{BitNet b1.58}$ can raise throughput without changing compute by increasing the inference parameter known as batch size. batch size","When DRAM bandwidth is fixed, what inference parameter can be increased using b1.58 to raise throughput without changing compute?","['Compared to full-precision models, 1-bit LLMs have a much lower memory footprint from both a capacity and bandwidth standpoint.', 'This can significantly reduce the cost and time of loading weights from DRAM, leading to faster and more efficient inference.']",Throughput can increase with larger batch size if memory bandwidth per request is reduced.,This asks what you can increase to process more examples in parallel when memory is the limit.,"Lower weight bandwidth per model step frees DRAM bandwidth, enabling increases in batch size.",batch size
 compute-bound layers,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits': If activations remain high-precision while weights are ternary (i.e., constrained to $\{-1,0,1\}$), then—because the major computation cost comes from matrix multiplication—the model layers that benefit the most are","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits': If activations remain high-precision while weights are ternary (i.e., constrained to $\{-1,0,1\}$), then—because the major computation cost comes from matrix multiplication—the model layers that benefit the most are compute-bound layers",Which type of model layers benefit most if activations remain high-precision but weights become ternary?,"['Compared to full-precision models, 1-bit LLMs have a much lower memory footprint from both a capacity and bandwidth standpoint.', 'In contrast, the matrix multiplication of BitNet only involves integer addition, which saves orders of energy cost for LLMs.']","If activation bandwidth remains, reductions in weight size and compute favor layers previously compute-bound.",This asks which categories of layers gain the most under these assumptions.,"With activations unchanged, compute-bound layers benefit most from cheaper arithmetic and smaller weight fetches.",compute-bound layers
 floating point,"In the paper 'The Era of 1-bit LLMs: All Large Language Models are in $1.58$ Bits', in the BitNet b$1.58$ matmul datapath (which replaces floating-point multiplications with integer additions for matrix multiplication), the unnecessary class of numeric format is","In the paper 'The Era of 1-bit LLMs: All Large Language Models are in $1.58$ Bits', in the BitNet b$1.58$ matmul datapath (which replaces floating-point multiplications with integer additions for matrix multiplication), the unnecessary class of numeric format is floating point",Which class of numeric format is unnecessary in the b1.58 matmul datapath?,"['Vanilla LLMs are in 16-bit floating values (i.e., FP16 or BF16), and the bulk of any LLMs is matrix multiplication.', 'In contrast, the matrix multiplication of BitNet only involves integer addition, which saves orders of energy cost for LLMs.']","Datapath design: if an operation uses only integer adds, floating-point units are unnecessary in that path.",This asks which kind of number format you don't need for the matmul computations.,"Since matmul uses only integer addition, floating-point representation is not required in the matmul datapath.",floating point
 lower precision,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', given its focus on reducing inference cost, memory, and energy by using $1.58$-bit (ternary) weights, a new scaling law proposed in the paper would most likely emphasize which property of models?","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', given its focus on reducing inference cost, memory, and energy by using $1.58$-bit (ternary) weights, a new scaling law proposed in the paper would most likely emphasize which property of models? lower precision","Under the paper's cost-effectiveness goals, which trend would a new scaling law most likely emphasize?","['More profoundly, the 1.58-bit LLM defines a new scaling law and recipe for training new generations of LLMs that are both high-performance and cost-effective.', 'It matches the full-precision (i.e., FP16 or BF16) Transformer LLM with the same model size and training tokens in terms of both perplexity and end-task performance, while being significantly more cost-effective in terms of latency, memory, throughput, and energy consumption.']","Scaling laws can trade precision, size, and data to optimize cost-performance.",This asks what general direction a cost-focused scaling rule would push.,"Given the emphasis on cost-effectiveness via low-bit precision at parity quality, a scaling law would favor lower precision as a primary lever.",lower precision
 No,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the authors report that $\text{BitNet\ b1.58}$ can match full-precision ($\mathrm{FP16}$) baselines starting from a $3\text{B}$ model size when trained with the same configuration and training tokens; under this claim, should we expect a $2\text{B}$ $\text{BitNet\ b1.58}$ model trained with equal tokens to match an $\mathrm{FP16}$ model?","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the authors report that $\text{BitNet\ b1.58}$ can match full-precision ($\mathrm{FP16}$) baselines starting from a $3\text{B}$ model size when trained with the same configuration and training tokens; under this claim, should we expect a $2\text{B}$ $\text{BitNet\ b1.58}$ model trained with equal tokens to match an $\mathrm{FP16}$ model? No","If parity with FP16 begins at 3B parameters, should a 2B b1.58 model be expected to match FP16 under equal tokens?","['Secondly, our experiments show that BitNet b1.58 can match full precision (i.e., FP16) baselines in terms of both perplexity and end-task performance, starting from a 3B size, when using the same configuration (e.g., model size, training tokens, etc.).']",A threshold indicates below it parity is less likely.,This is a yes/no about expected accuracy at a smaller scale.,"Since parity starts at 3B, at 2B parity is not expected under the same token budget.",No
 SRAM,"In the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the memory type whose costly expansion to improve throughput is most avoidable when using BitNet b1.58 is","In the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the memory type whose costly expansion to improve throughput is most avoidable when using BitNet b1.58 is SRAM",Which memory type’s costly expansion is most avoidable for throughput gains with b1.58?,"['There have been attempts to enlarge SRAM to improve throughput, but this introduces significantly higher costs than DRAM.', 'Compared to full-precision models, 1-bit LLMs have a much lower memory footprint from both a capacity and bandwidth standpoint.']",Throughput gains often come from larger caches; smaller weights reduce that need.,This asks which expensive memory you can avoid scaling up.,"Smaller weights reduce on-chip storage pressure, making expensive SRAM enlargement less necessary.",SRAM
 scale invariance,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the absmean ternary quantizer is defined by $\widetilde{W}=\mathrm{RoundClip}\big(\frac{W}{\gamma+\epsilon},-1,1\big)$ with $\gamma=\frac{1}{nm}\sum_{ij}|W_{ij}|$. If all weights $W$ are multiplied by a positive scalar $c$ during training, the quantized weights $\widetilde{W}$ remain unchanged because $\gamma$ scales by $c$ as well, so the quantizer ensures","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the absmean ternary quantizer is defined by $\widetilde{W}=\mathrm{RoundClip}\big(\frac{W}{\gamma+\epsilon},-1,1\big)$ with $\gamma=\frac{1}{nm}\sum_{ij}|W_{ij}|$. If all weights $W$ are multiplied by a positive scalar $c$ during training, the quantized weights $\widetilde{W}$ remain unchanged because $\gamma$ scales by $c$ as well, so the quantizer ensures scale invariance","If all weights W are multiplied by a positive scalar c during training, what invariant property does the absmean ternary quantizer induce on the quantized weights?","['To constrain the weights to -1, 0, or +1, we adopt an absmean quantization function.', 'It first scales the weight matrix by its average absolute value, and then round each value to the nearest integer among {-1, 0, +1}:', 'widetilde{W} = \\mathrm{RoundClip}(\\frac{W}{\\gamma + \\epsilon}, -1, 1),', '\\gamma = \\frac{1}{nm}\\sum_{ij} |W_{ij}|.']",Scaling both a variable and its positive scale factor by the same constant leaves their ratio unchanged; rounding after such normalization preserves patterns dependent only on the normalized value.,This asks whether quantization outcomes stay the same if the entire weight matrix is scaled up or down.,"Because gamma scales linearly with |c|, W/(gamma+epsilon) is unchanged (ignoring tiny epsilon), so the rounding and clipping produce the same ternary values, making the quantizer scale-invariant.",Scale invariance
 the multiplier arrays,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the hardware units whose area can be most confidently reduced in a $1$-bit-optimized accelerator are","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the hardware units whose area can be most confidently reduced in a $1$-bit-optimized accelerator are the multiplier arrays",Which hardware unit's area can be most confidently reduced in a 1-bit-optimized accelerator?,"['BitNet b1.58 retains all the benefits of the original 1-bit BitNet, including its new computation paradigm, which requires almost no multiplication operations for matrix multiplication and can be highly optimized.', 'In contrast, the matrix multiplication of BitNet only involves integer addition, which saves orders of energy cost for LLMs.']",Hardware area scales with multiplier arrays; fewer multiplications allow smaller multiplier blocks.,This asks what silicon block can be made smaller without hurting matmul.,"Since matmuls no longer require multipliers, multiplier units can be downsized the most.",Multiplier arrays
 the frequency knob,"In the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', under a fixed power envelope for BitNet b1.58, the knob that can be increased to raise throughput is","In the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', under a fixed power envelope for BitNet b1.58, the knob that can be increased to raise throughput is the frequency knob","Under a fixed power envelope, which knob can be increased with b1.58 to raise throughput?","['As the fundamental limit to compute performance in many chips is power, the energy savings can also be translated into faster computation.', 'It matches the full-precision (i.e., FP16 or BF16) Transformer LLM with the same model size and training tokens in terms of both perplexity and end-task performance, while being significantly more cost-effective in terms of latency, memory, throughput, and energy consumption.']",DVFS: lower energy per operation permits higher operating frequency at the same power.,This asks what you can dial up to process tokens faster without exceeding power.,"With lower energy per operation under the same power cap, clock frequency can be increased to raise throughput.",Frequency
 energy per token,"In the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the authors state that for power-constrained chips the efficiency metric that sees the most direct improvement with BitNet b1.58 (the 1.58-bit LLM variant) is","In the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the authors state that for power-constrained chips the efficiency metric that sees the most direct improvement with BitNet b1.58 (the 1.58-bit LLM variant) is energy per token","For power-constrained chips, which efficiency metric sees the most direct improvement with b1.58?","['In contrast, the matrix multiplication of BitNet only involves integer addition, which saves orders of energy cost for LLMs.', 'As the fundamental limit to compute performance in many chips is power, the energy savings can also be translated into faster computation.']",energy per token directly ties to power efficiency under power caps.,This asks which measure of efficiency improves first and foremost.,Lower energy per operation reduces energy per token most directly; throughput may then increase within the power cap.,energy per token
 the $1.58$-bit BitNet approach,"In the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the authors state that on CPUs lacking fast $\mathrm{FP16}$ units, the approach that should yield better throughput per watt for LLM inference is","In the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the authors state that on CPUs lacking fast $\mathrm{FP16}$ units, the approach that should yield better throughput per watt for LLM inference is the $1.58$-bit BitNet approach","On CPUs lacking fast FP16 units, which approach should yield better throughput per watt for LLM inference?","['Moreover, 1.58-bit LLMs are more friendly to CPU devices, which are the main processors used in edge and mobile devices.']",Integer arithmetic is generally more efficient than FP16 on CPUs without specialized FP units.,It asks which model style is more energy-efficient on typical CPUs.,CPU-friendly low-bit integer operations favor BitNet over FP16 for throughput per watt.,1.58-bit BitNet
