target,probe,fact,inference_type,text_sentences,question,answer
 power,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the fundamental hardware constraint that links reduced energy consumption to the possibility of faster compute throughput is","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the fundamental hardware constraint that links reduced energy consumption to the possibility of faster compute throughput is power",Causal Mechanism - Hardware Constraint,"['As the fundamental limit to compute performance in many chips is power, the energy savings can also be translated into faster computation.']",What fundamental hardware constraint links reduced energy consumption to the possibility of faster compute throughput?,power
 integer operations are cheaper,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', for the claimed energy and speed advantages to actually occur, the implicit hardware property that must hold is that","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', for the claimed energy and speed advantages to actually occur, the implicit hardware property that must hold is that integer operations are cheaper",Implicit Assumptions,"['In contrast, the matrix multiplication of BitNet only involves integer addition, which saves orders of energy cost for LLMs.', 'As the fundamental limit to compute performance in many chips is power, the energy savings can also be translated into faster computation.']",What implicit hardware property must hold for the claimed energy and speed advantages to actually occur?,integer ops cheaper
 scaling factor,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', conceptually the quantity $\gamma$, defined as $\gamma = \frac{1}{nm}\sum_{ij} |W_{ij}|$, in the absmean quantization function — which divides $W$ by $\gamma + \epsilon$ before applying $\mathrm{RoundClip}(\cdot, -1, 1)$ to produce values in $\{-1, 0, +1\}$ — acts as a","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', conceptually the quantity $\gamma$, defined as $\gamma = \frac{1}{nm}\sum_{ij} |W_{ij}|$, in the absmean quantization function — which divides $W$ by $\gamma + \epsilon$ before applying $\mathrm{RoundClip}(\cdot, -1, 1)$ to produce values in $\{-1, 0, +1\}$ — acts as a scaling factor",Mathematical Understanding - Equation Interpretation,"['\\widetilde{W} = \\mathrm{RoundClip}(\\frac{W}{\\gamma + \\epsilon}, -1, 1),', '\\gamma = \\frac{1}{nm}\\sum_{ij} |W_{ij}|.']","Conceptually, what role does the quantity gamma play in the absmean quantization function before rounding to -1, 0, +1?",scaling factor
 worse performance,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', if BitNet b1.58 were reverted to have weights only in $\{-1, +1\}$ (removing $0$), the most likely outcome for modeling capability compared to BitNet b1.58 would be","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', if BitNet b1.58 were reverted to have weights only in $\{-1, +1\}$ (removing $0$), the most likely outcome for modeling capability compared to BitNet b1.58 would be worse performance",Counterfactual Scenarios: Predicting Hypotheticals,"['We have added an additional value of 0 to the original 1-bit BitNet, resulting in 1.58 bits in the binary system.', 'Firstly, its modeling capability is stronger due to its explicit support for feature filtering, made possible by the inclusion of 0 in the model weights, which can significantly improve the performance of 1-bit LLMs.']","If you reverted BitNet b1.58 back to only {-1, +1} weights (removing 0), what outcome is most likely for modeling capability versus b1.58?",worse performance
 $\log_2(3)$,"In the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the mathematical expression that explains why three possible weight values correspond to that many bits per parameter is","In the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the mathematical expression that explains why three possible weight values correspond to that many bits per parameter is $\log_2(3)$",Mathematical Understanding - Equation Interpretation,"['every single parameter (or weight) of the LLM is ternary {-1, 0, 1}.', 'We have added an additional value of 0 to the original 1-bit BitNet, resulting in 1.58 bits in the binary system.']",Which mathematical expression explains why three possible weight values correspond to about 1.58 bits per parameter?,log2(3)
 feature filtering,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', if BitNet b1.58 reverted to only $\{-1, 1\}$ weights (no $0$), the most directly lost modeling capability would be","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', if BitNet b1.58 reverted to only $\{-1, 1\}$ weights (no $0$), the most directly lost modeling capability would be feature filtering",Counterfactual Scenarios - Predicting Hypotheticals,"['We have added an additional value of 0 to the original 1-bit BitNet, resulting in 1.58 bits in the binary system.', 'Firstly, its modeling capability is stronger due to its explicit support for feature filtering, made possible by the inclusion of 0 in the model weights, which can significantly improve the performance of 1-bit LLMs.']","If BitNet b1.58 reverted to only {-1, 1} weights (no zero), which modeling capability would be most directly lost?",feature filtering
 ternary weights,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the central technical innovation is a single change to the model's parameter representation that enables both performance parity with $m{FP16}$ and large cost savings:","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the central technical innovation is a single change to the model's parameter representation that enables both performance parity with $m{FP16}$ and large cost savings: ternary weights",Conceptual Synthesis - Core Insight,"['we introduce a 1-bit LLM variant, namely BitNet b1.58, in which every single parameter (or weight) of the LLM is ternary {-1, 0, 1}.', 'It matches the full-precision (i.e., FP16 or BF16) Transformer LLM with the same model size and training tokens in terms of both perplexity and end-task performance, while being significantly more cost-effective in terms of latency, memory, throughput, and energy consumption.']",What single change to the model's parameter representation is the central technical innovation that enables both performance parity with FP16 and large cost savings?,ternary weights
 multiplication,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', BitNet's dramatic energy savings for matrix computations are primarily explained by the elimination of the expensive floating-point operation known as","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', BitNet's dramatic energy savings for matrix computations are primarily explained by the elimination of the expensive floating-point operation known as multiplication",Causal Mechanism - Mechanistic Cause,"['In contrast, the matrix multiplication of BitNet only involves integer addition, which saves orders of energy cost for LLMs.', 'the major computation cost comes from the floating-point addition and multiplication operations.']",Which arithmetic operation's elimination primarily explains BitNet's dramatic energy savings during matrix multiplication?,multiplication
 larger SRAM,"In the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the authors state that because BitNet b1.58 reduces memory footprint and bandwidth requirements, the costly hardware enlargement that becomes less necessary to achieve high throughput is","In the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the authors state that because BitNet b1.58 reduces memory footprint and bandwidth requirements, the costly hardware enlargement that becomes less necessary to achieve high throughput is larger SRAM",Conceptual Synthesis - Systems Implication,"['Compared to full-precision models, 1-bit LLMs have a much lower memory footprint from both a capacity and bandwidth standpoint. This can significantly reduce the cost and time of loading weights from DRAM, leading to faster and more efficient inference.', 'There have been attempts to enlarge SRAM to improve throughput, but this introduces significantly higher costs than DRAM.']","Because BitNet b1.58 reduces memory footprint and bandwidth needs, which expensive hardware enlargement becomes less necessary for high throughput?",larger SRAM
 memory and communication,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', 1.58-bit LLMs help to mitigate two major MoE deployment bottlenecks, namely","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', 1.58-bit LLMs help to mitigate two major MoE deployment bottlenecks, namely memory and communication",Conceptual Synthesis - Application Generalization,"['While it significantly reduces the computation FLOPs, the high memory consumption and inter-chip communication overhead limit its deployment and application.', 'These challenges can be addressed by 1.58-bit LLMs.']",Which two major MoE deployment bottlenecks does the paper claim 1.58-bit LLMs help to mitigate?,memory and communication
 decrease,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', if, contrary to the paper's observation, non-linear components grew to dominate computation at large scale, BitNet b1.58's relative energy advantage would","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', if, contrary to the paper's observation, non-linear components grew to dominate computation at large scale, BitNet b1.58's relative energy advantage would decrease",Counterfactual Scenarios - System-level Impact,"['BitNet b1.58 becomes increasingly more efficient in terms of energy consumption compared to the FP16 \\text{LLaMA LLM} baseline. This is due to the fact that the percentage of \\emph{nn.Linear} grows with the model size, while the cost from other components is smaller for larger models.']","If, contrary to the paper's observation, non-linear components grew to dominate computation at large scale, what would happen to BitNet b1.58's relative energy advantage?",decrease
 reduced latency and memory usage,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in $1.58$ Bits', the central advantage that BitNet b$1.58$ achieves relative to full-precision LLaMA models, based on its $1.58$-bit design and the paper's claim of a Pareto improvement, is","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in $1.58$ Bits', the central advantage that BitNet b$1.58$ achieves relative to full-precision LLaMA models, based on its $1.58$-bit design and the paper's claim of a Pareto improvement, is reduced latency and memory usage",Conceptual Synthesis - Core Insight,"['BitNet b1.58 is based on the BitNet architecture, which is a Transformer that replaces \\emph{nn.Linear} with \\emph{BitLinear}. It is trained from scratch, with 1.58-bit weights and 8-bit activations.', 'This demonstrates that \\text{BitNet b1.58} is a Pareto improvement over the state-of-the-art LLM models.']","Synthesize the central advantage that BitNet b1.58 achieves relative to full-precision LLaMA models, based on its 1.58-bit design and the paper's claim of a Pareto improvement.",lower latency and memory
 nn.Linear,"In the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the authors attribute the main cause of BitNet b1.58's increasing speed-up with larger model sizes to the computation whose time cost grows with model size, which they identify as","In the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the authors attribute the main cause of BitNet b1.58's increasing speed-up with larger model sizes to the computation whose time cost grows with model size, which they identify as nn.Linear",Causal Mechanism - Source of Observed Effect,"['Figure~\\ref{fig:latency-memory-energy} illustrates the trends of latency and memory, showing that the speed-up increases as the model size scales.', 'This is because the time cost for \\emph{nn.Linear} grows with the model size.']",Which specific computation does the paper identify as the main cause for the increasing speed-up of BitNet b1.58 with larger model sizes?,nn.Linear
 energy consumption,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the authors claim that the metric that remains unchanged between BitNet b1.58 and the original 1-bit BitNet is","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the authors claim that the metric that remains unchanged between BitNet b1.58 and the original 1-bit BitNet is energy consumption",Implicit Assumptions - Consistency Claim,"['Additionally, it has the same energy consumption as the original 1-bit BitNet and is much more efficient in terms of memory consumption, throughput and latency compared to FP16 LLM baselines.']",Which metric do the authors claim remains unchanged between BitNet b1.58 and the original 1-bit BitNet?,energy consumption
 zero-point quantization,"In the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', if activations were scaled to $[0, Q_b]$ instead of $[-Q_b, Q_b]$, the extra quantization complication that would reappear is","In the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', if activations were scaled to $[0, Q_b]$ instead of $[-Q_b, Q_b]$, the extra quantization complication that would reappear is zero-point quantization",Counterfactual Scenarios - Predicting Hypotheticals,"['The quantization function for activations follows the same implementation in BitNet, except that we do not scale the activations before the non-linear functions to the range $[0, Q_b]$.', 'Instead, the activations are all scaled to $[-Q_b, Q_b]$ per token to get rid of the zero-point quantization.']","If activations were scaled to [0, Q_b] instead of [-Q_b, Q_b], which extra quantization complication would reappear?",zero-point quantization
 scale factor,"In the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the conceptual role of $\gamma$ in the weight quantization formula is to act as a","In the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the conceptual role of $\gamma$ in the weight quantization formula is to act as a scale factor",Mathematical Understanding - Equation Interpretation,"['\\widetilde{W} = \\mathrm{RoundClip}(\\frac{W}{\\gamma + \\epsilon}, -1, 1),', '\\gamma = \\frac{1}{nm}\\sum_{ij} |W_{ij}|.']",What is the conceptual role of gamma in the weight quantization formula?,scale factor
 three distinct states,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', BitNet b1.58 constrains each model parameter to a small discrete alphabet rather than full-precision values, so each weight in BitNet b1.58 has","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', BitNet b1.58 constrains each model parameter to a small discrete alphabet rather than full-precision values, so each weight in BitNet b1.58 has three distinct states",Mathematical Understanding: Discrete Representation,"['In this work, we introduce a 1-bit LLM variant, namely BitNet b1.58, in which every single parameter (or weight) of the LLM is ternary {-1, 0, 1}.', 'We have added an additional value of 0 to the original 1-bit BitNet, resulting in 1.58 bits in the binary system.']",How many distinct states does each weight have in BitNet b1.58?,three
 BitLinear,"In the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the reduced compute and memory cost of BitNet b1.58 is primarily enabled by a single architectural replacement:","In the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the reduced compute and memory cost of BitNet b1.58 is primarily enabled by a single architectural replacement: BitLinear",Conceptual Synthesis - Core Insight,"['\\text{BitNet b1.58} is based on the BitNet architecture, which is a Transformer that replaces \\emph{nn.Linear} with \\emph{BitLinear}.', 'It is trained from scratch, with 1.58-bit weights and 8-bit activations.']",Which single architectural replacement primarily enables BitNet b1.58's reduced compute and memory cost?,BitLinear
 memory and communication,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', 1.58-bit quantization primarily reduces two deployment overheads for Mixture-of-Experts:","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', 1.58-bit quantization primarily reduces two deployment overheads for Mixture-of-Experts: memory and communication",Conceptual Synthesis - Application,"['Firstly, the reduced memory footprint reduces the number of devices required to deploy MoE models.', 'Moreover, it significantly reduces the overhead of transferring activations across networks.']",Which two deployment overheads for Mixture-of-Experts does 1.58-bit quantization primarily reduce?,memory and communication
" clamped to $[-1, 1]$","In the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the RoundClip operation is defined to bound quantized values to a fixed interval and thus enforces that quantized values are","In the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the RoundClip operation is defined to bound quantized values to a fixed interval and thus enforces that quantized values are clamped to $[-1, 1]$",Mathematical Understanding - Equation Interpretation,"['\\mathrm{RoundClip}(x, a, b) = \\max(a, \\min(b, \\mathrm{round}(x))),']",What constraint does the RoundClip operation enforce on quantized values?,"clamped to [-1,1]"
 amplitude normalization,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the absmean quantization step scales the weight matrix by its average absolute value, i.e., $\gamma = \frac{1}{nm}\sum_{ij} |W_{ij}|$, and then rounds each value to $\{-1,0,1\}$; this scaling before discretization is most analogous to the amplitude normalization operation in signal processing:","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the absmean quantization step scales the weight matrix by its average absolute value, i.e., $\gamma = \frac{1}{nm}\sum_{ij} |W_{ij}|$, and then rounds each value to $\{-1,0,1\}$; this scaling before discretization is most analogous to the amplitude normalization operation in signal processing: amplitude normalization",Analogous Understanding - Intuitive Analogy,"['It first scales the weight matrix by its average absolute value, and then round each value to the nearest integer among \\{-1, 0, +1\\}:']",The absmean step (scaling by average absolute value before discretization) is most analogous to which operation in signal processing?,amplitude normalization
 increase,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in $1.58$ Bits', if embeddings were quantized to the same $1.58$-bit scheme instead of remaining full precision (e.g., $\text{FP16}$), BitNet's memory advantage over $\text{FP16}$ LLaMA would most likely","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in $1.58$ Bits', if embeddings were quantized to the same $1.58$-bit scheme instead of remaining full precision (e.g., $\text{FP16}$), BitNet's memory advantage over $\text{FP16}$ LLaMA would most likely increase",Counterfactual Scenarios - Predicting Hypotheticals,"['The memory consumption follows a similar trend, as the embedding remains full precision and its memory proportion is smaller for larger models.']","If embeddings were quantized to the same 1.58-bit scheme instead of remaining full precision, how would BitNet's memory advantage over FP16 LLaMA most likely change?",increase
 same pretraining data,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the experimental practice reported to ensure a fair comparison between BitNet b1.58 and the FP16 LLaMA baseline is using the","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the experimental practice reported to ensure a fair comparison between BitNet b1.58 and the FP16 LLaMA baseline is using the same pretraining data",Implicit Assumptions - Experimental Validity,"['To ensure a fair comparison, we pre-trained the models on the RedPajama dataset for 100 billion tokens.']",Which experimental practice reported in the paper is intended to ensure a fair comparison between BitNet b1.58 and the FP16 LLaMA baseline?,same pretraining data
 other parameters grow,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', as model size increases, the embedding's share of total memory shrinks because","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', as model size increases, the embedding's share of total memory shrinks because other parameters grow",Implicit Assumptions - Causal Mechanism,"['The memory consumption follows a similar trend, as the embedding remains full precision and its memory proportion is smaller for larger models.']",Why does the embedding's share of total memory shrink as model size increases?,other parameters grow
 2 times,"In the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', if activation precision per token is halved from $16$-bit to $8$-bit and memory is the bottleneck, context length can increase by a factor of","In the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', if activation precision per token is halved from $16$-bit to $8$-bit and memory is the bottleneck, context length can increase by a factor of 2 times",Counterfactual Scenarios - Predicting Hypotheticals,"['it reduces the activations from 16 bits to 8 bits, allowing the context length to be doubled given the same resources.']","If activation precision per token is halved from 16-bit to 8-bit and memory is the bottleneck, by what factor can context length increase?",2x
 similar activation distribution,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the implicit assumption about token activations that justifies the claim that per-token scaling to $[-Q_b, Q_b]$ causes negligible performance change is that token activations follow a","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the implicit assumption about token activations that justifies the claim that per-token scaling to $[-Q_b, Q_b]$ causes negligible performance change is that token activations follow a similar activation distribution",Implicit Assumptions - Distributional Assumption,"['The quantization function for activations follows the same implementation in BitNet, except that we do not scale the activations before the non-linear functions to the range $[0, Q_b]$. Instead, the activations are all scaled to $[-Q_b, Q_b]$ per token to get rid of the zero-point quantization.', 'This is more convenient and simple for both implementation and system-level optimization, while introduces negligible effects to the performance in our experiments.']","What implicit assumption about token activations justifies the claim that per-token scaling to [-Q_b, Q_b] causes negligible performance change?",similar activation distribution
 prevents division by zero,"In the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', adding $\epsilon$ to the denominator in the quantization formula $\widetilde{W} = \mathrm{RoundClip}\left(\frac{W}{\gamma + \epsilon}, -1, 1\right)$ serves a practical purpose: it","In the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', adding $\epsilon$ to the denominator in the quantization formula $\widetilde{W} = \mathrm{RoundClip}\left(\frac{W}{\gamma + \epsilon}, -1, 1\right)$ serves a practical purpose: it prevents division by zero",Mathematical Understanding - Equation Interpretation,"['\\widetilde{W} = \\mathrm{RoundClip}(\\frac{W}{\\gamma + \\epsilon}, -1, 1),']",What practical purpose does adding epsilon to the denominator serve in the quantization formula?,prevent divide by zero
 mapped to zero,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', after applying the scale, rounding, and clipping pipeline, small-magnitude weights near $0$ are most likely","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', after applying the scale, rounding, and clipping pipeline, small-magnitude weights near $0$ are most likely mapped to zero",Mathematical Understanding - Equation Interpretation,"['\\widetilde{W} = \\mathrm{RoundClip}(\\frac{W}{\\gamma + \\epsilon}, -1, 1),', '\\mathrm{RoundClip}(x, a, b) = \\max(a, \\min(b, \\mathrm{round}(x))).']","What is the most likely outcome for small-magnitude weights near zero after applying the scale, rounding, and clipping pipeline?",mapped to zero
 the dominance of nn.Linear layers,"According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the dominant factor explaining why BitNet's relative inference speed-up improves with larger model sizes is","According to the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the dominant factor explaining why BitNet's relative inference speed-up improves with larger model sizes is the dominance of nn.Linear layers",Causal Mechanism,"['Figure shows that the speed-up increases as the model size scales.', 'This is because the time cost for \\emph{nn.Linear} grows with the model size.']",What dominant factor explains why BitNet's relative inference speed-up improves with larger model sizes?,nn.Linear dominance
 fewer $\mathrm{FP16}$ multiplications,"In the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the specific reduction in arithmetic operations that most directly drives the large matrix-multiplication energy savings is","In the paper 'The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits', the specific reduction in arithmetic operations that most directly drives the large matrix-multiplication energy savings is fewer $\mathrm{FP16}$ multiplications",Causal Mechanism,"['The majority of \\text{BitNet b1.58} is INT8 addition calculation, while \\text{LLaMA LLM} consists of both FP16 addition and FP16 multiplication.', 'According to the energy model ... \\text{BitNet b1.58} saves 71.4 times arithmetic operations energy consumption for matrix multiplication on 7nm chips.']",Which specific reduction in arithmetic operations most directly drives the large matrix-multiplication energy savings?,fewer FP16 mults
