doc,row_1based,status,current_target,rubric_target,current_probe,rubric_probe,current_fact,rubric_fact
1_58,46,content_diff,the zero-point quantization.,the zero-point quantization.,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the activation quantization scheme where activations are scaled to $[-Q_b, Q_b]$ per token, what is removed is","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", scaling activations to $[-Q_b, Q_b]$ per token gets rid of","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the activation quantization scheme where activations are scaled to $[-Q_b, Q_b]$ per token, what is removed is the zero-point quantization.","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", scaling activations to $[-Q_b, Q_b]$ per token gets rid of the zero-point quantization."
1_58,47,content_diff,negligible effects.,negligible effects.,"In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"" scaling activations to $[-Q_b, Q_b]$ per token to eliminate zero-point quantization instead of scaling them to $[0, Q_b]$ before the non-linear functions had","In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", scaling activations to $[-Q_b, Q_b]$ per token to eliminate zero-point quantization instead of scaling them to $[0, Q_b]$ before the non-linear functions had","In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"" scaling activations to $[-Q_b, Q_b]$ per token to eliminate zero-point quantization instead of scaling them to $[0, Q_b]$ before the non-linear functions had negligible effects.","In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", scaling activations to $[-Q_b, Q_b]$ per token to eliminate zero-point quantization instead of scaling them to $[0, Q_b]$ before the non-linear functions had negligible effects."
1_58,50,content_diff,the LLaMA-alike components,the LLaMA-alike components,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the design of BitNet b1.58 adopts the kind of components that embrace the open-source community:","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", to embrace the open-source community, the design of BitNet b1.58 adopts","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the design of BitNet b1.58 adopts the kind of components that embrace the open-source community: the LLaMA-alike components","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", to embrace the open-source community, the design of BitNet b1.58 adopts the LLaMA-alike components"
1_58,59,content_diff,zero-shot performance.,zero-shot performance.,"In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"" the authors evaluated BitNet b1.58 and their reproduced FP16 LLaMA LLM on tasks such as ARC-Easy, ARC-Challenge, Hellaswag, Winogrande, PIQA, OpenbookQA, and BoolQ for","In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the authors evaluated BitNet b1.58 and their reproduced FP16 LLaMA LLM on tasks such as ARC-Easy, ARC-Challenge, Hellaswag, Winogrande, PIQA, OpenbookQA, and BoolQ for","In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"" the authors evaluated BitNet b1.58 and their reproduced FP16 LLaMA LLM on tasks such as ARC-Easy, ARC-Challenge, Hellaswag, Winogrande, PIQA, OpenbookQA, and BoolQ for zero-shot performance.","In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the authors evaluated BitNet b1.58 and their reproduced FP16 LLaMA LLM on tasks such as ARC-Easy, ARC-Challenge, Hellaswag, Winogrande, PIQA, OpenbookQA, and BoolQ for zero-shot performance."
1_58,63,content_diff,C4.,C4.,"In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"" the dataset reported alongside WikiText2 when evaluating validation perplexity is","In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the dataset reported alongside WikiText2 when evaluating validation perplexity is","In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"" the dataset reported alongside WikiText2 when evaluating validation perplexity is C4.","In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the dataset reported alongside WikiText2 when evaluating validation perplexity is C4."
1_58,66,content_diff,LLM inference latency.,LLM inference latency.,"According to the paper *""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits""*, the authors state that the FasterTransformer codebase is well-optimized on GPU devices for","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the authors state that the FasterTransformer codebase is well-optimized on GPU devices for","According to the paper *""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits""*, the authors state that the FasterTransformer codebase is well-optimized on GPU devices for LLM inference latency.","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the authors state that the FasterTransformer codebase is well-optimized on GPU devices for LLM inference latency."
1_58,69,content_diff,3.55 times less GPU memory,3.55 times less GPU memory,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the perplexity and cost comparison between \text{BitNet b1.58} and full-precision \text{LLaMA LLM} on GPU devices, when \text{BitNet b1.58} starts to match \text{LLaMA LLM} at the 3B model size in perplexity, it uses","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the perplexity and cost comparison between \text{BitNet b1.58} and full-precision \text{LLaMA LLM} on GPU devices, when \text{BitNet b1.58} starts to match \text{LLaMA LLM} at the 3B model size in perplexity, it uses","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the perplexity and cost comparison between \text{BitNet b1.58} and full-precision \text{LLaMA LLM} on GPU devices, when \text{BitNet b1.58} starts to match \text{LLaMA LLM} at the 3B model size in perplexity, it uses 3.55 times less GPU memory","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the perplexity and cost comparison between \text{BitNet b1.58} and full-precision \text{LLaMA LLM} on GPU devices, when \text{BitNet b1.58} starts to match \text{LLaMA LLM} at the 3B model size in perplexity, it uses 3.55 times less GPU memory."
1_58,70,content_diff,2.4 times faster.,2.4 times faster.,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in Table~\ref{tab:ppl} of the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the comparison shows that \text{BitNet b1.58} with a 3.9B model size is, relative to \text{LLaMA LLM} 3B,","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", Table~\ref{tab:ppl} shows that \text{BitNet b1.58} with a 3.9B model size is, relative to \text{LLaMA LLM} 3B,","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in Table~\ref{tab:ppl} of the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the comparison shows that \text{BitNet b1.58} with a 3.9B model size is, relative to \text{LLaMA LLM} 3B, 2.4 times faster.","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", Table~\ref{tab:ppl} shows that \text{BitNet b1.58} with a 3.9B model size is, relative to \text{LLaMA LLM} 3B, 2.4 times faster."
1_58,71,content_diff,3.32 times less memory,3.32 times less memory,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the comparison of inference cost and perplexity, the reduction in GPU memory consumption of \text{BitNet b1.58} with a 3.9B model size relative to \text{LLaMA LLM} 3B is","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the comparison of inference cost and perplexity, \text{BitNet b1.58} with a 3.9B model size consumes","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the comparison of inference cost and perplexity, the reduction in GPU memory consumption of \text{BitNet b1.58} with a 3.9B model size relative to \text{LLaMA LLM} 3B is 3.32 times less memory","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the comparison of inference cost and perplexity, \text{BitNet b1.58} with a 3.9B model size consumes 3.32 times less memory"
1_58,73,content_diff,\emph{lm-evaluation-harness},\emph{lm-evaluation-harness},"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the authors followed the evaluation pipeline to perform the zero-shot accuracy evaluation on the end tasks reported in Table~\ref{tab:zero-shot}:","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the authors followed the evaluation pipeline used to perform the zero-shot accuracy evaluation on the end tasks reported in Table~\ref{tab:zero-shot}, namely","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the authors followed the evaluation pipeline to perform the zero-shot accuracy evaluation on the end tasks reported in Table~\ref{tab:zero-shot}: \emph{lm-evaluation-harness}","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the authors followed the evaluation pipeline used to perform the zero-shot accuracy evaluation on the end tasks reported in Table~\ref{tab:zero-shot}, namely \emph{lm-evaluation-harness}."
1_58,75,content_diff,narrows,narrows,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the performance gap between \text{BitNet b1.58} and \text{LLaMA LLM} as the model size increases","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", as the model size increases, the performance gap between \text{BitNet b1.58} and \text{LLaMA LLM}","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the performance gap between \text{BitNet b1.58} and \text{LLaMA LLM} as the model size increases narrows","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", as the model size increases, the performance gap between \text{BitNet b1.58} and \text{LLaMA LLM} narrows"
1_58,80,content_diff,4.1 times,4.1 times,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the memory and latency evaluation after scaling model size to 70B, \text{BitNet b1.58} 70B is faster than the \text{LLaMA LLM} baseline by:","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the memory and latency evaluation after scaling model size to 70B, \text{BitNet b1.58} 70B is faster than the \text{LLaMA LLM} baseline by","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the memory and latency evaluation after scaling model size to 70B, \text{BitNet b1.58} 70B is faster than the \text{LLaMA LLM} baseline by 4.1 times.","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the memory and latency evaluation after scaling model size to 70B, \text{BitNet b1.58} 70B is faster than the \text{LLaMA LLM} baseline by 4.1 times."
1_58,89,content_diff,71.4 times,71.4 times,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", according to the energy model in~\cite{energycost, pokebnn}, \text{BitNet b1.58} saves a factor of arithmetic operations energy consumption for matrix multiplication on 7nm chips of","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", under the energy model in~\cite{energycost, pokebnn}, \text{BitNet b1.58} saves arithmetic operations energy consumption for matrix multiplication on 7nm chips by","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", according to the energy model in~\cite{energycost, pokebnn}, \text{BitNet b1.58} saves a factor of arithmetic operations energy consumption for matrix multiplication on 7nm chips of 71.4 times","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", under the energy model in~\cite{energycost, pokebnn}, \text{BitNet b1.58} saves arithmetic operations energy consumption for matrix multiplication on 7nm chips by 71.4 times"
1_58,90,content_diff,7nm chips.,7nm chips.,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", according to the cited energy model in the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the process node used to evaluate the 71.4-times arithmetic-operations energy saving for matrix multiplication of \text{BitNet b1.58} is","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", under the cited energy model, the process node used to evaluate the 71.4-times arithmetic-operations energy saving for matrix multiplication of \text{BitNet b1.58} is","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", according to the cited energy model in the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the process node used to evaluate the 71.4-times arithmetic-operations energy saving for matrix multiplication of \text{BitNet b1.58} is 7nm chips.","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", under the cited energy model, the process node used to evaluate the 71.4-times arithmetic-operations energy saving for matrix multiplication of \text{BitNet b1.58} is 7nm chips."
1_58,94,content_diff,other components.,the cost from other components,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the energy-consumption comparison between BitNet b1.58 and the FP16 LLaMA LLM baseline, the quantity that becomes smaller for larger models as the percentage of \emph{nn.Linear} grows with model size is","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the energy-consumption comparison between BitNet b1.58 and the FP16 LLaMA LLM baseline, the quantity that is smaller for larger models as the percentage of \emph{nn.Linear} grows with model size is","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the energy-consumption comparison between BitNet b1.58 and the FP16 LLaMA LLM baseline, the quantity that becomes smaller for larger models as the percentage of \emph{nn.Linear} grows with model size is other components.","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the energy-consumption comparison between BitNet b1.58 and the FP16 LLaMA LLM baseline, the quantity that is smaller for larger models as the percentage of \emph{nn.Linear} grows with model size is the cost from other components."
1_58,95,content_diff,two 80GB A100 cards.,two 80GB A100 cards.,"In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"" the throughput comparison between \text{BitNet b1.58} and \text{LLaMA LLM} with 70B parameters, using pipeline parallelism so that \text{LLaMA LLM} 70B could run on the devices, was conducted on","In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the throughput comparison between \text{BitNet b1.58} and \text{LLaMA LLM} with 70B parameters, using pipeline parallelism so that \text{LLaMA LLM} 70B could run on the devices, was conducted on","In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"" the throughput comparison between \text{BitNet b1.58} and \text{LLaMA LLM} with 70B parameters, using pipeline parallelism so that \text{LLaMA LLM} 70B could run on the devices, was conducted on two 80GB A100 cards.","In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the throughput comparison between \text{BitNet b1.58} and \text{LLaMA LLM} with 70B parameters, using pipeline parallelism so that \text{LLaMA LLM} 70B could run on the devices, was conducted on two 80GB A100 cards."
1_58,98,content_diff,512.,512.,"According to the paper *""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits""*, in the throughput comparison between BitNet b1.58 and LLaMA LLM 70B on two 80GB A100 cards using pipeline parallelism, the sequence length used when the batch size was increased until the GPU memory limit was reached was","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the throughput comparison between BitNet b1.58 and LLaMA LLM 70B on two 80GB A100 cards using pipeline parallelism, the sequence length used when the batch size was increased until the GPU memory limit was reached was","According to the paper *""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits""*, in the throughput comparison between BitNet b1.58 and LLaMA LLM 70B on two 80GB A100 cards using pipeline parallelism, the sequence length used when the batch size was increased until the GPU memory limit was reached was 512.","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the throughput comparison between BitNet b1.58 and LLaMA LLM 70B on two 80GB A100 cards using pipeline parallelism, the sequence length used when the batch size was increased until the GPU memory limit was reached was 512."
1_58,110,content_diff,ARC-easy.,ARC-easy.,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the benchmark used to evaluate the two models in the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the dataset listed last after Winogrande, PIQA, SciQ, and LAMBADA was","In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the benchmark used to evaluate the two models listed Winogrande, PIQA, SciQ, and LAMBADA before","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", in the benchmark used to evaluate the two models in the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the dataset listed last after Winogrande, PIQA, SciQ, and LAMBADA was ARC-easy.","In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the benchmark used to evaluate the two models listed Winogrande, PIQA, SciQ, and LAMBADA before ARC-easy."
1_58,121,content_diff,the context length.,the context length.,"In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"" when BitNet b1.58 reduces activations from 16 bits to 8 bits to support long sequences, what can be doubled given the same resources is","In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", when BitNet b1.58 reduces activations from 16 bits to 8 bits to support long sequences, the element that can be doubled given the same resources is","In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"" when BitNet b1.58 reduces activations from 16 bits to 8 bits to support long sequences, what can be doubled given the same resources is the context length.","In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", when BitNet b1.58 reduces activations from 16 bits to 8 bits to support long sequences, the element that can be doubled given the same resources is the context length."
1_58,123,content_diff,future work.,future work.,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the authors say that further losslessly compressing 1.58-bit LLMs to 4 bits or even lower is left as","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the authors leave further lossless compression of the activations to 4 bits or even lower for 1.58-bit LLMs as","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the authors say that further losslessly compressing 1.58-bit LLMs to 4 bits or even lower is left as future work.","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the authors leave further lossless compression of the activations to 4 bits or even lower for 1.58-bit LLMs as future work."
1_58,125,content_diff,memory and computational power,memory and computational power,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", edge and mobile devices are often limited by two resource constraints, which can restrict the performance and scale of large language models:","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the two resource constraints that often limit edge and mobile devices and can restrict the performance and scale of large language models are","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", edge and mobile devices are often limited by two resource constraints, which can restrict the performance and scale of large language models: memory and computational power","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the two resource constraints that often limit edge and mobile devices and can restrict the performance and scale of large language models are memory and computational power"
1_58,127,content_diff,a wide range of applications.,a wide range of applications.,"According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the reduced memory and energy consumption of 1.58-bit LLMs enable on edge and mobile devices","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", by allowing deployment on edge and mobile devices, the reduced memory and energy consumption of 1.58-bit LLMs can enable","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the reduced memory and energy consumption of 1.58-bit LLMs enable on edge and mobile devices a wide range of applications.","According to the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", by allowing deployment on edge and mobile devices, the reduced memory and energy consumption of 1.58-bit LLMs can enable a wide range of applications."
1_58,130,content_diff,\text{BitNet b1.58}.,\text{BitNet b1.58}.,"In the paper **""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits""**, the model described as being efficiently executable on CPU devices used in edge and mobile devices, thereby further improving their performance and capabilities, is","In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the model described as being efficiently executable on CPU devices used in edge and mobile devices, thereby further improving their performance and capabilities, is","In the paper **""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits""**, the model described as being efficiently executable on CPU devices used in edge and mobile devices, thereby further improving their performance and capabilities, is \text{BitNet b1.58}.","In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the model described as being efficiently executable on CPU devices used in edge and mobile devices, thereby further improving their performance and capabilities, is \text{BitNet b1.58}."
1_58,135,content_diff,\text{LLaMA LLM}.,\text{LLaMA LLM}.,"In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"" the authors estimate the arithmetic operations energy consumption of both \text{BitNet b1.58} and","In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the authors estimate the arithmetic operations energy consumption of both \text{BitNet b1.58} and","In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,"" the authors estimate the arithmetic operations energy consumption of both \text{BitNet b1.58} and \text{LLaMA LLM}.","In the paper ""The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits"", the authors estimate the arithmetic operations energy consumption of both \text{BitNet b1.58} and \text{LLaMA LLM}."
