row_1based,decision,issue_type,reason,old_target,new_target,old_probe,new_probe,old_fact,new_fact
11,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", no murmurs., no murmurs.,"According to the case report ""Pancreatopleural fistula in childhood"", the boy presented with recurrent right-sided pleural effusions, chest pain, and respiratory distress, and on examination his cardiovascular system showed tachycardia but","According to the case report ""Pancreatopleural fistula in childhood"", the boy presented with recurrent right-sided pleural effusions, chest pain, and respiratory distress, and on examination his cardiovascular system showed tachycardia but","According to the case report ""Pancreatopleural fistula in childhood"", the boy presented with recurrent right-sided pleural effusions, chest pain, and respiratory distress, and on examination his cardiovascular system showed tachycardia but no murmurs.","According to the case report ""Pancreatopleural fistula in childhood"", the boy presented with recurrent right-sided pleural effusions, chest pain, and respiratory distress, and on examination his cardiovascular system showed tachycardia but no murmurs."
12,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", 5 l/min., 5 l/min.,"According to the case report ""Pancreatopleural fistula in childhood"", a child with tachypnoea and respiratory distress was shifted to the Pediatric Intensive Care Unit and started on oxygen by mask at a flow rate of","According to the case report ""Pancreatopleural fistula in childhood"", a child with tachypnoea and respiratory distress was shifted to the Pediatric Intensive Care Unit and started on oxygen by mask at a flow rate of","According to the case report ""Pancreatopleural fistula in childhood"", a child with tachypnoea and respiratory distress was shifted to the Pediatric Intensive Care Unit and started on oxygen by mask at a flow rate of 5 l/min.","According to the case report ""Pancreatopleural fistula in childhood"", a child with tachypnoea and respiratory distress was shifted to the Pediatric Intensive Care Unit and started on oxygen by mask at a flow rate of 5 l/min."
13,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", right-sided pleural effusion., right-sided pleural effusion.,"In the case report ""Pancreatopleural fistula in childhood,"" during the initial workup for respiratory distress in a boy who presented with 1 week of progressive dyspnea and right-sided chest pain, the chest X-ray revealed","In the case report ""Pancreatopleural fistula in childhood,"" during the initial workup for respiratory distress in a boy who presented with 1 week of progressive dyspnea and right-sided chest pain, the chest X-ray revealed","In the case report ""Pancreatopleural fistula in childhood,"" during the initial workup for respiratory distress in a boy who presented with 1 week of progressive dyspnea and right-sided chest pain, the chest X-ray revealed right-sided pleural effusion.","In the case report ""Pancreatopleural fistula in childhood,"" during the initial workup for respiratory distress in a boy who presented with 1 week of progressive dyspnea and right-sided chest pain, the chest X-ray revealed right-sided pleural effusion."
14,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", pleural effusion., pleural effusion.,"According to the case report ""Pancreatopleural fistula in childhood"", during the evaluation of a boy in late childhood who presented with progressive difficulty breathing and right-sided chest pain, bedside lung ultrasound revealed","According to the case report ""Pancreatopleural fistula in childhood"", during the evaluation of a boy in late childhood who presented with progressive difficulty breathing and right-sided chest pain, bedside lung ultrasound revealed","According to the case report ""Pancreatopleural fistula in childhood"", during the evaluation of a boy in late childhood who presented with progressive difficulty breathing and right-sided chest pain, bedside lung ultrasound revealed pleural effusion.","According to the case report ""Pancreatopleural fistula in childhood"", during the evaluation of a boy in late childhood who presented with progressive difficulty breathing and right-sided chest pain, bedside lung ultrasound revealed pleural effusion."
15,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", difficulty in breathing., difficulty in breathing.,"In the case report ""Pancreatopleural fistula in childhood"", a boy with recurrent right-sided pleural effusions was admitted for the third time after 5 days because of similar symptoms, and his right-sided chest pain was accompanied by","In the case report ""Pancreatopleural fistula in childhood"", a boy with recurrent right-sided pleural effusions was admitted for the third time after 5 days because of similar symptoms, and his right-sided chest pain was accompanied by","In the case report ""Pancreatopleural fistula in childhood"", a boy with recurrent right-sided pleural effusions was admitted for the third time after 5 days because of similar symptoms, and his right-sided chest pain was accompanied by difficulty in breathing.","In the case report ""Pancreatopleural fistula in childhood"", a boy with recurrent right-sided pleural effusions was admitted for the third time after 5 days because of similar symptoms, and his right-sided chest pain was accompanied by difficulty in breathing."
16,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", an intercostal drainage (ICD)., an intercostal drainage (ICD).,"According to the case report ""Pancreatopleural fistula in childhood"", when the child had recurrent right-sided pleural effusions, a contrast-enhanced CT of the chest was obtained before","According to the case report ""Pancreatopleural fistula in childhood"", when the child had recurrent right-sided pleural effusions, a contrast-enhanced CT of the chest was obtained before","According to the case report ""Pancreatopleural fistula in childhood"", when the child had recurrent right-sided pleural effusions, a contrast-enhanced CT of the chest was obtained before an intercostal drainage (ICD).","According to the case report ""Pancreatopleural fistula in childhood"", when the child had recurrent right-sided pleural effusions, a contrast-enhanced CT of the chest was obtained before an intercostal drainage (ICD)."
17,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", abdominal trauma., abdominal trauma.,"According to the case report ""Pancreatopleural fistula in childhood,"" a boy with recurrent dark red pleural effusions had CT findings that pointed toward a pancreatopleural fistula, and the relevant history obtained from the child that supported that diagnosis was","According to the case report ""Pancreatopleural fistula in childhood,"" a boy with recurrent dark red pleural effusions had CT findings that pointed toward a pancreatopleural fistula, and the relevant history obtained from the child that supported that diagnosis was","According to the case report ""Pancreatopleural fistula in childhood,"" a boy with recurrent dark red pleural effusions had CT findings that pointed toward a pancreatopleural fistula, and the relevant history obtained from the child that supported that diagnosis was abdominal trauma.","According to the case report ""Pancreatopleural fistula in childhood,"" a boy with recurrent dark red pleural effusions had CT findings that pointed toward a pancreatopleural fistula, and the relevant history obtained from the child that supported that diagnosis was abdominal trauma."
18,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", MRCP., MRCP.,"In the case report ""Pancreatopleural fistula in childhood"", after CT findings and dark red pleural fluid raised suspicion for a pancreatopleural fistula, the imaging modality planned on the same day to further evaluate the condition was","In the case report ""Pancreatopleural fistula in childhood"", after CT findings and dark red pleural fluid raised suspicion for a pancreatopleural fistula, the imaging modality planned on the same day to further evaluate the condition was","In the case report ""Pancreatopleural fistula in childhood"", after CT findings and dark red pleural fluid raised suspicion for a pancreatopleural fistula, the imaging modality planned on the same day to further evaluate the condition was MRCP.","In the case report ""Pancreatopleural fistula in childhood"", after CT findings and dark red pleural fluid raised suspicion for a pancreatopleural fistula, the imaging modality planned on the same day to further evaluate the condition was MRCP."
19,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", total parenteral nutrition., total parenteral nutrition.,"According to the case report ""Pancreatopleural fistula in childhood,"" after antitubercular drugs were stopped in the child who had recurrent dark red pleural effusions and was being managed for pancreatopleural fistula, the child was started on","According to the case report ""Pancreatopleural fistula in childhood,"" after antitubercular drugs were stopped in the child who had recurrent dark red pleural effusions and was being managed for pancreatopleural fistula, the child was started on","According to the case report ""Pancreatopleural fistula in childhood,"" after antitubercular drugs were stopped in the child who had recurrent dark red pleural effusions and was being managed for pancreatopleural fistula, the child was started on total parenteral nutrition.","According to the case report ""Pancreatopleural fistula in childhood,"" after antitubercular drugs were stopped in the child who had recurrent dark red pleural effusions and was being managed for pancreatopleural fistula, the child was started on total parenteral nutrition."
20,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", empyema., empyema.,"According to the case report ""Pancreatopleural fistula in childhood"", the child with recurrent right-sided pleural effusions and chest pain had no fever and no neutrophilic exudate in the pleural fluid, which ruled out the diagnosis of","According to the case report ""Pancreatopleural fistula in childhood"", the child with recurrent right-sided pleural effusions and chest pain had no fever and no neutrophilic exudate in the pleural fluid, which ruled out the diagnosis of","According to the case report ""Pancreatopleural fistula in childhood"", the child with recurrent right-sided pleural effusions and chest pain had no fever and no neutrophilic exudate in the pleural fluid, which ruled out the diagnosis of empyema.","According to the case report ""Pancreatopleural fistula in childhood"", the child with recurrent right-sided pleural effusions and chest pain had no fever and no neutrophilic exudate in the pleural fluid, which ruled out the diagnosis of empyema."
21,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", amylase-rich pleural fluid., amylase-rich pleural fluid.,"According to the case report ""Pancreatopleural fistula in childhood"", in the differential diagnosis of this child with recurrent pleural effusions and chest pain, malignancy (including lung, leukaemia, lymphoma, or metastatic tumours) was noted to sometimes present with","According to the case report ""Pancreatopleural fistula in childhood"", in the differential diagnosis of this child with recurrent pleural effusions and chest pain, malignancy (including lung, leukaemia, lymphoma, or metastatic tumours) was noted to sometimes present with","According to the case report ""Pancreatopleural fistula in childhood"", in the differential diagnosis of this child with recurrent pleural effusions and chest pain, malignancy (including lung, leukaemia, lymphoma, or metastatic tumours) was noted to sometimes present with amylase-rich pleural fluid.","According to the case report ""Pancreatopleural fistula in childhood"", in the differential diagnosis of this child with recurrent pleural effusions and chest pain, malignancy (including lung, leukaemia, lymphoma, or metastatic tumours) was noted to sometimes present with amylase-rich pleural fluid."
22,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", chest pain or vomiting, chest pain or vomiting,"According to the case report ""Pancreatopleural fistula in childhood"", Boerhaave’s syndrome (oesophageal perforation) was considered in a child with recurrent pleural effusion and amylase-rich pleural fluid, but the child did not have","According to the case report ""Pancreatopleural fistula in childhood"", Boerhaave’s syndrome (oesophageal perforation) was considered in a child with recurrent pleural effusion and amylase-rich pleural fluid, but the child did not have","According to the case report ""Pancreatopleural fistula in childhood"", Boerhaave’s syndrome (oesophageal perforation) was considered in a child with recurrent pleural effusion and amylase-rich pleural fluid, but the child did not have chest pain or vomiting","According to the case report ""Pancreatopleural fistula in childhood"", Boerhaave’s syndrome (oesophageal perforation) was considered in a child with recurrent pleural effusion and amylase-rich pleural fluid, but the child did not have chest pain or vomiting"
23,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", MRCP., MRCP.,"According to the case report ""Pancreatopleural fistula in childhood"", the child was initially started on empiric antitubercular drugs, which were stopped once the diagnosis was confirmed by a later study,","According to the case report ""Pancreatopleural fistula in childhood"", the child was initially started on empiric antitubercular drugs, which were stopped once the diagnosis was confirmed by a later study,","According to the case report ""Pancreatopleural fistula in childhood"", the child was initially started on empiric antitubercular drugs, which were stopped once the diagnosis was confirmed by a later study, MRCP.","According to the case report ""Pancreatopleural fistula in childhood"", the child was initially started on empiric antitubercular drugs, which were stopped once the diagnosis was confirmed by a later study, MRCP."
24,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", stopped, stopped,"According to the case report ""Pancreatopleural fistula in childhood"", after the child was managed conservatively and monitored for 10 days with an intercostal drainage (ICD) tube in place, the fluid output from the ICD finally","According to the case report ""Pancreatopleural fistula in childhood"", after the child was managed conservatively and monitored for 10 days with an intercostal drainage (ICD) tube in place, the fluid output from the ICD finally","According to the case report ""Pancreatopleural fistula in childhood"", after the child was managed conservatively and monitored for 10 days with an intercostal drainage (ICD) tube in place, the fluid output from the ICD finally stopped","According to the case report ""Pancreatopleural fistula in childhood"", after the child was managed conservatively and monitored for 10 days with an intercostal drainage (ICD) tube in place, the fluid output from the ICD finally stopped"
25,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", paediatric population., paediatric population.,"According to the case report ""Pancreatopleural fistula in childhood"", pancreatopleural fistula (PPF) is described as an extremely rare and infrequent complication of pancreatic disease in the","According to the case report ""Pancreatopleural fistula in childhood"", pancreatopleural fistula (PPF) is described as an extremely rare and infrequent complication of pancreatic disease in the","According to the case report ""Pancreatopleural fistula in childhood"", pancreatopleural fistula (PPF) is described as an extremely rare and infrequent complication of pancreatic disease in the paediatric population.","According to the case report ""Pancreatopleural fistula in childhood"", pancreatopleural fistula (PPF) is described as an extremely rare and infrequent complication of pancreatic disease in the paediatric population."
26,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", probable under-recognised genetic or ductal variants., probable under-recognised genetic or ductal variants.,"According to the case report ""Pancreatopleural fistula in childhood"", the discussion notes that idiopathic cases continue to appear and may be due to","According to the case report ""Pancreatopleural fistula in childhood"", the discussion notes that idiopathic cases continue to appear and may be due to","According to the case report ""Pancreatopleural fistula in childhood"", the discussion notes that idiopathic cases continue to appear and may be due to probable under-recognised genetic or ductal variants.","According to the case report ""Pancreatopleural fistula in childhood"", the discussion notes that idiopathic cases continue to appear and may be due to probable under-recognised genetic or ductal variants."
27,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", in the abdomen., in the abdomen.,"According to the case report ""Pancreatopleural fistula in childhood"", these cases are often missed because they present with thoracic symptoms and clinicians look for a pulmonary cause. The underlying pathology actually lies","According to the case report ""Pancreatopleural fistula in childhood"", these cases are often missed because they present with thoracic symptoms and clinicians look for a pulmonary cause. The underlying pathology actually lies","According to the case report ""Pancreatopleural fistula in childhood"", these cases are often missed because they present with thoracic symptoms and clinicians look for a pulmonary cause. The underlying pathology actually lies in the abdomen.","According to the case report ""Pancreatopleural fistula in childhood"", these cases are often missed because they present with thoracic symptoms and clinicians look for a pulmonary cause. The underlying pathology actually lies in the abdomen."
28,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", abdominal trauma., abdominal trauma.,"According to the case report ""Pancreatopleural fistula in childhood"", the child’s pleural effusion was thought to have developed progressively after","According to the case report ""Pancreatopleural fistula in childhood"", the child’s pleural effusion was thought to have developed progressively after","According to the case report ""Pancreatopleural fistula in childhood"", the child’s pleural effusion was thought to have developed progressively after abdominal trauma.","According to the case report ""Pancreatopleural fistula in childhood"", the child’s pleural effusion was thought to have developed progressively after abdominal trauma."
29,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", cough or dyspnoea., cough or dyspnoea.,"In the case report ""Pancreatopleural fistula in childhood"", the authors explain that compensatory respiratory function of the unaffected lung let the child gradually adapt after the pleural effusion developed. The typical respiratory symptoms were absent in this patient, namely","In the case report ""Pancreatopleural fistula in childhood"", the authors explain that compensatory respiratory function of the unaffected lung let the child gradually adapt after the pleural effusion developed. The typical respiratory symptoms were absent in this patient, namely","In the case report ""Pancreatopleural fistula in childhood"", the authors explain that compensatory respiratory function of the unaffected lung let the child gradually adapt after the pleural effusion developed. The typical respiratory symptoms were absent in this patient, namely cough or dyspnoea.","In the case report ""Pancreatopleural fistula in childhood"", the authors explain that compensatory respiratory function of the unaffected lung let the child gradually adapt after the pleural effusion developed. The typical respiratory symptoms were absent in this patient, namely cough or dyspnoea."
30,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", the history of abdominal trauma., the history of abdominal trauma.,"According to the case report ""Pancreatopleural fistula in childhood"", the child was later described as having suffered bullying at school and deliberately withheld an important part of the history, which was relevant to the diagnosis, namely","According to the case report ""Pancreatopleural fistula in childhood"", the child was later described as having suffered bullying at school and deliberately withheld an important part of the history, which was relevant to the diagnosis, namely","According to the case report ""Pancreatopleural fistula in childhood"", the child was later described as having suffered bullying at school and deliberately withheld an important part of the history, which was relevant to the diagnosis, namely the history of abdominal trauma.","According to the case report ""Pancreatopleural fistula in childhood"", the child was later described as having suffered bullying at school and deliberately withheld an important part of the history, which was relevant to the diagnosis, namely the history of abdominal trauma."
31,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", right-sided pleural fluid collections., right-sided pleural fluid collections.,"According to the case report ""Pancreatopleural fistula in childhood"", the child had recurrent pulmonary symptoms including chest pain and repeated pleural fluid collections, specifically","According to the case report ""Pancreatopleural fistula in childhood"", the child had recurrent pulmonary symptoms including chest pain and repeated pleural fluid collections, specifically","According to the case report ""Pancreatopleural fistula in childhood"", the child had recurrent pulmonary symptoms including chest pain and repeated pleural fluid collections, specifically right-sided pleural fluid collections.","According to the case report ""Pancreatopleural fistula in childhood"", the child had recurrent pulmonary symptoms including chest pain and repeated pleural fluid collections, specifically right-sided pleural fluid collections."
32,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", relevant imaging, relevant imaging,"According to the case report ""Pancreatopleural fistula in childhood"", this disease entity can present with a “pulmonary mask” and mislead the treating physician toward a completely different diagnosis. In addition to a detailed history, clinicians should obtain","According to the case report ""Pancreatopleural fistula in childhood"", this disease entity can present with a “pulmonary mask” and mislead the treating physician toward a completely different diagnosis. In addition to a detailed history, clinicians should obtain","According to the case report ""Pancreatopleural fistula in childhood"", this disease entity can present with a “pulmonary mask” and mislead the treating physician toward a completely different diagnosis. In addition to a detailed history, clinicians should obtain relevant imaging","According to the case report ""Pancreatopleural fistula in childhood"", this disease entity can present with a “pulmonary mask” and mislead the treating physician toward a completely different diagnosis. In addition to a detailed history, clinicians should obtain relevant imaging"
33,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", external forces or bacterial infection, external forces or bacterial infection,"In the case report ""Pancreatopleural fistula in childhood"", the discussion explains that the source of fluid accumulation in pancreatopleural fistula (PPF) is caused by","In the case report ""Pancreatopleural fistula in childhood"", the discussion explains that the source of fluid accumulation in pancreatopleural fistula (PPF) is caused by","In the case report ""Pancreatopleural fistula in childhood"", the discussion explains that the source of fluid accumulation in pancreatopleural fistula (PPF) is caused by external forces or bacterial infection","In the case report ""Pancreatopleural fistula in childhood"", the discussion explains that the source of fluid accumulation in pancreatopleural fistula (PPF) is caused by external forces or bacterial infection"
34,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", ascites., ascites.,"In the discussion of the case report ""Pancreatopleural fistula in childhood,"" the authors explain that if a rupture occurs in the anterior part of the pancreas, pancreatic fluid can leak into the abdominal cavity, leading to","In the discussion of the case report ""Pancreatopleural fistula in childhood,"" the authors explain that if a rupture occurs in the anterior part of the pancreas, pancreatic fluid can leak into the abdominal cavity, leading to","In the discussion of the case report ""Pancreatopleural fistula in childhood,"" the authors explain that if a rupture occurs in the anterior part of the pancreas, pancreatic fluid can leak into the abdominal cavity, leading to ascites.","In the discussion of the case report ""Pancreatopleural fistula in childhood,"" the authors explain that if a rupture occurs in the anterior part of the pancreas, pancreatic fluid can leak into the abdominal cavity, leading to ascites."
35,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", Japanese literature alone., Japanese literature alone.,"According to the case report ""Pancreatopleural fistula in childhood"", Uchiyama et al conducted a single-country review and documented 113 cases from","According to the case report ""Pancreatopleural fistula in childhood"", Uchiyama et al conducted a single-country review and documented 113 cases from","According to the case report ""Pancreatopleural fistula in childhood"", Uchiyama et al conducted a single-country review and documented 113 cases from Japanese literature alone.","According to the case report ""Pancreatopleural fistula in childhood"", Uchiyama et al conducted a single-country review and documented 113 cases from Japanese literature alone."
36,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", PRSS1 gene., PRSS1 gene.,"In the discussion of the case report ""Pancreatopleural fistula in childhood,"" several genes are well known to cause hereditary pancreatitis in children, and one of the named causes is","In the discussion of the case report ""Pancreatopleural fistula in childhood,"" several genes are well known to cause hereditary pancreatitis in children, and one of the named causes is","In the discussion of the case report ""Pancreatopleural fistula in childhood,"" several genes are well known to cause hereditary pancreatitis in children, and one of the named causes is PRSS1 gene.","In the discussion of the case report ""Pancreatopleural fistula in childhood,"" several genes are well known to cause hereditary pancreatitis in children, and one of the named causes is PRSS1 gene."
37,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", PRSS1 gene., PRSS1 gene.,"According to the case report ""Pancreatopleural fistula in childhood"", when discussing hereditary pancreatitis-related genetic mutations, the authors note that the most representative mutations are R122H in exon 3 and N291 in exon 2, and these mutations are found in the","According to the case report ""Pancreatopleural fistula in childhood"", when discussing hereditary pancreatitis-related genetic mutations, the authors note that the most representative mutations are R122H in exon 3 and N291 in exon 2, and these mutations are found in the","According to the case report ""Pancreatopleural fistula in childhood"", when discussing hereditary pancreatitis-related genetic mutations, the authors note that the most representative mutations are R122H in exon 3 and N291 in exon 2, and these mutations are found in the PRSS1 gene.","According to the case report ""Pancreatopleural fistula in childhood"", when discussing hereditary pancreatitis-related genetic mutations, the authors note that the most representative mutations are R122H in exon 3 and N291 in exon 2, and these mutations are found in the PRSS1 gene."
