,pub_date
591cb4d880dbebcc934623738f0a6f4e92fdc40f,2021-05-09
45f170d2e6378f2b1fe7a4ad657fb24974c5ef73,2021-01-07
ac640fae72fca5f94df24fe641a9285168bd4f86,2020-07-25
10468b38072f70cad77109441c73f5f470da33f9,2012-09-01
7b29b5f0f157067957677b7a61f31bbf12f40932,2009-11-02
0c905be96ad92683b3a459133393de5005adf4bc,2008-10-01
cc5ba0a8c5b55dc191f69fd63317b510cebbe54d,1995-03-01
0286b2736a114198b25fb5553c671c33aed5d477,2022-04-12
8666f9f379389a5dff31e72fb0f992a37763ba41,2022-03-21
a6f5b8f114b3eabbcd7f3f62091a481ca6f7f243,2022-02-15
5d49c7401c5f2337c4cc88d243ae39ed659afe64,2022-02-07
7d5c661fa9a4255ee087e861f820564ea2e2bd6b,2021-10-15
77d956cdab4508d569ae5741549b78e715fd0749,2021-09-08
ca2f1088d3e581b2c6c75cf0ebc96506d620f64d,2021-03-03
8b0f27bb594b1eaaf493eaf1e2ee723a2b0a19ad,2019-05-01
1536e8958697c5364f68b2e2448905dbbeb3a0ca,2018-08-13
a24d72bd0d08d515cb3e26f94131d33ad6c861db,2017-11-24
f010affab57b5fcf1cd6be23df79d8ec98c7289c,2017-05-01
5ed791f810da580c78df6a052c6b9f2e258f6b0a,2016-06-20
cbdb45fc16b0885905b91d84281c310e6cb49e9c,2021-04-18
b8f851b9f5f34c7b40298fd0a053b72b88b97474,2021-10-23
28692beece311a90f5fa1ca2ec9d0c2ce293d069,2021-07-28
0adec918885dff698acf359988ed79a543157f80,2021-04-18
7fa273f450251523e6b7fcc2eb3fdbdfd4a30493,2021-04-18
4b0ec90dc10e51c1fc983edcd57bb86636d7b3ca,2021-04-10
e812919d2cd818e7262f01b32dc5e630fc825af1,2021-03-22
a9fe5bd8da2d9603cf2cf6c6ea8b0f83c6d3a4f9,2021-03-15
ac3cdb50606f7770eef8e4cd951840a4f71287a0,2021-02-15
5b6c582d51266be9aa7e32bfdc20891e5231eca4,2021-02-03
789b5441743c2e38cf4c38749ed820c0671d81b1,2021-01-26
1841cf23c65ff2f27f21ba0d2268c3445f20332f,2020-12-22
016ca039d9f5220c96b26f15d90d82064c361bfa,2020-11-01
9cf4bd0443d80aade14ef5ef88c9ca5374da8c17,2020-07-01
ad5970584754cc7a1d91c95ab84a1e210258183a,2020-05-02
4ae52766028e69186052ea8f33a137fbbbdb986a,2020-04-09
f4cf4246f3882aa6337e9c05d5675a3b8463a32e,2019-12-03
395de0bd3837fdf4b4b5e5f04835bcc69c279481,2019-10-29
c9b051b29feda7b62a4b683b1dfc37408724d8f5,2019-10-25
81b4920ad488affaee27389ff9540b7fea90a4ce,2019-09-06
66117f82def0c69a3b9cc77eb3e2694b0245ca86,2019-08-31
50dbda1cb9196f88914679fd34f4e44b2955434d,2019-08-16
401dc39c2c8c910253d47980cfa3b4d2f7790d9b,2019-07-24
99ad0533f84c110da2d0713d5798e6e14080b159,2018-06-01
3febb2bed8865945e7fddc99efd791887bb7e14f,2018-02-15
5b336170d3adaf5bbe5ef57235a5334ec3c6e782,2017-08-01
161ffb54a3fdf0715b198bb57bd22f910242eb49,1997-07-01
774591fdd988eaaff3917e7c5171d044b0843e63,2021-04-09
9654d0807b807ec7c0a78f717b0dc3d4dcb1ad7c,2017-12-12
6fc2ccc1cbb555955291b0989251bd77240dd551,2017-09-14
17f70b9d1fcf3b31948ffa578ac89399751fe73d,2013-12-30
766cd91c0d8650495529cab7d4eeed482729cf89,2000-03-01
4ba7f8624ff30beeb24a4fc6076b896b2944f555,2020-10-12
ba2a423d8c7ae6cfa3424fb13bdbe3a35e5f2273,2020-06-23
20e127a1d27617b2b8545a54c016ccf2b5170b78,2019-09-17
8059b85332572e60c8a1daa0ccb8ddc008513f00,2019-02-22
dc4ec37102afb166b96abc268ae3dc15e230d776,2019-01-27
b0b96270a9bbeb9f3ec040e70114d565fbcaaed9,2019-01-16
66b7d31527f980bb2eecc23629f08ba6037facc4,2018-12-21
0dd71add741dd207968f58f6e5160f24705ed556,2018-12-09
ee17bddca3ae8a49e0daa6fd5b70112180664c72,2018-06-01
210dfaa504414e5a98c1b013f86c66204dc614a7,2018-04-28
ca5409a7f6a4cd2a47862bc46b1d4f3117f3a070,2018-04-18
5b62ddc50cd337f73c96d4715b8371f2450a02aa,2018-04-10
93040b08acb1fcaf7564e843aa0433c048a8d638,2017-09-18
2a8b6f990a5ddf0122aae82a46359b03031f302b,2017-08-01
5d9bcf2ed673766ca492496beb4e725745707951,2017-07-01
ee7b883e35d754ae4f71c21bb71f9f03e4ffbb2c,2017-05-05
176f1d608b918eec8dc4b75e7b6e0acaba84a447,2017-01-23
64023a5d10efa16a68db9f13c80f2751bcd4bf1e,2016-06-10
1298dae5751fb06184f6b067d1503bde8037bdb7,2016-06-05
609e0f0e60ddfe83fdc71bf5397205323888289d,2016-05-01
3b9732bb07dc99bde5e1f9f75251c6ea5039373e,2015-09-22
17f5c7411eeeeedf25b0db99a9130aa353aee4ba,2015-07-17
e0456b744af84f07cb5e750217463214f96c921e,2010-07-05
7e5fdbca2a014ac8bd78691c678264e872a06c81,2010-01-05
9a25c8d370d5bae018706e92cd3b975e7ec737fd,2009-01-06
ab71bdfb49d4ccafce2e345893bb29284905dc3b,2008-12-01
8570302f7b63e8fcf87030f556b065fd8c260021,2006-12-04
282001869bd502c7917db8b32b75593addfbbc68,2005-10-03
15919637566348de8ca1e054151c24cc864b0f0e,2018-05-27
270e9b0681e895ae5adf937ea0cca9eb3718c721,2018-04-16
4696f3bd1d914d4dc999197af9117a056477da90,2017-07-11
7a4ae1e6713eae3fce9c762d410f2cbd6e85affc,2017-07-01
abcbfc9742e8f4825cfc536091fd414e08d03998,2017-07-01
2a9cda48c1a57b738ea54abe96ff7e54bf95579b,2017-04-21
0267e8dab6669a6c10be2e29bea44ea32c41e990,2017-04-01
4ca430d4640afa4a3838371a08f8f418284bdb7c,2016-10-31
32c4e19f4a757f6c6984416b97d69e287d1d0ecd,2016-09-18
d1c822344cacb4350ef3f2b3bbaba69814169349,2016-08-01
846aedd869a00c09b40f1f1f35673cb22bc87490,2016-01-27
9f2a8e923965b23c11066a2ead79658208f1fae1,2015-12-08
285c165c81fc9275955147a892b9a039ec8b1052,2015-09-01
1518039b5001f1836565215eb047526b3ac7f462,2015-08-31
1e6dbfbf49893ee3b392593a9be5f3d684c2fe71,2014-10-01
1f6ba0782862ec12a5ec6d7fb608523d55b0c6ba,2014-08-25
aad8bb282f43b20e1d5681600d7f72fa6b3b1b2b,2010-07-03
d7da009f457917aa381619facfa5ffae9329a6e9,2002-07-06
c72582122ff631117a05deb2aefa04b01362e3fa,2018-04-19
abcbfc9742e8f4825cfc536091fd414e08d03998,2017-07-01
668db48c6a79826456341680ee1175dfc4cced71,2017-04-01
1bc49abe5145055f1fa259bd4e700b1eb6b7f08d,2016-11-14
29a294eaec7b485245aa21d994f7300f6b5da8fc,2016-03-23
f37076f426023241f19cdc2fb0a0fd733a6fa7fa,2016-02-19
1ac30af5522c7a50ec4d1ee43fd2bd8652a9bd52,2015-09-02
ecb5336bf7b54a62109f325e7152bb74c4c7f527,2015-09-01
b064b714107ffc724e0d477f4083e9e507c22fec,2015-09-01
b122a828f5fee3c6afc54e70f41b00184d6383fc,2015-06-19
d11d03dedaff05616f1fccef2b936d79e158b88a,2015-06-01
c945743ef99b1c897eaa07ba276dcec0fcdbc0b4,2014-10-01
c5f24dd170079f1624575e51c4b650acc39942f7,2014-10-01
1a3c74c7b11ad5635570932577cdde2a3f7a6a5c,2013-05-26
9d74eca00d4d0c4aa7c7369ae37d67498b37bf2f,2005-06-25
44fca068eecce2203d111213e3691647914a3945,2004-07-01
f5265e346382354887340c7b520d639162e2f598,2017-09-01
668db48c6a79826456341680ee1175dfc4cced71,2017-04-01
7a67159fc7bc76d0b37930b55005a69b51241635,2016-06-01
f37076f426023241f19cdc2fb0a0fd733a6fa7fa,2016-02-19
1ac30af5522c7a50ec4d1ee43fd2bd8652a9bd52,2015-09-02
b122a828f5fee3c6afc54e70f41b00184d6383fc,2015-06-19
3068732d657991e5fd3208190ed5013cf6c71ee9,2011-03-01
f37076f426023241f19cdc2fb0a0fd733a6fa7fa,2016-02-19
7a67159fc7bc76d0b37930b55005a69b51241635,2016-06-01
aa5b35dcf8b024f5352db73cc3944e8fad4f3793,2016-03-26
29a294eaec7b485245aa21d994f7300f6b5da8fc,2016-03-23
13fe71da009484f240c46f14d9330e932f8de210,2016-01-25
1ac30af5522c7a50ec4d1ee43fd2bd8652a9bd52,2015-09-02
878ba5458e9e51f0b341fd9117fa0b43ef4096d3,2015-08-18
b122a828f5fee3c6afc54e70f41b00184d6383fc,2015-06-19
b21c78a62fbb945a19ae9a8935933711647e7d70,2015-06-02
e58a110fa1e4ddf247d5c614d117d64bfbe135c4,2015-05-03
1938624bb9b0f999536dcc8d8f519810bb4e1b3b,2014-12-05
1956c239b3552e030db1b78951f64781101125ed,2014-10-29
f7fe3f870ef5e1a74600c8808c07732cd2e5142d,2008-08-23
9c818fe59a76b242dcca62579bd353fe9cf01c0d,2008-08-18
d0c92b106f758b045643a1ea8a82864bece2bfb6,2008-08-18
44fca068eecce2203d111213e3691647914a3945,2004-07-01
9d08213ede54c4e205d18b4400288831af918ec8,2000-10-03
cc2e61e06917238ca745155d9f1f0e679e63866e,2014-07-02
10468b38072f70cad77109441c73f5f470da33f9,2012-09-01
bc6dff14a130c57a91d5a21339c23471faf1d46f,2008-10-24
1f869232f148ec52066fab06a49855937f84098b,2007-06-20
f8222304ca201f8d524b3aa270673023334e7ed1,1979-09-25
d244943df2e046157057220e46b64a868fed3549,1960-07-01
