seed_local_id,seed_arxiv_id,seed_title,cited_arxiv_id,cited_title,cited_year,semantic_scholar_paper_id,openalex_id
1_58,2402.17764,The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,2307.13304,QuIP: 2-Bit Quantization of Large Language Models With Guarantees,2023,56b828717f32251a5e0f0be9c0113077f23c8429,
1_58,2402.17764,The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,2309.06180,Efficient Memory Management for Large Language Model Serving with PagedAttention,2023,83b90f4a0ae4cc214eb3cc140ccfef9cd99fac05,
1_58,2402.17764,The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,2310.11453,BitNet: Scaling 1-bit Transformers for Large Language Models,2023,358b96ce1653ec489e7bf565c0f1afad81e502d0,
1_58,2402.17764,The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits,2402.04396,QuIP#: Even Better LLM Quantization with Hadamard Incoherence and Lattice Codebooks,2024,8fbf2eb4587b5c271979c3f96eee1b109496143e,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,0912.3599,Robust principal component analysis?,2009,c8831d7d318b8d59f9b958d250a58f253f08bd8a,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,1502.01379,Butterfly Factorization,2015,f83f4cc19c4b3df2be878e2698981531931705c0,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,1608.05442,Semantic Understanding of Scenes Through the ADE20K Dataset,2016,88512be44744615f4baa8e14f600f036db4c2433,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,1612.05231,Tunable Efficient Unitary Neural Networks (EUNN) and their application to RNNs,2016,1d782819afafe0d391e5b67151cb510e621f243d,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,1705.08045,Learning multiple visual domains with residual adapters,2017,d89ee98810039d2061ed42ee8026da49c503d16b,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,1705.09280,Implicit Regularization in Matrix Factorization,2017,4e8917e73e02c76d55ded62e43541d44684a4c8a,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,1705.10941,Spectral Norm Regularization for Improving the Generalizability of Deep Learning,2017,f07c036a26bfca2b043f7c85f0326b177cd5561f,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,1710.00087,On spectral and numerical properties of random butterfly matrices,2017,77738f596d4912704b98fae409153cb24d64a9f0,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,1802.03832,Quadrature-based features for kernel approximation,2018,d54f3f8fe8b982e68231f82903fb2e7119746a7f,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,1802.05957,Spectral Normalization for Generative Adversarial Networks,2018,84de7d27e2f6160f634a483e8548c499a2cda7fa,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,1804.07461,GLUE: A Multi-Task Benchmark and Analysis Platform for Natural Language Understanding,2018,451d4a16e425ecbf38c4b1cca0dcf5d9bec8255c,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,1805.09298,Learning towards Minimum Hyperspherical Energy,2018,13b2bc8101a2a7a0c95412c48f40ef95e798e9fb,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,1810.04805,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,2019,df2b0e26d0599ce3e70df8a9da02e51594e0e992,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,1902.00751,Parameter-Efficient Transfer Learning for NLP,2019,29ddc1f43f28af7c846515e32cc167bc66886d0c,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,1903.05895,Learning Fast Algorithms for Linear Transforms Using Butterfly Factorizations,2019,a6e92f6fa9e91b7e869562a63b30a9a56cf14582,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,1907.11692,RoBERTa: A Robustly Optimized BERT Pretraining Approach,2019,077f8329a7b6fa3b7c877a57b81eb6c18b5f87de,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,1908.07274,Towards High-Resolution Salient Object Detection,2019,d08c7e556071e87eea263abe9393405501457ea4,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,1910.04867,A Large-scale Study of Representation Learning with the Visual Task Adaptation Benchmark,2019,85b9e68eb27069e87181050035f40b79438dd220,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,1910.10683,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,2019,6c4b76232bb72897685d19b3d264c6ee3005bc2b,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,1910.13003,Neural Similarity Learning,2019,720357653cef655485b7d43f36c17f8692931db6,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2004.03829,Exploring Versatile Generative Language Model Via Parameter-Efficient Transfer Learning,2020,1187c70c4011f935642084e84186284ac0add3d0,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2004.04690,Orthogonal Over-Parameterized Training,2020,0bd0ac6b4e6eb154d32216e1793295ebea1002a7,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2005.00247,AdapterFusion: Non-Destructive Task Composition for Transfer Learning,2020,98ef0db84e62aef969629264c9de1f4d0013f3b9,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2005.14165,Language Models are Few-Shot Learners,2020,90abbc2cf38462b954ae1b772fac9532e2ccd8b0,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2009.03300,Measuring Massive Multitask Language Understanding,2020,814a4f680b9ba6baba23b93499f4b48af1a27678,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2010.02502,Denoising Diffusion Implicit Models,2020,014576b866078524286802b1d0e18628520aa886,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2012.07463,Parameter-Efficient Transfer Learning with Diff Pruning,2020,d22e4cc3a501c17881b9478621f29760e429e76e,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2012.13255,Intrinsic Dimensionality Explains the Effectiveness of Language Model Fine-Tuning,2020,e54ffc76d805c48660bb0fd20019ca82ac94ba0d,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2012.14966,"Kaleidoscope: An Efficient, Learnable Representation For All Structured Linear Maps",2020,a68c3412e60560290400d2707596f82a914b7c00,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2101.00190,Prefix-Tuning: Optimizing Continuous Prompts for Generation,2021,53d8b356551a2361020a948f64454a6d599af69f,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2103.00020,Learning Transferable Visual Models From Natural Language Supervision,2021,6f870f7f02a8c59c3e23f407f3ef00dd1dcf8fc4,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2104.08691,The Power of Scale for Parameter-Efficient Prompt Tuning,2021,ffdbd7f0b03b85747b001b4734d5ee31b5229aa4,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2104.08771,Cross-Attention is All You Need: Adapting Pretrained Transformers for Machine Translation,2021,3e32139deb17761a25075f8839daa61ad5992fc9,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2106.04647,Compacter: Efficient Low-Rank Hypercomplex Adapter Layers,2021,656ed155c2d345c19d9bff4b50f2ae00db8407cc,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2106.10199,BitFit: Simple Parameter-efficient Fine-tuning for Transformer-based Masked Language-models,2021,339b2b711fb5b228d097b03ebc3e62a521779235,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2107.03374,Evaluating Large Language Models Trained on Code,2021,acbdbf49f9bc3f151b93d9ca9a06009f4f6eb269,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2110.04366,Towards a Unified View of Parameter-Efficient Transfer Learning,2021,43a87867fe6bf4eb920f97fc753be4b727308923,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2110.07560,Composable Sparse Fine-Tuning for Cross-Lingual Transfer,2021,fc58779940abb92166b73f47867763a07368c739,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2110.07577,UniPELT: A Unified Framework for Parameter-Efficient Language Model Tuning,2021,ad471be93216ddbf8544721d50ee5aed14f07cae,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2110.07904,SPoT: Better Frozen Model Adaptation through Soft Prompt Transfer,2021,c28b7dfe341f1e13a5a98efbce7946ef795cf9b8,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2110.14168,Training Verifiers to Solve Math Word Problems,2021,d6045d2ccc9c09ca1671348de86d07da6bc28eea,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2111.09543,DeBERTaV3: Improving DeBERTa using ELECTRA-Style Pre-Training with Gradient-Disentangled Embedding Sharing,2021,972706306f85b1bfb40c7d35c796ad5174eb0c9c,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2111.09839,Training Neural Networks with Fixed Sparse Masks,2021,d9cdf21e73519edc593bdf1a00fcd778764b13f6,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2112.00029,Pixelated Butterfly: Simple and Efficient Sparse training for Neural Network Models,2021,90b21dbad8969b74d704eed15a3d98722a88e464,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2112.10752,High-Resolution Image Synthesis with Latent Diffusion Models,2021,c10075b3746a9f3dd5811970e93c8ca3ad39b39d,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2203.03041,Highly Accurate Dichotomous Image Segmentation,2022,5995504a006490f3b16cba56911ec4a13e47127d,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2203.12119,Visual Prompt Tuning,2022,adb272fbdea3631059cf88ab764bb6c2ce29f965,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2204.00595,Monarch: Expressive Structured Matrices for Efficient and Accurate Training,2022,8326dba15f6b8ee6e43c23eea3265a05e59e8135,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2205.05638,Few-Shot Parameter-Efficient Fine-Tuning is Better and Cheaper than In-Context Learning,2022,7cdaa08890895e1ad92afb5fad429690ad7b1dac,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2205.13535,AdaptFormer: Adapting Vision Transformers for Scalable Visual Recognition,2022,2fe2f849b94cf08b559226bc9d78adcaef5ef186,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2206.04673,Neural Prompt Search,2022,3268da152f1149675b5f1cfd03f97026128b9e09,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2206.06522,LST: Ladder Side-Tuning for Parameter and Memory Efficient Transfer Learning,2022,960d40497717ad22a7ebb84db238fa2415fc89cc,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2207.12393,CelebV-HQ: A Large-Scale Video Facial Attributes Dataset,2022,6c6c996ba34fc02d00bc945b8d5c49807a3a552c,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2208.01618,An Image is Worth One Word: Personalizing Text-to-Image Generation using Textual Inversion,2022,5406129d9d7d00dc310671c43597101b0ee93629,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2208.12242,DreamBooth: Fine Tuning Text-to-Image Diffusion Models for Subject-Driven Generation,2022,5b19bf6c3f4b25cac96362c98b930cf4b37f6744,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2209.00099,Efficient Methods for Natural Language Processing: A Survey,2022,fd7e88a2313e176315d99fc299277e752d7703b7,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2210.07558,DyLoRA: Parameter-Efficient Tuning of Pre-trained Models using Dynamic Search-Free Low-Rank Adaptation,2022,85e959eef45114974c8f8643e88af23936fff3d1,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2210.08823,Scaling & Shifting Your Features: A New Baseline for Efficient Model Tuning,2022,f0b31fdf53ad60df454afd4ec8633b3aeb347bff,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2212.03145,FacT: Factor-Tuning for Lightweight Adaptation on Vision Transformer,2022,e835e50b4c067cec7457332ec119994fb1a26422,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2212.04488,Multi-Concept Customization of Text-to-Image Diffusion,2022,144eca44e250cc462f6fc3a172abb865978f66f5,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2212.10650,KronA: Parameter Efficient Tuning with Kronecker Adapter,2022,5aa7bdcae38076b80229c0a024f5b656ac6607af,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2301.01821,Parameter-Efficient Fine-Tuning Design Spaces,2023,220ddeb4dc43bc922289fec8b1b60d7226068b20,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2302.05543,Adding Conditional Control to Text-to-Image Diffusion Models,2023,efbe97d20c4ffe356e8826c01dc550bacc405add,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2302.08106,Towards Efficient Visual Adaption via Structural Re-parameterization,2023,1a16d737b6812f6d06ee82e2d0a6700c261655be,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2302.08453,T2I-Adapter: Learning Adapters to Dig out More Controllable Ability for Text-to-Image Diffusion Models,2023,58842cdca3ea68f7b9e638b288fc247a6f26dafc,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2303.15647,Scaling Down to Scale Up: A Guide to Parameter-Efficient Fine-Tuning,2023,6007263dd3d14373be5f84fb6ccb0be3f7fce903,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2304.02643,Segment Anything,2023,7470a1702c8c86e6f28d32cfa315381150102f5b,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2304.07193,DINOv2: Learning Robust Visual Features without Supervision,2023,5a9cb1b3dc4655218b3deeaf4a2417a9a8cd0891,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2305.14314,QLoRA: Efficient Finetuning of Quantized LLMs,2023,32ac52069e562d4f900afee70bdca63f53461481,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2306.01567,Segment Anything in High Quality,2023,36fff28902cfb6c99c7c98f284639ad8e0133c44,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2306.07280,Controlling Text-to-Image Diffusion by Orthogonal Finetuning,2023,669a95efbb9a1388ef465c7d6eb891705842fa1c,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2306.07967,One-for-All: Generalized LoRA for Parameter-Efficient Fine-tuning,2023,16b42fc85f4c073aa00c410cbdce965d7c6f8d4d,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2307.09288,Llama 2: Open Foundation and Fine-Tuned Chat Models,2023,104b0bb1da562d53cbda87aec79ef6a2827d191a,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2308.12043,IncreLoRA: Incremental Parameter Allocation Method for Parameter-Efficient Fine-tuning,2023,eaf64cca235f3e6ddc3633c5378bc795c61c25f6,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2309.02411,Delta-LoRA: Fine-Tuning High-Rank Parameters with the Delta of Low-Rank Matrices,2023,587d0627031c165985c69036f62d5d21fc38e3f7,
BOFT,2311.06243,Parameter-Efficient Orthogonal Finetuning via Butterfly Factorization,2309.12284,MetaMath: Bootstrap Your Own Mathematical Questions for Large Language Models,2023,77b1f1c6d1658d120456b9046667cf009ceb39ce,
FeatLLM,2404.09491,Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning,1603.02754,XGBoost: A Scalable Tree Boosting System,2016,26bc9195c6343e4d7f434dd65b4ad67efe2be27a,
FeatLLM,2404.09491,Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning,1904.04232,A Closer Look at Few-shot Classification,2019,9d5ec23154fb278a765f47ba5ee5150bd441d0de,
FeatLLM,2404.09491,Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning,1908.07442,TabNet: Attentive Interpretable Tabular Learning,2019,9fe69cf5c104b2205cdb7908df8cdb389256b4b5,
FeatLLM,2404.09491,Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning,2001.07676,Exploiting Cloze-Questions for Few-Shot Text Classification and Natural Language Inference,2020,8ae9a17c87a4518b513e860683a0ef7824be994d,
FeatLLM,2404.09491,Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning,2002.05709,A Simple Framework for Contrastive Learning of Visual Representations,2020,7af72a461ed7cda180e7eab878efd5f35d79bbf4,
FeatLLM,2404.09491,Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning,2005.14165,Language Models are Few-Shot Learners,2020,90abbc2cf38462b954ae1b772fac9532e2ccd8b0,
FeatLLM,2404.09491,Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning,2103.09177,Deep learning: a statistical viewpoint,2021,bc44c0c64a473e035b11ae60a1993ad3db1acd2e,
FeatLLM,2404.09491,Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning,2104.08786,Fantastically Ordered Prompts and Where to Find Them: Overcoming Few-Shot Prompt Order Sensitivity,2021,0adec918885dff698acf359988ed79a543157f80,
FeatLLM,2404.09491,Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning,2106.01342,SAINT: Improved Neural Networks for Tabular Data via Row Attention and Contrastive Pre-Training,2021,5fa2103e36b3e76e49edb8433a1206a6b25e3ead,
FeatLLM,2404.09491,Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning,2106.11189,Well-tuned Simple Nets Excel on Tabular Datasets,2021,d2196723bfc17837337f75aede2fb35a025349b9,
FeatLLM,2404.09491,Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning,2106.15147,SCARF: Self-Supervised Contrastive Learning using Random Feature Corruption,2021,08bd0ebcf5e0cd08a9748683692678c36dee9c07,
FeatLLM,2404.09491,Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning,2110.04361,SubTab: Subsetting Features of Tabular Data for Self-Supervised Representation Learning,2021,a3bfcdfa063c329152c36f69f76d41fd790be19a,
FeatLLM,2404.09491,Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning,2110.08207,Multitask Prompted Training Enables Zero-Shot Task Generalization,2021,17dd3555fd1ccf1141cf984347fa1b3fd6b009ca,
FeatLLM,2404.09491,Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning,2201.11903,Chain of Thought Prompting Elicits Reasoning in Large Language Models,2022,1b6e810ce0afd0dd093f789d2b2742d047e316d5,
FeatLLM,2404.09491,Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning,2203.11171,Self-Consistency Improves Chain of Thought Reasoning in Language Models,2022,5f19ae1135a9500940978104ec15a5b8751bc7d2,
FeatLLM,2404.09491,Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning,2205.05638,Few-Shot Parameter-Efficient Fine-Tuning is Better and Cheaper than In-Context Learning,2022,7cdaa08890895e1ad92afb5fad429690ad7b1dac,
FeatLLM,2404.09491,Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning,2205.09328,TransTab: Learning Transferable Tabular Transformers Across Tables,2022,39f0f28848990f74eeb9019f579c6ebcc8ef3ea1,
FeatLLM,2404.09491,Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning,2205.09712,Selection-Inference: Exploiting Large Language Models for Interpretable Logical Reasoning,2022,d48b29889241551e1ee6622fa78c3fa4159255dd,
FeatLLM,2404.09491,Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning,2205.10583,Automated Repair of Programs from Large Language Models,2022,0bcd59da541fdae66884afba8d25475a54a9da1a,
FeatLLM,2404.09491,Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning,2206.04006,Few-Shot Audio-Visual Learning of Environment Acoustics,2022,53d17662e95e8afb4b770a86df48bbfd3634025c,
FeatLLM,2404.09491,Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning,2206.06565,LIFT: Language-Interfaced Fine-Tuning for Non-Language Machine Learning Tasks,2022,b92628d13e8d090d042232fe6ae0b8998634b893,
FeatLLM,2404.09491,Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning,2206.07682,Emergent Abilities of Large Language Models,2022,dac3a172b504f4e33c029655e9befb3386e5f63a,
FeatLLM,2404.09491,Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning,2206.15306,Transfer Learning with Deep Tabular Models,2022,96e22af70f9ca575ebfe648677aced03c6c8803d,
FeatLLM,2404.09491,Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning,2207.01848,TabPFN: A Transformer That Solves Small Tabular Classification Problems in a Second,2022,4c4f0fcf1ce04f12290d8c876abfbe57817de430,
FeatLLM,2404.09491,Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning,2210.10723,TabLLM: Few-shot Classification of Tabular Data with Large Language Models,2022,9dcee248452d84b6bf26911ba6726ae5ce1a46f3,
FeatLLM,2404.09491,Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning,2211.09085,Galactica: A Large Language Model for Science,2022,7d645a3fd276918374fd9483fd675c28e46506d1,
FeatLLM,2404.09491,Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning,2212.13138,Large language models encode clinical knowledge,2022,6052486bc9144dc1730c12bf35323af3792a1fd0,
FeatLLM,2404.09491,Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning,2303.00918,STUNT: Few-shot Tabular Learning with Self-generated Tasks from Unlabeled Tables,2023,b50a12cce08050c49f5cda13a76fd32cab2d07ce,
FeatLLM,2404.09491,Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning,2303.05398,MathPrompter: Mathematical Reasoning using Large Language Models,2023,b626560f19f815808a289ef5c24a17c57320da70,
FeatLLM,2404.09491,Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning,2303.18223,A Survey of Large Language Models,2023,36709000a9272e941338244ef80ff5ab1dd2bba1,
FeatLLM,2404.09491,Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning,2304.13188,TABLET: Learning From Instructions For Tabular Data,2023,8c881130d499a21db478961d160b7d7542158c70,
FeatLLM,2404.09491,Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning,2305.06090,XTab: Cross-table Pretraining for Tabular Transformers,2023,fd27c08b7105da3412f3b285ea23b3a6dd92409b,
