probe,target,correct_label,formatted_question,option_a,option_b,option_c,option_d,option_e,distractors,fact,raw_knowledge_statement,section
"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", this patient’s rare clinical scenario involved simultaneous diagnoses of",systemic BD and acute neuro-BD.,(A),"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", this patient’s rare clinical scenario involved simultaneous diagnoses of
(A) systemic BD and acute neuro-BD.
(B) systemic BD and chronic neuro-BD
(C) systemic vasculitis and cerebral venous sinus thrombosis
(D) multiple sclerosis and acute neuro-BD
(E) systemic BD and SIADH",systemic BD and acute neuro-BD.,systemic BD and chronic neuro-BD,systemic vasculitis and cerebral venous sinus thrombosis,multiple sclerosis and acute neuro-BD,systemic BD and SIADH,"[""systemic BD and SIADH"", ""systemic BD and chronic neuro-BD"", ""multiple sclerosis and acute neuro-BD"", ""systemic vasculitis and cerebral venous sinus thrombosis""]","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", this patient’s rare clinical scenario involved simultaneous diagnoses of systemic BD and acute neuro-BD.","This case involved the simultaneous diagnosis of systemic BD and acute neuro-BD, which is a rare clinical scenario.",Discussion
"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", in patients with Behçet’s disease who present with fever or headache, the accompanying electrolyte abnormality that should prompt consideration of acute neuro-Behçet’s disease is",hyponatraemia.,(C),"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", in patients with Behçet’s disease who present with fever or headache, the accompanying electrolyte abnormality that should prompt consideration of acute neuro-Behçet’s disease is
(A) hypochloraemia.
(B) hypokalaemia.
(C) hyponatraemia.
(D) hypocalcaemia.
(E) hypernatraemia.",hypochloraemia.,hypokalaemia.,hyponatraemia.,hypocalcaemia.,hypernatraemia.,"[""hypernatraemia."", ""hypokalaemia."", ""hypocalcaemia."", ""hypochloraemia.""]","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", in patients with Behçet’s disease who present with fever or headache, the accompanying electrolyte abnormality that should prompt consideration of acute neuro-Behçet’s disease is hyponatraemia.","In patients with BD who present with fever or headache accompanied by hyponatraemia, clinicians should consider acute neuro-BD as a potential underlying cause.",Discussion
"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", the simultaneous diagnosis of systemic Behçet's disease and acute neuro-Behçet's disease in this patient was supported by",mucocutaneous lesions and CNS involvement.,(A),"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", the simultaneous diagnosis of systemic Behçet's disease and acute neuro-Behçet's disease in this patient was supported by
(A) mucocutaneous lesions and CNS involvement.
(B) hyponatraemia and headache.
(C) uveitis and a positive pathergy test.
(D) HLA-B51 positivity and elevated inflammatory markers.
(E) SIADH and response to colchicine monotherapy.",mucocutaneous lesions and CNS involvement.,hyponatraemia and headache.,uveitis and a positive pathergy test.,HLA-B51 positivity and elevated inflammatory markers.,SIADH and response to colchicine monotherapy.,"[""hyponatraemia and headache."", ""SIADH and response to colchicine monotherapy."", ""uveitis and a positive pathergy test."", ""HLA-B51 positivity and elevated inflammatory markers.""]","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", the simultaneous diagnosis of systemic Behçet's disease and acute neuro-Behçet's disease in this patient was supported by mucocutaneous lesions and CNS involvement.","This case is notable for the simultaneous diagnosis of systemic BD and acute neuro-BD, supported by mucocutaneous lesions and CNS involvement.",Discussion
"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", the international Behçet's disease (BD) criteria mainly rely on",clinical features.,(C),"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", the international Behçet's disease (BD) criteria mainly rely on
(A) HLA-B51 positivity.
(B) serological and genetic biomarkers.
(C) clinical features.
(D) cerebrospinal fluid abnormalities.
(E) characteristic brain MRI findings.",HLA-B51 positivity.,serological and genetic biomarkers.,clinical features.,cerebrospinal fluid abnormalities.,characteristic brain MRI findings.,"[""HLA-B51 positivity."", ""characteristic brain MRI findings."", ""cerebrospinal fluid abnormalities."", ""serological and genetic biomarkers.""]","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", the international Behçet's disease (BD) criteria mainly rely on clinical features.","This aligns with international BD criteria, which do not require HLA-B51 and rely mainly on clinical features.",Discussion
"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", the medication the man in his 60s started taking on day 8 of admission, after which his fever resolved and his appetite improved the next day, was",colchicine.,(A),"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", the medication the man in his 60s started taking on day 8 of admission, after which his fever resolved and his appetite improved the next day, was
(A) colchicine.
(B) prednisolone.
(C) azathioprine.
(D) demeclocycline.
(E) aciclovir.",colchicine.,prednisolone.,azathioprine.,demeclocycline.,aciclovir.,"[""prednisolone."", ""aciclovir."", ""demeclocycline."", ""azathioprine.""]","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", the medication the man in his 60s started taking on day 8 of admission, after which his fever resolved and his appetite improved the next day, was colchicine.","The patient’s fever resolved, and his appetite improved the day after he started taking colchicine.",Outcome and follow-up
"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", clinicians should consider neuro-Behçet’s disease when patients present with mucocutaneous findings such as oral aphthae and genital ulcers in the setting of",non-specific neurological symptoms.,(E),"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", clinicians should consider neuro-Behçet’s disease when patients present with mucocutaneous findings such as oral aphthae and genital ulcers in the setting of
(A) fever of unclear origin without neurological signs.
(B) recurrent ophthalmologic symptoms in the absence of CNS involvement.
(C) predominantly gastrointestinal complaints.
(D) isolated positive HLA-B51 testing.
(E) non-specific neurological symptoms.",fever of unclear origin without neurological signs.,recurrent ophthalmologic symptoms in the absence of CNS involvement.,predominantly gastrointestinal complaints.,isolated positive HLA-B51 testing.,non-specific neurological symptoms.,"[""isolated positive HLA-B51 testing."", ""fever of unclear origin without neurological signs."", ""predominantly gastrointestinal complaints."", ""recurrent ophthalmologic symptoms in the absence of CNS involvement.""]","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", clinicians should consider neuro-Behçet’s disease when patients present with mucocutaneous findings such as oral aphthae and genital ulcers in the setting of non-specific neurological symptoms.",This case highlights the importance of considering neuro-BD when patients with mucocutaneous findings present with non-specific neurological symptoms.,Discussion
"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", acute neuro-BD most commonly presents as a self-limiting meningoencephalitis that may be accompanied by",focal neurological deficits.,(E),"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", acute neuro-BD most commonly presents as a self-limiting meningoencephalitis that may be accompanied by
(A) mucocutaneous lesions.
(B) peripheral neuropathy.
(C) hyponatraemia.
(D) hypothalamic MRI abnormalities.
(E) focal neurological deficits.",mucocutaneous lesions.,peripheral neuropathy.,hyponatraemia.,hypothalamic MRI abnormalities.,focal neurological deficits.,"[""hyponatraemia."", ""mucocutaneous lesions."", ""hypothalamic MRI abnormalities."", ""peripheral neuropathy.""]","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", acute neuro-BD most commonly presents as a self-limiting meningoencephalitis that may be accompanied by focal neurological deficits.","Acute neuro-BD most commonly presents as a self-limiting meningoencephalitis, with or without focal neurological deficits.",Discussion
"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", in Behçet’s disease, aberrant monocyte activation leads to spontaneous production of",IL-6.,(B),"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", in Behçet’s disease, aberrant monocyte activation leads to spontaneous production of
(A) ADH.
(B) IL-6.
(C) IFN-γ.
(D) IL-17A.
(E) CRP.",ADH.,IL-6.,IFN-γ.,IL-17A.,CRP.,"[""ADH."", ""IL-17A."", ""IFN-\u03b3."", ""CRP.""]","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", in Behçet’s disease, aberrant monocyte activation leads to spontaneous production of IL-6.","In BD, aberrant monocyte activation leads to spontaneous IL-6 production, and elevated IL-6 levels have been detected in the CSF of patients with acute neuro-BD.",Discussion
"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", in the initial phase of the differential diagnosis for a man in his 60s with fever of unclear origin, neurological symptoms, and hyponatraemia, the prioritized cause of CNS inflammation was",infection.,(B),"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", in the initial phase of the differential diagnosis for a man in his 60s with fever of unclear origin, neurological symptoms, and hyponatraemia, the prioritized cause of CNS inflammation was
(A) a connective tissue disease
(B) infection.
(C) autoimmune encephalitis
(D) sarcoidosis
(E) haematologic malignancy",a connective tissue disease,infection.,autoimmune encephalitis,sarcoidosis,haematologic malignancy,"[""a connective tissue disease"", ""sarcoidosis"", ""haematologic malignancy"", ""autoimmune encephalitis""]","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", in the initial phase of the differential diagnosis for a man in his 60s with fever of unclear origin, neurological symptoms, and hyponatraemia, the prioritized cause of CNS inflammation was infection.","In the initial phase of the differential diagnosis, we prioritised infection as a cause of CNS inflammation because of the combination of fever of unclear origin, neurological symptoms and hyponatraemia; however, we did not identify any specific pathogen.",Discussion
"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", the cerebrospinal fluid analysis in the man in his 60s who was being evaluated for acute neurological Behçet’s disease revealed",aseptic meningitis,(A),"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", the cerebrospinal fluid analysis in the man in his 60s who was being evaluated for acute neurological Behçet’s disease revealed
(A) aseptic meningitis
(B) no abnormalities
(C) oligoclonal bands consistent with multiple sclerosis
(D) albuminocytologic dissociation consistent with Guillain-Barré syndrome
(E) bacterial meningitis",aseptic meningitis,no abnormalities,oligoclonal bands consistent with multiple sclerosis,albuminocytologic dissociation consistent with Guillain-Barré syndrome,bacterial meningitis,"[""bacterial meningitis"", ""no abnormalities"", ""oligoclonal bands consistent with multiple sclerosis"", ""albuminocytologic dissociation consistent with Guillain-Barr\u00e9 syndrome""]","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", the cerebrospinal fluid analysis in the man in his 60s who was being evaluated for acute neurological Behçet’s disease revealed aseptic meningitis","Brain MRI showed no abnormalities, and cerebrospinal fluid analysis revealed aseptic meningitis, supporting the diagnosis of acute neuro-BD.",Abstract
"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", persistent hiccups and rhabdomyolysis are described as known, yet often underappreciated clinical implications of",profound hyponatraemia.,(E),"According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", persistent hiccups and rhabdomyolysis are described as known, yet often underappreciated clinical implications of
(A) brainstem inflammation secondary to meningitis
(B) acute neurological Behçet's disease itself
(C) profound hypokalaemia
(D) syndrome of inappropriate antidiuretic hormone secretion
(E) profound hyponatraemia.",brainstem inflammation secondary to meningitis,acute neurological Behçet's disease itself,profound hypokalaemia,syndrome of inappropriate antidiuretic hormone secretion,profound hyponatraemia.,"[""syndrome of inappropriate antidiuretic hormone secretion"", ""acute neurological Beh\u00e7et's disease itself"", ""brainstem inflammation secondary to meningitis"", ""profound hypokalaemia""]","According to the case report ""Acute neurological Behçet's disease complicated by a syndrome of inappropriate secretion of antidiuretic hormone"", persistent hiccups and rhabdomyolysis are described as known, yet often underappreciated clinical implications of profound hyponatraemia.","These manifestations are known, yet often underappreciated, clinical implications of profound hyponatraemia.",Discussion
