review_id,domain_group,document,mcqa_row_index,v13_original_row_index,v13_source_row_index,input_hash,question,answer,target,contextualized_question,raw_response
arxiv/BOFT/6,arxiv,BOFT,6,10,5,6abe37105c6ca751c969913955cb564d95ef6b17687664eeb1cfee58a356b5a5,What questionable assumption of block-diagonal OFT is avoided when BOFT uses a dense orthogonal transformation instead?,index-based groups,index-based groups,"In the context of the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', what assumption related to the grouping of neuron dimensions is circumvented by the use of a dense orthogonal transformation in BOFT?","{
  ""contextualized_question"": ""In the context of the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', what assumption related to the grouping of neuron dimensions is circumvented by the use of a dense orthogonal transformation in BOFT?"",
  ""notes"": ""The question is designed to assess understanding of the implications of using dense orthogonal transformations in BOFT as discussed in the specified document.""
}"
arxiv/BOFT/7,arxiv,BOFT,7,1,0,334af483acd0551e6e7737262cd4299569a8db83131ceab0c2552d9adde1a7cc,"After BOFT initializes all butterfly components as identity, what is the effective weight matrix used in the modified forward pass at the very start of finetuning?",the pretrained weight matrix,the pretrained weight matrix,"In the context of the BOFT method described in the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', what is the effective weight matrix utilized during the modified forward pass at the beginning of finetuning when all butterfly components are initialized as identity?","{
  ""contextualized_question"": ""In the context of the BOFT method described in the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', what is the effective weight matrix utilized during the modified forward pass at the beginning of finetuning when all butterfly components are initialized as identity?"",
  ""notes"": ""The question is designed to assess understanding of the BOFT initialization process and its implications for the effective weight matrix in the finetuning phase.""
}"
arxiv/BOFT/8,arxiv,BOFT,8,4,1,c596bb169cbc4a15a4bc3d5db61b0a681b155ebdd5c117d8c921afaa6f1e3eba,Which method can still produce a dense orthogonal matrix even when the block size is kept smaller than d?,BOFT,BOFT,"In the context of the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', which method is capable of generating a dense orthogonal matrix while maintaining a block size smaller than d?","{
  ""contextualized_question"": ""In the context of the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', which method is capable of generating a dense orthogonal matrix while maintaining a block size smaller than d?"",
  ""notes"": ""The question is designed to assess understanding of the specific method discussed in the document that allows for flexibility in block size without compromising the density of the orthogonal matrix.""
}"
arxiv/BOFT/9,arxiv,BOFT,9,15,7,927d662735de5e3aa6c708c6d7fadc28d0d4fc062a3ea20cb2d3d1877d1aa44d,Why is it enough to make only the 2b×2b blocks orthogonal when constructing larger block butterfly components?,block-wise permutations,block-wise permutations,"In the context of the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', what is the reason for only requiring the orthogonality of the $2b\times 2b$ blocks when constructing larger block butterfly components?","{
  ""contextualized_question"": ""In the context of the paper 'Parameter-Efficient Orthogonal Finetuning via Factorization', what is the reason for only requiring the orthogonality of the $2b\\times 2b$ blocks when constructing larger block butterfly components?"",
  ""notes"": ""The question is designed to elicit the specific reasoning provided in the document regarding the construction of larger block butterfly components and their relationship to the orthogonality of smaller blocks.""
}"
arxiv/ByteLatent/0,arxiv,ByteLatent,0,20,11,6ad68378562aa27257e0381a52116ec4a6d4c1da8a85ffe2ee61eab129396e59,Which patching method gives BLT a direct way to tune processing cost that space patching lacks?,entropy patching,entropy patching,"In the context of the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', what patching method allows for direct tuning of processing costs, which is a limitation of space patching?","{
  ""contextualized_question"": ""In the context of the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', what patching method allows for direct tuning of processing costs, which is a limitation of space patching?"",
  ""notes"": ""The question is designed to elicit the specific method discussed in the paper that addresses the limitations of space patching regarding processing cost.""
}"
arxiv/ByteLatent/1,arxiv,ByteLatent,1,4,3,ca54d6fbc3da885a40fb06da3e6ca9e84ca38eb6a3b217fd1646d945bf45c11d,What encoder simplification becomes workable once hash n-gram embeddings are included?,a one-layer encoder,a one-layer encoder,"In the context of the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', what type of encoder simplification is made feasible with the inclusion of hash n-gram embeddings?","{
  ""contextualized_question"": ""In the context of the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', what type of encoder simplification is made feasible with the inclusion of hash n-gram embeddings?"",
  ""notes"": ""The question is designed to elicit the specific encoder simplification mentioned in the document without directly referencing it.""
}"
arxiv/ByteLatent/2,arxiv,ByteLatent,2,19,10,01154d0c7778813744349b1b6cb4c6b01083638082cb9dcdcce9a8d164c57a5a,"Because cross-attention uses no positional embeddings, which layers must carry byte order information?",the self-attention layers,the self-attention layers,"In the context of the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', which layers are responsible for carrying byte order information due to the absence of positional embeddings in cross-attention?","{
  ""contextualized_question"": ""In the context of the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', which layers are responsible for carrying byte order information due to the absence of positional embeddings in cross-attention?"",
  ""notes"": ""The question is designed to assess understanding of the architecture discussed in the document, specifically regarding the role of self-attention layers in the absence of positional embeddings.""
}"
arxiv/ByteLatent/3,arxiv,ByteLatent,3,3,2,6e3b13c6b43fb2e755f98f18da7f5ab65d7a68ba2d0eb318d064e3c9b1b4f45f,"According to the paper's comparison, what kind of information missing from token-based models likely contributes to their weaker noisy-input robustness?",direct byte-level information,direct byte-level information,"In the context of the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', what type of information is identified as lacking in token-based models that may lead to their reduced robustness against noisy inputs?","{
  ""contextualized_question"": ""In the context of the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', what type of information is identified as lacking in token-based models that may lead to their reduced robustness against noisy inputs?"",
  ""notes"": ""The question is designed to elicit the specific type of information that token-based models are missing, as discussed in the paper, without directly referencing the answer.""
}"
arxiv/ByteLatent/4,arxiv,ByteLatent,4,27,15,a525ef30c17a5034ddbabec33deae027ab7de992a3c36afaa655c4882970d1d0,"If average patch size increases while keeping inference flops fixed, which part of BLT can be made larger with the saved compute?",global latent transformer,global latent transformer,"In the context of the 'Byte Latent Transformer' paper, what component of the model can be expanded when the average patch size is increased while maintaining fixed inference flops?","{
  ""contextualized_question"": ""In the context of the 'Byte Latent Transformer' paper, what component of the model can be expanded when the average patch size is increased while maintaining fixed inference flops?"",
  ""notes"": ""The question is designed to assess understanding of the relationship between patch size and model component scaling as discussed in the paper.""
}"
arxiv/ByteLatent/5,arxiv,ByteLatent,5,2,1,f77fd63e686ad832b0cde42a5e3f6e9baeeed860be917dbe40493e9d88b6b4a4,Which BLT component makes padding extra patch steps especially undesirable during training?,the latent transformer,the latent transformer,"In the context of the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', which component is particularly affected by the inefficiencies introduced by padding extra patch steps during training?","{
  ""contextualized_question"": ""In the context of the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', which component is particularly affected by the inefficiencies introduced by padding extra patch steps during training?"",
  ""notes"": ""The question is designed to assess understanding of the specific components discussed in the document and their implications for training efficiency.""
}"
arxiv/ByteLatent/6,arxiv,ByteLatent,6,12,6,96a20ebc3e85c20839d23c72fff2f612181f7b9cc279d061f1bcd7f45fa2bc2f,"If sequence length were not reduced for models with larger patches, what unfair advantage would they get?",larger contexts,larger contexts,"In the context of the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', what would be the consequence for models with larger patches if their sequence length were not reduced?","{
  ""contextualized_question"": ""In the context of the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', what would be the consequence for models with larger patches if their sequence length were not reduced?"",
  ""notes"": ""This question is designed to assess understanding of the implications of sequence length adjustments in relation to model performance as discussed in the document.""
}"
arxiv/ByteLatent/7,arxiv,ByteLatent,7,13,7,eaf8acf940749d6e34e2882f7b5648a597b8bd7dd703d83451f74fe470b278d6,What property of plain BPE prevents BLT from using it directly to decide patch boundaries during generation?,lack of incremental patching,lack of incremental patching,"In the context of the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', what characteristic of plain BPE hinders its direct application for determining patch boundaries during the generation process?","{
  ""contextualized_question"": ""In the context of the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', what characteristic of plain BPE hinders its direct application for determining patch boundaries during the generation process?"",
  ""notes"": ""The question is designed to elicit the specific property of plain BPE that affects its usability in the context of the BLT model, without revealing the answer.""
}"
arxiv/ByteLatent/8,arxiv,ByteLatent,8,26,14,c661fe1cc7a53544b1f441624d5a7114a945d2f68cce4c6975c46c866bda9ddf,What BLT property avoids the token-based need for a larger output dimension when making units larger?,no fixed vocabulary,no fixed vocabulary,"In the context of the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', what property of the BLT system eliminates the need for a larger output dimension when increasing the size of its units?","{
  ""contextualized_question"": ""In the context of the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', what property of the BLT system eliminates the need for a larger output dimension when increasing the size of its units?"",
  ""notes"": ""The question is designed to assess understanding of a specific property of the BLT system as discussed in the document, without directly referencing the answer.""
}"
arxiv/ByteLatent/9,arxiv,ByteLatent,9,0,0,f78eddae73548bcd51a26a156677f69d813a07ba4694e94f3e39d8fe73f7fea4,What training-regime issue do the authors suggest may explain why BLT-Space trails the Llama 3 tokenizer despite equal flop budget?,farther from the compute-optimal point,farther from the compute-optimal point,"In the context of the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', what training-regime issue do the authors propose as a reason for the underperformance of BLT-Space compared to the Llama 3 tokenizer, despite having the same flop budget?","{
  ""contextualized_question"": ""In the context of the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', what training-regime issue do the authors propose as a reason for the underperformance of BLT-Space compared to the Llama 3 tokenizer, despite having the same flop budget?"",
  ""notes"": ""The question is designed to elicit the specific training-regime issue discussed in the paper without directly referencing the answer.""
}"
arxiv/ByteLatent/10,arxiv,ByteLatent,10,21,12,72899dafd1ab899ef27557be98c451278bbf976217828d2f4c2cca87d339b50e,"Of the two explanations the paper gives for BLT-Entropy's task gains, which one is specifically reinforced by its stronger low-resource translation results?",byte modeling,byte modeling,"In the context of the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', which explanation for the task gains of BLT-Entropy is particularly supported by its performance in low-resource translation scenarios?","{
  ""contextualized_question"": ""In the context of the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', which explanation for the task gains of BLT-Entropy is particularly supported by its performance in low-resource translation scenarios?"",
  ""notes"": ""The question is designed to assess understanding of the specific explanation related to BLT-Entropy's performance as discussed in the document.""
}"
arxiv/ByteLatent/11,arxiv,ByteLatent,11,17,9,fb485b3d30af4813d1674a3f96e7077f92b8e6712d2b0b61271d1206f9d04c15,"Before bytes are pooled into a patch, what mechanism lets information flow across a patch boundary?",local block causal attention,local block causal attention,"In the context of the 'Byte Latent Transformer: Patches Scale Better Than Tokens' paper, what mechanism facilitates the flow of information across a patch boundary before bytes are pooled into a patch?","{
  ""contextualized_question"": ""In the context of the 'Byte Latent Transformer: Patches Scale Better Than Tokens' paper, what mechanism facilitates the flow of information across a patch boundary before bytes are pooled into a patch?"",
  ""notes"": ""The question is designed to assess understanding of the specific mechanism mentioned in the paper regarding information flow in transformer layers.""
}"
arxiv/ByteLatent/12,arxiv,ByteLatent,12,31,19,4660d0b80eb6e301df1b812aa27df2050434ac174c55795930d3987c9415a226,What kind of information do the CUTE results imply is hard for BPE models to learn?,character level information,character level information,"In the context of the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', what type of information is suggested to be challenging for BPE models to acquire based on the CUTE results?","{
  ""contextualized_question"": ""In the context of the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', what type of information is suggested to be challenging for BPE models to acquire based on the CUTE results?"",
  ""notes"": ""The question is designed to elicit the specific information regarding the limitations of BPE models as discussed in the document.""
}"
arxiv/ByteLatent/13,arxiv,ByteLatent,13,29,17,8fb6451fcb5331fa1b03adb50181f392411ae8defa045a8806119324cb435278,Which kind of operation appears relatively harder for byte-level models than for BPE models on CUTE?,word manipulation,word manipulation,"In the context of the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', what type of operation is indicated to be more challenging for byte-level models compared to BPE models when evaluated on CUTE?","{
  ""contextualized_question"": ""In the context of the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', what type of operation is indicated to be more challenging for byte-level models compared to BPE models when evaluated on CUTE?"",
  ""notes"": ""The question is designed to assess understanding of the comparative difficulties faced by byte-level models in performing specific operations as discussed in the document.""
}"
arxiv/ByteLatent/14,arxiv,ByteLatent,14,33,20,679a19462a4c5e3dd221b967bf061755613cbc66a69cf4dbd448bbc5cfbbc0ff,"For a deployment with a fixed inference budget but room to spend more on pretraining, which family becomes preferable after enough extra training?",BLT models,BLT models,"In the context of the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', which model family is recommended for deployment when there is a fixed inference budget but the possibility to invest more in pretraining?","{
  ""contextualized_question"": ""In the context of the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', which model family is recommended for deployment when there is a fixed inference budget but the possibility to invest more in pretraining?"",
  ""notes"": ""The question is designed to assess understanding of the trade-offs between pretraining investment and inference budget as discussed in the document.""
}"
arxiv/ByteLatent/15,arxiv,ByteLatent,15,30,18,4de621c86689edad8711d075abd95365903770e5abf11ef41e490e02db3d1d2a,What issue were newline resets and the approximate monotonicity constraint introduced to reduce?,entropy drift,entropy drift,"In the context of the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', what problem do newline resets and the approximate monotonicity constraint aim to address?","{
  ""contextualized_question"": ""In the context of the paper 'Byte Latent Transformer: Patches Scale Better Than Tokens', what problem do newline resets and the approximate monotonicity constraint aim to address?"",
  ""notes"": ""The question is designed to elicit the specific issue that the mentioned techniques are intended to mitigate, without directly referencing the answer.""
}"
arxiv/DPO/0,arxiv,DPO,0,15,6,5698fc984231d83185b57de8d2f836823cc30d04778d521122885c80f15cea83,"If one algorithm gets slightly higher reward only by moving much farther from the reference model, what aspect of performance has it failed to improve?",the reward/KL tradeoff,the reward/KL tradeoff,"In the context of the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', what aspect of performance is not improved when an algorithm achieves a slightly higher reward by significantly deviating from the reference model?","{
  ""contextualized_question"": ""In the context of the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', what aspect of performance is not improved when an algorithm achieves a slightly higher reward by significantly deviating from the reference model?"",
  ""notes"": ""The question is designed to assess understanding of the tradeoff between reward and KL divergence as discussed in the document.""
}"
arxiv/DPO/1,arxiv,DPO,1,13,5,454c9de87ab56dcdded608114d8e5189fae8e14b9277214283f9827c8ac4d547,"Because DPO beats PPO even when PPO is given ground-truth rewards, what part of the usual RLHF pipeline is the more likely bottleneck than reward modeling?",RL optimization,RL optimization,"In the context of the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', what aspect of the typical RLHF pipeline is suggested to be a more significant bottleneck than reward modeling, given that DPO outperforms PPO even when PPO has access to ground-truth rewards?","{
  ""contextualized_question"": ""In the context of the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', what aspect of the typical RLHF pipeline is suggested to be a more significant bottleneck than reward modeling, given that DPO outperforms PPO even when PPO has access to ground-truth rewards?"",
  ""notes"": ""The question is designed to assess understanding of the implications of DPO's performance relative to PPO in the RLHF pipeline, specifically focusing on the role of RL optimization.""
}"
arxiv/DPO/2,arxiv,DPO,2,6,3,ecf707f3eba9cc944bd5909e30a3e06597ccc4d55f9ff6cdf9c8380fbc8a4489,What expensive quantity from the optimal-policy form becomes unnecessary to estimate once DPO rewrites the Bradley-Terry preference model in terms of policies?,the partition function,the partition function,"In the context of the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', which costly element from the optimal-policy framework is rendered unnecessary for estimation after DPO reformulates the Bradley-Terry preference model in terms of policies?","{
  ""contextualized_question"": ""In the context of the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', which costly element from the optimal-policy framework is rendered unnecessary for estimation after DPO reformulates the Bradley-Terry preference model in terms of policies?"",
  ""notes"": ""The question is designed to assess understanding of the implications of DPO on the Bradley-Terry model, specifically regarding the estimation of the partition function.""
}"
arxiv/DPO/3,arxiv,DPO,3,11,4,ac3bd0fc2b432fe1d04ddb591bc9dedb04fe7e4e2269808593ea10663e91b24e,"If you expect inference-time sampling temperature to vary and want to avoid falling back toward base-model performance, which method is the safer choice in summarization?",DPO,DPO,"In the context of the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', which method is recommended for summarization when there is a possibility of varying inference-time sampling temperature to maintain performance?","{
  ""contextualized_question"": ""In the context of the paper 'Direct Preference Optimization: Your Language Model is Secretly a Reward Model', which method is recommended for summarization when there is a possibility of varying inference-time sampling temperature to maintain performance?"",
  ""notes"": ""The question is designed to assess understanding of the paper's recommendations regarding inference-time sampling temperature and method selection in summarization.""
}"
arxiv/FeatLLM/0,arxiv,FeatLLM,0,4,3,e580b3cdb340c1095c5899a69cadce663ef4deea58890d2852fcda557e9ab653,"If each bagged trial omits some columns or examples, what preserves FeatLLM's overall coverage of the task relationships?",the ensemble of weak learners,the ensemble of weak learners,"In the context of the FeatLLM paper, what mechanism is described as maintaining overall coverage of task relationships when individual bagged trials exclude certain columns or examples?","{
  ""contextualized_question"": ""In the context of the FeatLLM paper, what mechanism is described as maintaining overall coverage of task relationships when individual bagged trials exclude certain columns or examples?"",
  ""notes"": ""The question is designed to elicit the specific concept discussed in the paper without directly referencing the answer.""
}"
arxiv/FeatLLM/1,arxiv,FeatLLM,1,12,8,9a087e0a82e871d70611f7793687ab6689a785b4061981e40ea23a539f67d2bc,"If FeatLLM matches conventional baselines with one-eighth as many labeled examples, what advantage does that imply?",data efficiency,data efficiency,"In the context of the FeatLLM paper, what does matching conventional baselines with significantly fewer labeled examples suggest about the model's performance?","{
  ""contextualized_question"": ""In the context of the FeatLLM paper, what does matching conventional baselines with significantly fewer labeled examples suggest about the model's performance?"",
  ""notes"": ""The question is designed to assess understanding of the implications of data efficiency as discussed in the FeatLLM document.""
}"
arxiv/FeatLLM/2,arxiv,FeatLLM,2,23,13,3136d8b560a6514c7107e5a7b6033634a3c3dd820a048949e795cc81668bd2f4,"As the number of labeled shots grows, what becomes accurate enough to explain why tuning beats simply counting satisfied rules?",rule importance estimation,rule importance estimation,"In the context of the paper 'Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning', what becomes feasible as the number of labeled shots increases, leading to a significant effect of tuning over merely counting satisfied rules?","{
  ""contextualized_question"": ""In the context of the paper 'Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning', what becomes feasible as the number of labeled shots increases, leading to a significant effect of tuning over merely counting satisfied rules?"",
  ""notes"": ""The question is designed to elicit the concept of rule importance estimation without directly referencing it, while situating it within the relevant document.""
}"
arxiv/FeatLLM/3,arxiv,FeatLLM,3,1,0,a4c9cbd7539b7aef3c8ab55e26f02f86a8bfc83a52c1eb9e504f6d45e6322ae7,What is the ensemble trying to increase by using both higher-temperature decoding and randomized demonstration order?,diversity in prediction,diversity in prediction,"In the context of the 'FeatLLM' paper, what is the goal of the ensemble when implementing higher-temperature decoding and a randomized demonstration order?","{
  ""contextualized_question"": ""In the context of the 'FeatLLM' paper, what is the goal of the ensemble when implementing higher-temperature decoding and a randomized demonstration order?"",
  ""notes"": ""The question is designed to assess understanding of the ensemble's objectives as described in the document, without revealing the answer directly.""
}"
arxiv/FeatLLM/4,arxiv,FeatLLM,4,6,4,b785a83901b2db4e1a28a6ddd39e880ee05f352978cebe880d938e3c87a247a1,What effect of a satisfied rule is explicitly ruled out by constraining the trainable weights to be non-negative?,reducing class likelihood,reducing class likelihood,"In the context of the paper 'Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning', what effect is prevented by ensuring that the trainable weights are constrained to be non-negative?","{
  ""contextualized_question"": ""In the context of the paper 'Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning', what effect is prevented by ensuring that the trainable weights are constrained to be non-negative?"",
  ""notes"": ""The question is designed to assess understanding of the implications of non-negative trainable weights as discussed in the document.""
}"
