domain_group,document,source_rows,draft_rows,v14_path,v14_mcqa_path
legal,Finesse_Wireless_LLC_v_Att_Mobility_LLC,7,7,probes/legal/Finesse_Wireless_LLC_v_Att_Mobility_LLC/inference/probes_v14.csv,probes/legal/Finesse_Wireless_LLC_v_Att_Mobility_LLC/inference/probes_v14_mcqa.csv
legal,Foad_Farahi_v_FBI,6,6,probes/legal/Foad_Farahi_v_FBI/inference/probes_v14.csv,probes/legal/Foad_Farahi_v_FBI/inference/probes_v14_mcqa.csv
legal,Jimenez_v_Bondi,11,11,probes/legal/Jimenez_v_Bondi/inference/probes_v14.csv,probes/legal/Jimenez_v_Bondi/inference/probes_v14_mcqa.csv
legal,Pacito_v_Trump,10,10,probes/legal/Pacito_v_Trump/inference/probes_v14.csv,probes/legal/Pacito_v_Trump/inference/probes_v14_mcqa.csv
legal,Santos_v_Kimmel,7,7,probes/legal/Santos_v_Kimmel/inference/probes_v14.csv,probes/legal/Santos_v_Kimmel/inference/probes_v14_mcqa.csv
legal,United_States_v_Constantinescu,8,8,probes/legal/United_States_v_Constantinescu/inference/probes_v14.csv,probes/legal/United_States_v_Constantinescu/inference/probes_v14_mcqa.csv
legal,United_States_v_Jaison_Coleman,6,6,probes/legal/United_States_v_Jaison_Coleman/inference/probes_v14.csv,probes/legal/United_States_v_Jaison_Coleman/inference/probes_v14_mcqa.csv
legal,United_States_v_Justin_Cutbank,6,6,probes/legal/United_States_v_Justin_Cutbank/inference/probes_v14.csv,probes/legal/United_States_v_Justin_Cutbank/inference/probes_v14_mcqa.csv
legal,Williams_v_GoAuto_Insurance,9,9,probes/legal/Williams_v_GoAuto_Insurance/inference/probes_v14.csv,probes/legal/Williams_v_GoAuto_Insurance/inference/probes_v14_mcqa.csv
medical,Acute_neurological_Behets_disease_complicated_by_a_syndrome,8,8,probes/medical/Acute_neurological_Behets_disease_complicated_by_a_syndrome/inference/probes_v14.csv,probes/medical/Acute_neurological_Behets_disease_complicated_by_a_syndrome/inference/probes_v14_mcqa.csv
medical,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,8,8,probes/medical/Autoimmune_heparininduced_thrombocytopenia_following_cardiac/inference/probes_v14.csv,probes/medical/Autoimmune_heparininduced_thrombocytopenia_following_cardiac/inference/probes_v14_mcqa.csv
medical,Central_hypoventilation_and_choking_episodes_revealing_Chiar,5,5,probes/medical/Central_hypoventilation_and_choking_episodes_revealing_Chiar/inference/probes_v14.csv,probes/medical/Central_hypoventilation_and_choking_episodes_revealing_Chiar/inference/probes_v14_mcqa.csv
medical,Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,4,4,probes/medical/Dermatomyositis_masquerading_as_angioedema_a_crucial_differe/inference/probes_v14.csv,probes/medical/Dermatomyositis_masquerading_as_angioedema_a_crucial_differe/inference/probes_v14_mcqa.csv
medical,From_dog_bite_to_dialysis_complementmediated_haemolytic_urae,5,5,probes/medical/From_dog_bite_to_dialysis_complementmediated_haemolytic_urae/inference/probes_v14.csv,probes/medical/From_dog_bite_to_dialysis_complementmediated_haemolytic_urae/inference/probes_v14_mcqa.csv
medical,Immunemediated_necrotising_myopathy_following_semaglutide_tr,5,5,probes/medical/Immunemediated_necrotising_myopathy_following_semaglutide_tr/inference/probes_v14.csv,probes/medical/Immunemediated_necrotising_myopathy_following_semaglutide_tr/inference/probes_v14_mcqa.csv
medical,Management_of_atypical_complicated_abdominal_masses_in_the_s,5,5,probes/medical/Management_of_atypical_complicated_abdominal_masses_in_the_s/inference/probes_v14.csv,probes/medical/Management_of_atypical_complicated_abdominal_masses_in_the_s/inference/probes_v14_mcqa.csv
medical,Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,4,4,probes/medical/Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic/inference/probes_v14.csv,probes/medical/Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic/inference/probes_v14_mcqa.csv
medical,Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,5,5,probes/medical/Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care/inference/probes_v14.csv,probes/medical/Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care/inference/probes_v14_mcqa.csv
medical,Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel,8,8,probes/medical/Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel/inference/probes_v14.csv,probes/medical/Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel/inference/probes_v14_mcqa.csv
medical,Pancreatopleural_fistula_in_childhood,5,5,probes/medical/Pancreatopleural_fistula_in_childhood/inference/probes_v14.csv,probes/medical/Pancreatopleural_fistula_in_childhood/inference/probes_v14_mcqa.csv
medical,TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy,11,11,probes/medical/TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy/inference/probes_v14.csv,probes/medical/TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy/inference/probes_v14_mcqa.csv
