domain,probe_index,decision,split_word_index,new_target,reason
Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,31,ACCEPT,6,use of steroids in anaphylaxis.,"Clear clinically meaningful treatment target after moving away from the."
Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,42,ACCEPT,6,life-threatening allergic reaction,"Natural definition suffix."
Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,45,ACCEPT,3,24 hours after initial allergen exposure,"Specific timing suffix remains natural."
Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,62,ACCEPT,7,first dose of clarithromycin,"Specific exposure suffix remains coherent after timing is moved."
Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,65,REJECT,,,"Suffix-only options produce awkward fragments or invert the natural negative finding."
Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,67,ACCEPT,6,"clemastine, for treatment of the skin reaction following local guidelines.","Drug and purpose remain clinically meaningful after route and dose are moved."
Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,69,ACCEPT,3,normal saline (sodium chloride 0.9% solution),"Fluid identity remains coherent after volume is moved."
Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,81,ACCEPT,3,clemastine intravenously twice for treatment of cutaneous symptoms,"Medication route frequency and indication remain meaningful."
Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,86,REJECT,,,"Only trivial or awkward suffixes are available and there is no clear improvement."
Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,88,ACCEPT,5,further symptom relapse after this point.,"Outcome suffix is natural after did not show is moved."
Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,97,ACCEPT,6,first anaphylactic episodes,"Specific episode context remains coherent after workup wording is moved."
Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,98,REJECT,,,"Shorter suffixes are awkward and the meaningful target is the full nonadherence statement."
Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,102,ACCEPT,3,24 hours after full clinical resolution,"Specific timing suffix remains natural."
Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,105,ACCEPT,7,skin testing was not deemed proportional,"Coherent clinical rationale remains after example framing is moved."
Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,108,ACCEPT,6,"urticaria, angioedema or flushing.","Clinically meaningful examples remain natural."
Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,112,ACCEPT,4,several hours after apparent symptom resolution.,"Specific timing criterion remains coherent."
Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,117,ACCEPT,6,within 6–12 hours after the initial event,"Specific timing suffix remains natural."
Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,124,ACCEPT,3,"epinephrine, even if intended for use in adults.","Drug and adult-use caveat remain clinically meaningful."
Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,139,ACCEPT,8,role of systemic mastocytosis in biphasic anaphylaxis,"Specific research topic remains coherent."
Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,144,REJECT,,,"Suffix-only options are ungrammatical or lose the challenge predicate."
Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel,13,ACCEPT,5,the clinical presentation is atypical.,"Coherent alternative condition after the autoantibody clause is moved."
Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel,27,ACCEPT,4,fail to meet all diagnostic criteria,"Specific and natural verb-phrase completion."
Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel,61,ACCEPT,1,cardiovascular disease among family members diagnosed with diabetes.,"Specific clinical condition remains intact."
Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel,64,ACCEPT,5,0.39 nmol/L at 0 min,"Specific lab value and timing."
Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel,77,REJECT,,,"Only suffixes leave generic or awkward fragments."
Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel,80,ACCEPT,6,laboratory findings at diagnosis,"Clinically meaningful second basis for treatment."
Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel,92,ACCEPT,7,early stages of type 1 diabetes.,"Specific disease stage remains natural."
Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel,102,ACCEPT,5,using BMI or metabolic syndrome has become less effective,"Preserves the clinical comparison method and conclusion."
Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel,103,ACCEPT,5,high prevalence of T2DM family history,"Specific limiting factor remains coherent."
Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel,126,ACCEPT,4,genetic and clinical evidence beyond database records.,"Specific evidence type remains meaningful."
Pancreatopleural_fistula_in_childhood,59,ACCEPT,2,300 cases of PPF have been reported among adults.,"Specific reported count remains intact."
Pancreatopleural_fistula_in_childhood,75,ACCEPT,7,pleural fluid was again aspirated,"Natural procedure-result completion."
Pancreatopleural_fistula_in_childhood,86,REJECT,,,"Shorter suffixes lose the narrowing finding or become awkward."
Pancreatopleural_fistula_in_childhood,94,ACCEPT,6,neutrophilic exudate in the pleural fluid,"Specific negative pleural-fluid finding."
Pancreatopleural_fistula_in_childhood,96,ACCEPT,3,not visible in the chest on imaging.,"Preserves the imaging exclusion finding."
Pancreatopleural_fistula_in_childhood,97,ACCEPT,5,liver imaging were normal,"Specific normal imaging finding."
Pancreatopleural_fistula_in_childhood,98,ACCEPT,8,chronic liver disease.,"Specific excluded history."
Pancreatopleural_fistula_in_childhood,101,ACCEPT,5,pleural fluid was again drained in the ICD bag,"Natural drainage-result completion."
Pancreatopleural_fistula_in_childhood,102,ACCEPT,6,30 µg/kg/day (10–40 µg/kg/day).,"Specific octreotide dose."
Pancreatopleural_fistula_in_childhood,106,ACCEPT,7,pancreatic disease in the paediatric population.,"Coherent clinical category and population."
Pancreatopleural_fistula_in_childhood,109,ACCEPT,8,PRSS1 mutations,"Specific mutation target remains natural."
Pancreatopleural_fistula_in_childhood,133,ACCEPT,6,chronic alcoholic pancreatitis,"Specific etiologic association."
Pancreatopleural_fistula_in_childhood,135,ACCEPT,7,chronic pancreatitis.,"Specific disease remains as completion."
TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy,3,ACCEPT,5,prosthetic valve endocarditis (PVE).,"Specific clinical history remains intact."
TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy,74,ACCEPT,6,Doppler-derived velocity-time integrals,"Specific measurement component."
TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy,84,ACCEPT,3,left radial and left femoral arterial access.,"Specific procedural access."
TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy,108,ACCEPT,4,"infection control, surgical risk and anatomical feasibility.","Specific management factors."
TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy,111,ACCEPT,7,preserving coronary flow and achieving acceptable haemodynamic performance,"Specific procedural aims remain meaningful."
TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy,134,ACCEPT,9,future coronary interventions.,"Specific affected future intervention category."
TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy,140,REJECT,,,"Suffix-only shortening would leak or leave the already-mentioned prosthesis as the target."
