domain,probe_index,decision,split_word_index,new_target,reason
fa3,109,ACCEPT,7,query sequence length,Clean final-dimension suffix preserves the list.
fa3,246,REJECT,,,No safe coherent suffix-only shortening from review.
fa3,253,ACCEPT,4,overlapping between GEMM and softmax.,Clean second-improvement suffix preserves the pair.
fa3,276,ACCEPT,4,entries of $\mathbf{Q}$ or $\mathbf{K}$.,"Clean suffix completes ""random sum of"" phrase."
fa3,277,ACCEPT,10,a Hadamard matrix.,Clean final-factor suffix preserves the product statement.
xLSTM,49,ACCEPT,7,output gate,Clean final-item suffix preserves the list.
xLSTM,51,ACCEPT,7,output gate,Clean final-item suffix preserves the list.
xLSTM,66,REJECT,,,No safe coherent suffix-only shortening from review.
xLSTM,73,ACCEPT,6,the value $\mathbf{v}_t \in \mathbb{R}^d$.,Clean value suffix preserves the key-value pair.
xLSTM,102,ACCEPT,6,the high-dimensional space,Clean suffix completes the location phrase.
xLSTM,148,ACCEPT,4,mLSTM-based versus sLSTM-based xLSTM blocks,Clean suffix completes the ratio description.
xLSTM,163,ACCEPT,2,State Space Models without memory mixing (no state tracking),Clean second-model-class suffix preserves the alternative.
xLSTM,261,ACCEPT,6,a lower perplexity than RWKV-4.,Clean suffix preserves the measured comparison.
xLSTM,262,ACCEPT,14,standard matrix operations,Clean suffix completes the parallelization phrase.
