domain,probe_index,target_words,probe,target,fact,raw_knowledge_statement,contextualized_question
ByteLatent,75,9,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", compared with tokenization-based models, BLT crucially redefines", the trade off between the vocabulary size and compute.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", compared with tokenization-based models, BLT crucially redefines the trade off between the vocabulary size and compute.",A crucial improvement of {\textsc BLT} over tokenization-based models is that redefines the trade off between the vocabulary size and compute.,"1. **Question:** According to the paper **""Byte Latent Transformer: Patches Scale Better Than Tokens""**, what trade-off does BLT crucially redefine compared with tokenization-based models?  
   **Answer:** the trade off between the vocabulary size and compute"
ByteLatent,76,9,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", BLT’s crucial improvement over tokenization-based models is said to redefine", the trade off between the vocabulary size and compute.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", BLT’s crucial improvement over tokenization-based models is said to redefine the trade off between the vocabulary size and compute.",A crucial improvement of {\textsc BLT} over tokenization-based models is that redefines the trade off between the vocabulary size and compute.,"Question: According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", what crucial improvement of BLT over tokenization-based models is said to redefine?

Answer: the trade off between the vocabulary size and compute"
ByteLatent,89,12,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", in the discussion of incremental patching for byte sequences, BPE is not considered an incremental patching scheme, given the property $f_p(\pmb{x}_{<i}) = f_p(\pmb{x})_{<i}$, because", the same prefix can be tokenized differently depending on the continuation sequence,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", in the discussion of incremental patching for byte sequences, BPE is not considered an incremental patching scheme, given the property $f_p(\pmb{x}_{<i}) = f_p(\pmb{x})_{<i}$, because the same prefix can be tokenized differently depending on the continuation sequence","bpe is not an incremental patching scheme as the same prefix can be tokenized differently depending on the continuation sequence, and therefore does not satisfy the property above\footnote{Using a special delimiter token to indicate patch boundaries can turn bpe into an incremental patching scheme but increases the byte-sequence length.}.","**Question:** According to the paper **""Byte Latent Transformer: Patches Scale Better Than Tokens""**, in the discussion of incremental patching for byte sequences, why is BPE not considered an incremental patching scheme, given the property $f_p(\pmb{x}_{<i}) = f_p(\pmb{x})_{<i}$?

**Answer:** the same prefix can be tokenized differently depending on the continuation sequence"
ByteLatent,139,9,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the cross-attention layer in the decoder is applied before the transformer layer in order", to first create byte representations from the patch representations,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the cross-attention layer in the decoder is applied before the transformer layer in order to first create byte representations from the patch representations","The cross-attention layer in the decoder is applied before the transformer layer to first create byte representations from the patch representations, and the local decoder transformer layer operates on the resulting byte sequence.","Q: According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", why is the cross-attention layer in the decoder applied before the transformer layer?

A: to first create byte representations from the patch representations"
ByteLatent,178,10,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the authors pad and possibly truncate byte sequences to 12k and 24k bytes respectively for the Llama 2 and BLT-1T datasets during training", to avoid memory spikes from sequences with unusually large patches,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the authors pad and possibly truncate byte sequences to 12k and 24k bytes respectively for the Llama 2 and BLT-1T datasets during training to avoid memory spikes from sequences with unusually large patches","During training we pad and possibly truncate byte sequences to 12k and 24k bytes respectively for Llama 2 and {\textsc BLT}-1T datasets, to avoid memory spikes from sequences with unusually large patches.","**Question:** According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", why do the authors pad and possibly truncate byte sequences to 12k and 24k bytes respectively for the Llama 2 and BLT-1T datasets during training?

**Answer:** to avoid memory spikes from sequences with unusually large patches"
ByteLatent,192,10,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the items added together to compute flops per byte for BLT models, along with the local encoder transformer, the global latent transformer, and the local decoder transformer, are", the cross attention blocks in the encoder and the decoder.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the items added together to compute flops per byte for BLT models, along with the local encoder transformer, the global latent transformer, and the local decoder transformer, are the cross attention blocks in the encoder and the decoder.","To compute flops \textit{per byte} for {\textsc BLT} models, we add up the flops for the local encoder transformer, the global latent transformer, and the local decoder transformer, together with the cross attention blocks in the encoder and the decoder:

\begin{align}
    \text{FL}_{\text{{\textsc BLT}}} &= \text{Transf. FL}(h_{\mathcal{G}}, l_{\mathcal{G}}, m=n_{ctx}/n_p,V=0) / n_p\\
   &+\text{Transf. FL}(h_{\mathcal{E}}, l_{\mathcal{E}}, m=w_{\mathcal{E}}, V=0) \\
   &+ \text{Transf. FL}(h_{\mathcal{D}}, l_{\mathcal{D}}, m=w_{\mathcal{D}}, V=256) \\ 
    &+ \text{Cross Attn. FL}(h_{\mathcal{E}}, l_{\mathcal{E}}, m=n_p, r=n_p/k) \times k/n_p \\ 
   &+ \text{Cross Attn. FL}(h_{\mathcal{D}}, l_{\mathcal{D}}, m=k, r=k/n_p) 
\end{align}

where $n_{ctx}$ is the sequence length in bytes, $n_p$ is the patch size, $r$ is the ratio of queries to key/values, $k$ is the ratio of patch-dimension to byte-dimension i.e. the number of local model splits that concatenate to form a global model representation ($k=2$ in \autoref{fig:crossattn}).","**Question:** According to the paper **""Byte Latent Transformer: Patches Scale Better Than Tokens""**, what are added together to compute flops per byte for BLT models, along with the local encoder transformer, the global latent transformer, and the local decoder transformer?

**Answer:** the cross attention blocks in the encoder and the decoder"
ByteLatent,197,11,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", whether attention uses a different context length, $m$, when computing attention FLOPs is determined by", whether a module is applied on the byte or patch sequence.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", whether attention uses a different context length, $m$, when computing attention FLOPs is determined by whether a module is applied on the byte or patch sequence.","Depending on whether a module is applied on the byte or patch sequence, the attention uses a different context length, $m$.","Q: According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", what determines whether the attention uses a different context length, $m$, when computing attention flops?

A: whether a module is applied on the byte or patch sequence"
ByteLatent,236,9,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", Llama 3 determines the ratio used for the bpe models as", the optimal ratio of model parameters to training data,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", Llama 3 determines the ratio used for the bpe models as the optimal ratio of model parameters to training data","The bpe models are trained using the optimal ratio of model parameters to training data, as determined by Llama~3~\citep{dubey2024llama}.","1. **Question:** According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", what training ratio between model parameters and training data is used for the bpe models, as determined by Llama 3?  
   **Answer:** the optimal ratio of model parameters to training data"
ByteLatent,295,9,"In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", at the crossover point for larger flop-class models where {\textsc{BLT}} improves over token-based models, this shifts", from 3x down to 2.5x the compute optimal budget.,"In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", at the crossover point for larger flop-class models where {\textsc{BLT}} improves over token-based models, this shifts from 3x down to 2.5x the compute optimal budget.",The crossover point where {\textsc BLT} improves over token-based models has shifted slightly closer to the compute-optimal point when moving to the larger flop class models (from 3x down to 2.5x the compute optimal budget).,"1. In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", when moving to the larger flop class models, how does the compute-optimal budget at the crossover point where {\textsc BLT} improves over token-based models change?

   Answer: from 3x down to 2.5x the compute optimal budget"
ByteLatent,349,12,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the authors ensure that all models see the same number of bytes in each sequence during training and inference in expectation in order", to prevent any confounding factors from being able to model larger contexts.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the authors ensure that all models see the same number of bytes in each sequence during training and inference in expectation in order to prevent any confounding factors from being able to model larger contexts.",All the models see the same number of bytes in each sequence during training and inference in expectation to prevent any confounding factors from being able to model larger contexts.,"1. **Question:** According to the paper **""Byte Latent Transformer: Patches Scale Better Than Tokens""**, why do the authors ensure that all models see the same number of bytes in each sequence during training and inference in expectation?  
   **Answer:** to prevent any confounding factors from being able to model larger contexts"
ByteLatent,360,10,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the encoder cross-attention query initialization at the given encoder layer uses", pooling of the encoder hidden representation of the patch bytes,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the encoder cross-attention query initialization at the given encoder layer uses pooling of the encoder hidden representation of the patch bytes","For the encoder cross-attention we test initializing the queries with 1) the same learned embedding for every global state, 2) a hash embedding of the bytes in the patch, and 3) pooling of the encoder hidden representation of the patch bytes at the given encoder layer.","**Question:** According to the paper **""Byte Latent Transformer: Patches Scale Better Than Tokens""**, which encoder cross-attention query initialization uses pooling of the encoder hidden representation of the patch bytes at the given encoder layer?

**Answer:** pooling of the encoder hidden representation of the patch bytes"
ByteLatent,413,11,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", many patching-based approaches demonstrated initial successes at", a small scale of model size and number of training bytes.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", many patching-based approaches demonstrated initial successes at a small scale of model size and number of training bytes.","\textbf{Patching-based approaches:} The effective use of patching can bring down the otherwise inflated number of flops expended by byte-level LLMs while potentially retaining performance, and many works demonstrated initial successes at a small scale of model size and number of training bytes.","1. **Question:** According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", many patching-based approaches demonstrated initial successes at what scale in terms of model size and number of training bytes?  
   **Answer:** a small scale of model size and number of training bytes"
ByteLatent,461,15,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", tokenization has previously been essential because", directly training llms on bytes is prohibitively costly at scale due to long sequence lengths.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", tokenization has previously been essential because directly training llms on bytes is prohibitively costly at scale due to long sequence lengths.",Tokenization has previously been essential because directly training llms on bytes is prohibitively costly at scale due to long sequence lengths~\citep{xue2022byt5}.,"1. **Question:** According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", why has tokenization previously been essential for training LLMs, rather than directly training them on bytes?  
   **Answer:** ""directly training llms on bytes is prohibitively costly at scale"""
ByteLatent,463,12,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the idea central to the authors' architecture is", the idea that models should dynamically allocate compute where it is needed,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the idea central to the authors' architecture is the idea that models should dynamically allocate compute where it is needed",Central to our architecture is the idea that models should dynamically allocate compute where it is needed.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", what idea is central to the authors' architecture?

""the idea that models should dynamically allocate compute where it is needed"""
ByteLatent,466,11,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the global model, whose invocation can be chosen to control the amount of compute expended for different portions of the input and output, consumes during pre-training and inference", the bulk of the flops during pre-training as well as inference.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the global model, whose invocation can be chosen to control the amount of compute expended for different portions of the input and output, consumes during pre-training and inference the bulk of the flops during pre-training as well as inference.","This model consumes the bulk of the flops during pre-training as well as inference, and thus, choosing when to invoke it allows us to control and vary the amount of compute expended for different portions of the input and output as a function of input/output complexity.","1. **Question:** According to the paper **""Byte Latent Transformer: Patches Scale Better Than Tokens""**, what does the global model consume during pre-training and inference, given that it is the model whose invocation can be chosen to control the amount of compute expended for different portions of the input and output?  
   **Answer:** ""the bulk of the flops"""
ByteLatent,467,13,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the main role of the Local Encoder Model $\mathcal{E}$ is to"," efficiently map a sequence of input bytes $b_i$, into expressive patch representations, $p_j$.","According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the main role of the Local Encoder Model $\mathcal{E}$ is to efficiently map a sequence of input bytes $b_i$, into expressive patch representations, $p_j$.","\textit{The Local Encoder Model}, denoted by $\mathcal{E}$, is a lightweight transformer-based model with $l_{\mathcal{E}} << l_{\mathcal{G}}$ layers, whose main role is to efficiently map a sequence of input bytes $b_i$, into expressive patch representations, $p_j$.","Question: According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", what is the main role of the Local Encoder Model $\mathcal{E}$?

Answer: ""efficiently map a sequence of input bytes $b_i$, into expressive patch representations, $p_j$"""
ByteLatent,472,9,"In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", in the decoder multi-headed cross-attention used to compute the subsequent byte representations for layer \(l\), \(W_q\) operates on", byte representations $d_{l-1}$ from the previous decoder transformer layer,"In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", in the decoder multi-headed cross-attention used to compute the subsequent byte representations for layer \(l\), \(W_q\) operates on byte representations $d_{l-1}$ from the previous decoder transformer layer","The subsequent byte-representations for layer $l$, $d_{l,i}$ are computed as:

\begin{align}
D_0 &= h_{l_{\mathcal{E}}} \\
B_l &= D_{l-1} + W_o\left(\text{softmax}\left(\frac{QK^T}{\sqrt{d_k}}\right)V\right), \\
  &\text{where } Q_i = W_q(d_{l-1,i}), K_i = W_k(\mathcal{D}_C(o_j)), V_i = W_v(\mathcal{D}_C(o_j)) \\
  D_l &= \text{Decoder-Transformer-layer}_l(B_l)
\end{align}

where once again, $W_k, W_v$ are key/value projection matrices that operate on a linear transformation and split operation $\mathcal{D}_C$, applied to the final patch representations $o_j$ from the global model, $W_q$ is a query projection matrices operating on byte representations $d_{l-1}$ from the previous decoder transformer layer (or $h_{l_{\mathcal{E}}}$ for the first layer), and $W_o$ is the output projection matrix, thus making $B \in \mathbb{R}^{h_{\mathcal{D}} \times n_b}$, where $n_b$ is the number of output bytes.","1. **Question:** In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", in the decoder multi-headed cross-attention used to compute the subsequent byte representations for layer $l$, what representations does $W_q$ operate on to form the queries $Q_i$?

   **Answer:** ""byte representations \(d_{l-1}\) from the previous decoder transformer layer"""
ByteLatent,478,10,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the effective use of patching can bring down", the otherwise inflated number of flops expended by byte-level LLMs.,"According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", the effective use of patching can bring down the otherwise inflated number of flops expended by byte-level LLMs.","\textbf{Patching-based approaches:} The effective use of patching can bring down the otherwise inflated number of flops expended by byte-level LLMs while potentially retaining performance, and many works demonstrated initial successes at a small scale of model size and number of training bytes.","1. **Question:** According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", what can the effective use of patching bring down in byte-level LLMs while potentially retaining performance?  
   **Answer:** """"the otherwise inflated number of flops"""""
DPO,20,11,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", when the AI coding assistant is generating code, the model should be biased toward", the (potentially rare) high-quality coding ability present in its training data.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", when the AI coding assistant is generating code, the model should be biased toward the (potentially rare) high-quality coding ability present in its training data.","Some of these goals and skillsets may not be desirable to imitate; for example, while we may want our AI coding assistant to \textit{understand} common programming mistakes in order to correct them, nevertheless, when generating code, we would like to bias our model toward the (potentially rare) high-quality coding ability present in its training data. Similarly, we might want our language model to be \textit{aware} of a common misconception believed by 50\% of people, but we certainly do not want the model to claim this misconception to be true in 50\% of queries about it! In other words, selecting the model's \emph{desired responses and behavior} from its very wide \textit{knowledge and abilities} is crucial to building AI systems that are safe, performant, and controllable \citep{ouyang2022training}. While existing methods typically steer LMs to match human preferences using reinforcement learning (RL), we will show that the RL-based objective used by existing methods can be optimized exactly with a simple binary cross-entropy objective, greatly simplifying the preference learning pipeline.","According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", when the AI coding assistant is generating code, toward what should the model be biased?

the (potentially rare) high-quality coding ability present in its training data"
DPO,21,14,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the process described as crucial to building AI systems that are safe, performant, and controllable is", selecting the model's \emph{desired responses and behavior} from its very wide \textit{knowledge and abilities}.,"According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", the process described as crucial to building AI systems that are safe, performant, and controllable is selecting the model's \emph{desired responses and behavior} from its very wide \textit{knowledge and abilities}.","Some of these goals and skillsets may not be desirable to imitate; for example, while we may want our AI coding assistant to \textit{understand} common programming mistakes in order to correct them, nevertheless, when generating code, we would like to bias our model toward the (potentially rare) high-quality coding ability present in its training data. Similarly, we might want our language model to be \textit{aware} of a common misconception believed by 50\% of people, but we certainly do not want the model to claim this misconception to be true in 50\% of queries about it! In other words, selecting the model's \emph{desired responses and behavior} from its very wide \textit{knowledge and abilities} is crucial to building AI systems that are safe, performant, and controllable \citep{ouyang2022training}. While existing methods typically steer LMs to match human preferences using reinforcement learning (RL), we will show that the RL-based objective used by existing methods can be optimized exactly with a simple binary cross-entropy objective, greatly simplifying the preference learning pipeline.","1. **Question:** According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", what is described as crucial to building AI systems that are safe, performant, and controllable?  
   **Answer:** selecting the model's \emph{desired responses and behavior} from its very wide \textit{knowledge and abilities}"
DPO,106,13,"In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", according to the standard approach for optimizing this non-differentiable language-generation objective with PPO, the reward function constructed before optimization is"," ${r(x, y) = r_{\phi}(x, y) -\beta (\log \pi_{\theta}(y\mid x) - \log \pi_\text{ref}(y\mid x))}$","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", according to the standard approach for optimizing this non-differentiable language-generation objective with PPO, the reward function constructed before optimization is ${r(x, y) = r_{\phi}(x, y) -\beta (\log \pi_{\theta}(y\mid x) - \log \pi_\text{ref}(y\mid x))}$","The standard approach \citep{ziegler2020finetuning, stiennon2022learning, bai2022training, ouyang2022training} has been to construct the reward function ${r(x, y) = r_{\phi}(x, y) -\beta (\log \pi_{\theta}(y\mid x) - \log \pi_\text{ref}(y\mid x))}$, and maximize using PPO \cite{schulman2017proximal}.","**Question:** In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", according to the standard approach for optimizing this non-differentiable language-generation objective with PPO, what reward function is constructed before optimization?

**Answer:** ${r(x, y) = r_{\phi}(x, y) -\beta (\log \pi_{\theta}(y\mid x) - \log \pi_\text{ref}(y\mid x))}$"
DPO,140,9,"In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", when the supervised fine-tuned policy $\pi^\text{SFT}$ is not available, the authors use the optimization that initializes $\pi_\text{ref}$ as"," \pi_\text{ref} = \argmax_{\pi}\mathbb{E}_{x, y_w \sim \mathcal{D}}\left[\log \pi(y_w \mid x)\right]","In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", when the supervised fine-tuned policy $\pi^\text{SFT}$ is not available, the authors use the optimization that initializes $\pi_\text{ref}$ as \pi_\text{ref} = \argmax_{\pi}\mathbb{E}_{x, y_w \sim \mathcal{D}}\left[\log \pi(y_w \mid x)\right]","However, when $\pi^\text{SFT}$ is not available, we initialize $\pi_\text{ref}$ by maximizing likelihood of preferred completions ${(x, y_w)}$, that is, ${\pi_\text{ref} = \argmax_{\pi}\mathbb{E}_{x, y_w \sim \mathcal{D}}\left[\log \pi(y_w \mid x)\right]}$.","1. **Question:** In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", when the supervised fine-tuned policy $\pi^\text{SFT}$ is not available, what optimization do the authors use to initialize $\pi_\text{ref}$ from the preference dataset of preferred completions ${(x, y_w)}$?

   **Answer:** $\pi_\text{ref} = \argmax_{\pi}\mathbb{E}_{x, y_w \sim \mathcal{D}}\left[\log \pi(y_w \mid x)\right]$"
