method,model,domain,probe_index,log_prob,target_rank
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,38,-4.57499361038208,4.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,39,-3.5850350856781006,3.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,40,-7.745815277099609,5.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,41,-12.278830528259276,185.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,42,-3.5388755798339844,3.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,43,-3.995350360870361,5.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,44,-6.066321849822998,15.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,45,-9.950153350830078,46.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,46,-9.171551704406738,7.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,47,-0.8830851316452026,1.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,48,-1.485084056854248,2.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,49,-24.75596618652344,9.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,50,-22.19391250610352,360.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,51,-14.722110748291016,11.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,52,-5.37449836730957,5.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,53,-22.93070602416992,49.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,54,-14.606178283691406,15.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,55,-3.5019285678863525,4.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,56,-12.053338050842283,40.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,57,-17.382545471191406,221.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,58,-11.829133987426758,8.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,59,-9.33175277709961,17.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,60,-6.886970520019531,4.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,61,-4.065468311309815,5.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,62,-5.770797729492188,7.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,63,-3.258850574493408,3.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,64,-7.531364440917969,27.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,65,-7.79502010345459,3.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,66,-9.029958724975586,8.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,67,-13.551981925964355,97.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,68,-2.748618602752685,3.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,69,-23.89139938354492,25.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,70,-6.960148811340332,9.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,71,-4.341436386108398,3.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,72,-15.72629451751709,19.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,73,-3.48116397857666,3.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,74,-0.3089531064033508,1.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,75,-5.659770965576172,26.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,76,-18.71281242370605,14.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,77,-12.83819580078125,554.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,78,-12.92275619506836,161.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,79,-2.6826064586639404,4.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,80,-3.936016082763672,2.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,81,-9.324146270751951,7.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,82,-5.35475492477417,5.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,83,-4.60772180557251,3.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,84,-2.515794038772583,2.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,85,-4.786141872406006,3.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,86,-5.2244744300842285,13.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,87,-18.0510368347168,8.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,88,-17.538663864135742,99.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,89,-6.4078521728515625,10.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,90,-9.388361930847168,19.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,91,-14.27781581878662,2083.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,92,-3.648452043533325,3.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,93,-19.56881523132324,52.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,94,-16.213476181030273,673.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,95,-0.3606098294258117,1.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,96,-5.384285926818848,4.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,97,-5.704683303833008,5.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,98,-3.298423290252685,4.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,99,-7.475316524505615,4.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,100,-2.225384473800659,2.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,101,-6.616137504577637,56.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,102,-2.446622371673584,2.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,103,-6.271336078643799,20.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,104,-9.479276657104492,4.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,105,-10.792763710021973,239.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,106,-11.24851417541504,12.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,107,-16.119691848754883,1842.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,108,-21.65878295898437,437.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,109,-6.161128520965576,10.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,110,-6.673060417175293,5.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,111,-11.953495979309082,62.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,112,-6.832024097442627,6.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,113,-6.144295692443848,5.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,114,-5.392040252685547,5.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,115,-4.741917133331299,7.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,116,-5.2705254554748535,4.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,117,-7.196999549865723,20.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,118,-6.791057586669922,33.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,119,-16.7188720703125,28.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,120,-15.260967254638672,146.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,121,-4.408729553222656,9.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,122,-13.297967910766602,153.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,123,-16.770530700683594,14.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,124,-13.74958038330078,112.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,125,-20.160808563232425,305.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,126,-5.583710193634033,6.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,127,-19.31226921081543,337.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,128,-3.644278764724731,7.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,129,-6.185607433319092,19.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,130,-3.2117836475372314,2.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,131,-14.856903076171877,13.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,132,-13.985267639160156,282.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,133,-7.508491516113281,6.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,134,-4.728449821472168,2.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,135,-6.47917366027832,9.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,136,-21.955467224121094,850.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,137,-4.0558953285217285,2.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,138,-9.591139793395996,286.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,139,-7.832756996154785,78.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,140,-22.13046264648437,55.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,141,-4.063695907592773,4.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,142,-1.9092661142349243,2.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,143,-0.1856265664100647,1.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,144,-3.663441181182861,10.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,145,-5.087119102478027,3.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,146,-13.916935920715332,19.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,147,-11.071107864379885,140.0
source_only,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,148,-5.083134651184082,3.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,0,-4.2159600257873535,4.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,1,-6.747547149658203,4.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,2,-5.699704647064209,14.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,3,-16.158918380737305,24.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,4,-21.99469947814941,58.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,5,-16.632362365722656,56.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,6,-9.046701431274414,6.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,7,-33.93886947631836,53.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,8,-6.98744010925293,9.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,9,-16.592622756958008,141.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,10,-11.143299102783203,27.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,11,-18.59273147583008,59.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,12,-17.437625885009766,37.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,13,-1.6950230598449707,1.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,14,-0.3691679835319519,1.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,15,-6.596132278442383,5.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,16,-0.1582714468240738,1.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,17,-14.673815727233888,89.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,18,-2.1911990642547607,1.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,19,-10.19696807861328,31.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,20,-0.118848018348217,1.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,21,-6.653926849365234,3.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,22,-16.046646118164062,74.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,23,-8.249762535095215,9.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,24,-12.44448471069336,68.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,25,-26.20898056030273,654.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,26,-15.386663436889648,36.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,27,-14.50046157836914,95.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,28,-6.711612224578857,4.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,29,-8.761423110961914,23.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,30,-12.047014236450195,35.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,31,-4.615484714508057,2.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,32,-11.006831169128418,288.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,33,-3.5749521255493164,4.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,34,-0.0815093293786048,1.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,35,-10.755953788757324,8.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,36,-10.58262825012207,125.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,37,-7.2339019775390625,45.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,38,-8.001856803894043,16.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,39,-5.368490219116211,5.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,40,-15.83920669555664,19.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,41,-7.512497425079346,4.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,42,-5.6407470703125,20.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,43,-8.128804206848145,76.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,44,-3.607846260070801,5.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,45,-5.322856903076172,4.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,46,-1.658475041389465,1.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,47,-12.312981605529783,4.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,48,-4.960037708282471,2.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,49,-6.645535945892334,9.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,50,-13.355127334594728,59.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,51,-4.680718421936035,3.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,52,-5.173593044281006,3.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,53,-16.00555992126465,189.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,54,-20.194639205932617,364.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,55,-0.654522716999054,1.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,56,-24.53454971313477,11.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,57,-14.82088565826416,23.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,58,-6.772348880767822,52.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,59,-39.01481628417969,38.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,60,-13.056097030639648,17.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,61,-60.87991714477539,7741.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,62,-8.20619010925293,64.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,63,-8.533452987670898,98.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,64,-1.9261541366577148,1.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,65,-1.7378432750701904,2.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,66,-40.68642425537109,31.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,67,-8.698904037475586,6.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,68,-15.112329483032228,11.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,69,-9.768567085266112,6.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,70,-9.487089157104492,24.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,71,-22.419471740722656,13.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,72,-8.625720977783203,3.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,73,-9.852577209472656,5.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,74,-12.318102836608888,488.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,75,-2.839266300201416,1.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,76,-2.5797007083892822,3.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,77,-24.74971580505371,195.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,78,-16.47184181213379,87.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,79,-13.704671859741213,5.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,80,-22.777389526367188,73.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,81,-41.0956916809082,287.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,82,-18.680530548095703,89.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,83,-29.86628150939941,42.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,84,-44.97119140625,271.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,85,-16.401111602783203,30.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,86,-10.299091339111328,51.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,87,-16.712528228759766,386.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,88,-7.45048189163208,97.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,89,-32.79221725463867,40.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,90,-17.537904739379883,44.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,91,-15.781155586242676,137.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,92,-13.014666557312012,23.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,93,-6.867522239685059,8.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,94,-30.438377380371094,98.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,95,-9.06947422027588,10.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,96,-19.87136459350586,5.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,97,-20.933748245239254,747.0
source_only,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,98,-5.799549102783203,10.0
source_only,7b,Central_hypoventilation_and_choking_episodes_revealing_Chiar,0,-3.100841999053955,2.0
source_only,7b,Central_hypoventilation_and_choking_episodes_revealing_Chiar,1,-2.723720073699951,2.0
source_only,7b,Central_hypoventilation_and_choking_episodes_revealing_Chiar,2,-10.813065528869627,294.0
source_only,7b,Central_hypoventilation_and_choking_episodes_revealing_Chiar,3,-2.4269185066223145,2.0
source_only,7b,Central_hypoventilation_and_choking_episodes_revealing_Chiar,4,-6.502444267272949,4.0
source_only,7b,Central_hypoventilation_and_choking_episodes_revealing_Chiar,5,-2.9183335304260254,3.0
source_only,7b,Central_hypoventilation_and_choking_episodes_revealing_Chiar,6,-2.304300546646118,1.0
source_only,7b,Central_hypoventilation_and_choking_episodes_revealing_Chiar,7,-2.661708354949951,1.0
source_only,7b,Central_hypoventilation_and_choking_episodes_revealing_Chiar,8,-3.578713178634644,2.0
source_only,7b,Central_hypoventilation_and_choking_episodes_revealing_Chiar,9,-3.136988401412964,3.0
source_only,7b,Central_hypoventilation_and_choking_episodes_revealing_Chiar,10,-0.6838865280151367,1.0
source_only,7b,Central_hypoventilation_and_choking_episodes_revealing_Chiar,11,-6.33181095123291,3.0
source_only,7b,Central_hypoventilation_and_choking_episodes_revealing_Chiar,12,-12.348747253417969,11.0
source_only,7b,Central_hypoventilation_and_choking_episodes_revealing_Chiar,13,-5.897130966186523,7.0
source_only,7b,Central_hypoventilation_and_choking_episodes_revealing_Chiar,14,-3.9912075996398926,4.0
source_only,7b,Central_hypoventilation_and_choking_episodes_revealing_Chiar,15,-0.9813660979270936,1.0
source_only,7b,Central_hypoventilation_and_choking_episodes_revealing_Chiar,16,-1.654295802116394,2.0
source_only,7b,Central_hypoventilation_and_choking_episodes_revealing_Chiar,17,-14.351761817932127,49.0
source_only,7b,Central_hypoventilation_and_choking_episodes_revealing_Chiar,18,-10.619882583618164,29.0
source_only,7b,Central_hypoventilation_and_choking_episodes_revealing_Chiar,19,-13.079851150512695,66.0
source_only,7b,Central_hypoventilation_and_choking_episodes_revealing_Chiar,20,-13.68240737915039,265.0
source_only,7b,Central_hypoventilation_and_choking_episodes_revealing_Chiar,21,-8.56059455871582,43.0
source_only,7b,Central_hypoventilation_and_choking_episodes_revealing_Chiar,22,-1.3950848579406738,1.0
source_only,7b,Central_hypoventilation_and_choking_episodes_revealing_Chiar,23,-5.493690013885498,2.0
source_only,7b,Central_hypoventilation_and_choking_episodes_revealing_Chiar,24,-4.287283420562744,3.0
source_only,7b,Central_hypoventilation_and_choking_episodes_revealing_Chiar,25,-5.979632377624512,6.0
source_only,7b,Central_hypoventilation_and_choking_episodes_revealing_Chiar,26,-22.785232543945312,3036.0
source_only,7b,Central_hypoventilation_and_choking_episodes_revealing_Chiar,27,-1.1235285997390747,1.0
