method,model,domain,n,log_prob,median_log_prob,target_rank
source_only,32b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,99,-11.732148378786414,-9.64375114440918,69.42424242424242
source_only,32b,Central_hypoventilation_and_choking_episodes_revealing_Chiar,145,-8.964256141720147,-6.804842948913574,157.51724137931035
source_only,32b,Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,136,-8.250472761197564,-6.135306358337402,177.71323529411765
source_only,32b,From_dog_bite_to_dialysis_complementmediated_haemolytic_urae,137,-8.789638090035776,-7.393741607666016,103.8029197080292
source_only,32b,Immunemediated_necrotising_myopathy_following_semaglutide_tr,97,-7.9120026829930925,-6.468033790588379,65.76288659793815
source_only,32b,Management_of_atypical_complicated_abdominal_masses_in_the_s,127,-11.34109066309422,-8.160843849182129,63.031496062992126
source_only,32b,Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,149,-8.402119143519101,-6.560074806213379,141.5771812080537
source_only,32b,Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,146,-10.725324814858501,-8.011811971664429,52.69178082191781
source_only,32b,Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel,130,-7.855098724594483,-6.416613817214966,53.715384615384615
source_only,32b,Pancreatopleural_fistula_in_childhood,161,-8.68427431190051,-7.5141682624816895,108.08695652173913
source_only,32b,TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy,144,-9.200032933143019,-7.457147121429443,76.28472222222223
para9,1b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,149,-11.795321223719808,-10.566753387451172,297.71140939597313
para9,1b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,99,-17.16736717597403,-14.415290832519531,272.54545454545456
para9,1b,Central_hypoventilation_and_choking_episodes_revealing_Chiar,145,-13.651564563142843,-10.882372856140137,283.4689655172414
para9,1b,Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,136,-14.480303277864175,-11.84277629852295,674.9558823529412
para9,1b,From_dog_bite_to_dialysis_complementmediated_haemolytic_urae,137,-13.509443486258931,-12.124777793884276,188.67153284671534
para9,1b,Immunemediated_necrotising_myopathy_following_semaglutide_tr,97,-14.74485660828266,-11.741376876831056,334.7938144329897
para9,1b,Management_of_atypical_complicated_abdominal_masses_in_the_s,127,-17.38087785056257,-13.72143268585205,207.45669291338584
para9,1b,Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,149,-14.537943400792628,-12.292410850524902,521.4093959731543
para9,1b,Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,146,-15.858057495665877,-13.384445190429688,208.17808219178082
para9,1b,Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel,130,-12.646132128972274,-10.076164245605469,276.3615384615385
para9,1b,Pancreatopleural_fistula_in_childhood,161,-13.399173800249278,-11.002009391784668,302.111801242236
para9,1b,TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy,144,-15.170651321609816,-13.410858631134033,235.92361111111111
para9,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,149,-8.831506126479015,-7.016827583312988,86.83892617449665
para9,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,99,-13.35098161461829,-10.180227279663086,126.8989898989899
para9,7b,Central_hypoventilation_and_choking_episodes_revealing_Chiar,145,-9.774758309292896,-7.805460929870605,165.31034482758622
para9,7b,Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,136,-9.785563371746855,-7.800668954849243,216.4191176470588
para9,7b,From_dog_bite_to_dialysis_complementmediated_haemolytic_urae,137,-9.848331157723102,-8.431461334228516,104.02189781021897
para9,7b,Immunemediated_necrotising_myopathy_following_semaglutide_tr,97,-9.969808220248861,-8.212496757507324,52.75257731958763
para9,7b,Management_of_atypical_complicated_abdominal_masses_in_the_s,127,-12.216477603424252,-9.446844100952148,63.118110236220474
para9,7b,Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,149,-9.75744058201777,-8.509095191955566,308.8255033557047
para9,7b,Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,146,-12.541699582277095,-10.323087215423584,75.0
para9,7b,Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel,130,-8.96585503002772,-7.432621002197266,128.90769230769232
para9,7b,Pancreatopleural_fistula_in_childhood,161,-9.84289198947249,-7.922974586486816,183.73291925465838
para9,7b,TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy,144,-9.934703109113293,-8.206890106201172,82.04166666666667
para9,13b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,149,-8.271774058373982,-6.806268692016602,53.08724832214765
para9,13b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,99,-12.27473876873652,-10.50547695159912,74.27272727272727
para9,13b,Central_hypoventilation_and_choking_episodes_revealing_Chiar,145,-9.878804426177823,-7.338887691497803,170.84137931034482
para9,13b,Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,136,-9.606608921661973,-7.315680742263794,286.13235294117646
para9,13b,From_dog_bite_to_dialysis_complementmediated_haemolytic_urae,137,-9.81410398209182,-8.07894515991211,149.94890510948906
para9,13b,Immunemediated_necrotising_myopathy_following_semaglutide_tr,97,-9.55374452441009,-8.650801658630371,56.05154639175258
para9,13b,Management_of_atypical_complicated_abdominal_masses_in_the_s,127,-12.609303834400778,-9.65896701812744,55.43307086614173
para9,13b,Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,149,-9.500898366606476,-8.430944442749023,183.2214765100671
para9,13b,Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,146,-12.260637844262058,-9.93614149093628,53.486301369863014
para9,13b,Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel,130,-9.012817387970594,-6.526101112365723,121.16923076923077
para9,13b,Pancreatopleural_fistula_in_childhood,161,-9.653956796997083,-8.329885482788086,111.85093167701864
para9,13b,TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy,144,-9.742749328207639,-7.657431364059448,112.33333333333333
para9,32b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,149,-7.9579500409855735,-6.619086265563965,66.1744966442953
para9,32b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,99,-11.554357134610076,-9.940958976745604,52.27272727272727
para9,32b,Central_hypoventilation_and_choking_episodes_revealing_Chiar,145,-9.48722707911812,-7.321237564086914,121.78620689655172
para9,32b,Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,136,-9.169075263198465,-7.120105266571045,189.43382352941177
para9,32b,From_dog_bite_to_dialysis_complementmediated_haemolytic_urae,137,-9.294385222459796,-8.36426830291748,107.37226277372262
para9,32b,Immunemediated_necrotising_myopathy_following_semaglutide_tr,97,-9.353636538245015,-8.440231323242188,70.68041237113403
para9,32b,Management_of_atypical_complicated_abdominal_masses_in_the_s,127,-11.693002826768875,-8.690359115600586,70.0
para9,32b,Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,149,-9.172500805466766,-7.389969825744629,125.01342281879195
para9,32b,Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,146,-11.746066510064962,-9.032289981842041,61.43835616438356
para9,32b,Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel,130,-8.337221055105328,-6.573811769485474,70.12307692307692
para9,32b,Pancreatopleural_fistula_in_childhood,161,-9.257818445864116,-7.938902854919434,105.45341614906832
para9,32b,TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy,144,-9.409136494673374,-7.45579719543457,109.20833333333333
with_explanations,1b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,149,-12.055864496519101,-10.844186782836914,267.0402684563758
with_explanations,1b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,99,-18.16646644322559,-14.653194427490234,300.2121212121212
with_explanations,1b,Central_hypoventilation_and_choking_episodes_revealing_Chiar,145,-14.139284665420137,-11.480005264282228,314.82068965517243
with_explanations,1b,Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,136,-15.133714062326094,-12.697505474090576,648.125
with_explanations,1b,From_dog_bite_to_dialysis_complementmediated_haemolytic_urae,137,-13.8577371609472,-12.478557586669922,191.35036496350364
with_explanations,1b,Immunemediated_necrotising_myopathy_following_semaglutide_tr,97,-15.66758755556087,-12.725828170776367,368.21649484536084
with_explanations,1b,Management_of_atypical_complicated_abdominal_masses_in_the_s,127,-18.034492282416878,-14.21184539794922,209.11811023622047
with_explanations,1b,Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,149,-15.241803170450583,-12.805448532104492,455.5436241610738
with_explanations,1b,Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,146,-16.699355567358946,-14.078522682189941,230.56849315068493
with_explanations,1b,Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel,130,-13.666376948356628,-10.40230941772461,283.7769230769231
with_explanations,1b,Pancreatopleural_fistula_in_childhood,161,-14.401291448877465,-11.998088836669922,312.2360248447205
with_explanations,1b,TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy,144,-15.640647495786348,-13.8505859375,224.17361111111111
with_explanations,7b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,149,-8.783019652302633,-6.809174060821533,91.95973154362416
with_explanations,7b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,99,-12.980259542588634,-10.300166130065918,119.52525252525253
with_explanations,7b,Central_hypoventilation_and_choking_episodes_revealing_Chiar,145,-9.839898442245763,-7.458847999572754,121.93103448275862
with_explanations,7b,Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,136,-9.50539373540703,-7.988243818283081,220.2058823529412
with_explanations,7b,From_dog_bite_to_dialysis_complementmediated_haemolytic_urae,137,-9.628590157418682,-8.410853385925293,84.56204379562044
with_explanations,7b,Immunemediated_necrotising_myopathy_following_semaglutide_tr,97,-10.117338532639533,-8.509056091308594,46.48453608247423
with_explanations,7b,Management_of_atypical_complicated_abdominal_masses_in_the_s,127,-12.939159033805366,-10.282038688659668,65.33070866141732
with_explanations,7b,Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,149,-10.13621842161121,-8.81289291381836,178.48322147651007
with_explanations,7b,Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,146,-13.417163176691695,-10.905807971954346,98.61643835616438
with_explanations,7b,Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel,130,-9.762535495482958,-8.125531196594238,121.2
with_explanations,7b,Pancreatopleural_fistula_in_childhood,161,-10.484757017830145,-8.43224811553955,173.46583850931677
with_explanations,7b,TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy,144,-9.491262757943737,-7.7173240184783936,48.93055555555556
with_explanations,13b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,149,-8.589305537259019,-7.163487434387207,56.15436241610738
with_explanations,13b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,99,-12.457333167619778,-10.290159225463867,79.27272727272727
with_explanations,13b,Central_hypoventilation_and_choking_episodes_revealing_Chiar,145,-9.942717687837009,-7.3799638748168945,139.05517241379312
with_explanations,13b,Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,136,-9.728617458878194,-8.33829927444458,227.3014705882353
with_explanations,13b,From_dog_bite_to_dialysis_complementmediated_haemolytic_urae,137,-9.610749085889246,-8.451459884643555,115.69343065693431
with_explanations,13b,Immunemediated_necrotising_myopathy_following_semaglutide_tr,97,-9.977721526604338,-8.925830841064453,40.48453608247423
with_explanations,13b,Management_of_atypical_complicated_abdominal_masses_in_the_s,127,-13.21257801037135,-9.448650360107422,64.61417322834646
with_explanations,13b,Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,149,-9.561968039746253,-8.377007484436035,166.8523489932886
with_explanations,13b,Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,146,-13.22191856658622,-10.067167282104492,63.28082191780822
with_explanations,13b,Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel,130,-9.737872387583439,-7.054373741149902,107.82307692307693
with_explanations,13b,Pancreatopleural_fistula_in_childhood,161,-10.23399864072385,-9.43838596343994,94.15527950310559
with_explanations,13b,TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy,144,-9.423165319694412,-7.961539268493652,80.38888888888889
with_explanations,32b,Acute_neurological_Behets_disease_complicated_by_a_syndrome,149,-8.067136026868884,-6.623739242553711,68.75838926174497
with_explanations,32b,Autoimmune_heparininduced_thrombocytopenia_following_cardiac,99,-11.388432604364223,-9.356400489807127,39.17171717171717
with_explanations,32b,Central_hypoventilation_and_choking_episodes_revealing_Chiar,145,-9.262092790007591,-7.258222579956055,115.51724137931035
with_explanations,32b,Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,136,-9.231846868444014,-7.378030061721802,153.36029411764707
with_explanations,32b,From_dog_bite_to_dialysis_complementmediated_haemolytic_urae,137,-8.93682552169818,-8.049735069274902,82.31386861313868
with_explanations,32b,Immunemediated_necrotising_myopathy_following_semaglutide_tr,97,-9.342555204310369,-8.122482299804688,72.79381443298969
with_explanations,32b,Management_of_atypical_complicated_abdominal_masses_in_the_s,127,-12.07407982354089,-9.069268226623535,66.78740157480316
with_explanations,32b,Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,149,-9.072472680085058,-7.358639240264893,102.10738255033557
with_explanations,32b,Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,146,-12.463993553021183,-10.245922565460205,84.82876712328768
with_explanations,32b,Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel,130,-8.854582036057344,-6.781481742858887,76.6
with_explanations,32b,Pancreatopleural_fistula_in_childhood,161,-9.756247633269854,-7.964825630187988,161.27950310559007
with_explanations,32b,TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy,144,-8.904440710321069,-7.594991683959961,96.90277777777777
