domain,source_only_logprob,source_only_mcqa,n_logprob,n_mcqa,para9_logprob,para9_mcqa,with_explanations_logprob,with_explanations_mcqa,expl-source_logprob,expl-source_mcqa,para-source_logprob,para-source_mcqa
Pancreatopleural_fistula_in_childhood,-7.5740076610818505,0.8,8,5,-7.467188557609916,0.8,-6.4016102477908134,0.8,1.172397413291037,0.0,0.1068191034719348,0.0
QLoRA,-12.538927124096798,0.5555555555555556,26,18,-11.679742207893959,0.4444444444444444,-10.394228880222027,0.3888888888888889,2.144698243874771,-0.16666666666666669,0.8591849162028389,-0.11111111111111116
Santos_v_Kimmel,-12.48978887285505,0.3333333333333333,7,3,-12.929822649274554,0.3333333333333333,-11.286990233830043,0.3333333333333333,1.2027986390250067,0.0,-0.44003377641950436,0.0
TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy,-20.260644325843224,0.18181818181818182,13,11,-18.432754589961124,0.2727272727272727,-16.068349691537712,0.36363636363636365,4.192294634305512,0.18181818181818182,1.8278897358820991,0.09090909090909088
United_States_v_Constantinescu,-11.78770987689495,0.0,8,3,-11.575377136468887,0.0,-10.361534759402275,0.0,1.4261751174926758,0.0,0.21233274042606354,0.0
United_States_v_Jaison_Coleman,-14.35931928952535,0.0,6,5,-14.68068253993988,0.2,-12.964646736780802,0.0,1.3946725527445487,0.0,-0.32136325041452984,0.2
United_States_v_Justin_Cutbank,-10.627103716135025,0.0,8,2,-10.56554251909256,0.0,-10.049915790557861,0.0,0.5771879255771637,0.0,0.06156119704246521,0.0
Williams_v_GoAuto_Insurance,-16.651459802280772,0.4,11,5,-16.006582476875998,0.6,-13.519342292438854,0.0,3.132117509841919,-0.4,0.6448773254047744,0.19999999999999996
fa3,-15.39945164874748,0.1111111111111111,27,18,-13.682822119582582,0.1111111111111111,-12.139336116611958,0.1111111111111111,3.260115532135522,0.0,1.7166295291648979,0.0
xLSTM,-14.251120081654301,0.47058823529411764,27,17,-12.649684958987766,0.47058823529411764,-11.811329532552648,0.47058823529411764,2.4397905491016534,0.0,1.601435122666535,0.0
