domain,probe_index,source_correct,source_pred,source_group,para_correct,para_pred,expl_correct,expl_pred,model,expl_over_source,expl_over_para,gain_type,probe_file,question,answer,correct_label,option_a,option_b,option_c,option_d,option_e,inference_type,derivation,source_facts
QLoRA,20,0,,arxiv,1,,1,,13B,1,0,E beats source only,probes/arxiv/QLoRA/inference/probes_v12_mcqa.csv,"If one instruction dataset is much larger but worse for chatbot performance, what property should be prioritized over sample count?",data quality,(E),domain coverage,quantization precision,the number of finetuning steps,dataset diversity,data quality,Multi-Fact Integration,"Because the smaller OASST1 set beat the much larger FLAN v2 set for chatbot performance, the property to prioritize over sample count is data quality or suitability.","['First, we find that data quality is far more important than dataset size, e.g., a 9k sample dataset (OASST1) outperformed a 450k sample dataset (FLAN v2, subsampled) on chatbot performance', 'dataset suitability matters more than size for a given task.']"
fa3,25,0,,arxiv,1,,1,,13B,1,0,E beats source only,probes/arxiv/fa3/inference/probes_v12_mcqa.csv,"When causal masking is used, how does the backward-pass FLOP count compare to the forward-pass FLOP count?",2.5 times larger,(A),2.5 times larger,5 times larger,half as large,2 times larger,1.25 times larger,Reasoning Step,"Halving the forward FLOPs for causal masking does not change the stated backward-to-forward multiplier, which remains 2.5.","['With causal masking, we divide this number by 2 to account for the fact that approximately only half of the entries are calculated.', 'To get the FLOPs of the backward pass, we multiply the forward pass FLOPs by 2.5 (since there are 2 matmuls in the forward pass and 5 matmuls in the backward pass, due to recomputation).']"
xLSTM,11,0,,arxiv,1,,1,,13B,1,0,E beats source only,probes/arxiv/xLSTM/inference/probes_v12_mcqa.csv,"If an xLSTM modification is added specifically to improve the token group hurt by limited storage capacity, which modification is it?",a matrix memory,(C),a larger hidden state,a scalar memory cell,a matrix memory,an exponential gating mechanism,a vector memory,Multi-Fact Integration,The paper explicitly links rare-token weakness to limited storage and then identifies the matrix memory as the storage-enhancing change.,"['LSTM performs worse on rare tokens because of its limited storage capacities. Our new xLSTM solves this problem by a matrix memory.', 'To enhance storage capacities of LSTMs, we increase the LSTM memory cell from a scalar $c \\in \\mathbb{R}$\nto a matrix $\\mathbf{C} \\in \\mathbb{R}^{d \\times d}$.']"
BOFT,12,0,,arxiv,0,,1,,13B,1,1,E only vs both,probes/arxiv/BOFT/inference/probes_v12_mcqa.csv,Why would expanding BOFT to represent the entire orthogonal group not necessarily give the best finetuning performance?,the expressivity-regularity trade-off,(D),the difficulty of enforcing exact orthogonality during training,the computational overhead of covering all orthogonal transformations,the universal expressiveness of full finetuning,the expressivity-regularity trade-off,the loss of BOFT's parameter-efficient factorized structure,Synthesized Insight,"Since the paper says more expressiveness alone can hurt finetuning and that generalization depends on balancing expressivity with regularity, full orthogonal expressiveness is not automatically best.","['""However, we note that better expressiveness does not always lead to better performance in finetuning, as full finetuning, despite its universal expressiveness, often yields unsatisfactory performance.""', '""The trade-off between expressivity and regularity is the key to the generalizability of model finetuning.""']"
BOFT,13,0,,arxiv,0,,1,,13B,1,1,E only vs both,probes/arxiv/BOFT/inference/probes_v12_mcqa.csv,"If BOFT is generalized enough to represent the entire orthogonal group, what key factor besides expressivity still determines whether finetuning will generalize well?",regularity,(C),optimization stability,orthogonality,regularity,parameter efficiency,factorization depth,Synthesized Insight,"Even if the parameterization can cover the whole orthogonal group, the paper says finetuning quality still depends on maintaining regularity, not expressiveness alone.","['When $m_1=m_2=\\log d$, $b_1=b_2=2$ and $l=d-1$, then $\\bm{R}^G(m_1,b_1,m_2,b_2,l)$ can represent the entire orthogonal group.', 'However, we note that better expressiveness does not always lead to better performance in finetuning, as full finetuning, despite its universal expressiveness, often yields unsatisfactory performance. The trade-off between expressivity and regularity is the key to the generalizability of model finetuning.']"
FeatLLM,12,0,,arxiv,0,,1,,13B,1,1,E only vs both,probes/arxiv/FeatLLM/inference/probes_v12_mcqa.csv,"If two samples satisfy the same number of rules for a class but different rules, what can still make FeatLLM assign them different logits?",different rule importance,(D),the total number of available rules for that class,the sum of the binary features for that class,the order in which the rules are satisfied,different rule importance,the number of training samples in that class,Reasoning Step,"Counting would treat two samples with the same number of satisfied rules equally, but learned importance allows different specific rules to produce different logits.","['Given new binary features from rules for each class, a simple method to measure the class likelihood of the sample is to count how many rules of each class it satisfies (i.e., the sum of the binary feature per class).', 'However, not all rules and features carry the same importance, necessitating learning their significance from training samples.']"
GSPO,3,0,,arxiv,0,,1,,13B,1,1,E only vs both,probes/arxiv/GSPO/inference/probes_v12_mcqa.csv,"If every token in a response is assigned the same advantage, which objective variant becomes numerically identical to GSPO in objective, clipping, and gradient?",GSPO-token,(D),PPO-token,DAPO,GRPO,GSPO-token,response-level PPO,Reasoning Step,"If all token advantages are tied to the same response-level value and s_{i,t} equals s_i numerically, the token variant collapses to the same behavior as GSPO.","['Note that the term $\\frac{ \\pi_{\\theta} (y_{i,t} | x, y_{i,<t}) }{ \\mathrm{sg} \\left[ \\pi_{\\theta} (y_{i,t} | x, y_{i,<t}) \\right] }$ has a numerical value of 1, so $s_{i,t}(\\theta)$ is numerically equal to $s_{i}(\\theta)$.', 'Comparing Equation~\\eqref{equ:gspo} and~\\eqref{equ:gspo-token}, and Equation~\\eqref{equ:gspo_grad} and~\\eqref{equ:gspo-token_grad}, GSPO-token and GSPO are numerically identical in the optimization objective, clipping condition, and theoretical gradient when we set the advantages of all the tokens in the response $y_i$ to the same value (i.e., $\\widehat{A}_{i,t} = \\widehat{A}_{i}$), while GSPO-token enjoys the higher flexibility of adjusting the advantages per token.']"
GSPO,5,0,,arxiv,0,,1,,13B,1,1,E only vs both,probes/arxiv/GSPO/inference/probes_v12_mcqa.csv,"According to the gradient analysis, what feature of GSPO removes the instability factor present in GRPO's token gradients?",equal token weights,(B),per-token KL regularization,equal token weights,bounded token-weight ranges,sequence-level advantage normalization,clipped per-token importance weights,Synthesized Insight,"Since GRPO's instability comes from unequal per-token weights that accumulate unpredictably, GSPO removes that factor by assigning the same weight to every token in a response.","[""In GRPO, the tokens are weighted according to their respective ``importance weight'' $\\frac{ \\pi_{\\theta} (y_{i,t} | x, y_{i,<t}) }{ \\pi_{\\theta_\\text{old}} (y_{i,t} | x,y_{i,<t})}$."", 'However, these unequal weights, which can vary among $(0, 1+\\varepsilon]$ (for $\\widehat{A}_{i} >0$) or $[1-\\varepsilon, +\\infty)$ (for $\\widehat{A}_{i} < 0$), are not negligible, and their impact can accumulate and lead to unpredictable consequences as training progresses.', 'In contrast, GSPO weights all the tokens in a response equally, eliminating this instability factor of GRPO.']"
LongRoPE,5,0,,arxiv,0,,1,,13B,1,1,E only vs both,probes/arxiv/LongRoPE/inference/probes_v12_mcqa.csv,"At 2048k, what part of the token-position strategy stops being useful?",preserving initial tokens,(E),preserving final tokens,preserving middle tokens,interpolating initial tokens,leaving all tokens un-interpolated,preserving initial tokens,Multi-Fact Integration,The paper links the weak 2048k benefit of token-position non-uniformity to the fact that keeping only the earliest tokens un-interpolated stops helping at that length.,"['Non-uniformity in token position clearly improves performance at 16k and 32k lengths  but does not show the same impact at 2048k, possibly due to the extremely long length.', 'Preserving only the initial tokens without interpolation becomes non-useful, and we leave this as future work.']"
OFT,19,0,,arxiv,0,,1,,13B,1,1,E only vs both,probes/arxiv/OFT/inference/probes_v12_mcqa.csv,"In subject-driven generation, what two goals does OFT achieve simultaneously rather than forcing the tradeoff seen in the baselines?",subject preservation and controllability,(C),training efficiency and controllability,subject preservation and image diversity,subject preservation and controllability,semantic consistency and reconstruction quality,subject identity and visual realism,Synthesized Insight,The two comparisons show OFT avoiding the baseline tradeoff by preserving the subject while still following the prompt accurately.,"['From the results in Figure~\\ref{fig:dreambooth_final}, we can observe that both OFT and COFT deliver excellent semantic subject preservation, while LoRA often fails to preserve the subject identity (\\emph{e.g.}, LoRA completely loses the subject identity in the bowl example).', 'In the meantime, both OFT and COFT have much more accurate control using text prompts, while DreamBooth, despite its preservation of subject identity, often fails to generate the image following the text prompt (\\emph{e.g.}, the first row of the bowl example).', 'The qualitative comparison demonstrates that our OFT framework achieves better controllability and subject preservation at the same time.']"
fa3,13,0,,arxiv,0,,1,,13B,1,1,E only vs both,probes/arxiv/fa3/inference/probes_v12_mcqa.csv,"Besides transposing V, what additional change is needed so the output of one FP8 WGMMA can feed the next one correctly?",a register permutation,(B),a change to operand B's column-major layout,a register permutation,a matching row permutation of the Q tile,a shared-memory swizzle of the FP32 accumulator,an extra FP32 rescaling step before the second WGMMA,Multi-Fact Integration,"Since the accumulator layout does not already match the next FP8 WGMMA input layout, a register-side permutation is needed in addition to the V-tile permutation.","['Second, we observe that unlike with FP16, the memory layout of the FP32 accumulator of an FP8 WGMMA is different from that assumed for its operand A when held in registers.', ""By using byte permute instructions, we can then transform the first WGMMA's accumulator into a format suitable for the second WGMMA,"", 'For WGMMA to then compute the correct output tile, we can correspondingly arrange for the in-kernel transpose to write out a matching row permutation of the $\\mathbf{V}$ tile.']"
xLSTM,0,0,,arxiv,0,,1,,13B,1,1,E only vs both,probes/arxiv/xLSTM/inference/probes_v12_mcqa.csv,Which xLSTM cell matches both of these goals: larger storage capacity and full parallelization?,mLSTM,(B),sLSTM,mLSTM,the scalar-update xLSTM variant,the scalar-memory cell with memory mixing,the standard LSTM with exponential gating,Multi-Fact Integration,"The variant that explicitly increases storage capacity via a matrix memory is mLSTM, and the same sentence also states that this variant is fully parallelizable.","['To enhance storage capacities of LSTMs, we increase the LSTM memory cell from a scalar $c \\in \\mathbb{R}$ to a matrix $\\mathbf{C} \\in \\mathbb{R}^{d \\times d}$.', 'Those modifications --- exponential gating and novel memory structures --- enrich the LSTM family by two members: (i) the new sLSTM (see Section~\\ref{sec:sLSTM}) with a scalar memory, a scalar update, and memory mixing, and (ii) the new mLSTM (see Section~\\ref{sec:mLSTM}) with a matrix memory and a covariance (outer product) update rule, which is fully parallelizable.']"
Apex_Bank_v_Cc_Serve_Corp,1,0,,legal,1,,1,,13B,1,0,E beats source only,probes/legal/Apex_Bank_v_Cc_Serve_Corp/inference/probes_v12_mcqa.csv,What feature of the ASPIRE mark could change on remand and thereby alter the first-factor analysis?,commercial strength or weakness,(A),commercial strength or weakness,overall commercial impression,normal scope of protection accorded to the mark,priority of use in the ASPIRE name,conceptual distinctiveness as an inherently distinctive mark,Reasoning Step,The court vacated factor one because a new strength-or-weakness determination under factor six could alter the premise supporting the prior commercial-impression analysis.,"['The Board found that “[CC Serve] has not shown that its mark has any particular commercial strength, but [Apex] has not shown that [CC Serve]’s mark is commercially or conceptually weak such that it is entitled to a narrow scope of protection,” and determined that CC Serve’s mark is entitled to the “normal scope of protection accorded inherently distinctive marks.” J.A. 51.', 'Because commercial impression informs the analysis under the first DuPont factor, we must similarly vacate the Board’s analysis here because reconsideration of the sixth DuPont factor may result in a different determination of the mark’s commercial strength or weakness and affect the overall commercial impression.']"
Williams_v_GoAuto_Insurance,12,0,,legal,1,,1,,13B,1,0,E beats source only,probes/legal/Williams_v_GoAuto_Insurance/inference/probes_v12_mcqa.csv,Which step in APAC’s process most directly provides the statute’s function of granting “a minimum time during which the default may be cured”?,the ten-day notice,(A),the ten-day notice,the exact cancellation date,the policy cancellation,the insured’s missed payment,APAC’s strict adherence to the statute,Multi-Fact Integration,A notice that gives the insured ten days before cancellation directly supplies the minimum time to cure described by the court.,"['Strict adherence to the statute “serves two functions: (1) it provides a clear method of fixing the exact time and date of cancellation, and (2) it grants a minimum time during which the default may be cured.”', 'When an insured fails to make timely payment, APAC sends notice to the insured that their policy will be cancelled if no payment is submitted within ten days.']"
Pacito_v_Trump,6,0,,legal,0,,1,,13B,1,1,E only vs both,probes/legal/Pacito_v_Trump/inference/probes_v12_mcqa.csv,What legal difference let the panel sustain the admissions suspension while still ordering relief for some refugees?,post-admission reception and placement duties,(C),nationality-based refugee screening criteria,cooperative agreement reinstatement requirements,post-admission reception and placement duties,approved-but-unadmitted refugee status,statutory limits on suspending admissions,Synthesized Insight,"The panel treated suspension of future admissions and duties owed after admission as separate matters, allowing it to favor the government on one while ordering relief on the other.","['The government is likely to prevail on plaintiffs’ challenge to the validity of Executive Order No. 14163’s suspension of refugee admissions', 'Under 8 U.S.C. § 1522, the government must provide certain reception and placement services to refugees after their admission into the United States.', 'the government is hereby directed to reinstate such cooperative agreements necessary to provide the reception and placement services described in § 1522 to refugees who have been admitted to the United States.']"
United_States_v_Constantinescu,0,0,,legal,0,,1,,13B,1,1,E only vs both,probes/legal/United_States_v_Constantinescu/inference/probes_v12_mcqa.csv,"After taking the indictment’s allegations as true and finding an offense stated, what procedural step followed in the court of appeals?",reversal and remand,(E),remand for additional fact-finding,dismissal of the appeal,affirmance of the dismissal,vacatur of the indictment,reversal and remand,Multi-Fact Integration,"After taking the allegations as true and finding that they state an offense, the court logically reversed the dismissal and sent the case back.","['“[T]he court is required to take the allegations of the indictment as true and to determine whether an offense has been stated.”', 'Because the indictment sufficiently alleges a scheme and intent to defraud, we REVERSE the district court’s dismissal of the indictment and REMAND for proceedings consistent with this opinion.']"
United_States_v_Jaison_Coleman,5,0,,legal,0,,1,,13B,1,1,E only vs both,probes/legal/United_States_v_Jaison_Coleman/inference/probes_v12_mcqa.csv,"According to the court’s reasoning, why did the officers’ quick canvas and basic questioning remain within the scope of consent?",checking the children’s welfare,(D),determining who lived there,investigating possible domestic violence,locating Coleman as a suspect,checking the children’s welfare,conducting a protective sweep,Multi-Fact Integration,"Because the consented purpose was a welfare check that included confirming safety from Coleman, the brief scan and questioning were treated as necessary means to carry out that purpose.","['Their stated purpose was to check the welfare of her children inside, including by confirming that Coleman presented no danger to them or anyone else.', 'Doing so necessarily required the police to scan the home, locate everyone, and ask some basic questions.']"
Williams_v_GoAuto_Insurance,5,0,,legal,0,,1,,13B,1,1,E only vs both,probes/legal/Williams_v_GoAuto_Insurance/inference/probes_v12_mcqa.csv,"Under the court’s reading of ""receipt,"" what gave GoAuto authority to cancel before any employee handled the printed documents?",receipt of the e-mailed notice,(C),custody of the printed documents by GoAuto personnel,the computer system's automatic cancellation of the policy,receipt of the e-mailed notice,delivery of the printed cancellation request to a GoAuto employee,transmission of the e-mailed notice,Multi-Fact Integration,"The court equated receipt with possession, delivery, or custody, and found that standard met when GoAuto’s computer system received the e-mail.","['We accept these definitions and conclude that GoAuto may cancel a policy once it takes possession, delivery, or custody of a request for cancellation.', 'As we explained, once the e-mailed notice is received in early morning hours by GoAuto’s computer system, that computer system cancels the policy.', 'GoAuto’s method of receiving the notice and reacting to it satisfies the statute.']"
ByteLatent,8,1,,arxiv,0,,1,,32B,0,1,E beats para only,probes/arxiv/ByteLatent/inference/probes_v12_mcqa.csv,"In repetitive structured content, what unwanted patching pattern were newline resets and the approximate monotonicity rule meant to reduce?",progressively larger patches,(A),progressively larger patches,uniformly fixed patch sizes,context-length entropy spikes,erratically shifting patch boundaries,progressively smaller patches,Multi-Fact Integration,"The two changes are introduced right after noting that repetitive structured content causes patches to keep growing, so they are meant to curb that growth pattern.","['Empirically, we find that using entropy patching yields progressively larger patches in structured content like multiple choice tasks (see patching on an MMLU example in \\autoref{fig:mmlu_patching}) which are often very repetitive.', 'So for the large scale run of {\\textsc BLT}-Entropy with patch size 4.5, we reset the entropy context with new lines and use approximate monontonicity constraint as it suffers less from ""entropy drift"" from changes in context length.']"
DPO,4,1,,arxiv,0,,1,,32B,0,1,E beats para only,probes/arxiv/DPO/inference/probes_v12_mcqa.csv,"Because DPO beats PPO even when PPO is given ground-truth rewards, what part of the usual RLHF pipeline is the more likely bottleneck than reward modeling?",RL optimization,(C),reward model capacity,supervised fine-tuning initialization,RL optimization,KL-regularization tuning,preference data quality,Synthesized Insight,"If PPO still loses when given perfect rewards while optimizing the same objective, the weakness lies in the RL optimization stage rather than reward estimation.","[""First, DPO and PPO optimize the same objective, but DPO is notably more efficient; DPO's reward/KL tradeoff strictly dominates PPO."", 'Second, DPO achieves a better frontier than PPO, \\emph{even when PPO can access ground truth rewards} (PPO-GT).']"
GRPO,5,1,,arxiv,0,,1,,32B,0,1,E beats para only,probes/arxiv/GRPO/inference/probes_v12_mcqa.csv,"Because RL used only GSM8K and MATH chain-of-thought questions yet still improved the other benchmarks, how should those gains be characterized?",out-of-domain improvement,(C),in-domain improvement,benchmark-specific overfitting,out-of-domain improvement,SFT-data carryover,benchmark contamination effects,Multi-Fact Integration,"Since RL was trained only on GSM8K and MATH questions yet improved metrics on other benchmarks too, those gains must be out-of-domain improvements.","['""The training data of RL are chain-of-thought-format questions related to GSM8K and MATH from the SFT data, which consists of around 144K questions.""', '""We exclude other SFT questions to investigate the impact of RL on benchmarks that lack data throughout the RL phase.""', '""Despite the constrained scope of its training data, it outperforms DeepSeekMath-Instruct 7B across all evaluation metrics""']"
GRPO,8,1,,arxiv,0,,1,,32B,0,1,E beats para only,probes/arxiv/GRPO/inference/probes_v12_mcqa.csv,"Since GRPO+PS beat GRPO+OS and outcome supervision only rewards the final output, what extra signal appears helpful for hard math tasks?",rewards at each reasoning step,(D),a larger reward at the end of each output,additional supervision on the overall solution format,fine-grained gradient coefficients only on the final answer,rewards at each reasoning step,longer reasoning chains before receiving outcome supervision,Synthesized Insight,"Since final-output rewards were insufficient and process supervision with step-level rewards performed better, step-level feedback is the helpful extra signal.","['Outcome supervision only provides a reward at the end of each output, which may not be sufficient and efficient to supervise the policy in complex mathematical tasks.', 'Following \\cite{wang2023math}, we also explore process supervision, which provides a reward at the end of each reasoning step.', 'As demonstrated in Figure \\ref{fig:rl-analysis}, GRPO+PS shows superior performance compared to GRPO+OS, indicating the benefits of using fine-grained, step-aware gradient coefficients.']"
QLoRA,1,1,,arxiv,0,,1,,32B,0,1,E beats para only,probes/arxiv/QLoRA/inference/probes_v12_mcqa.csv,"In QLoRA, what learned component recovers the performance lost from 4-bit quantization?",LoRA adapters,(C),the frozen 4-bit base model weights,the base-model weight gradients,LoRA adapters,the quantization constants from double quantization,the dequantized computation-time weights,Synthesized Insight,"Since only LoRA parameters are updated and adapter finetuning recovers the lost quantized performance, the adapters are the component that compensates for quantization error.","['""We dequantize the storage data type to the computation data type to perform the forward and backward pass, but we only compute weight gradients for the LoRA parameters""', '""This suggests that the performance lost due to the imprecise quantization can be fully recovered through adapter finetuning after quantization.""']"
1_58,5,0,,arxiv,1,,1,,32B,1,0,E beats source only,probes/arxiv/1_58/inference/probes_v12_mcqa.csv,Which component's growing share is the paper's reason that BitNet b1.58 gains more end-to-end energy advantage at larger model sizes?,nn.Linear,(C),the embedding layer,self-attention,nn.Linear,matrix multiplication,LayerNorm,Multi-Fact Integration,"Since matrix multiplication dominates cost and its share grows with model size through nn.Linear, the growing component behind larger end-to-end energy gains is nn.Linear.","['We focus mainly on the calculation for matrix multiplication, since it contributes the most to the cost of LLMs.', 'According to the energy model in~\\cite{energycost, pokebnn}, \\text{BitNet b1.58} saves 71.4 times arithmetic operations energy consumption for matrix multiplication on 7nm chips.', 'Our results show that as the model size scales, \\text{BitNet b1.58} becomes increasingly more efficient in terms of energy consumption compared to the FP16 \\text{LLaMA LLM} baseline. This is due to the fact that the percentage of \\emph{nn.Linear} grows with the model size']"
1_58,7,0,,arxiv,1,,1,,32B,1,0,E beats source only,probes/arxiv/1_58/inference/probes_v12_mcqa.csv,"By halving activation precision, BitNet b1.58 directly eases the memory problem of what long-sequence component?",KV caches,(C),rotary embeddings,attention maps,KV caches,context windows,model parameters,Multi-Fact Integration,"Since KV cache memory is identified as the long-sequence bottleneck, lowering activation precision helps by reducing that bottleneck.","['One major challenge for long sequence inference is the memory consumption introduced by the KV caches.', 'BitNet b1.58 represents a significant step towards native support for long sequences, as it reduces the activations from 16 bits to 8 bits, allowing the context length to be doubled given the same resources.']"
1_58,12,0,,arxiv,1,,1,,32B,1,0,E beats source only,probes/arxiv/1_58/inference/probes_v12_mcqa.csv,What architectural choice is the reason BitNet b1.58 can be integrated into popular open-source software with minimal effort?,LLaMA-alike components,(D),rotary embedding,the 1.58-bit quantization scheme,removing all biases,LLaMA-alike components,"native compatibility with Huggingface, vLLM, and llama.cpp APIs",Multi-Fact Integration,The second sentence states that minimal integration follows from the LLaMA-alike design choice in the first sentence.,"['To embrace the open-source community, our design of \\text{BitNet b1.58} adopts the LLaMA-alike components. Specifically, it uses RMSNorm~\\cite{rmsnorm}, SwiGLU~\\cite{swiglu}, rotary embedding~\\cite{rope}, and removes all biases.', 'In this way, \\text{BitNet b1.58} can be integrated into the popular open-source software (e.g., Huggingface, vLLM~\\cite{vllm}, and llama.cpp) with minimal efforts.']"
