domain,probe_index,source_correct,source_pred,source_group,para_correct,para_pred,expl_correct,expl_pred,model,expl_over_source,expl_over_para,probe_file,question,answer,correct_label,option_a,option_b,option_c,option_d,option_e,inference_type,derivation,source_facts
GRPO,2,1,,arxiv,0,,0,,13B,-1,0,probes/arxiv/GRPO/inference/probes_v12_mcqa.csv,"If the goal is to improve program-aided mathematical reasoning without sacrificing coding performance, which training setup is favored over two-stage code-then-math training?",one-stage mixed training,(B),separate code and math training without token mixing,one-stage mixed training,continued code pretraining followed by math fine-tuning,one-stage math-only training,two-stage math-then-code training,Multi-Fact Integration,"Since two-stage code-then-math hurts coding but one-stage mixing preserves coding while helping program-aided math, the mixed setup better fits that goal.","['Math training following code training degrades coding performance.', 'Interestingly, under the one-stage training setting, mixing code tokens and math tokens effectively mitigates the issue of catastrophic forgetting that arises from two-stage training, and also synergizes coding (Table \\ref{tab:code-math-general-eval}) and program-aided mathematical reasoning (Table \\ref{tab:code-math}).']"
GRPO,9,1,,arxiv,0,,1,,13B,0,1,probes/arxiv/GRPO/inference/probes_v12_mcqa.csv,"By including code tokens during continual training, what downside of math training did DeepSeekMath-Base avoid?",loss of coding performance,(C),overfitting to the two coding benchmarks,reduced performance on MMLU and BBH,loss of coding performance,loss of language understanding and reasoning performance,loss of mathematical reasoning performance,Multi-Fact Integration,The model gained reasoning improvements from math training while preserving coding ability because code tokens prevented that capability from dropping.,"['Additionally, by including code tokens for continual training, DeepSeekMath-Base 7B effectively maintains the performance of DeepSeek-Coder-Base-v1.5 on the two coding benchmarks.', 'DeepSeekMath-Base 7B exhibits significant enhancements in performance on MMLU and BBH over its precursor, DeepSeek-Coder-Base-v1.5 \\citep{deepseek-coder}, illustrating the positive impact of math training on language understanding and reasoning.']"
GRPO,11,1,,arxiv,0,,0,,13B,-1,0,probes/arxiv/GRPO/inference/probes_v12_mcqa.csv,What underlying issue do the triangle and ellipse failures suggest about the training data?,data selection bias,(B),an overfitting issue on quantitative reasoning benchmarks,data selection bias,a lack of multimodal diagram understanding data,poor transfer from closed-model geometry capabilities,insufficient theorem-proof examples in fine-tuning,Synthesized Insight,"The paper links specific geometry failures to a skew in what the training pipeline selected, implying the weakness comes from biased data coverage.","['Although DeepSeekMath~achieves impressive scores on quantitative reasoning benchmarks, its capability on geometry and theorem-proof are relatively weaker than closed models.', 'For instance, in our dry run, the model cannot handle problems related to triangles and ellipses, which may indicate data selection bias in pre-training and fine-tuning.']"
GSPO,3,0,,arxiv,0,,1,,13B,1,1,probes/arxiv/GSPO/inference/probes_v12_mcqa.csv,"If every token in a response is assigned the same advantage, which objective variant becomes numerically identical to GSPO in objective, clipping, and gradient?",GSPO-token,(D),PPO-token,DAPO,GRPO,GSPO-token,response-level PPO,Reasoning Step,"If all token advantages are tied to the same response-level value and s_{i,t} equals s_i numerically, the token variant collapses to the same behavior as GSPO.","['Note that the term $\\frac{ \\pi_{\\theta} (y_{i,t} | x, y_{i,<t}) }{ \\mathrm{sg} \\left[ \\pi_{\\theta} (y_{i,t} | x, y_{i,<t}) \\right] }$ has a numerical value of 1, so $s_{i,t}(\\theta)$ is numerically equal to $s_{i}(\\theta)$.', 'Comparing Equation~\\eqref{equ:gspo} and~\\eqref{equ:gspo-token}, and Equation~\\eqref{equ:gspo_grad} and~\\eqref{equ:gspo-token_grad}, GSPO-token and GSPO are numerically identical in the optimization objective, clipping condition, and theoretical gradient when we set the advantages of all the tokens in the response $y_i$ to the same value (i.e., $\\widehat{A}_{i,t} = \\widehat{A}_{i}$), while GSPO-token enjoys the higher flexibility of adjusting the advantages per token.']"
GSPO,5,0,,arxiv,0,,1,,13B,1,1,probes/arxiv/GSPO/inference/probes_v12_mcqa.csv,"According to the gradient analysis, what feature of GSPO removes the instability factor present in GRPO's token gradients?",equal token weights,(B),per-token KL regularization,equal token weights,bounded token-weight ranges,sequence-level advantage normalization,clipped per-token importance weights,Synthesized Insight,"Since GRPO's instability comes from unequal per-token weights that accumulate unpredictably, GSPO removes that factor by assigning the same weight to every token in a response.","[""In GRPO, the tokens are weighted according to their respective ``importance weight'' $\\frac{ \\pi_{\\theta} (y_{i,t} | x, y_{i,<t}) }{ \\pi_{\\theta_\\text{old}} (y_{i,t} | x,y_{i,<t})}$."", 'However, these unequal weights, which can vary among $(0, 1+\\varepsilon]$ (for $\\widehat{A}_{i} >0$) or $[1-\\varepsilon, +\\infty)$ (for $\\widehat{A}_{i} < 0$), are not negligible, and their impact can accumulate and lead to unpredictable consequences as training progresses.', 'In contrast, GSPO weights all the tokens in a response equally, eliminating this instability factor of GRPO.']"
GSPO,8,1,,arxiv,1,,0,,13B,-1,-1,probes/arxiv/GSPO/inference/probes_v12_mcqa.csv,Why would reusing GRPO's clipping range for GSPO be mismatched even before testing performance?,different importance-ratio scales,(D),different advantage-normalization schemes,different reward-model calibration procedures,different learning-rate and batch-size regimes,different importance-ratio scales,different left- and right-clipping asymmetries,Multi-Fact Integration,"Because GSPO and GRPO define their importance ratios differently, their clipping thresholds live on different numerical scales, so one algorithm's range is not directly suitable for the other.","['We also note that the clipping ranges in GSPO and in previous algorithms (e.g., GRPO) typically differ in order of magnitude due to the distinct definitions of importance ratios.', 'In GSPO, we set the left and right clipping ranges in Equation~\\eqref{equ:gspo} to 3e-4 and 4e-4, respectively.', 'We compare against GRPO as the baseline and set the left and right clipping ranges in Equation~\\eqref{equ:grpo} to 0.2 and 0.27, respectively']"
GSPO,9,1,,arxiv,0,,1,,13B,0,1,probes/arxiv/GSPO/inference/probes_v12_mcqa.csv,What shared level of abstraction connects both GSPO's importance ratio and its reward handling?,the sequence level,(C),the query level,the token level,the sequence level,the pairwise-comparison level,the group level,Synthesized Insight,"Both the importance ratio and the reward handling are defined over whole responses, so they are aligned at the same level.","['The key innovation of GSPO lies in its theoretically grounded definition of importance ratio based on sequence likelihood \\citep{click}, aligning with the basic principle of importance sampling.', 'Additionally, GSPO computes the normalized rewards as the advantages of multiple responses to a query, ensuring the alignment between sequence-level rewarding and optimization.']"
LongRoPE,2,0,,arxiv,1,,0,,13B,0,-1,probes/arxiv/LongRoPE/inference/probes_v12_mcqa.csv,"Based on the two-stage LLaMA2 fine-tuning schedule, how many total fine-tuning steps are used before the secondary search to 2048k?",1000 steps,(A),1000 steps,1200 steps,600 steps,800 steps,2048 steps,Reasoning Step,Adding the two training stages gives the total number of fine-tuning steps before the final secondary search.,"['Specifically, we first fine-tune LLaMA2 for 400 steps using the RoPE rescaled factors for 128k. Then, we replace the RoPE rescaled factors to 256k on the finished checkpoint and conduct an additional 600 steps of fine-tuning.']"
LongRoPE,5,0,,arxiv,0,,1,,13B,1,1,probes/arxiv/LongRoPE/inference/probes_v12_mcqa.csv,"At 2048k, what part of the token-position strategy stops being useful?",preserving initial tokens,(E),preserving final tokens,preserving middle tokens,interpolating initial tokens,leaving all tokens un-interpolated,preserving initial tokens,Multi-Fact Integration,The paper links the weak 2048k benefit of token-position non-uniformity to the fact that keeping only the earliest tokens un-interpolated stops helping at that length.,"['Non-uniformity in token position clearly improves performance at 16k and 32k lengths  but does not show the same impact at 2048k, possibly due to the extremely long length.', 'Preserving only the initial tokens without interpolation becomes non-useful, and we leave this as future work.']"
OFT,0,1,,arxiv,0,,1,,13B,0,1,probes/arxiv/OFT/inference/probes_v12_mcqa.csv,Why should OFT be easier to tune in practice than a method with sudden convergence behavior like ControlNet?,smoother training dynamics,(D),fewer trainable parameters,faster convergence speed,more modular control branches,smoother training dynamics,stronger conditioning fidelity,Synthesized Insight,"Because the training dynamics are smoother and more predictable, hyperparameter search becomes easier.","['""Such a convergence stability makes our OFT framework much easier to use in practice, since the training dynamics of OFT is far more smooth and predictable.""', '""Thus it will be easier to find good OFT\'s hyperparameters.""']"
OFT,12,1,,arxiv,1,,0,,13B,-1,-1,probes/arxiv/OFT/inference/probes_v12_mcqa.csv,Why can re-scaled OFT learn per-neuron scaling without altering the hyperspherical-energy property?,magnitudes are normalized out,(C),orthogonal updates already preserve vector norms,only the rotation matrix affects the loss,magnitudes are normalized out,the diagonal scaling matrix stays orthogonal,hyperspherical energy is computed on the base weights,Reasoning Step,"Because hyperspherical energy depends on normalized neurons, changing only magnitudes through a diagonal scaling does not alter it.","['We propose a simple extension to the original OFT by additionally learning a magnitude scaling coefficient for each neuron.', 'This is motivated by the fact that re-scaling neurons does not change the hyperspherical energy (the magnitude will be normalized out).']"
OFT,13,1,,arxiv,1,,0,,13B,-1,-1,probes/arxiv/OFT/inference/probes_v12_mcqa.csv,What extra ingredient gives COFT better finetuning stability than OFT?,constrained deviation from the pretrained model,(B),minimal hyperspherical energy difference,constrained deviation from the pretrained model,orthogonal weight reparameterization during finetuning,preservation of the pretrained model's hyperspherical energy landscape,a reduced effective update magnitude through more conservative optimization,Multi-Fact Integration,The paper attributes COFT's extra stability specifically to the added explicit limit on how far the finetuned model may move from the pretrained one.,"['COFT can be viewed as a combination of two explicit constraints: minimal hyperspherical energy difference and constrained deviation from the pretrained model.', 'Despite the excellent performance of OFT, we observe that COFT yields even better finetuning stability than OFT due to this explicit deviation constraint.']"
OFT,16,1,,arxiv,0,,1,,13B,0,1,probes/arxiv/OFT/inference/probes_v12_mcqa.csv,"With block sharing enabled, if the number of blocks $r$ is doubled, by what factor does OFT's parameter complexity shrink?",four times,(C),two times,sixteen times,four times,not at all,eight times,Reasoning Step,"With complexity proportional to $1/r^2$, doubling $r$ makes the parameter cost one fourth as large.",['This reduces the parameter complexity to $\\mathcal{O}(d^2/r^2)$.']
OFT,18,0,,arxiv,1,,1,,13B,1,0,probes/arxiv/OFT/inference/probes_v12_mcqa.csv,"If several OFT task matrices are multiplied together and applied to a layer, what relation among neurons would still be preserved?",pairwise hyperspherical similarity,(C),pairwise feature covariance,pairwise orthogonal coupling,pairwise hyperspherical similarity,pairwise hyperspherical energy,pairwise semantic alignment,Multi-Fact Integration,"Since the product of multiple OFT task matrices is still orthogonal, applying that product still has the orthogonal-transformation invariance that preserves pairwise hyperspherical similarity.","['Second, OFT has unique potential in compositionality, in the sense that the orthogonal matrices produced by multiple OFT finetuning tasks can be multiplied together and remains an orthogonal matrix.', 'Therefore, we take advantage of an invariance property of hyperspherical energy -- the pairwise hyperspherical similarity is provably preserved if we apply the same orthogonal transformation for all neurons.']"
OFT,19,0,,arxiv,0,,1,,13B,1,1,probes/arxiv/OFT/inference/probes_v12_mcqa.csv,"In subject-driven generation, what two goals does OFT achieve simultaneously rather than forcing the tradeoff seen in the baselines?",subject preservation and controllability,(C),training efficiency and controllability,subject preservation and image diversity,subject preservation and controllability,semantic consistency and reconstruction quality,subject identity and visual realism,Synthesized Insight,The two comparisons show OFT avoiding the baseline tradeoff by preserving the subject while still following the prompt accurately.,"['From the results in Figure~\\ref{fig:dreambooth_final}, we can observe that both OFT and COFT deliver excellent semantic subject preservation, while LoRA often fails to preserve the subject identity (\\emph{e.g.}, LoRA completely loses the subject identity in the bowl example).', 'In the meantime, both OFT and COFT have much more accurate control using text prompts, while DreamBooth, despite its preservation of subject identity, often fails to generate the image following the text prompt (\\emph{e.g.}, the first row of the bowl example).', 'The qualitative comparison demonstrates that our OFT framework achieves better controllability and subject preservation at the same time.']"
QLoRA,2,0,,arxiv,1,,0,,13B,0,-1,probes/arxiv/QLoRA/inference/probes_v12_mcqa.csv,"Under a fixed memory budget, what model change do these comparisons suggest is favorable?",more parameters at lower precision,(C),prioritizing instruction tuning over model scale,fewer parameters at higher precision,more parameters at lower precision,keeping parameter count fixed while increasing weight precision,smaller models at full 16-bit precision,Synthesized Insight,These examples show that lowering precision can free enough memory to use models that are either larger or more efficient while still improving results.,"['""{Guanaco} 33B has more parameters than the Vicuna 13B model, but uses only 4-bit precision for its weights and is thus much more memory efficient at 21 GB vs 26 GB, providing a three percentage points of improvement over Vicuna 13B.""', '""our smallest \\textbf{Guanaco} model (7B parameters) requires just 5 GB of memory and outperforms a 26 GB Alpaca model by more than 20 percentage points on the Vicuna benchmark""']"
QLoRA,7,0,,arxiv,1,,1,,13B,1,0,probes/arxiv/QLoRA/inference/probes_v12_mcqa.csv,"If 4-bit quantization alone hurts model quality, what additional step restores 16-bit-level performance according to the paper?",adapter finetuning,(A),adapter finetuning,dequantizing the model back to 16-bit before finetuning,paged optimizer training,switching to the NF4 quantization format,double quantization,Synthesized Insight,"The paper contrasts degraded 4-bit inference with recovered performance after finetuning, so the extra step that restores quality is adapter finetuning.","['recent findings have established that 4-bit quantization for \\emph{inference} is possible, but leads to performance degradation relative to 16-bit', 'This suggests that the performance lost due to the imprecise quantization can be fully recovered through adapter finetuning after quantization.']"
QLoRA,13,1,,arxiv,0,,0,,13B,-1,0,probes/arxiv/QLoRA/inference/probes_v12_mcqa.csv,"At 33B-65B scale, what stronger comparison remains unproven even though QLoRA matches 16-bit LoRA?",full 16-bit finetuning,(D),the original 16-bit pretrained model,NF4 with double quantization,16-bit LoRA finetuning,full 16-bit finetuning,full 8-bit finetuning,Multi-Fact Integration,"Matching 16-bit LoRA at large scale does not prove matching the stronger baseline of full 16-bit finetuning, which the paper says remains unestablished.","['Results are shown in Table~\\ref{tbl:llama-datatype} where we see that NF4 with double quantization fully recovers the 16-bit LoRA MMLU performance.', 'Despite this evidence, we did not establish that \\textsc{QLoRA} can match full 16-bit finetuning performance at 33B and 65B scales.']"
QLoRA,20,0,,arxiv,1,,1,,13B,1,0,probes/arxiv/QLoRA/inference/probes_v12_mcqa.csv,"If one instruction dataset is much larger but worse for chatbot performance, what property should be prioritized over sample count?",data quality,(E),domain coverage,quantization precision,the number of finetuning steps,dataset diversity,data quality,Multi-Fact Integration,"Because the smaller OASST1 set beat the much larger FLAN v2 set for chatbot performance, the property to prioritize over sample count is data quality or suitability.","['First, we find that data quality is far more important than dataset size, e.g., a 9k sample dataset (OASST1) outperformed a 450k sample dataset (FLAN v2, subsampled) on chatbot performance', 'dataset suitability matters more than size for a given task.']"
QLoRA,26,1,,arxiv,1,,0,,13B,-1,-1,probes/arxiv/QLoRA/inference/probes_v12_mcqa.csv,What property of a finetuning dataset most directly predicts whether it will help on MMLU versus chatbot benchmarks?,similarity to the benchmark dataset,(B),overall size of the instruction dataset,similarity to the benchmark dataset,degree of label cleanliness and curation quality,whether it is drawn from FLAN v2 rather than Chip2,proportion of chatbot-style conversations it contains,Multi-Fact Integration,"Since benchmark performance tracks how similar the finetuning data is to each benchmark, similarity to the benchmark dataset is the key predictor.","['From the evidence presented, it appears that the performance of these benchmarks likely depends how similar the finetuning data is to the benchmark dataset.', 'For example, FLAN v2 is similar to MMLU, but dissimilar to chatbot benchmarks and vice versa for the Chip2 dataset and both models score accordingly on the MMLU and Vicuna benchmarks.']"
QLoRA,27,1,,arxiv,0,,1,,13B,0,1,probes/arxiv/QLoRA/inference/probes_v12_mcqa.csv,"What broader weakness is revealed when the secret stays hidden under a direct question but is revealed after ""ignore your previous instructions""?",faithful instruction following,(C),reliable refusal behavior,robust jailbreak resistance,faithful instruction following,secure knowledge suppression,stable prompt robustness,Synthesized Insight,"If the secret stays hidden under direct questioning but is revealed after a small prompt trick, then the model's instruction following is not reliably faithful.","['which is the desired behavior. However, a tiny amount of trickery breaks this behavior:', 'showcasing the need to study methods for more faithful instruction following.']"
fa3,1,0,,arxiv,1,,0,,13B,0,-1,probes/arxiv/fa3/inference/probes_v12_mcqa.csv,"In the producer-consumer warp split of FlashAttention-3, which warps should get the larger register allocation?",consumer warps,(A),consumer warps,producer warps,the single producer thread responsible for TMA issuance,both producer and consumer warps equally,warps just issuing TMA data movement,Multi-Fact Integration,"In a producer-consumer split, the computation warps are the ones doing MMAs, so they are the ones that benefit from the larger register share.","['Hardware support for asynchrony allows for warp-specialized kernels, where the warps of a CTA are divided into producer or consumer roles that only ever issue either data movement or computation.', 'In addition, Hopper supports the dynamic reallocation of registers between warpgroups via setmaxnreg, so those warps doing MMAs can obtain a larger share of RMEM than those just issuing TMA (for which only a single thread is needed).']"
fa3,3,1,,arxiv,0,,0,,13B,-1,0,probes/arxiv/fa3/inference/probes_v12_mcqa.csv,"If the register permutation changes the column order of the $\mathbf{P}$ tile, what corresponding change must be made to $\mathbf{V}$ so the second WGMMA still computes the correct output?",a matching row permutation,(A),a matching row permutation,no change to \mathbf{V},a matching column permutation,an in-kernel transpose of the \mathbf{P} tile,an inverse row permutation,Multi-Fact Integration,"If the columns of the P tile are permuted, the corresponding rows of V must be permuted the same way so the matrix product still matches.","['In terms of the logical shape of the $\\mathbf{P}$ tile, this manuever permutes its columns (e.g., columns $0189$ now become the first four columns).', 'For WGMMA to then compute the correct output tile, we can correspondingly arrange for the in-kernel transpose to write out a matching row permutation of the $\\mathbf{V}$ tile.']"
fa3,13,0,,arxiv,0,,1,,13B,1,1,probes/arxiv/fa3/inference/probes_v12_mcqa.csv,"Besides transposing V, what additional change is needed so the output of one FP8 WGMMA can feed the next one correctly?",a register permutation,(B),a change to operand B's column-major layout,a register permutation,a matching row permutation of the Q tile,a shared-memory swizzle of the FP32 accumulator,an extra FP32 rescaling step before the second WGMMA,Multi-Fact Integration,"Since the accumulator layout does not already match the next FP8 WGMMA input layout, a register-side permutation is needed in addition to the V-tile permutation.","['Second, we observe that unlike with FP16, the memory layout of the FP32 accumulator of an FP8 WGMMA is different from that assumed for its operand A when held in registers.', ""By using byte permute instructions, we can then transform the first WGMMA's accumulator into a format suitable for the second WGMMA,"", 'For WGMMA to then compute the correct output tile, we can correspondingly arrange for the in-kernel transpose to write out a matching row permutation of the $\\mathbf{V}$ tile.']"
fa3,25,0,,arxiv,1,,1,,13B,1,0,probes/arxiv/fa3/inference/probes_v12_mcqa.csv,"When causal masking is used, how does the backward-pass FLOP count compare to the forward-pass FLOP count?",2.5 times larger,(A),2.5 times larger,5 times larger,half as large,2 times larger,1.25 times larger,Reasoning Step,"Halving the forward FLOPs for causal masking does not change the stated backward-to-forward multiplier, which remains 2.5.","['With causal masking, we divide this number by 2 to account for the fact that approximately only half of the entries are calculated.', 'To get the FLOPs of the backward pass, we multiply the forward pass FLOPs by 2.5 (since there are 2 matmuls in the forward pass and 5 matmuls in the backward pass, due to recomputation).']"
xLSTM,0,0,,arxiv,0,,1,,13B,1,1,probes/arxiv/xLSTM/inference/probes_v12_mcqa.csv,Which xLSTM cell matches both of these goals: larger storage capacity and full parallelization?,mLSTM,(B),sLSTM,mLSTM,the scalar-update xLSTM variant,the scalar-memory cell with memory mixing,the standard LSTM with exponential gating,Multi-Fact Integration,"The variant that explicitly increases storage capacity via a matrix memory is mLSTM, and the same sentence also states that this variant is fully parallelizable.","['To enhance storage capacities of LSTMs, we increase the LSTM memory cell from a scalar $c \\in \\mathbb{R}$ to a matrix $\\mathbf{C} \\in \\mathbb{R}^{d \\times d}$.', 'Those modifications --- exponential gating and novel memory structures --- enrich the LSTM family by two members: (i) the new sLSTM (see Section~\\ref{sec:sLSTM}) with a scalar memory, a scalar update, and memory mixing, and (ii) the new mLSTM (see Section~\\ref{sec:mLSTM}) with a matrix memory and a covariance (outer product) update rule, which is fully parallelizable.']"
xLSTM,6,0,,arxiv,1,,0,,13B,0,-1,probes/arxiv/xLSTM/inference/probes_v12_mcqa.csv,"For a parity-style task that requires state tracking, which xLSTM memory type is the better fit?",sLSTM,(C),a Transformer-style memory block,mLSTM,sLSTM,multi-head mLSTM,a State Space Model cell,Multi-Fact Integration,"The parity task is said to need memory mixing for state tracking, and among the two xLSTM cell types only sLSTM retains memory mixing.","['The new sLSTM can have multiple heads with memory mixing within each head but not across heads.', 'Since the mLSTM has no memory mixing, this recurrence can be reformulated in a parallel version.', 'Models such as Transformers or State Space Models without memory mixing (no state tracking) cannot solve, e.g.\\ regular grammars like the parity task.']"
xLSTM,11,0,,arxiv,1,,1,,13B,1,0,probes/arxiv/xLSTM/inference/probes_v12_mcqa.csv,"If an xLSTM modification is added specifically to improve the token group hurt by limited storage capacity, which modification is it?",a matrix memory,(C),a larger hidden state,a scalar memory cell,a matrix memory,an exponential gating mechanism,a vector memory,Multi-Fact Integration,The paper explicitly links rare-token weakness to limited storage and then identifies the matrix memory as the storage-enhancing change.,"['LSTM performs worse on rare tokens because of its limited storage capacities. Our new xLSTM solves this problem by a matrix memory.', 'To enhance storage capacities of LSTMs, we increase the LSTM memory cell from a scalar $c \\in \\mathbb{R}$\nto a matrix $\\mathbf{C} \\in \\mathbb{R}^{d \\times d}$.']"
