domain,probe_index,question,answer,correct_label,pred_7b,pred_13b,pred_32b,inference_type,derivation,option_a,option_b,option_c,option_d,option_e,probe_file
Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,0,What does the combination of a normal macroscopic endoscopy and an abnormal duodenal biopsy imply about gross endoscopy alone in this case?,did not exclude malabsorption,(A),,,A,Reasoning Step,"Because biopsy still found an abnormality after a normal-looking endoscopy, gross appearance alone could not rule out the malabsorption-related finding.",did not exclude malabsorption,did indicate preserved parietal cell function,did exclude mucosal causes of B12 deficiency,did identify chronic gastritis without biopsy confirmation,did make additional histologic sampling unnecessary,probes/medical/Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic/inference/probes_v12_mcqa.csv
Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic,7,Which additional gold-standard diagnostic component for suspected TBD was mentioned in the discussion but not reported as performed in this case?,telomere length measurement,(C),,,C,Reasoning Step,"Since the report names both genetic testing and telomere length testing as gold-standard components, performing exome sequencing alone means one gold-standard element was not described.",next-generation sequencing–based genetic testing,liver biopsy to confirm hepatic fibrosis,telomere length measurement,bone marrow biopsy with cytogenetic analysis,high-resolution chest CT with pulmonary function testing,probes/medical/Monoallelic_PARN_mutation_presenting_as_pancytopenia_hepatic/inference/probes_v12_mcqa.csv
Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,7,"When interpreting why her relapses eventually stopped, which added treatment does the report say should not be assumed to have prevented biphasic recurrence?",corticosteroids,(C),,,C,Synthesized Insight,"Because the discussion says corticosteroids lack evidence for preventing biphasic recurrence, their use in this case should not be assumed to explain why the relapses stopped.",antihistamines,intravenous fluid resuscitation,corticosteroids,nebulized bronchodilators,intramuscular adrenaline,probes/medical/Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care/inference/probes_v12_mcqa.csv
OFT,0,Why should OFT be easier to tune in practice than a method with sudden convergence behavior like ControlNet?,smoother training dynamics,(D),,,D,Synthesized Insight,"Because the training dynamics are smoother and more predictable, hyperparameter search becomes easier.",fewer trainable parameters,faster convergence speed,more modular control branches,smoother training dynamics,stronger conditioning fidelity,probes/arxiv/OFT/inference/probes_v12_mcqa.csv
OFT,2,What aspect of a generated image does the control consistency metric directly test?,match to the control signal,(B),,,B,Multi-Fact Integration,"Because it reconstructs a control signal from the output and compares it with the input control, the metric directly evaluates how closely the image follows the control condition.",match to the text prompt,match to the control signal,diversity across multiple generated samples,preservation of the base model's prior knowledge,visual realism of the generated image,probes/arxiv/OFT/inference/probes_v12_mcqa.csv
OFT,10,"If OFT uses as many blocks as input channels in a convolution layer, what kind of convolution behavior does its transform resemble?",depth-wise convolution kernels,(B),,,B,Reasoning Step,"Matching the number of blocks to the number of input channels isolates each channel's transform, which the paper likens to depth-wise convolution kernels.",point-wise convolution kernels,depth-wise convolution kernels,channel-mixing 1×1 convolution kernels,grouped convolution kernels,standard convolution kernels spanning all channels,probes/arxiv/OFT/inference/probes_v12_mcqa.csv
OFT,12,Why can re-scaled OFT learn per-neuron scaling without altering the hyperspherical-energy property?,magnitudes are normalized out,(C),,,C,Reasoning Step,"Because hyperspherical energy depends on normalized neurons, changing only magnitudes through a diagonal scaling does not alter it.",orthogonal updates already preserve vector norms,only the rotation matrix affects the loss,magnitudes are normalized out,the diagonal scaling matrix stays orthogonal,hyperspherical energy is computed on the base weights,probes/arxiv/OFT/inference/probes_v12_mcqa.csv
OFT,14,"If the block count $r$ is increased in OFT's block-diagonal parameterization, what decreases without sacrificing the preservation guarantee?",trainable parameters,(B),,,B,Reasoning Step,"Increasing $r$ lowers the stated $\mathcal{O}(d^2/r)$ cost, while orthogonality—and thus the preservation guarantee—still holds.",orthogonality of R,trainable parameters,preservation of the original feature geometry,hyperspherical energy,text-to-image synthesis quality,probes/arxiv/OFT/inference/probes_v12_mcqa.csv
OFT,16,"With block sharing enabled, if the number of blocks $r$ is doubled, by what factor does OFT's parameter complexity shrink?",four times,(C),,,C,Reasoning Step,"With complexity proportional to $1/r^2$, doubling $r$ makes the parameter cost one fourth as large.",two times,sixteen times,four times,not at all,eight times,probes/arxiv/OFT/inference/probes_v12_mcqa.csv
OFT,23,"If diffusion-model finetuning tried to minimize hyperspherical energy instead of preserve it, what would be the likely downside?",destroyed pretraining information,(B),,,B,Synthesized Insight,"Minimizing hyperspherical energy would push neurons toward uniform spacing instead of the pretrained arrangement, which the paper says risks damaging the pretrained structure.",preserved intrinsic pretrained structure at the cost of slower adaptation,destroyed pretraining information,overconstrained orthogonal updates during finetuning,forcing neurons into uniform spacing around the hypersphere,reduced text-image alignment flexibility,probes/arxiv/OFT/inference/probes_v12_mcqa.csv
OFT,25,"Besides orthogonality, what is COFT explicitly restricting when $\epsilon$ is made smaller?",angular deviation,(B),,,B,Synthesized Insight,"The extra $\epsilon$-bound keeps $\bm{R}$ closer to identity, so reducing $\epsilon$ explicitly limits how far the model can angularly deviate from the pretrained one.",output diversity,angular deviation,finetuning flexibility,parameter sparsity,feature magnitude,probes/arxiv/OFT/inference/probes_v12_mcqa.csv
Pancreatopleural_fistula_in_childhood,6,What uncorrected process best explains why thoracocentesis improved him only briefly before the effusion returned?,ongoing pancreatic leakage,(E),,,E,Multi-Fact Integration,"Because the symptoms improved after fluid removal but quickly recurred, and the fistula is described as a continuing leak, thoracocentesis relieved the collected fluid without stopping its source.",persistent bronchopleural air leak,residual loculated pleural fluid,ongoing parapneumonic inflammation,recurrent congestive heart failure,ongoing pancreatic leakage,probes/medical/Pancreatopleural_fistula_in_childhood/inference/probes_v12_mcqa.csv
QLoRA,9,"If you want to match full finetuning performance without materially increasing training memory, where should the LoRA adapters be placed?",all linear layers,(C),,,C,Multi-Fact Integration,"If using more adapters barely changes memory and matching full finetuning requires LoRA on all linear layers, then the preferred placement is all linear layers.",the attention projection layers only,the feed-forward MLP layers only,all linear layers,the token embedding and final output layers,the query and value matrices in each transformer block,probes/arxiv/QLoRA/inference/probes_v12_mcqa.csv
QLoRA,17,"If you want to shrink the storage cost of quantization constants without hurting quality, what method follows from these results?",double quantization,(B),,,B,Synthesized Insight,"Since it cuts the storage cost of quantization constants and does so without degrading performance, the method that fits the memory-saving goal is double quantization.",increasing the quantization block size to 64,double quantization,NF4 quantization,switching to FP4 quantization,using Int4 quantization,probes/arxiv/QLoRA/inference/probes_v12_mcqa.csv
QLoRA,26,What property of a finetuning dataset most directly predicts whether it will help on MMLU versus chatbot benchmarks?,similarity to the benchmark dataset,(B),,,B,Multi-Fact Integration,"Since benchmark performance tracks how similar the finetuning data is to each benchmark, similarity to the benchmark dataset is the key predictor.",overall size of the instruction dataset,similarity to the benchmark dataset,degree of label cleanliness and curation quality,whether it is drawn from FLAN v2 rather than Chip2,proportion of chatbot-style conversations it contains,probes/arxiv/QLoRA/inference/probes_v12_mcqa.csv
Santos_v_Kimmel,1,"Because fair use could be resolved by comparing the original videos and the JKL segments alone, what procedural result was available without further factfinding?",dismissal at the pleading stage,(E),,,E,Multi-Fact Integration,"If fair use can be resolved by comparing the works identified in the complaint itself, then no further factual development is needed before dismissal.",remand for additional factfinding on the fair-use factors,dismissal for lack of subject-matter jurisdiction,summary judgment after limited discovery,a bench trial on substantial similarity before judgment,dismissal at the pleading stage,probes/legal/Santos_v_Kimmel/inference/probes_v12_mcqa.csv
Santos_v_Kimmel,2,"Santos argued that he himself had the same purpose when making the videos. Under the court’s test, what kind of consideration does that argument improperly depend on?",subjective intent,(B),,,B,Reasoning Step,Santos’s argument about the purpose he personally had when making the videos relies on the very kind of subjective intent the court said does not control transformativness.,a reasonable observer’s assessment of the use’s purpose,subjective intent,the copyright holder’s own stated purpose,the original purpose embodied in the source videos,the commercial character of the secondary use,probes/legal/Santos_v_Kimmel/inference/probes_v12_mcqa.csv
United_States_v_Constantinescu,6,What fact would have supported defendants’ no-fraud argument if the statutes required the victim to be economically worse off?,receipt of market-value securities,(B),,,B,Reasoning Step,"If economic worsening were required, the followers’ getting market-value securities would have supported defendants’ claim that no fraud was alleged.",the government’s failure to allege that the securities were worthless,receipt of market-value securities,the followers’ voluntary participation in the trades,proof that defendants never sought to obtain the followers’ money or property,defendants’ lack of intent to leave the followers economically worse off,probes/legal/United_States_v_Constantinescu/inference/probes_v12_mcqa.csv
United_States_v_Jaison_Coleman,0,"Given the clear-error standard and the court’s acceptance of both district-court findings, what appellate result followed for the suppression issue?",affirmance of the suppression ruling,(B),,,B,Multi-Fact Integration,"Given clear-error review, once the appellate court found no clear error in either the consent finding or the scope finding, the suppression ruling remained in place.",reversal of the suppression ruling,affirmance of the suppression ruling,suppression of the evidence based on entry beyond the scope of Lisa’s consent,remand for reconsideration of the voluntary-consent and scope determinations,vacatur of the suppression ruling and remand for further findings,probes/legal/United_States_v_Jaison_Coleman/inference/probes_v12_mcqa.csv
United_States_v_Jaison_Coleman,3,"Under the court’s objective-reasonableness approach, what did Lisa’s consent reasonably allow the officers to do once inside?",scan the home and locate everyone,(B),,,B,Multi-Fact Integration,"Under the court’s objective-reasonableness test, consent to enter for a welfare check reasonably included the steps the officers had to take to carry out that purpose.",enter for the limited purpose of arresting Coleman rather than checking anyone’s welfare,scan the home and locate everyone,conduct a full evidentiary search for weapons or contraband,separate and interrogate the occupants about possible criminal activity,"open drawers, closets, and other containers to check for dangers to the children",probes/legal/United_States_v_Jaison_Coleman/inference/probes_v12_mcqa.csv
United_States_v_Jaison_Coleman,7,What explanation did the court give for the urgency in Kizer’s request that was still consistent with valid consent?,concern for the children’s safety,(A),,,A,Reasoning Step,The opinion explains Kizer’s urgency as stemming from safety concerns rather than an effort to pressure Lisa.,concern for the children’s safety,concern for Lisa’s own safety,frustration with Lisa’s hesitation that led Kizer to press harder for entry,uncertainty about whether Coleman posed an immediate threat to the officers,the need to prevent the destruction of evidence inside the residence,probes/legal/United_States_v_Jaison_Coleman/inference/probes_v12_mcqa.csv
United_States_v_Jaison_Coleman,8,What conclusion about Lisa’s later “Okay” follows from her earlier refusal and the absence of coercion on the second request?,voluntary consent,(E),,,E,Synthesized Insight,"Her earlier refusal showed she could say no, so her later agreement after a noncoercive second request supports that the later consent was voluntary.",involuntary consent produced by the repeated request,a coerced waiver of her earlier refusal,mere acquiescence to Officer Kizer’s authority,implied permission only to speak at the doorway,voluntary consent,probes/legal/United_States_v_Jaison_Coleman/inference/probes_v12_mcqa.csv
United_States_v_Justin_Cutbank,2,"Because the government’s testimonial and physical evidence was substantial, what happened to Cutbank’s attempt to obtain reversal based on the combined effect of the trial rulings?",no substantial prejudice,(E),,,E,Synthesized Insight,"Because the evidence was substantial and any evidentiary mistakes had at most slight influence, the cumulative-error theory could not show the required level of harm.",a new trial based on the cumulative effect of the evidentiary errors,a finding that the evidentiary rulings were not harmless,a determination that the jury was substantially swayed by the improperly admitted evidence,substantial prejudice warranting reversal,no substantial prejudice,probes/legal/United_States_v_Justin_Cutbank/inference/probes_v12_mcqa.csv
Williams_v_GoAuto_Insurance,7,"If APAC’s notice had failed to include the required statutory certification statements, what would the opinion’s strict-adherence rule make the resulting cancellation?",ineffective cancellation,(D),,,D,Synthesized Insight,"If the notice omitted the required certification statements, that omission would be a defect in the cancellation process, which the opinion says makes the cancellation ineffective.",substantially compliant cancellation despite the missing certification statements,cancellation effective upon mailing the notice to the insurer,effective cancellation,ineffective cancellation,valid cancellation because the premium finance agreement was in default,probes/legal/Williams_v_GoAuto_Insurance/inference/probes_v12_mcqa.csv
fa3,14,"If both Q and K are multiplied by the same orthogonal matrix before FP8 quantization, what can improve even though the attention output is unchanged?",quantization error,(D),,,D,Synthesized Insight,"The orthogonal transform preserves the attention score product while spreading out outliers, so accuracy can improve through lower quantization error without changing the output itself.",memory bandwidth,outlier distribution,synchronization overlap,quantization error,softmax normalization,probes/arxiv/fa3/inference/probes_v12_mcqa.csv
fa3,16,"By replacing standard attention with FlashAttention, what kind of expensive memory traffic for S and P is eliminated?",off-chip HBM reads/writes,(E),,,E,Multi-Fact Integration,"Since standard attention writes S and P to HBM and HBM is off-chip DRAM, FlashAttention eliminates those off-chip intermediate transfers.",shared-memory transfers between streaming multiprocessors,PCIe transfers between CPU memory and the GPU,tensor-core register spills and reloads,on-chip SRAM reads/writes,off-chip HBM reads/writes,probes/arxiv/fa3/inference/probes_v12_mcqa.csv
fa3,24,What shared implementation choice explains why both FP16 FlashAttention-2 and FP16 FlashAttention-3 have lower RMSE than standard attention?,FP32 softmax intermediates,(A),,,A,Multi-Fact Integration,Both methods beat standard attention for the same stated reason: they keep softmax-related intermediates in FP32.,FP32 softmax intermediates,FP32 attention-score accumulators,FP32 value-projection accumulators,FP32 layer-normalization statistics,BF16 softmax intermediates,probes/arxiv/fa3/inference/probes_v12_mcqa.csv
xLSTM,14,"As context length grows, what scaling pattern should xLSTM generation time follow relative to Llama?",linear rather than quadratic,(B),,,B,Synthesized Insight,The stated sequence-length complexity and the generation-time experiment both imply linear growth for xLSTM versus quadratic growth for Llama.,quadratic rather than linear,linear rather than quadratic,the same quadratic pattern as Llama,constant rather than quadratic,subquadratic rather than quadratic,probes/arxiv/xLSTM/inference/probes_v12_mcqa.csv
