document,row_1based,field,kind,repro,current
arxiv/ByteLatent,181,contextualized_question,field_value,"1. **According to the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", when the authors discuss entropy patching on structured content such as multiple choice tasks and an MMLU example, what characteristic do they say multiple choice tasks often exhibit?**  
   **Answer:** repetitive","**Question:** In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", multiple choice tasks are often?

**Answer:** very repetitive."
arxiv/ByteLatent,204,contextualized_question,field_value,"Question: In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", when the authors define Bits-Per-Byte (BPB) as the tokenizer-independent version of perplexity for comparing byte and token-level models, what quantity appears in the numerator of the BPB fraction?

Answer: $\mathcal{L}_{CE}(\pmb{x})$","Question: In the paper ""Byte Latent Transformer: Patches Scale Better Than Tokens"", when the authors define Bits-Per-Byte (BPB) as the tokenizer-independent version of perplexity for comparing byte and token-level models, what quantity appears in the numerator of the BPB fraction?

Answer:\mathcal{L}_{CE}(\pmb{x})"
arxiv/DPO,55,contextualized_question,field_value,"1. According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", what type of human judgments of response quality are often easier to collect than expert demonstrations, motivating subsequent fine-tuning of LLMs with datasets of human preferences?

   **Answer:** relative human judgments of response quality","1. According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", what type of human judgments of response quality are often easier to collect than expert demonstrations, motivating subsequent fine-tuning of LLMs with datasets of human preferences?

   **Answer:**\textit{relative} human judgments of response quality"
arxiv/DPO,85,contextualized_question,field_value,"**Question:** In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", according to the Bradley-Terry (BT) model for the human preference distribution $p^*$, how is $p^*(y_1\succ y_2 \mid x)$ expressed in terms of the reward function $r^*(x, y)$?

**Answer:** $\frac{\exp\left(r^*(x, y_1)\right)}{\exp\left(r^*(x, y_1)\right) + \exp\left(r^*(x, y_2)\right)}$","**Question:** In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", according to the Bradley-Terry (BT) model for the human preference distribution $p^*$, how is $p^*(y_1\succ y_2 \mid x)$ expressed in terms of the reward function $r^*(x, y)$?

**Answer:**\frac{\exp\left(r^*(x, y_1)\right)}{\exp\left(r^*(x, y_1)\right) + \exp\left(r^*(x, y_2)\right)}"
arxiv/DPO,111,contextualized_question,field_value,"1. In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", how is the partition function $Z(x)$ defined in the expression for the optimal policy $\pi_r(y\mid x)$?  

   Answer: $\sum_{y}\pi_\text{ref}(y\mid x)\exp\left(\frac{1}{\beta}r(x, y)\right)$","1. In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", how is the partition function $Z(x)$ defined in the expression for the optimal policy $\pi_r(y\mid x)$?  

   Answer:\sum_{y}\pi_\text{ref}(y\mid x)\exp\left(\frac{1}{\beta}r(x, y)\right)"
arxiv/DPO,131,contextualized_question,field_value,"1. **Question:** According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the general DPO pipeline, what is constructed by sampling completions $y_1, y_2 \sim \pi_\text{ref}(\cdot \mid x)$ for each prompt $x$ and then labeling them with human preferences?  
   **Answer:** the offline dataset of preferences $\mathcal{D}$","**Question:** According to the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", in the general DPO pipeline, the thing that is constructed by sampling completions $y_1, y_2 \sim \pi_\text{ref}(\cdot \mid x)$ for each prompt $x$ and then labeling them with human preferences is?

**Answer:** the offline dataset of preferences $\mathcal{D} = \{x^{(i)}, y_w^{(i)}, y_l)^{(i)}\}_{i=1}^N$"
arxiv/DPO,137,contextualized_question,field_value,"1. **Question:** In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", when the supervised fine-tuned policy $\pi^\text{SFT}$ is not available, what optimization do the authors use to initialize $\pi_\text{ref}$ from the preference dataset of preferred completions ${(x, y_w)}$?

   **Answer:** $\pi_\text{ref} = \argmax_{\pi}\mathbb{E}_{x, y_w \sim \mathcal{D}}\left[\log \pi(y_w \mid x)\right]$","1. **Question:** In the paper ""Direct Preference Optimization: Your Language Model is Secretly a Reward Model"", when the supervised fine-tuned policy $\pi^\text{SFT}$ is not available, what optimization do the authors use to initialize $\pi_\text{ref}$ from the preference dataset of preferred completions ${(x, y_w)}$?

   **Answer:**\pi_\text{ref} = \argmax_{\pi}\mathbb{E}_{x, y_w \sim \mathcal{D}}\left[\log \pi(y_w \mid x)\right]"
arxiv/FeatLLM,215,contextualized_question,field_value,"**Question:** According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", how does in-context learning incorporate few-shot training samples into the input prompt without tuning?

**Answer:** directly embeds","**Question:** According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", In-context learning?

**Answer:** directly embeds few-shot training samples into the input prompt without tuning"
arxiv/FeatLLM,286,contextualized_question,field_value,"**Question:** In the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", what did the authors conduct experiments to investigate the impact of on performance?

**Answer:** these hyper-parameters","**Question:** According to the paper ""Large Language Models Can Automatically Engineer Features for Few-Shot Tabular Learning"", FeatLLM has two main hyper-parameters; one is?

**Answer:** the number of ensembles, and the other is how many rules per class to extract during each LLM query"
arxiv/GSPO,37,fact,field_value,"According to the paper ""Group Sequence Policy Optimization"", in the PPO objective for policy optimization, the importance ratio of the token $y_t$ is defined as $
w_{t}(\theta) = \frac{ \pi_{\theta} (y_{t} | x, y_{<t}) }{ \pi_{\theta_\text{old}} (y_{t} | x,y_{<t})} $","According to the paper ""Group Sequence Policy Optimization"", in the PPO objective for policy optimization, the importance ratio of the token $y_t$ is defined as $w_{t}(\theta) = \frac{ \pi_{\theta} (y_{t} | x, y_{<t}) }{ \pi_{\theta_\text{old}} (y_{t} | x,y_{<t})}$"
arxiv/GSPO,49,fact,field_value,"According to the paper ""Group Sequence Policy Optimization"", the response groups $\{y_i\}_{i=1}^G$ sampled in the GRPO objective are drawn from the policy$\pi_{\theta_\text{old}} (\cdot | x)$","According to the paper ""Group Sequence Policy Optimization"", the response groups $\{y_i\}_{i=1}^G$ sampled in the GRPO objective are drawn from the policy $\pi_{\theta_\text{old}}( \cdot | x)$."
arxiv/GSPO,90,fact,field_value,"According to the paper ""Group Sequence Policy Optimization"", in the expectation defining the gradient of the GRPO objective, the sampled sequences $\{y_i\}_{i=1}^G$ are drawn from$\pi_{\theta_\text{old}} (\cdot | x)$","According to the paper ""Group Sequence Policy Optimization"", in the expectation defining the gradient of the GRPO objective, the sampled sequences $\{y_i\}_{i=1}^G$ are drawn from $\pi_{\theta_\text{old}}( \cdot | x)$."
arxiv/GSPO,91,fact,field_value,"According to the paper ""Group Sequence Policy Optimization"", in the expanded gradient of the GRPO objective with $\widehat{A}_{i,t} = \widehat{A}_{i}$, the token-level factor multiplying $\nabla_{\theta} \log \pi_{\theta} (y_{i,t} | x, y_{i,<t})$ for each token $y_{i,t}$ is $\frac{ \pi_{\theta} (y_{i,t} | x, y_{i,<t}) }{ \pi_{\theta_\text{old}} (y_{i,t} | x,y_{i,<t})}$","According to the paper ""Group Sequence Policy Optimization"", in the expanded gradient of the GRPO objective with $\widehat{A}_{i,t} = \widehat{A}_{i}$, the token-level factor multiplying $\nabla_{\theta} \log \pi_{\theta} (y_{i,t} | x, y_{i,<t})$ for each token $y_{i,t}$ is $ \frac{ \pi_{\theta} (y_{i,t} | x, y_{i,<t}) }{ \pi_{\theta_\text{old}} (y_{i,t} | x,y_{i,<t})} $"
arxiv/GSPO,102,fact,field_value,"According to the paper ""Group Sequence Policy Optimization"", in the derived gradient of GSPO-token, the sampled sequences $\{y_i\}_{i=1}^G$ are drawn in the expectation over $x \sim \mathcal{D}$ from$\pi_{\theta_\text{old}} (\cdot | x)$","According to the paper ""Group Sequence Policy Optimization"", in the derived gradient of GSPO-token, the sampled sequences $\{y_i\}_{i=1}^G$ are drawn in the expectation over $x \sim \mathcal{D}$ from $\pi_{\theta_\text{old}}( \cdot | x)$."
arxiv/LongRoPE,23,contextualized_question,field_value,"**Question:** According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", when discussing why extending a pre-trained LLM context window is particularly challenging, from 4k to what larger context length does the authors say the extension introduces more than 90\% new positions?

**Answer:** $>1000k$","**Question:** According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", when discussing why extending a pre-trained LLM context window is particularly challenging, the authors say the extension introduces more than 90% new positions from 4k to?

**Answer:** $>$1000k"
arxiv/LongRoPE,150,contextualized_question,field_value,"Question: According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what set of values do the authors empirically allow $\hat{n}$ to search from in their positional interpolation search space?

Answer: $\{0, 1, 2, 4, 8, 12, 16, 20, 24, 28, 32, 64, 128, 256\}$","Question: According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what set of values do the authors empirically allow $\hat{n}$ to search from in their positional interpolation search space?

Answer: \{0, 1, 2, 4, 8, 12, 16, 20, 24, 28, 32, 64, 128, 256\}"
arxiv/LongRoPE,151,contextualized_question,field_value,"1. **Question:** According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the discussion of the evolution-based search space for positional interpolation solutions, how many choices does a $s=4\times$ extension lead to?  
   **Answer:** $4\times10^{167}$","1. **Question:** According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the discussion of the evolution-based search space for positional interpolation solutions, how many choices does a $s=4\times$ extension lead to?  
   **Answer:**$400^{128/2}\times14$=4$\times10^{167}$"
arxiv/LongRoPE,165,contextualized_question,field_value,"1. According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", after imposing the non-decreasing monotonicity constraint on the sampled RoPE rescaled factors $\lambda_i\le \lambda_{i+1}$, what is applied to the LLM for perplexity evaluation?

   **Answer:** RoPE that satisfies this constraint","**Question:** According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", after imposing the monotonicity constraint, which RoPE configurations are applied to the LLM for perplexity evaluation?

**Answer:** Only RoPE that satisfies this constraint"
arxiv/LongRoPE,205,fact,field_value,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the optimization problem defining the RoPE embedding for token position $n$ and dimension $i$, the factor that multiplies $\frac{n}{\beta^i}$ inside both the cosine and sine terms is$\mathbb{I}(\hat{\lambda}_{i},\hat{n})$","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the optimization problem defining the RoPE embedding for token position $n$ and dimension $i$, the factor that multiplies $\frac{n}{\beta^i}$ inside both the cosine and sine terms is $\mathbb{I}(\hat{\lambda}_{i}, \hat{n})$."
arxiv/LongRoPE,213,contextualized_question,field_value,"**Question:** In the paper **""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens""**, for how many initial token positions does the rescale factor $\hat\lambda_{i}$ not take effect, with the original RoPE rotary angle $\frac{n}{\beta^i}$ used instead?

**Answer:** $\hat{n}$-1 token positions","**Question:** According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", the rescale factor $\hat\lambda_i$ does not take effect for?

**Answer:** initial $\hat{n}$-1 token positions"
arxiv/LongRoPE,225,contextualized_question,field_value,"1. According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what set of values is $\hat{n}$ allowed to search from empirically in the positional interpolation search space?

   Answer: $\{0, 1, 2, 4, 8, 12, 16, 20, 24, 28, 32, 64, 128, 256\}$","1. According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", what set of values is $\hat{n}$ allowed to search from empirically in the positional interpolation search space?

   Answer:\{0, 1, 2, 4, 8, 12, 16, 20, 24, 28, 32, 64, 128, 256\}"
arxiv/LongRoPE,228,contextualized_question,field_value,"1. **Question:** According to the paper **""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens""**, in the discussion of the evolution-based search space for positional interpolation solutions, how many choices does a $s=4\times$ extension lead to?

   **Answer:** 4$\times10^{167}$ choices","**Question:** According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", in the discussion of the evolution-based search space for positional interpolation solutions, a $s=4\times$ extension leads to?

**Answer:** $400^{128/2}\times14$=4$\times10^{167}$ choices."
arxiv/LongRoPE,382,fact,field_value,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", exploiting two RoPE non-uniformities with evolutionary search provides good  initialization for fine-tuning","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", exploiting two RoPE non-uniformities with evolutionary search provides good initialization for fine-tuning."
arxiv/OFT,84,contextualized_question,field_value,"1. According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the new control consistency metric for controllable generation, the control signal estimated from the generated image is compared with what?

   **Answer:** the origin control signal","**Question:** According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the control consistency metric, the estimated control signal is compared with:?

**Answer:** the origin control signal."
arxiv/OFT,166,contextualized_question,field_value,"1. According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the illustrative example of a fully connected layer used to explain OFT, what notation do the authors use for that layer?  
   **Answer:** $\bm{W}=\{\bm{w}_1,\cdots,\bm{w}_n\}\in\mathbb{R}^{d\times n}$","1. According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the illustrative example of a fully connected layer used to explain OFT, what notation do the authors use for that layer?  
   **Answer:**\bm{W}=\{\bm{w}_1,\cdots,\bm{w}_n\}\in\mathbb{R}^{d\times n}"
arxiv/OFT,168,contextualized_question,field_value,"Question: According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the illustrative example of a fully connected layer with weight matrix $\bm{W}\in\mathbb{R}^{d\times n}$ and input vector $\bm{x}\in\mathbb{R}^d$, how is the output vector $\bm{z}\in\mathbb{R}^n$ computed?

Answer: $\bm{z}=\bm{W}^\top\bm{x}$","Question: According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the illustrative example of a fully connected layer with weight matrix $\bm{W}\in\mathbb{R}^{d\times n}$ and input vector $\bm{x}\in\mathbb{R}^d$, how is the output vector $\bm{z}\in\mathbb{R}^n$ computed?

Answer:\bm{z}=\bm{W}^\top\bm{x}"
arxiv/OFT,174,contextualized_question,field_value,"**Question:** According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", when the minimum of the hyperspherical energy matching objective is achieved up to a rotation or reflection, what equation gives the relationship between the fully connected layer weights $\bm{W}$ and the pretrained weights $\bm{W}^0$?

**Answer:** $\bm{W}=\bm{R}\bm{W}^0$","**Question:** According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", when the minimum of the hyperspherical energy matching objective is achieved up to a rotation or reflection, what equation gives the relationship between the fully connected layer weights $\bm{W}$ and the pretrained weights $\bm{W}^0$?

**Answer:**\bm{W}=\bm{R}\bm{W}^0"
arxiv/OFT,179,contextualized_question,field_value,"1. According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", for a pretrained fully connected layer in OFT, what is the new forward pass expression after replacing the original weights with the orthogonally finetuned weights?  

   **Answer:** $\bm{z}=\bm{W}^\top\bm{x}=(\bm{R}\cdot\bm{W}^0)^\top\bm{x}$","1. According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", for a pretrained fully connected layer in OFT, what is the new forward pass expression after replacing the original weights with the orthogonally finetuned weights?  

   **Answer:**\bm{z}=\bm{W}^\top\bm{x}=(\bm{R}\cdot\bm{W}^0)^\top\bm{x}"
arxiv/OFT,203,contextualized_question,field_value,"1. **According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", for LoRA with a low-rank parameter $r'$, what is the number of trainable parameters?**  
   **Answer:** $r'(d+n)$","1. **According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", for LoRA with a low-rank parameter $r'$, what is the number of trainable parameters?**  
   **Answer:**r'(d+n)"
arxiv/OFT,209,contextualized_question,field_value,"**Question:** According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in COFT's forward pass, what is the expression for the transformed output $\bm{z}$ in terms of $\bm{W}$, $\bm{x}$, $\bm{R}$, and the pretrained weight matrix $\bm{W}^0$ under the orthogonality and $\epsilon$-deviation constraints?

**Answer:** $\bm{z}=\bm{W}^\top\bm{x}=(\bm{R}\cdot\bm{W}^0)^\top\bm{x}$","**Question:** According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in COFT's forward pass, what is the expression for the transformed output $\bm{z}$ in terms of $\bm{W}$, $\bm{x}$, $\bm{R}$, and the pretrained weight matrix $\bm{W}^0$ under the orthogonality and $\epsilon$-deviation constraints?

**Answer:**\bm{z}=\bm{W}^\top\bm{x}=(\bm{R}\cdot\bm{W}^0)^\top\bm{x}"
arxiv/OFT,210,contextualized_question,field_value,"1. **Question:** In the paper **""Controlling Text-to-Image Diffusion by Orthogonal Finetuning""**, COFT defines its forward pass as $\bm{z}=\bm{W}^\top\bm{x}=(\bm{R}\cdot\bm{W}^0)^\top\bm{x}$ with both an orthogonality condition and an $\epsilon$-deviation constraint. What constraint on $\bm{R}$ enforces orthogonality in this forward pass?

   **Answer:** $\bm{R}^\top\bm{R}=\bm{R}\bm{R}^\top=\bm{I}$","1. **Question:** In the paper **""Controlling Text-to-Image Diffusion by Orthogonal Finetuning""**, COFT defines its forward pass as $\bm{z}=\bm{W}^\top\bm{x}=(\bm{R}\cdot\bm{W}^0)^\top\bm{x}$ with both an orthogonality condition and an $\epsilon$-deviation constraint. What constraint on $\bm{R}$ enforces orthogonality in this forward pass?

   **Answer:**\bm{R}^\top\bm{R}=\bm{R}\bm{R}^\top=\bm{I}"
arxiv/OFT,213,contextualized_question,field_value,"1. According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", after moving the deviation constraint $\|\bm{R}-\bm{I}\|\leq\epsilon$ inside the Cayley transform for the orthogonal matrix $\bm{R}$, what is the equivalent constraint imposed on $\bm{Q}$?

   **Answer:** $\|\bm{Q}-\bm{0}\|\leq\epsilon'$","1. According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", after moving the deviation constraint $\|\bm{R}-\bm{I}\|\leq\epsilon$ inside the Cayley transform for the orthogonal matrix $\bm{R}$, what is the equivalent constraint imposed on $\bm{Q}$?

   **Answer:**\|\bm{Q}-\bm{0}\|\leq\epsilon'"
arxiv/OFT,259,contextualized_question,field_value,"**Question:** According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the inference stage of OFT, what equivalent weight matrix do the authors obtain by multiplying the learned orthogonal matrix $\bm{R}$ into the pretrained weight matrix $\bm{W}^0$?

**Answer:** $\bm{W}=\bm{R}\bm{W}^0$","**Question:** According to the paper ""Controlling Text-to-Image Diffusion by Orthogonal Finetuning"", in the inference stage of OFT, what equivalent weight matrix do the authors obtain by multiplying the learned orthogonal matrix $\bm{R}$ into the pretrained weight matrix $\bm{W}^0$?

**Answer:**\bm{W}=\bm{R}\bm{W}^0"
arxiv/QLoRA,65,contextualized_question,field_value,"1. According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", what expression is given for the dequantization function $\text{dequant}(c^{\text{FP32}}, \mathbf{X}^{\text{Int8}})$ before it is shown to equal $\mathbf{X}^{\text{FP32}}$?

   Answer: $\frac{\mathbf{X}^{\text{Int8}}}{c^{\text{FP32}}}$","1. According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", what expression is given for the dequantization function $\text{dequant}(c^{\text{FP32}}, \mathbf{X}^{\text{Int8}})$ before it is shown to equal $\mathbf{X}^{\text{FP32}}$?

   Answer:\frac{\mathbf{X}^{\text{Int8}}}{c^{\text{FP32}}}"
arxiv/fa3,66,fact,field_value,"According to the paper **""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision""**, for a single attention head with query, key, and value sequences $\mathbf{Q}, \mathbf{K}, \mathbf{V} \in \mathbb{R}^{N \times d}$, the attention output $\mathbf{O}$ is expressed after computing $\mathbf{S} = \alpha \mathbf{Q}\mathbf{K}^\top$ and $\mathbf{P} = \mathrm{softmax}(\mathbf{S})$ as$\mathbf{P} \mathbf{V}$","According to the paper **""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision""**, for a single attention head with query, key, and value sequences $\mathbf{Q}, \mathbf{K}, \mathbf{V} \in \mathbb{R}^{N \times d}$, the attention output $\mathbf{O}$ is expressed after computing $\mathbf{S} = \alpha \mathbf{Q}\mathbf{K}^\top$ and $\mathbf{P} = \mathrm{softmax}(\mathbf{S})$ as $\mathbf{P}\mathbf{V}$."
arxiv/fa3,71,contextualized_question,field_value,"Q: According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the backward pass of multi-head attention, given the output gradient $\mathbf{dO} \in \mathbb{R}^{N \times d}$, what expression is used to compute $\mathbf{dV}$?

A: ""$\mathbf{P}^\top \mathbf{dO}$""","Q: According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the backward pass of multi-head attention, given the output gradient $\mathbf{dO} \in \mathbb{R}^{N \times d}$, what expression is used to compute $\mathbf{dV}$?

A: ""\mathbf{P}^\top \mathbf{dO}"""
arxiv/fa3,120,contextualized_question,field_value,"1. According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", what is the shape of $\mathbf{Q}_i$ in the requirements of the FlashAttention-3 forward pass without intra-consumer overlapping — CTA view algorithm?

   **Answer:** $\mathbb{R}^{B_r \times d}$","1. According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", what is the shape of $\mathbf{Q}_i$ in the requirements of the FlashAttention-3 forward pass without intra-consumer overlapping — CTA view algorithm?

   **Answer:**\mathbb{R}^{B_r \times d}"
arxiv/fa3,206,contextualized_question,field_value,"1. According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the discussion of the register permutation used for the logical shape of the $\mathbf{P}$ tile, which columns become the first four columns after the maneuver?  
   **Answer:** 0189","**Question:** According to the paper ""FlashAttention-3: Fast and Accurate Attention with Asynchrony and Low-precision"", in the register permutation for the logical shape of the P tile, become the first four columns after the maneuver.?

**Answer:** columns $0189$"
