review_id,decision,issue_categories,review_reason,fixed_question_stem,fixed_option_a,fixed_option_b,fixed_option_c,fixed_option_d,fixed_option_e,fixed_correct_label,fixed_target
medical/Pancreatopleural_fistula_in_childhood/54,fix,formatting,Several time options contain embedded tab characters.,"According to the case report ""Pancreatopleural fistula in childhood"", the child had recurrent right-sided chest pain and difficulty in breathing after an initial discharge for repeated right pleural effusions. How long after the prior admission was he admitted for the third time with these similar complaints?",after 5 days,after 6 days,the next day,after 1 month,after 2 weeks,(A),after 5 days
medical/Pancreatopleural_fistula_in_childhood/55,fix,"formatting,grammar",The options contain embedded tab characters and the phrase “month back” is awkward.,"In the case report ""Pancreatopleural fistula in childhood"", a boy with recurrent right-sided pleural effusions was later found to have a history of blunt abdominal trauma. According to the history he gave, what caused the blunt abdominal trauma one month before his presentation?",during a minor road traffic accident one month earlier,from a right-sided chest injury while playing one month earlier,from a cricket ball injury to the abdomen one month earlier,from a bicycle handle one month earlier,after a fall down the stairs one month earlier,(D),from a bicycle handle one month earlier
medical/Pancreatopleural_fistula_in_childhood/60,fix,grammar,The options use the unnatural phrasing “till the ...” for anatomical locations.,"According to the case report ""Pancreatopleural fistula in childhood"", a child with recurrent right-sided pleural effusions underwent chest CT after repeated admissions and a history of blunt abdominal trauma. The scan showed a multiloculated hypodense collection tracking from the right pleural space through the paraesophageal region into what pancreatic location?",to the splenic hilum,to the head of the pancreas,to the upper pole of the left kidney,to the tail of the pancreas,to the body of the pancreas,(D),to the tail of the pancreas
medical/Pancreatopleural_fistula_in_childhood/67,fix,stem_answer_mismatch,"The stem asks for a tuberculosis test, but the options are test-result statements.","According to the case report ""Pancreatopleural fistula in childhood"", the child had a family history of Koch’s contact and a mildly elevated pleural fluid ADA during evaluation for recurrent pleural effusion. Which tuberculosis testing result was reported?",Ziehl–Neelsen staining for acid-fast bacilli was positive,"pleural fluid ADA was markedly elevated, favoring tuberculosis",GeneXpert for MTB was positive,the Mantoux tuberculin skin test was strongly reactive,GeneXpert for MTB was negative,(E),GeneXpert for MTB was negative
medical/Pancreatopleural_fistula_in_childhood/69,fix,option_type_mismatch,"The stem asks for liver evaluation findings, but most choices are broader rule-out findings for other diagnoses.","According to the case report ""Pancreatopleural fistula in childhood"", hepatic hydrothorax was considered and then ruled out during the differential diagnosis of this child’s pleural effusion. Which finding supported ruling out hepatic hydrothorax?","normal blood counts and peripheral smear, with no fever or weight loss, made malignancy unlikely",the child had no history of chest pain or vomiting and was passing stools normally,the liver function tests and liver imaging were normal,abdominal organs were not visible in the chest on imaging,echocardiography and cardiac examination showed no evidence of congestive heart failure,(C),the liver function tests and liver imaging were normal
medical/Pancreatopleural_fistula_in_childhood/70,fix,option_type_mismatch,"The stem asks what was not visible in the chest, but most choices are unrelated diagnostic findings.","In the case report ""Pancreatopleural fistula in childhood"", the clinicians considered acquired diaphragmatic hernia but ruled it out based on imaging. Which finding helped rule out acquired diaphragmatic hernia?","the liver function tests and liver imaging were normal, with no history of chronic liver disease.",echocardiography was normal and showed no evidence of cardiac failure.,abdominal organs were not visible in the chest on imaging.,"there was no history of chest pain or vomiting, and the child was passing stools normally.",the child had no fever and the pleural fluid showed no neutrophilic exudate.,(C),abdominal organs were not visible in the chest on imaging.
medical/Pancreatopleural_fistula_in_childhood/71,fix,option_type_mismatch,"The stem asks for an absent medical history, but several choices are not history findings.","According to the case report ""Pancreatopleural fistula in childhood"", hepatic hydrothorax was ruled out because the liver function tests and liver imaging were normal. Which additional finding supported ruling out hepatic hydrothorax?",the child did not have any history of chest pain or vomiting.,the child did not have any history of chronic liver disease.,normal renal imaging and renal function tests ruled out hydronephrosis.,echocardiography did not show any evidence of congestive cardiac failure.,abdominal organs were not visible in the chest on imaging.,(B),the child did not have any history of chronic liver disease.
medical/Pancreatopleural_fistula_in_childhood/92,fix,option_type_mismatch,"The stem asks for a proportion, but most options are full explanatory statements rather than parallel proportions.","According to the case report ""Pancreatopleural fistula in childhood"", in the discussion of adult pancreatopleural fistula cases, which statement describes the proportion of cases reported in the landmark study to be related to chronic alcoholic pancreatitis?",the review of 113 adult cases found gallstone-related acute pancreatitis to be the leading cause,nearly all cases were associated with pancreatic ascites after acute pancreatitis rather than chronic alcoholic pancreatitis,"most cases were attributed to hereditary chronic pancreatitis, particularly PRSS1 and CFTR mutations",99% of cases were related to chronic alcoholic pancreatitis,99% of cases presented with predominant chest symptoms rather than pancreatic complaints,(D),99% of cases were related to chronic alcoholic pancreatitis
medical/Pancreatopleural_fistula_in_childhood/109,fix,stem_answer_mismatch,"The stem asks why cases are easy to miss, but the keyed answer is the phrase “a pulmonary mask.”","According to the case report ""Pancreatopleural fistula in childhood"", pancreatopleural fistula cases are easy to miss, even when they present with recurrent pleural effusions and respiratory distress, because they can present under what clinical mask?",a cardiac mask,a pulmonary mask,a tuberculous picture,a thoracic picture,an abdominal presentation,(B),a pulmonary mask
medical/TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy/26,fix,stem_answer_mismatch,"The stem gives away the key phrase “future access may be essential,” making the answer tautological.","According to the case report ""TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome"", the authors state that meticulous procedural planning is especially important in patients with known coronary disease or in which other group of patients?",those at high surgical risk for repeat valve replacement.,those in whom valve-to-coronary distances are already borderline.,those undergoing urgent intervention for active endocarditis.,those in whom future access may be essential.,those with narrow anatomies requiring supra-annular leaflet positioning.,(D),those in whom future access may be essential.
medical/TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy/35,fix,stem_answer_mismatch,"The stem asks what remains limited, but the correct answer is the topic for which evidence is limited.","According to the case report ""TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome"", evidence remains limited for what topic, particularly in patients with a history of prosthetic valve endocarditis (PVE)?",management of severe prosthesis-patient mismatch after initial TAVI,redo surgical aortic valve replacement for structural bioprosthetic degeneration,serial transcatheter valve reinterventions.,multidisciplinary decision-making for assessing procedural feasibility,preprocedural imaging strategies for predicting coronary artery obstruction,(C),serial transcatheter valve reinterventions.
medical/TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy/41,fix,option_type_mismatch,"The stem asks for a symptom, but most options are not symptoms.","According to the case report ""TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome"", the patient had previously undergone transcatheter aortic valve implantation and later developed recurrent symptoms. By December 2021, which statement described the patient’s recurrent symptoms before echocardiography showed severe bioprosthetic valve stenosis?",echocardiographic findings were consistent with severe bioprosthetic valve regurgitation,episodes of gastrointestinal bleeding had become more frequent,symptoms of exertional dyspnoea had worsened,mean transvalvular gradient had already increased to 83 mm Hg,left ventricular ejection fraction had recovered to 54%,(C),symptoms of exertional dyspnoea had worsened
medical/TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy/50,fix,stem_answer_mismatch,"The stem asks what type of antibiotic therapy was no longer ongoing, but the keyed option is a full status statement.","In the case report ""TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome"", the patient underwent a third TAVI after completing antimicrobial treatment for prosthetic valve endocarditis. Which statement describes long-term suppressive antibiotic therapy at that time?",surgical explantation of the infected prosthesis was ultimately required.,repeat blood cultures and transoesophageal echocardiography still indicated active endocarditis.,lifelong anticoagulation with warfarin was initiated for prosthetic valve protection.,no long-term suppressive antibiotic therapy was ongoing.,long-term suppressive antibiotic therapy was continued indefinitely.,(D),no long-term suppressive antibiotic therapy was ongoing.
medical/TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy/53,fix,stem_answer_mismatch,"The stem asks only for the severity of aortic stenosis, but the keyed option includes both stenosis and regurgitation.","In the case report ""TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome"", after the patient completed antimicrobial therapy and had partial symptom resolution, follow-up in January 2024 showed worsening prosthetic valve function. What prosthetic valve dysfunction was observed at that time?",severe prosthetic restenosis without significant regurgitation.,isolated severe aortic regurgitation with recurrent vegetations.,severe aortic stenosis and moderate-to-severe regurgitation.,moderate aortic stenosis and mild paravalvular leak.,severe mitral regurgitation and secondary pulmonary hypertension.,(C),severe aortic stenosis and moderate-to-severe regurgitation.
medical/TAVinTAVinTAV_after_treated_endocarditis_procedural_strategy/70,fix,stem_answer_mismatch,"The stem asks specifically about coronary blood flow, but most choices are broader imaging findings.","According to the case report ""TAV-in-TAV-in-TAV after treated endocarditis: procedural strategy, imaging planning and 1-year outcome"", after the third transcatheter aortic valve implantation and final aortography, what did the final imaging show?",preserved coronary perfusion,increased effective orifice area,improved ventricular function,optimal commissural alignment,significant patient-prosthesis mismatch,(A),preserved coronary perfusion
