review_id,domain_group,document,v15_row_index,question_stem,target,correct_label,option_a,option_b,option_c,option_d,option_e,distractors,formatted_question,fact,raw_knowledge_statement,section,v14_cloze_probe,v14_formatted_question,decision,issue_categories,review_reason,fixed_question_stem,fixed_option_a,fixed_option_b,fixed_option_c,fixed_option_d,fixed_option_e,fixed_correct_label,fixed_target,target_changed_for_fix,validation_error,fixed_formatted_question,fixed_formatted_question_5shot,fixed_distractors
arxiv/GRPO/310,arxiv,GRPO,310,"According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", on the competition-level MATH benchmark, DeepSeekMath approaches the performance of what kind of models?",closed models.,(E),DeepSeek-Coder-v1.5 7B.,all open-source models.,Google's Minerva.,GPT-4.,closed models.,"[""all open-source models."", ""GPT-4."", ""DeepSeek-Coder-v1.5 7B."", ""Google's Minerva.""]","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", on the competition-level MATH benchmark, DeepSeekMath approaches the performance of what kind of models?
(A) DeepSeek-Coder-v1.5 7B.
(B) all open-source models.
(C) Google's Minerva.
(D) GPT-4.
(E) closed models.","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", on the competition-level MATH benchmark, DeepSeekMath approaches the performance of closed models.","We present DeepSeekMath, which outperforms all open-source models on the competition-level MATH benchmark and approaches the performance of closed models.","Conclusion, Limitation, and Future Work","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", on the competition-level MATH benchmark, DeepSeekMath approaches the performance of","According to the paper ""DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models"", on the competition-level MATH benchmark, DeepSeekMath approaches the performance of
(A) DeepSeek-Coder-v1.5 7B.
(B) all open-source models.
(C) Google's Minerva.
(D) GPT-4.
(E) closed models.",reject,option_type_mismatch,"Stem asks for a kind of model, but the options mix specific models, model categories, and an incorrect target granularity.",,,,,,,,,,,,,
arxiv/GSPO/16,arxiv,GSPO,16,"In the paper ""Group Sequence Policy Optimization"", the authors state that the merits of GSPO ultimately contributed to exceptional performance improvements in which models?",the latest Qwen3 models.,(A),the latest Qwen3 models.,large-scale RL training with language models.,the latest DeepSeek-R1 models.,the RL training of large Mixture-of-Experts (MoE) models.,state-of-the-art instruction-tuned language models.,"[""the RL training of large Mixture-of-Experts (MoE) models."", ""large-scale RL training with language models."", ""the latest DeepSeek-R1 models."", ""state-of-the-art instruction-tuned language models.""]","In the paper ""Group Sequence Policy Optimization"", the authors state that the merits of GSPO ultimately contributed to exceptional performance improvements in which models?
(A) the latest Qwen3 models.
(B) large-scale RL training with language models.
(C) the latest DeepSeek-R1 models.
(D) the RL training of large Mixture-of-Experts (MoE) models.
(E) state-of-the-art instruction-tuned language models.","In the paper ""Group Sequence Policy Optimization"", the authors state that the merits of GSPO ultimately contributed to exceptional performance improvements in the latest Qwen3 models.",These merits of GSPO ultimately contributed to the exceptional performance improvements in the latest Qwen3 models.,Introduction,"In the paper ""Group Sequence Policy Optimization"", the authors state that the merits of GSPO ultimately contributed to exceptional performance improvements in","In the paper ""Group Sequence Policy Optimization"", the authors state that the merits of GSPO ultimately contributed to exceptional performance improvements in
(A) the latest Qwen3 models.
(B) large-scale RL training with language models.
(C) the latest DeepSeek-R1 models.
(D) the RL training of large Mixture-of-Experts (MoE) models.
(E) state-of-the-art instruction-tuned language models.",reject,option_type_mismatch,"Stem asks which models improved, but the options mix model names with training settings and broad categories.",,,,,,,,,,,,,
arxiv/GSPO/27,arxiv,GSPO,27,"In the paper ""Group Sequence Policy Optimization"", according to the discussion of Group Relative Policy Optimization (GRPO), within what set of responses does GRPO compute the relative advantage of each response?",a group of responses to the same query.,(D),a trajectory of actions sampled from the policy.,a minibatch of different queries from the dataset.,the clipping range of the importance ratios.,a group of responses to the same query.,the sequence of tokens in a single response.,"[""the sequence of tokens in a single response."", ""a minibatch of different queries from the dataset."", ""the clipping range of the importance ratios."", ""a trajectory of actions sampled from the policy.""]","In the paper ""Group Sequence Policy Optimization"", according to the discussion of Group Relative Policy Optimization (GRPO), within what set of responses does GRPO compute the relative advantage of each response?
(A) a trajectory of actions sampled from the policy.
(B) a minibatch of different queries from the dataset.
(C) the clipping range of the importance ratios.
(D) a group of responses to the same query.
(E) the sequence of tokens in a single response.","In the paper ""Group Sequence Policy Optimization"", according to the discussion of Group Relative Policy Optimization (GRPO), GRPO computes the relative advantage of each response within a group of responses to the same query.",GRPO \citep{grpo} bypasses the need for the value model by computing the relative advantage of each response within a group of responses to the same query.,Preliminaries,"In the paper ""Group Sequence Policy Optimization"", according to the discussion of Group Relative Policy Optimization (GRPO), GRPO computes the relative advantage of each response within","In the paper ""Group Sequence Policy Optimization"", according to the discussion of Group Relative Policy Optimization (GRPO), GRPO computes the relative advantage of each response within
(A) a trajectory of actions sampled from the policy.
(B) a minibatch of different queries from the dataset.
(C) the clipping range of the importance ratios.
(D) a group of responses to the same query.
(E) the sequence of tokens in a single response.",reject,option_type_mismatch,"Stem asks for a set of responses, but one option is a clipping range rather than a response set.",,,,,,,,,,,,,
arxiv/GSPO/84,arxiv,GSPO,84,"According to the paper ""Group Sequence Policy Optimization"", what does the successful application of GSPO to the RL training of the latest Qwen3 models strongly prove that GSPO can unleash for large language models?",RL scaling,(D),large language models,test-time scaling,training compute,RL scaling,the Routing Replay training strategy,"[""training compute"", ""large language models"", ""test-time scaling"", ""the Routing Replay training strategy""]","According to the paper ""Group Sequence Policy Optimization"", what does the successful application of GSPO to the RL training of the latest Qwen3 models strongly prove that GSPO can unleash for large language models?
(A) large language models
(B) test-time scaling
(C) training compute
(D) RL scaling
(E) the Routing Replay training strategy","According to the paper ""Group Sequence Policy Optimization"", the successful application of GSPO to the RL training of the latest Qwen3 models strongly proves its efficacy in unleashing the power of RL scaling","Finally, we have successfully applied GSPO to the RL training of the latest Qwen3 models, strongly proving the efficacy of GSPO in unleashing the power of RL scaling for large language models.",Experiments and Discussion,"According to the paper ""Group Sequence Policy Optimization"", the successful application of GSPO to the RL training of the latest Qwen3 models strongly proves its efficacy in unleashing the power of","According to the paper ""Group Sequence Policy Optimization"", the successful application of GSPO to the RL training of the latest Qwen3 models strongly proves its efficacy in unleashing the power of
(A) large language models
(B) test-time scaling
(C) training compute
(D) RL scaling
(E) the Routing Replay training strategy",reject,option_type_mismatch,"Stem asks what GSPO can unleash, but the options mix scaling concepts, model objects, compute, and a training strategy.",,,,,,,,,,,,,
arxiv/LongRoPE/3,arxiv,LongRoPE,3,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", on which models did the authors conduct extensive experiments across various tasks to demonstrate the effectiveness of their method?",LLaMA2 and Mistral.,(E),CodeLlama and Vicuna.,8k and 256k sequence lengths.,GPT-4 and PaLM 2.,LLaMA and Falcon.,LLaMA2 and Mistral.,"[""LLaMA and Falcon."", ""8k and 256k sequence lengths."", ""GPT-4 and PaLM 2."", ""CodeLlama and Vicuna.""]","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", on which models did the authors conduct extensive experiments across various tasks to demonstrate the effectiveness of their method?
(A) CodeLlama and Vicuna.
(B) 8k and 256k sequence lengths.
(C) GPT-4 and PaLM 2.
(D) LLaMA and Falcon.
(E) LLaMA2 and Mistral.","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", the authors conducted extensive experiments across various tasks to demonstrate the effectiveness of their method on LLaMA2 and Mistral.",Extensive experiments on LLaMA2 and Mistral across various tasks demonstrate the effectiveness of our method.,Title/Abstract,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", the authors conducted extensive experiments across various tasks to demonstrate the effectiveness of their method on","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", the authors conducted extensive experiments across various tasks to demonstrate the effectiveness of their method on
(A) CodeLlama and Vicuna.
(B) 8k and 256k sequence lengths.
(C) GPT-4 and PaLM 2.
(D) LLaMA and Falcon.
(E) LLaMA2 and Mistral.",reject,option_type_mismatch,"Stem asks which models were used, but one distractor is a pair of sequence lengths rather than model names; clean repair would require inventing a model-pair distractor.",,,,,,,,,,,,,
arxiv/LongRoPE/58,arxiv,LongRoPE,58,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", for which tokens in the input sequences do the authors hypothesize that their RoPE should do less interpolation?",the initial $\hat{n}$ tokens.,(D),the key tokens with the highest attention scores across all layers.,the high-frequency positional components used in standard NTK scaling.,the tokens beyond 7k in an 8k context window.,the initial $\hat{n}$ tokens.,the later tokens in the input sequence.,"[""the later tokens in the input sequence."", ""the tokens beyond 7k in an 8k context window."", ""the key tokens with the highest attention scores across all layers."", ""the high-frequency positional components used in standard NTK scaling.""]","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", for which tokens in the input sequences do the authors hypothesize that their RoPE should do less interpolation?
(A) the key tokens with the highest attention scores across all layers.
(B) the high-frequency positional components used in standard NTK scaling.
(C) the tokens beyond 7k in an 8k context window.
(D) the initial $\hat{n}$ tokens.
(E) the later tokens in the input sequence.","In the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", the authors hypothesize that their RoPE should do less interpolation for the initial $\hat{n}$ tokens.","For the initial $\hat{n}$ tokens in input sequences, we hypothesize that their RoPE should do less interpolation.",Non-uniformity in Positional Interpolation,"In the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", the authors hypothesize that their RoPE should do less interpolation for","In the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", the authors hypothesize that their RoPE should do less interpolation for
(A) the key tokens with the highest attention scores across all layers.
(B) the high-frequency positional components used in standard NTK scaling.
(C) the tokens beyond 7k in an 8k context window.
(D) the initial $\hat{n}$ tokens.
(E) the later tokens in the input sequence.",reject,option_type_mismatch,"Stem asks for tokens in the input sequence, but distractors include embedding dimensions or components rather than token subsets; clean repair would require inventing token-subset distractors.",,,,,,,,,,,,,
arxiv/LongRoPE/60,arxiv,LongRoPE,60,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", RoPE for which tokens in the input sequence should be extrapolated with less interpolation?",the initial tokens.,(A),the initial tokens.,the target context window length.,the later tokens in the input sequence.,the key dimensions in the positional embedding.,downstream long-document benchmarks.,"[""the later tokens in the input sequence."", ""the key dimensions in the positional embedding."", ""the target context window length."", ""downstream long-document benchmarks.""]","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", RoPE for which tokens in the input sequence should be extrapolated with less interpolation?
(A) the initial tokens.
(B) the target context window length.
(C) the later tokens in the input sequence.
(D) the key dimensions in the positional embedding.
(E) downstream long-document benchmarks.","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", RoPE should be extrapolated with less interpolation for the initial tokens.",\textbf{Finding 2}: \textit{RoPE for the initial tokens in the input sequence should be extrapolated with less interpolation.},Non-uniformity in Positional Interpolation,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", RoPE should be extrapolated with less interpolation for","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", RoPE should be extrapolated with less interpolation for
(A) the initial tokens.
(B) the target context window length.
(C) the later tokens in the input sequence.
(D) the key dimensions in the positional embedding.
(E) downstream long-document benchmarks.",reject,option_type_mismatch,"Stem asks which tokens should receive less interpolation, but several options are not token subsets; clean repair would require inventing token-subset distractors.",,,,,,,,,,,,,
arxiv/LongRoPE/103,arxiv,LongRoPE,103,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", how many fine-tuning steps does the authors’ efficient, progressive method use to achieve the target 2048k context length while training within 256k length?",1k fine-tuning steps.,(B),full 2048k-length fine-tuning.,1k fine-tuning steps.,128k training length.,LoRA adaptation.,10k fine-tuning steps.,"[""10k fine-tuning steps."", ""128k training length."", ""full 2048k-length fine-tuning."", ""LoRA adaptation.""]","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", how many fine-tuning steps does the authors’ efficient, progressive method use to achieve the target 2048k context length while training within 256k length?
(A) full 2048k-length fine-tuning.
(B) 1k fine-tuning steps.
(C) 128k training length.
(D) LoRA adaptation.
(E) 10k fine-tuning steps.","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", the authors’ efficient, progressive method achieves the target 2048k context length while training within 256k length using 1k fine-tuning steps.","Therefore, we introduce an efficient, progressive method that achieves the target 2048k with just 1k fine-tuning steps at within 256k training length.",LongRoPE,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", the authors’ efficient, progressive method achieves the target 2048k context length while training within 256k length using","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", the authors’ efficient, progressive method achieves the target 2048k context length while training within 256k length using
(A) full 2048k-length fine-tuning.
(B) 1k fine-tuning steps.
(C) 128k training length.
(D) LoRA adaptation.
(E) 10k fine-tuning steps.",reject,option_type_mismatch,"Stem asks for a number of fine-tuning steps, but several options are training lengths or adaptation methods; clean repair would require arbitrary step-count distractors.",,,,,,,,,,,,,
arxiv/LongRoPE/154,arxiv,LongRoPE,154,"In the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", how many fine-tuning steps does the efficient, progressive method use to achieve the target 2048k context window while training at within 256k training length?",1k fine-tuning steps.,(E),128k-context fine-tuning steps.,256k training-length fine-tuning.,one epoch of continued pretraining.,10k fine-tuning steps.,1k fine-tuning steps.,"[""10k fine-tuning steps."", ""256k training-length fine-tuning."", ""128k-context fine-tuning steps."", ""one epoch of continued pretraining.""]","In the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", how many fine-tuning steps does the efficient, progressive method use to achieve the target 2048k context window while training at within 256k training length?
(A) 128k-context fine-tuning steps.
(B) 256k training-length fine-tuning.
(C) one epoch of continued pretraining.
(D) 10k fine-tuning steps.
(E) 1k fine-tuning steps.","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", the progressive method reaches 2048k using 1k fine-tuning steps.","Therefore, we introduce an efficient, progressive method that achieves the target 2048k with just 1k fine-tuning steps at within 256k training length.",LongRoPE,"According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", the progressive method reaches 2048k using","According to the paper ""LongRoPE: Extending LLM Context Window Beyond 2 Million Tokens"", the progressive method reaches 2048k using
(A) 128k-context fine-tuning steps.
(B) 256k training-length fine-tuning.
(C) one epoch of continued pretraining.
(D) 10k fine-tuning steps.
(E) 1k fine-tuning steps.",reject,option_type_mismatch,"Stem asks for a number of fine-tuning steps, but several options are training lengths or non-step procedures; clean repair would require arbitrary step-count distractors.",,,,,,,,,,,,,
arxiv/QLoRA/4,arxiv,QLoRA,4,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", across how many instruction datasets do the authors provide a detailed analysis of instruction following and chatbot performance when using \textsc{QLoRA} to finetune more than 1,000 models across multiple model types and scales?",8 instruction datasets.,(C),4 instruction datasets.,the Vicuna benchmark.,8 instruction datasets.,16 instruction datasets.,the Alpaca instruction dataset.,"[""the Vicuna benchmark."", ""the Alpaca instruction dataset."", ""4 instruction datasets."", ""16 instruction datasets.""]","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", across how many instruction datasets do the authors provide a detailed analysis of instruction following and chatbot performance when using \textsc{QLoRA} to finetune more than 1,000 models across multiple model types and scales?
(A) 4 instruction datasets.
(B) the Vicuna benchmark.
(C) 8 instruction datasets.
(D) 16 instruction datasets.
(E) the Alpaca instruction dataset.","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", the authors provide a detailed analysis of instruction following and chatbot performance using \textsc{QLoRA} to finetune more than 1,000 models across multiple model types and scales on 8 instruction datasets.","We use \textsc{QLoRA} to finetune more than 1,000 models, providing a detailed analysis of instruction following and chatbot performance across 8 instruction datasets, multiple model types (LLaMA, T5), and model scales that would be infeasible to run with regular finetuning (e.g. 33B and 65B parameter models).",Title/Abstract,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", the authors provide a detailed analysis of instruction following and chatbot performance using \textsc{QLoRA} to finetune more than 1,000 models across multiple model types and scales on","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", the authors provide a detailed analysis of instruction following and chatbot performance using \textsc{QLoRA} to finetune more than 1,000 models across multiple model types and scales on
(A) 4 instruction datasets.
(B) the Vicuna benchmark.
(C) 8 instruction datasets.
(D) 16 instruction datasets.
(E) the Alpaca instruction dataset.",reject,option_type_mismatch,"The stem asks how many instruction datasets, but multiple choices are dataset or benchmark names rather than counts.",,,,,,,,,,,,,
arxiv/QLoRA/119,arxiv,QLoRA,119,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", when searching for robust baselines for 7B LLaMA finetuning on Alpaca, over what range of learning rates do the authors perform the hyperparameter search?",1e-6 to 5e-5.,(E),8 to 128.,5e-6 to 5e-5.,1e-6 to 1e-4.,1e-5 to 1e-4.,1e-6 to 5e-5.,"[""5e-6 to 5e-5."", ""1e-5 to 1e-4."", ""1e-6 to 1e-4."", ""8 to 128.""]","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", when searching for robust baselines for 7B LLaMA finetuning on Alpaca, over what range of learning rates do the authors perform the hyperparameter search?
(A) 8 to 128.
(B) 5e-6 to 5e-5.
(C) 1e-6 to 1e-4.
(D) 1e-5 to 1e-4.
(E) 1e-6 to 5e-5.","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", when searching for robust baselines for 7B LLaMA finetuning on Alpaca, the authors perform the hyperparameter search over learning rates from 1e-6 to 5e-5.",We do a hyperparameter search over learning rates 1e-6 to 5e-5 and batch sizes 8 to 128 to find robust baselines.,QLoRA vs. Standard Finetuning,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", when searching for robust baselines for 7B LLaMA finetuning on Alpaca, the authors perform the hyperparameter search over learning rates from","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", when searching for robust baselines for 7B LLaMA finetuning on Alpaca, the authors perform the hyperparameter search over learning rates from
(A) 8 to 128.
(B) 5e-6 to 5e-5.
(C) 1e-6 to 1e-4.
(D) 1e-5 to 1e-4.
(E) 1e-6 to 5e-5.",reject,option_type_mismatch,"The stem asks for a learning-rate range, but one choice is a batch-size range and cannot be repaired cleanly from context.",,,,,,,,,,,,,
arxiv/QLoRA/180,arxiv,QLoRA,180,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", when evaluating model performance on the Vicuna benchmark by expressing a model’s score as a percentage of ChatGPT’s score, above what percentage can the relative score rise if the model achieves a higher absolute score than ChatGPT?",100\%.,(E),the human-evaluation win rate,the OA benchmark average,the maximum raw score of 10,the mean score over both orders,100\%.,"[""the maximum raw score of 10"", ""the mean score over both orders"", ""the OA benchmark average"", ""the human-evaluation win rate""]","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", when evaluating model performance on the Vicuna benchmark by expressing a model’s score as a percentage of ChatGPT’s score, above what percentage can the relative score rise if the model achieves a higher absolute score than ChatGPT?
(A) the human-evaluation win rate
(B) the OA benchmark average
(C) the maximum raw score of 10
(D) the mean score over both orders
(E) 100\%.","In the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", when a model’s score on the Vicuna benchmark is expressed as a percentage of ChatGPT’s score, the relative score can rise above 100\%.",Note this relative score can be higher than 100\% if the model achieves a higher absolute score than ChatGPT.,Pushing the Chatbot State-of-the-art with QLoRA,"In the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", when a model’s score on the Vicuna benchmark is expressed as a percentage of ChatGPT’s score, the relative score can rise above","In the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", when a model’s score on the Vicuna benchmark is expressed as a percentage of ChatGPT’s score, the relative score can rise above
(A) the human-evaluation win rate
(B) the OA benchmark average
(C) the maximum raw score of 10
(D) the mean score over both orders
(E) 100\%.",reject,option_type_mismatch,"The stem asks for a percentage threshold, but most choices are non-percentage concepts rather than plausible percentage answers.",,,,,,,,,,,,,
arxiv/QLoRA/192,arxiv,QLoRA,192,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", in the human evaluation on the Vicuna benchmark using Amazon Mechanical Turk, how many human annotators are used for comparisons to ChatGPT?",two human annotators,(C),GPT-4 acting as an automated judge,three human annotators,two human annotators,five Amazon Mechanical Turk workers,a single human annotator,"[""three human annotators"", ""a single human annotator"", ""GPT-4 acting as an automated judge"", ""five Amazon Mechanical Turk workers""]","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", in the human evaluation on the Vicuna benchmark using Amazon Mechanical Turk, how many human annotators are used for comparisons to ChatGPT?
(A) GPT-4 acting as an automated judge
(B) three human annotators
(C) two human annotators
(D) five Amazon Mechanical Turk workers
(E) a single human annotator","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", the comparisons to ChatGPT in the human evaluation on the Vicuna benchmark using Amazon Mechanical Turk were performed by two human annotators",We use Amazon Mechanical Turk (AMT) and get two human annotators for comparisons to ChatGPT and three annotators for pairwise comparisons.,Pushing the Chatbot State-of-the-art with QLoRA,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", the comparisons to ChatGPT in the human evaluation on the Vicuna benchmark using Amazon Mechanical Turk were performed by","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", the comparisons to ChatGPT in the human evaluation on the Vicuna benchmark using Amazon Mechanical Turk were performed by
(A) GPT-4 acting as an automated judge
(B) three human annotators
(C) two human annotators
(D) five Amazon Mechanical Turk workers
(E) a single human annotator",reject,option_type_mismatch,"The stem asks how many human annotators were used, but one choice is an automated judge rather than an annotator count.",,,,,,,,,,,,,
arxiv/QLoRA/216,arxiv,QLoRA,216,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", on what kind of GPUs can the authors train their 33B Guanaco model in less than 12 hours?",24 GB consumer GPUs,(D),the OASST1 dataset,48 GB workstation GPUs,80 GB A100 GPUs,24 GB consumer GPUs,16 GB consumer GPUs,"[""48 GB workstation GPUs"", ""80 GB A100 GPUs"", ""16 GB consumer GPUs"", ""the OASST1 dataset""]","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", on what kind of GPUs can the authors train their 33B Guanaco model in less than 12 hours?
(A) the OASST1 dataset
(B) 48 GB workstation GPUs
(C) 80 GB A100 GPUs
(D) 24 GB consumer GPUs
(E) 16 GB consumer GPUs","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", the authors can train their 33B Guanaco model in less than 12 hours on 24 GB consumer GPUs","Furthermore, our 33B {Guanaco} can be trained on 24 GB consumer GPUs in less than 12 hours.",Pushing the Chatbot State-of-the-art with QLoRA,"According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", the authors can train their 33B Guanaco model in less than 12 hours on","According to the paper ""QLoRA: Efficient Finetuning of Quantized LLMs"", the authors can train their 33B Guanaco model in less than 12 hours on
(A) the OASST1 dataset
(B) 48 GB workstation GPUs
(C) 80 GB A100 GPUs
(D) 24 GB consumer GPUs
(E) 16 GB consumer GPUs",reject,option_type_mismatch,"The stem asks what kind of GPUs were used, but one choice is a dataset rather than a hardware option.",,,,,,,,,,,,,
arxiv/xLSTM/126,arxiv,xLSTM,126,"According to the paper ""xLSTM: Extended Long Short-Term Memory"", in the evaluation of next-token prediction perplexity across 571 text domains, in how many text domains does xLSTM[1:0] have a lower perplexity than Mamba?",568 out of 571 (99.5\%).,(C),the ARC task in some cases.,571 out of 571 (100\%).,568 out of 571 (99.5\%).,570 out of 571 (99.8\%).,486 out of 571 (85.1\%).,"[""486 out of 571 (85.1\\%)."", ""570 out of 571 (99.8\\%)."", ""571 out of 571 (100\\%)."", ""the ARC task in some cases.""]","According to the paper ""xLSTM: Extended Long Short-Term Memory"", in the evaluation of next-token prediction perplexity across 571 text domains, in how many text domains does xLSTM[1:0] have a lower perplexity than Mamba?
(A) the ARC task in some cases.
(B) 571 out of 571 (100\%).
(C) 568 out of 571 (99.5\%).
(D) 570 out of 571 (99.8\%).
(E) 486 out of 571 (85.1\%).","According to the paper ""xLSTM: Extended Long Short-Term Memory"", in the evaluation of next-token prediction perplexity across 571 text domains, xLSTM[1:0] has a lower perplexity than Mamba in 568 out of 571 (99.5\%).","xLSTM[1:0] has in 568 out of 571 (99.5\%) text domains a lower perplexity than Mamba, in 486 out of 571 (85.1\%) a lower perplexity than Llama, in 570 out of 571 (99.8\%) a lower perplexity than RWKV-4.",Experiments,"According to the paper ""xLSTM: Extended Long Short-Term Memory"", in the evaluation of next-token prediction perplexity across 571 text domains, xLSTM[1:0] has a lower perplexity than Mamba in","According to the paper ""xLSTM: Extended Long Short-Term Memory"", in the evaluation of next-token prediction perplexity across 571 text domains, xLSTM[1:0] has a lower perplexity than Mamba in
(A) the ARC task in some cases.
(B) 571 out of 571 (100\%).
(C) 568 out of 571 (99.5\%).
(D) 570 out of 571 (99.8\%).
(E) 486 out of 571 (85.1\%).",reject,option_type_mismatch,"The stem asks for a number of text domains, but one option is not a count; replacing it would require inventing an arbitrary numeric distractor.",,,,,,,,,,,,,
